family	k	cohorts	malig_defs	tnk_def	score	n_patients	rho_TAC	p_TAC	I2_TAC	rho_CLDN	p_CLDN	I2_CLDN	stouffer_p_TAC	stouffer_p_CLDN	both_negative	tac_le_cut	cldn_le_cut	both_le_cut	weaker_rho	is_full_family	n_family_units
marker_malig/tnk/mean	1	GSE291670	marker_malig	tnk	mean	6	-0.5428571428571429	0.26570262390670546	0.0	-0.8285714285714287	0.04156268221574335	0.0	0.2657026239067055	0.04156268221574339	True	True	True	True	-0.5428571428571429	0	3
marker_malig/tnk/pct	1	GSE291670	marker_malig	tnk	pct	6	-0.4285714285714286	0.3965014577259473	0.0	-0.8857142857142858	0.01884548104956266	0.0	0.39650145772594725	0.018845481049562653	True	True	True	True	-0.4285714285714286	0	3
marker_malig/tnk_umi/mean	1	GSE291670	marker_malig	tnk_umi	mean	6	-0.3714285714285715	0.4684781341107872	0.0	-0.5428571428571429	0.26570262390670546	0.0	0.4684781341107871	0.2657026239067055	True	True	True	True	-0.3714285714285715	1	1
strict_primary/tnk/pct	2	GSE205335+GSE253013	author_malig+marker_malig	tnk	pct	31	-0.4246248951113913	0.5196503566028263	88.97572204959346	-0.4599686574555623	0.012905818343269107	0.0	0.5783645505186539	0.012781291573153584	True	True	True	True	-0.4246248951113913	0	4
strict_primary/tnk/pct	2	GSE253013+GSE131907	marker_malig+author_malig	tnk	pct	30	-0.5527425300948702	0.23218120963823485	79.73364555864526	-0.5249091413433457	0.004282646577779526	0.0	0.05003619870104904	0.0044863780733010545	True	True	True	True	-0.5249091413433457	0	4
strict_primary/tnk/mean	2	GSE207422+GSE291670	author_DRMref+marker_malig	tnk	mean	18	-0.5032222006154481	0.05514054412595207	0.0	-0.48968701582075724	0.3182113335979516	62.75626043921001	0.05053928760110366	0.20685075862254854	True	True	True	True	-0.48968701582075724	0	6
strict_nsclc_swap/tnk/mean	2	GSE207422+GSE291670	author_DRMref+marker_malig	tnk	mean	18	-0.5032222006154481	0.05514054412595207	0.0	-0.48968701582075724	0.3182113335979516	62.75626043921001	0.05053928760110366	0.20685075862254854	True	True	True	True	-0.48968701582075724	0	6
strict_primary/tnk/mean	2	GSE291670+GSE253013	marker_malig+marker_malig	tnk	mean	15	-0.6658429719946298	0.01596506045699017	0.0	-0.5820148861914176	0.10157923674410392	28.627433099172066	0.015673248544222574	0.058451917237438374	True	True	True	True	-0.5820148861914176	0	6
strict_nsclc_swap/tnk/mean	2	GSE291670+GSE253013	marker_malig+marker_malig	tnk	mean	15	-0.6658429719946298	0.01596506045699017	0.0	-0.5820148861914176	0.10157923674410392	28.627433099172066	0.015673248544222574	0.058451917237438374	True	True	True	True	-0.5820148861914176	0	6
strict_primary/tnk/pct	2	GSE291670+GSE253013	marker_malig+marker_malig	tnk	pct	15	-0.7356984096672734	0.007663751698148806	8.89013673279281	-0.7138342906922605	0.021746934493141492	23.203165014556042	0.00564344782183733	0.010368731173552442	True	True	True	True	-0.7138342906922605	0	4
marker_malig/tnk/mean	2	GSE253013+GSE291670	marker_malig+marker_malig	tnk	mean	15	-0.6658429719946298	0.01596506045699017	0.0	-0.5820148861914176	0.10157923674410392	28.627433099172066	0.015673248544222574	0.058451917237438374	True	True	True	True	-0.5820148861914176	0	3
marker_malig/tnk/pct	2	GSE253013+GSE291670	marker_malig+marker_malig	tnk	pct	15	-0.7356984096672734	0.007663751698148806	8.89013673279281	-0.7138342906922605	0.021746934493141492	23.203165014556042	0.00564344782183733	0.010368731173552442	True	True	True	True	-0.7138342906922605	0	3
strict_primary/tnk/pct	3	GSE205335+GSE291670+GSE253013	author_malig+marker_malig+marker_malig	tnk	pct	37	-0.41309252841523275	0.36714000776859135	78.64283120265945	-0.5497530584348814	0.0037284456505357667	11.739987103642694	0.4221516031093613	0.001799955349978993	True	True	True	True	-0.41309252841523275	0	4
strict_primary/tnk/mean	3	GSE291670+GSE253013+GSE131907	marker_malig+marker_malig+author_malig	tnk	mean	36	-0.370581162356256	0.26728726146998416	58.95814551591546	-0.4525237660584771	0.01124332797791432	0.0	0.2681827711261128	0.010962668417911768	True	True	True	True	-0.370581162356256	0	6
strict_nsclc_swap/tnk/mean	3	GSE291670+GSE253013+GSE131907	marker_malig+marker_malig+author_malig	tnk	mean	36	-0.370581162356256	0.26728726146998416	58.95814551591546	-0.4525237660584771	0.01124332797791432	0.0	0.2681827711261128	0.010962668417911768	True	True	True	True	-0.370581162356256	0	6
strict_primary/tnk/pct	3	GSE291670+GSE253013+GSE131907	marker_malig+marker_malig+author_malig	tnk	pct	36	-0.5068367846299265	0.11394116779606377	59.51072957815302	-0.5876352081574302	0.0004610052919627057	0.0	0.03315439923341287	0.0005359686042413246	True	True	True	True	-0.5068367846299265	0	4
strict_primary/tnk/mean	3	GSE207422+GSE291670+GSE253013	author_DRMref+marker_malig+marker_malig	tnk	mean	27	-0.584537053316414	0.004515396284138225	0.0	-0.37770051123834053	0.15744965845520065	25.54722047350248	0.0043602979001831806	0.12435782875634001	True	True	True	True	-0.37770051123834053	0	6
strict_nsclc_swap/tnk/mean	3	GSE207422+GSE291670+GSE253013	author_DRMref+marker_malig+marker_malig	tnk	mean	27	-0.584537053316414	0.004515396284138225	0.0	-0.37770051123834053	0.15744965845520065	25.54722047350248	0.0043602979001831806	0.12435782875634001	True	True	True	True	-0.37770051123834053	0	6
marker_malig/tnk/mean	3	GSE207422+GSE253013+GSE291670	marker_malig+marker_malig+marker_malig	tnk	mean	22	-0.5132126013618559	0.04089026749900293	0.0	-0.3621568661825641	0.3139984627172989	43.6680328330153	0.040095692112943365	0.20246329552373432	True	True	True	True	-0.3621568661825641	1	3
marker_malig/tnk/pct	3	GSE207422+GSE253013+GSE291670	marker_malig+marker_malig+marker_malig	tnk	pct	22	-0.49891743098488583	0.1937013555159347	54.78322967933155	-0.5509779222900101	0.09098213350009542	40.620808648259086	0.03288648591590509	0.03294270518094106	True	True	True	True	-0.49891743098488583	1	3
strict_primary/tnk/mean	4	GSE207422+GSE291670+GSE253013+GSE131907	author_DRMref+marker_malig+marker_malig+author_malig	tnk	mean	48	-0.3787708959587838	0.1057504756449525	46.18266107794389	-0.37023227527446684	0.019692619307870234	0.0	0.07730404034256556	0.019100659013965352	True	True	True	True	-0.37023227527446684	0	6
strict_nsclc_swap/tnk/mean	4	GSE207422+GSE291670+GSE253013+GSE131907	author_DRMref+marker_malig+marker_malig+author_malig	tnk	mean	48	-0.3787708959587838	0.1057504756449525	46.18266107794389	-0.37023227527446684	0.019692619307870234	0.0	0.07730404034256556	0.019100659013965352	True	True	True	True	-0.37023227527446684	0	6
single/author_malig/tnk/mean	1	GSE325414	author_malig	tnk	mean	25	-0.07307692307692308	0.7284839479101775	0.0	-0.11923076923076922	0.5702629145851892	0.0	0.7284839479101775	0.5702629145851892	True	False	False	False	-0.07307692307692308	0	1
strict_primary/tnk/mean	1	GSE325414	author_malig	tnk	mean	25	-0.07307692307692308	0.7284839479101775	0.0	-0.11923076923076922	0.5702629145851892	0.0	0.7284839479101775	0.5702629145851892	True	False	False	False	-0.07307692307692308	0	6
strict_nsclc_swap/tnk/mean	1	GSE325414	author_malig	tnk	mean	25	-0.07307692307692308	0.7284839479101775	0.0	-0.11923076923076922	0.5702629145851892	0.0	0.7284839479101775	0.5702629145851892	True	False	False	False	-0.07307692307692308	0	6
author_or_DRMref/tnk/mean	1	GSE325414	author_malig	tnk	mean	25	-0.07307692307692308	0.7284839479101775	0.0	-0.11923076923076922	0.5702629145851892	0.0	0.7284839479101775	0.5702629145851892	True	False	False	False	-0.07307692307692308	0	4
single/author_malig/tnk/pct	1	GSE131907	author_malig	tnk	pct	21	-0.15064935064935067	0.5145138644694079	0.0	-0.5220779220779221	0.015195754492505785	0.0	0.5145138644694079	0.015195754492505785	True	False	True	False	-0.15064935064935067	0	1
strict_primary/tnk/pct	1	GSE131907	author_malig	tnk	pct	21	-0.15064935064935067	0.5145138644694079	0.0	-0.5220779220779221	0.015195754492505785	0.0	0.514513864469408	0.015195754492505776	True	False	True	False	-0.15064935064935067	0	4
author_or_DRMref/tnk/pct	1	GSE131907	author_malig	tnk	pct	21	-0.15064935064935067	0.5145138644694079	0.0	-0.5220779220779221	0.015195754492505785	0.0	0.514513864469408	0.015195754492505776	True	False	True	False	-0.15064935064935067	0	2
single/author_malig/tnk/mean	1	GSE205335_NSCLC	author_malig	tnk	mean	17	-0.11274509803921569	0.6665920499637249	0.0	-0.022058823529411766	0.9330304490530753	0.0	0.6665920499637249	0.9330304490530753	True	False	False	False	-0.022058823529411766	0	1
single/author_malig/tnk/pct	1	GSE205335_NSCLC	author_malig	tnk	pct	17	-0.24754901960784317	0.33808764785888096	0.0	-0.2058823529411765	0.42791485314270766	0.0	0.33808764785888096	0.42791485314270766	True	False	False	False	-0.2058823529411765	0	1
strict_nsclc_swap/tnk/mean	1	GSE205335_NSCLC	author_malig	tnk	mean	17	-0.11274509803921569	0.6665920499637249	0.0	-0.022058823529411766	0.9330304490530753	0.0	0.6665920499637248	0.9330304490530753	True	False	False	False	-0.022058823529411766	0	6
single/author_DRMref/tnk/mean	1	GSE207422	author_DRMref	tnk	mean	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	0.10625237175934595	0.7787253962454419	True	True	False	False	-0.09090909090909093	0	1
strict_primary/tnk/mean	1	GSE207422	author_DRMref	tnk	mean	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	0.10625237175934599	0.7787253962454419	True	True	False	False	-0.09090909090909093	0	6
strict_nsclc_swap/tnk/mean	1	GSE207422	author_DRMref	tnk	mean	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	0.10625237175934599	0.7787253962454419	True	True	False	False	-0.09090909090909093	0	6
author_or_DRMref/tnk/mean	1	GSE207422	author_DRMref	tnk	mean	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	0.10625237175934599	0.7787253962454419	True	True	False	False	-0.09090909090909093	0	4
single/marker_malig/tnk/mean	1	GSE253013	marker_malig	tnk	mean	9	-0.7166666666666667	0.02981803569584528	0.0	-0.33333333333333337	0.38071318167686347	0.0	0.02981803569584528	0.38071318167686347	True	True	False	False	-0.33333333333333337	0	1
strict_primary/tnk/mean	1	GSE253013	marker_malig	tnk	mean	9	-0.7166666666666667	0.02981803569584528	0.0	-0.33333333333333337	0.38071318167686347	0.0	0.02981803569584528	0.3807131816768634	True	True	False	False	-0.33333333333333337	0	6
strict_nsclc_swap/tnk/mean	1	GSE253013	marker_malig	tnk	mean	9	-0.7166666666666667	0.02981803569584528	0.0	-0.33333333333333337	0.38071318167686347	0.0	0.02981803569584528	0.3807131816768634	True	True	False	False	-0.33333333333333337	0	6
marker_malig/tnk/mean	1	GSE253013	marker_malig	tnk	mean	9	-0.7166666666666667	0.02981803569584528	0.0	-0.33333333333333337	0.38071318167686347	0.0	0.02981803569584528	0.3807131816768634	True	True	False	False	-0.33333333333333337	0	3
strict_primary/tnk/mean	2	GSE131907+GSE325414	author_malig+author_malig	tnk	mean	46	-0.003363400947262392	0.9830286033112196	0.0	-0.24909622562393258	0.10755581008419263	0.0	0.9832966692170017	0.10665465921807347	True	False	False	False	-0.003363400947262392	0	6
strict_nsclc_swap/tnk/mean	2	GSE131907+GSE325414	author_malig+author_malig	tnk	mean	46	-0.003363400947262392	0.9830286033112196	0.0	-0.24909622562393258	0.10755581008419263	0.0	0.9832966692170017	0.10665465921807347	True	False	False	False	-0.003363400947262392	0	6
author_or_DRMref/tnk/mean	2	GSE131907+GSE325414	author_malig+author_malig	tnk	mean	46	-0.003363400947262392	0.9830286033112196	0.0	-0.24909622562393258	0.10755581008419263	0.0	0.9832966692170017	0.10665465921807347	True	False	False	False	-0.003363400947262392	0	4
strict_nsclc_swap/tnk/mean	2	GSE205335_NSCLC+GSE325414	author_malig+author_malig	tnk	mean	42	-0.08853795241395895	0.5942950119793522	0.0	-0.08160941739744891	0.6236047474868747	0.0	0.589166855015187	0.6197764468835766	True	False	False	False	-0.08160941739744891	0	6
strict_nsclc_swap/tnk/mean	2	GSE205335_NSCLC+GSE131907	author_malig+author_malig	tnk	mean	38	-0.0034107404326663604	0.9846064615918089	0.0	-0.23600027077168778	0.2231910049683009	19.413405503727226	0.983613633518738	0.16490837505827505	True	False	False	False	-0.0034107404326663604	0	6
strict_primary/tnk/mean	2	GSE207422+GSE325414	author_DRMref+author_malig	tnk	mean	37	-0.22914521468823956	0.28878885135088395	26.714201441182745	-0.11102623128822188	0.5347793516876154	0.0	0.24492112576470193	0.5289494317244134	True	False	False	False	-0.11102623128822188	0	6
strict_nsclc_swap/tnk/mean	2	GSE207422+GSE325414	author_DRMref+author_malig	tnk	mean	37	-0.22914521468823956	0.28878885135088395	26.714201441182745	-0.11102623128822188	0.5347793516876154	0.0	0.24492112576470193	0.5289494317244134	True	False	False	False	-0.11102623128822188	0	6
author_or_DRMref/tnk/mean	2	GSE207422+GSE325414	author_DRMref+author_malig	tnk	mean	37	-0.22914521468823956	0.28878885135088395	26.714201441182745	-0.11102623128822188	0.5347793516876154	0.0	0.24492112576470193	0.5289494317244134	True	False	False	False	-0.11102623128822188	0	4
strict_primary/tnk/mean	2	GSE207422+GSE205335	author_DRMref+author_malig	tnk	mean	34	-0.08613282951376305	0.8340836351350153	76.08549111314427	-0.1656489685826519	0.376327189077578	0.0	0.8890967009216368	0.3701961695609385	True	False	False	False	-0.08613282951376305	0	6
strict_primary/tnk/mean	2	GSE253013+GSE325414	marker_malig+author_malig	tnk	mean	34	-0.3916496883815534	0.3096425756679937	69.02614959820463	-0.1668209726103207	0.372896058413119	0.0	0.1890545995872328	0.36337138480579545	True	True	False	False	-0.1668209726103207	0	6
strict_nsclc_swap/tnk/mean	2	GSE253013+GSE325414	marker_malig+author_malig	tnk	mean	34	-0.3916496883815534	0.3096425756679937	69.02614959820463	-0.1668209726103207	0.372896058413119	0.0	0.1890545995872328	0.36337138480579545	True	True	False	False	-0.1668209726103207	0	6
author_or_DRMref/tnk/mean	2	GSE205335+GSE207422	author_malig+author_DRMref	tnk	mean	34	-0.08613282951376305	0.8340836351350153	76.08549111314427	-0.1656489685826519	0.376327189077578	0.0	0.8890967009216368	0.3701961695609385	True	False	False	False	-0.08613282951376305	0	4
strict_primary/tnk/mean	2	GSE207422+GSE131907	author_DRMref+author_malig	tnk	mean	33	-0.17974309733148802	0.551851169555291	56.278969785519486	-0.30019427278501637	0.10752444293486588	0.0	0.5191197156286446	0.10661537617450499	True	False	False	False	-0.17974309733148802	0	6
strict_nsclc_swap/tnk/mean	2	GSE207422+GSE131907	author_DRMref+author_malig	tnk	mean	33	-0.17974309733148802	0.551851169555291	56.278969785519486	-0.30019427278501637	0.10752444293486588	0.0	0.5191197156286446	0.10661537617450499	True	False	False	False	-0.17974309733148802	0	6
author_or_DRMref/tnk/mean	2	GSE131907+GSE207422	author_malig+author_DRMref	tnk	mean	33	-0.17974309733148802	0.551851169555291	56.278969785519486	-0.30019427278501637	0.10752444293486588	0.0	0.5191197156286446	0.10661537617450499	True	False	False	False	-0.17974309733148802	0	4
strict_primary/tnk/mean	2	GSE205335+GSE253013	author_malig+marker_malig	tnk	mean	31	-0.25106852946511343	0.6660650141871013	84.5867448338288	-0.23323896608735978	0.23480967377436301	0.0	0.9581813615628997	0.2265870331299462	True	False	False	False	-0.23323896608735978	0	6
strict_primary/tnk/mean	2	GSE291670+GSE325414	marker_malig+author_malig	tnk	mean	31	-0.13654796880996295	0.4920630274390779	0.0	-0.474893097550863	0.3154432184021022	66.52598533910249	0.47695527732980103	0.21554699030314328	True	False	True	False	-0.13654796880996295	0	6
strict_nsclc_swap/tnk/mean	2	GSE291670+GSE325414	marker_malig+author_malig	tnk	mean	31	-0.13654796880996295	0.4920630274390779	0.0	-0.474893097550863	0.3154432184021022	66.52598533910249	0.47695527732980103	0.21554699030314328	True	False	True	False	-0.13654796880996295	0	6
strict_primary/tnk/mean	2	GSE253013+GSE131907	marker_malig+author_malig	tnk	mean	30	-0.33889886633196503	0.469756253014874	76.99124325814162	-0.3807254843107963	0.04952553176803113	0.0	0.4348531710808904	0.0479622891939408	True	False	True	False	-0.33889886633196503	0	6
strict_nsclc_swap/tnk/mean	2	GSE253013+GSE131907	marker_malig+author_malig	tnk	mean	30	-0.33889886633196503	0.469756253014874	76.99124325814162	-0.3807254843107963	0.04952553176803113	0.0	0.4348531710808904	0.0479622891939408	True	False	True	False	-0.33889886633196503	0	6
strict_nsclc_swap/tnk/mean	2	GSE207422+GSE205335_NSCLC	author_DRMref+author_malig	tnk	mean	29	-0.2714525223771277	0.18177515450406512	0.0	-0.049061476316993174	0.8138364861164707	0.0	0.17812526624746872	0.8093018144614106	True	False	False	False	-0.049061476316993174	0	6
strict_primary/tnk/mean	2	GSE205335+GSE291670	author_malig+marker_malig	tnk	mean	28	-0.0021713851295366467	0.9958970803453795	52.37620030329098	-0.5006848456675129	0.2405317287716633	59.84146678449286	0.4357205379365825	0.1132477800899305	True	False	True	False	-0.0021713851295366467	0	6
strict_primary/tnk/mean	2	GSE291670+GSE131907	marker_malig+author_malig	tnk	mean	27	-0.06178910665441136	0.8253452053317656	18.364944129023055	-0.5508688296630635	0.06544262960802272	33.46927971609585	0.9249010733957788	0.0156945222890595	True	False	True	False	-0.06178910665441136	0	6
strict_nsclc_swap/tnk/mean	2	GSE291670+GSE131907	marker_malig+author_malig	tnk	mean	27	-0.06178910665441136	0.8253452053317656	18.364944129023055	-0.5508688296630635	0.06544262960802272	33.46927971609585	0.9249010733957788	0.0156945222890595	True	False	True	False	-0.06178910665441136	0	6
strict_primary/tnk/pct	2	GSE291670+GSE131907	marker_malig+author_malig	tnk	pct	27	-0.19311202387538404	0.37014384048677806	0.0	-0.6759244700718828	0.028451655240091786	42.51345472934747	0.3555155913130088	0.0017169480825939222	True	False	True	False	-0.19311202387538404	0	4
strict_nsclc_swap/tnk/mean	2	GSE205335_NSCLC+GSE253013	author_malig+marker_malig	tnk	mean	26	-0.4190391362177461	0.2511336823164738	61.6102724078459	-0.11885135017749922	0.5933114325358884	0.0	0.12104915108323092	0.5820237491411878	True	True	False	False	-0.11885135017749922	0	6
strict_nsclc_swap/tnk/mean	2	GSE205335_NSCLC+GSE291670	author_malig+marker_malig	tnk	mean	23	-0.1979272292439187	0.4082431736738824	0.0	-0.45427028532836217	0.38966790805424045	69.99720960477026	0.3905993362689102	0.3511628514849894	True	False	True	False	-0.1979272292439187	0	6
strict_primary/tnk/mean	2	GSE207422+GSE253013	author_DRMref+marker_malig	tnk	mean	21	-0.5925280458651199	0.008299335001430345	0.0	-0.19095286132122963	0.4540091048391208	0.0	0.008660027898966504	0.4400870172704483	True	True	False	False	-0.19095286132122963	0	6
strict_nsclc_swap/tnk/mean	2	GSE207422+GSE253013	author_DRMref+marker_malig	tnk	mean	21	-0.5925280458651199	0.008299335001430345	0.0	-0.19095286132122963	0.4540091048391208	0.0	0.008660027898966504	0.4400870172704483	True	True	False	False	-0.19095286132122963	0	6
marker_malig/tnk/mean	2	GSE207422+GSE253013	marker_malig+marker_malig	tnk	mean	16	-0.4749257554718101	0.2295766635022184	44.316299854798736	-0.10538625955385034	0.7380002827688799	0.0	0.08347212326077624	0.7360876541452614	True	True	False	False	-0.10538625955385034	0	3
marker_malig/tnk/pct	2	GSE207422+GSE253013	marker_malig+marker_malig	tnk	pct	16	-0.5069255070241903	0.4049209220303638	76.89141143601573	-0.34245867946914527	0.2590925517919491	0.0	0.04905427175973757	0.2520527382822124	True	True	False	False	-0.34245867946914527	0	3
marker_malig/tnk/mean	2	GSE207422+GSE291670	marker_malig+marker_malig	tnk	mean	13	-0.2738978641430272	0.45708871420852304	0.0	-0.40959018207265496	0.545011234713181	71.82846402197785	0.4318092940868099	0.35476776142776123	True	False	True	False	-0.2738978641430272	0	3
marker_malig/tnk/pct	2	GSE207422+GSE291670	marker_malig+marker_malig	tnk	pct	13	-0.1136598662463052	0.76263619951485	0.0	-0.5857121048840492	0.3378372059062107	70.30940351192146	0.7458656445563704	0.12417036674263154	True	False	True	False	-0.1136598662463052	0	3
strict_nsclc_swap/tnk/mean	3	GSE205335_NSCLC+GSE131907+GSE325414	author_malig+author_malig+author_malig	tnk	mean	63	-0.03183567243250473	0.8149674785250565	0.0	-0.19179555790626693	0.1535575864006791	0.0	0.8123567792420043	0.15231768100422874	True	False	False	False	-0.03183567243250473	0	6
strict_primary/tnk/mean	3	GSE207422+GSE205335+GSE325414	author_DRMref+author_malig+author_malig	tnk	mean	59	-0.055021273737451824	0.7970238716348306	53.520894102306386	-0.14530267439369995	0.3007768800559648	0.0	0.8997986037851561	0.2950395216325383	True	False	False	False	-0.055021273737451824	0	6
author_or_DRMref/tnk/mean	3	GSE205335+GSE207422+GSE325414	author_malig+author_DRMref+author_malig	tnk	mean	59	-0.055021273737451824	0.7970238716348306	53.520894102306386	-0.14530267439369995	0.3007768800559648	0.0	0.8997986037851561	0.2950395216325383	True	False	False	False	-0.055021273737451824	0	4
strict_primary/tnk/mean	3	GSE207422+GSE131907+GSE325414	author_DRMref+author_malig+author_malig	tnk	mean	58	-0.10785971233956078	0.4862568742257899	13.72851182484382	-0.22076227920175914	0.1161359439986555	0.0	0.4769762992088149	0.11453064426943704	True	False	False	False	-0.10785971233956078	0	6
strict_nsclc_swap/tnk/mean	3	GSE207422+GSE131907+GSE325414	author_DRMref+author_malig+author_malig	tnk	mean	58	-0.10785971233956078	0.4862568742257899	13.72851182484382	-0.22076227920175914	0.1161359439986555	0.0	0.4769762992088149	0.11453064426943704	True	False	False	False	-0.10785971233956078	0	6
author_or_DRMref/tnk/mean	3	GSE131907+GSE207422+GSE325414	author_malig+author_DRMref+author_malig	tnk	mean	58	-0.10785971233956078	0.4862568742257899	13.72851182484382	-0.22076227920175914	0.1161359439986555	0.0	0.4769762992088149	0.11453064426943704	True	False	False	False	-0.10785971233956078	0	4
strict_primary/tnk/mean	3	GSE205335+GSE253013+GSE325414	author_malig+marker_malig+author_malig	tnk	mean	56	-0.13733135995094545	0.6243636629027438	69.5164907580877	-0.18046788197815955	0.2109615536673547	0.0	0.8420585279689046	0.20398659311948542	True	False	False	False	-0.13733135995094545	0	6
strict_primary/tnk/mean	3	GSE253013+GSE131907+GSE325414	marker_malig+author_malig+author_malig	tnk	mean	55	-0.1889641479966902	0.4125257943772287	54.95639106177268	-0.2603327049759952	0.07072247185845405	0.0	0.42131759934727686	0.06859156552942919	True	False	False	False	-0.1889641479966902	0	6
strict_nsclc_swap/tnk/mean	3	GSE253013+GSE131907+GSE325414	marker_malig+author_malig+author_malig	tnk	mean	55	-0.1889641479966902	0.4125257943772287	54.95639106177268	-0.2603327049759952	0.07072247185845405	0.0	0.42131759934727686	0.06859156552942919	True	False	False	False	-0.1889641479966902	0	6
strict_nsclc_swap/tnk/mean	3	GSE207422+GSE205335_NSCLC+GSE325414	author_DRMref+author_malig+author_malig	tnk	mean	54	-0.1762401035139781	0.23219317755388225	0.0	-0.08347054190338687	0.5746316858125378	0.0	0.22804882537482263	0.5690550568492339	True	False	False	False	-0.08347054190338687	0	6
strict_primary/tnk/mean	3	GSE205335+GSE253013+GSE131907	author_malig+marker_malig+author_malig	tnk	mean	52	-0.08490447042403744	0.7706522230309083	69.45971791779577	-0.30366317013962907	0.03977436684787714	0.0	0.7886266051338962	0.038258094692335896	True	False	False	False	-0.08490447042403744	0	6
strict_primary/tnk/mean	3	GSE291670+GSE131907+GSE325414	marker_malig+author_malig+author_malig	tnk	mean	52	-0.04552965249276671	0.7651197754561827	0.0	-0.35526753252872106	0.08307384397690497	39.3100053600567	0.7533853588349447	0.036225398368136076	True	False	True	False	-0.04552965249276671	0	6
strict_nsclc_swap/tnk/mean	3	GSE291670+GSE131907+GSE325414	marker_malig+author_malig+author_malig	tnk	mean	52	-0.04552965249276671	0.7651197754561827	0.0	-0.35526753252872106	0.08307384397690497	39.3100053600567	0.7533853588349447	0.036225398368136076	True	False	True	False	-0.04552965249276671	0	6
strict_primary/tnk/pct	3	GSE205335+GSE253013+GSE131907	author_malig+marker_malig+author_malig	tnk	pct	52	-0.2932422757108408	0.3793749804041532	77.96702981842165	-0.48657558165555015	0.000490856413922465	0.0	0.397829835555788	0.0005220888946569729	True	False	True	False	-0.2932422757108408	0	4
strict_nsclc_swap/tnk/mean	3	GSE205335_NSCLC+GSE253013+GSE325414	author_malig+marker_malig+author_malig	tnk	mean	51	-0.24959196472176842	0.23019569428015985	41.254376476277585	-0.11905009782720546	0.438216119887722	0.0	0.1864644047971168	0.42913145082571635	True	False	False	False	-0.11905009782720546	0	6
strict_nsclc_swap/tnk/mean	3	GSE207422+GSE205335_NSCLC+GSE131907	author_DRMref+author_malig+author_malig	tnk	mean	50	-0.12732399761826507	0.446434213801546	12.59736055400111	-0.2084057072391998	0.17564485487546178	0.0	0.43837921932983237	0.17429215696083433	True	False	False	False	-0.12732399761826507	0	6
