n_pre	n_post	median_pre	median_post	delta_post_minus_pre	U	p	direction	test	note	accession	contrast	gene	metric	compartment	pairing	n_pre_patients	n_post_patients	pre_patients	post_patients	design_note
2	7	965.7434299202564	870.4934993047914	-95.24993061546502	6.0	0.8888888888888888	down	Mann-Whitney U (unpaired)		GSE207422	mal_all_post_vs_pre	TACSTD2	pb_cpm	malignant-like	unmatched	2	7	P01,P05	P03,P04,P07,P09,P10,P12,P15	unmatched; ≥10 malignant-like (epithelial minus alveolar/club/ciliated)
2	7	1.4674728462633264	1.342258099650346	-0.1252147466129805	8.0	0.8888888888888888	down	Mann-Whitney U (unpaired)		GSE207422	mal_all_post_vs_pre	CLDN4	mean_log1p_cp10k	malignant-like	unmatched	2	7	P01,P05	P03,P04,P07,P09,P10,P12,P15	unmatched; ≥10 malignant-like (epithelial minus alveolar/club/ciliated)
2	7	73.36701791510671	80.08241758241759	6.7153996673108765	5.0	0.6666666666666666	up	Mann-Whitney U (unpaired)		GSE207422	mal_all_post_vs_pre	CLDN4	pct_pos	malignant-like	unmatched	2	7	P01,P05	P03,P04,P07,P09,P10,P12,P15	unmatched; ≥10 malignant-like (epithelial minus alveolar/club/ciliated)
2	7	858.1796332194037	646.9376069732215	-211.24202624618226	9.0	0.6666666666666666	down	Mann-Whitney U (unpaired)		GSE207422	mal_all_post_vs_pre	CLDN4	pb_cpm	malignant-like	unmatched	2	7	P01,P05	P03,P04,P07,P09,P10,P12,P15	unmatched; ≥10 malignant-like (epithelial minus alveolar/club/ciliated)
2	6	1.813206747176458	1.9548695719237124	0.14166282474725445	5.0	0.8571428571428571	up	Mann-Whitney U (unpaired)		GSE207422	mal_nmpr_post_vs_pre	TACSTD2	mean_log1p_cp10k	malignant-like	unmatched	2	6	P01,P05	P04,P07,P09,P10,P12,P15	unmatched pre vs NMPR post; ≥10 malignant-like
2	6	82.57741509235233	87.37726098191214	4.799845889559819	4.0	0.6428571428571428	up	Mann-Whitney U (unpaired)		GSE207422	mal_nmpr_post_vs_pre	TACSTD2	pct_pos	malignant-like	unmatched	2	6	P01,P05	P04,P07,P09,P10,P12,P15	unmatched pre vs NMPR post; ≥10 malignant-like
2	6	965.7434299202564	999.382646831773	33.63921691151654	4.0	0.6428571428571428	up	Mann-Whitney U (unpaired)		GSE207422	mal_nmpr_post_vs_pre	TACSTD2	pb_cpm	malignant-like	unmatched	2	6	P01,P05	P04,P07,P09,P10,P12,P15	unmatched pre vs NMPR post; ≥10 malignant-like
2	6	1.4674728462633264	1.5260534141973632	0.058580567934036765	7.0	0.8571428571428571	up	Mann-Whitney U (unpaired)		GSE207422	mal_nmpr_post_vs_pre	CLDN4	mean_log1p_cp10k	malignant-like	unmatched	2	6	P01,P05	P04,P07,P09,P10,P12,P15	unmatched pre vs NMPR post; ≥10 malignant-like
2	6	73.36701791510671	76.74418604651163	3.3771681314049147	4.0	0.6428571428571428	up	Mann-Whitney U (unpaired)		GSE207422	mal_nmpr_post_vs_pre	CLDN4	pct_pos	malignant-like	unmatched	2	6	P01,P05	P04,P07,P09,P10,P12,P15	unmatched pre vs NMPR post; ≥10 malignant-like
2	6	858.1796332194037	678.185359118382	-179.9942741010217	7.0	0.8571428571428571	down	Mann-Whitney U (unpaired)		GSE207422	mal_nmpr_post_vs_pre	CLDN4	pb_cpm	malignant-like	unmatched	2	6	P01,P05	P04,P07,P09,P10,P12,P15	unmatched pre vs NMPR post; ≥10 malignant-like
