family,statistic,outcome,sample,donor,effect
within_fov,spearman,cd8nk_count_100,Lung13,Lung13,-0.03754649104184036
within_fov,spearman,cd8nk_contact_20,Lung13,Lung13,-0.17536252765671678
section_pooled,delta,cd8nk_count_20,Lung5_Rep1,Lung5,-0.4613199259811792
section_pooled,delta,cd8nk_count_40,Lung5_Rep1,Lung5,-1.5709893835092628
section_pooled,delta,cd8nk_count_50,Lung5_Rep1,Lung5,-2.25312779629673
section_pooled,delta,cd8nk_count_80,Lung5_Rep1,Lung5,-4.767432634721725
section_pooled,delta,cd8nk_count_100,Lung5_Rep1,Lung5,-6.666218354213003
section_pooled,delta,cd8nk_contact_20,Lung5_Rep1,Lung5,-0.261632136456729
section_pooled,delta,cd8nk_count_20,Lung5_Rep2,Lung5,-0.5987076489366476
section_pooled,delta,cd8nk_count_40,Lung5_Rep2,Lung5,-1.9961746760715529
section_pooled,delta,cd8nk_count_50,Lung5_Rep2,Lung5,-2.869610847117274
section_pooled,delta,cd8nk_count_80,Lung5_Rep2,Lung5,-5.932988917631235
section_pooled,delta,cd8nk_count_100,Lung5_Rep2,Lung5,-8.190320156324944
section_pooled,delta,cd8nk_contact_20,Lung5_Rep2,Lung5,-0.30300197853606237
section_pooled,delta,cd8nk_count_20,Lung5_Rep3,Lung5,-0.40223204288147046
section_pooled,delta,cd8nk_count_40,Lung5_Rep3,Lung5,-1.3843409947403689
section_pooled,delta,cd8nk_count_50,Lung5_Rep3,Lung5,-1.9812240869983042
section_pooled,delta,cd8nk_count_80,Lung5_Rep3,Lung5,-4.149822732551751
section_pooled,delta,cd8nk_count_100,Lung5_Rep3,Lung5,-5.7757200839185145
section_pooled,delta,cd8nk_contact_20,Lung5_Rep3,Lung5,-0.2324680475442486
section_pooled,delta,cd8nk_count_20,Lung6,Lung6,-0.021416102752972253
section_pooled,delta,cd8nk_count_40,Lung6,Lung6,-0.05534659130681352
section_pooled,delta,cd8nk_count_50,Lung6,Lung6,-0.07005946454347689
section_pooled,delta,cd8nk_count_80,Lung6,Lung6,-0.1260158893282295
section_pooled,delta,cd8nk_count_100,Lung6,Lung6,-0.15303810978295873
section_pooled,delta,cd8nk_contact_20,Lung6,Lung6,-0.016889964850066774
section_pooled,delta,cd8nk_count_20,Lung9_Rep1,Lung9,-0.3877399692709233
section_pooled,delta,cd8nk_count_40,Lung9_Rep1,Lung9,-1.4526925114609464
section_pooled,delta,cd8nk_count_50,Lung9_Rep1,Lung9,-2.163240983527254
section_pooled,delta,cd8nk_count_80,Lung9_Rep1,Lung9,-4.6559278137150475
section_pooled,delta,cd8nk_count_100,Lung9_Rep1,Lung9,-6.589495673877247
section_pooled,delta,cd8nk_contact_20,Lung9_Rep1,Lung9,-0.20854631233403104
section_pooled,delta,cd8nk_count_20,Lung9_Rep2,Lung9,-0.1730496287258743
section_pooled,delta,cd8nk_count_40,Lung9_Rep2,Lung9,-0.5964895424001138
section_pooled,delta,cd8nk_count_50,Lung9_Rep2,Lung9,-0.8730514583407678
section_pooled,delta,cd8nk_count_80,Lung9_Rep2,Lung9,-1.798988681770708
section_pooled,delta,cd8nk_count_100,Lung9_Rep2,Lung9,-2.4576559730542833
section_pooled,delta,cd8nk_contact_20,Lung9_Rep2,Lung9,-0.11405871107048948
section_pooled,delta,cd8nk_count_20,Lung12,Lung12,-0.37802764217547313
section_pooled,delta,cd8nk_count_40,Lung12,Lung12,-1.2052845780829256
section_pooled,delta,cd8nk_count_50,Lung12,Lung12,-1.6573961366220908
section_pooled,delta,cd8nk_count_80,Lung12,Lung12,-2.902814631240057
section_pooled,delta,cd8nk_count_100,Lung12,Lung12,-3.602262699996075
section_pooled,delta,cd8nk_contact_20,Lung12,Lung12,-0.20542702857731399
section_pooled,delta,cd8nk_count_20,Lung13,Lung13,-0.27733452953717114
section_pooled,delta,cd8nk_count_40,Lung13,Lung13,-0.7223999837105388
section_pooled,delta,cd8nk_count_50,Lung13,Lung13,-0.8749548551626161
section_pooled,delta,cd8nk_count_80,Lung13,Lung13,-0.8849474079251678
section_pooled,delta,cd8nk_count_100,Lung13,Lung13,-0.46948496095685854
section_pooled,delta,cd8nk_contact_20,Lung13,Lung13,-0.14840056584054961
section_pooled,spearman,cd8nk_count_20,Lung5_Rep1,Lung5,-0.23469762926332832
section_pooled,spearman,cd8nk_count_40,Lung5_Rep1,Lung5,-0.2713015860713832
section_pooled,spearman,cd8nk_count_50,Lung5_Rep1,Lung5,-0.2659365620045289
section_pooled,spearman,cd8nk_count_80,Lung5_Rep1,Lung5,-0.24322746194469977
section_pooled,spearman,cd8nk_count_100,Lung5_Rep1,Lung5,-0.22478999972220948
section_pooled,spearman,cd8nk_contact_20,Lung5_Rep1,Lung5,-0.2323651711776942
section_pooled,spearman,cd8nk_count_20,Lung5_Rep2,Lung5,-0.2521382624356566
section_pooled,spearman,cd8nk_count_40,Lung5_Rep2,Lung5,-0.26942787809171254
section_pooled,spearman,cd8nk_count_50,Lung5_Rep2,Lung5,-0.25774357604625686
section_pooled,spearman,cd8nk_count_80,Lung5_Rep2,Lung5,-0.22603902463240155
section_pooled,spearman,cd8nk_count_100,Lung5_Rep2,Lung5,-0.20708429108213802
section_pooled,spearman,cd8nk_contact_20,Lung5_Rep2,Lung5,-0.25049441447091453
section_pooled,spearman,cd8nk_count_20,Lung5_Rep3,Lung5,-0.2135146274650621
section_pooled,spearman,cd8nk_count_40,Lung5_Rep3,Lung5,-0.25447225742144153
section_pooled,spearman,cd8nk_count_50,Lung5_Rep3,Lung5,-0.2487084482030014
section_pooled,spearman,cd8nk_count_80,Lung5_Rep3,Lung5,-0.22456646870416558
section_pooled,spearman,cd8nk_count_100,Lung5_Rep3,Lung5,-0.20758535931491295
section_pooled,spearman,cd8nk_contact_20,Lung5_Rep3,Lung5,-0.21187484560489755
section_pooled,spearman,cd8nk_count_20,Lung6,Lung6,-0.02084249045379617
section_pooled,spearman,cd8nk_count_40,Lung6,Lung6,-0.013654969807624163
section_pooled,spearman,cd8nk_count_50,Lung6,Lung6,-0.00654548150995948
section_pooled,spearman,cd8nk_count_80,Lung6,Lung6,-0.0038314257168952886
section_pooled,spearman,cd8nk_count_100,Lung6,Lung6,-0.0011976402995648007
section_pooled,spearman,cd8nk_contact_20,Lung6,Lung6,-0.020752761935295867
section_pooled,spearman,cd8nk_count_20,Lung9_Rep1,Lung9,-0.23741221570633367
section_pooled,spearman,cd8nk_count_40,Lung9_Rep1,Lung9,-0.32186758503200774
section_pooled,spearman,cd8nk_count_50,Lung9_Rep1,Lung9,-0.3330841445330721
section_pooled,spearman,cd8nk_count_80,Lung9_Rep1,Lung9,-0.3251401467503117
section_pooled,spearman,cd8nk_count_100,Lung9_Rep1,Lung9,-0.31083618407924185
section_pooled,spearman,cd8nk_contact_20,Lung9_Rep1,Lung9,-0.2248873474680432
section_pooled,spearman,cd8nk_count_20,Lung9_Rep2,Lung9,-0.13659491145337654
section_pooled,spearman,cd8nk_count_40,Lung9_Rep2,Lung9,-0.183118951845198
section_pooled,spearman,cd8nk_count_50,Lung9_Rep2,Lung9,-0.19148038133724912
section_pooled,spearman,cd8nk_count_80,Lung9_Rep2,Lung9,-0.1897390842934856
section_pooled,spearman,cd8nk_count_100,Lung9_Rep2,Lung9,-0.1795350971456214
section_pooled,spearman,cd8nk_contact_20,Lung9_Rep2,Lung9,-0.1323117739946588
section_pooled,spearman,cd8nk_count_20,Lung12,Lung12,-0.18179245054545629
section_pooled,spearman,cd8nk_count_40,Lung12,Lung12,-0.21267452635221404
section_pooled,spearman,cd8nk_count_50,Lung12,Lung12,-0.20337508465503615
section_pooled,spearman,cd8nk_count_80,Lung12,Lung12,-0.16258807889656005
section_pooled,spearman,cd8nk_count_100,Lung12,Lung12,-0.13904959134436573
section_pooled,spearman,cd8nk_contact_20,Lung12,Lung12,-0.17879065231711017
section_pooled,spearman,cd8nk_count_20,Lung13,Lung13,-0.18088748603407492
section_pooled,spearman,cd8nk_count_40,Lung13,Lung13,-0.15247859057982247
section_pooled,spearman,cd8nk_count_50,Lung13,Lung13,-0.12727143907214583
section_pooled,spearman,cd8nk_count_80,Lung13,Lung13,-0.05972126206602533
section_pooled,spearman,cd8nk_count_100,Lung13,Lung13,-0.02424870793323171
section_pooled,spearman,cd8nk_contact_20,Lung13,Lung13,-0.17217588761620067
