family,statistic,outcome,donor,effect,ci_lo,ci_hi
within_fov,spearman,cd8nk_count_50,Lung9,-0.16258168614367768,-0.18806905766254636,-0.1359013423962048
within_fov,spearman,cd8nk_count_100,Lung9,-0.13285865446241163,-0.15984427716990382,-0.10594456869493331
within_fov,spearman,cd8nk_contact_20,Lung9,-0.11507146547795702,-0.13471081003129579,-0.0958969815118098
within_fov,spearman,cd8nk_count_50,Lung12,-0.19539288019036224,-0.22845727717609499,-0.16351069872145013
within_fov,spearman,cd8nk_count_100,Lung12,-0.15128700024215622,-0.1823880066546215,-0.12118212269474253
within_fov,spearman,cd8nk_contact_20,Lung12,-0.17166061440740757,-0.1990306321834176,-0.14516499023393065
within_fov,spearman,cd8nk_count_50,Lung13,-0.13620563500740682,-0.16524929599492455,-0.10972473168685144
within_fov,spearman,cd8nk_count_100,Lung13,-0.03754649104184036,-0.06922956986273346,-0.0032922945115211374
within_fov,spearman,cd8nk_contact_20,Lung13,-0.17536252765671678,-0.2050255041598856,-0.14801392190050278
section_pooled,delta,cd8nk_count_50,Lung5,-2.3679875768041025,-2.6086582096372695,-2.100225029112702
section_pooled,delta,cd8nk_count_100,Lung5,-6.8774195314854865,-7.802514559557222,-5.867862599040635
section_pooled,delta,cd8nk_contact_20,Lung5,-0.26570072084568,-0.2784319216355286,-0.24888866901677978
section_pooled,delta,cd8nk_count_50,Lung6,-0.07005946454347689,-0.16003186757094387,0.005765826552838855
section_pooled,delta,cd8nk_count_100,Lung6,-0.15303810978295873,-0.4843587559069569,0.15400094905097408
section_pooled,delta,cd8nk_contact_20,Lung6,-0.016889964850066774,-0.028746156451362456,-0.006898391566797336
section_pooled,delta,cd8nk_count_50,Lung9,-1.5181462209340109,-1.9278603192408268,-1.0551481024591551
section_pooled,delta,cd8nk_count_100,Lung9,-4.523575823465765,-5.998667675315728,-2.899324787369322
section_pooled,delta,cd8nk_contact_20,Lung9,-0.16130251170226026,-0.1972375511549664,-0.12052502964529144
section_pooled,delta,cd8nk_count_50,Lung12,-1.6573961366220908,-2.1598740335056794,-1.2244283331246504
section_pooled,delta,cd8nk_count_100,Lung12,-3.602262699996075,-5.239010766266645,-2.284576325794229
section_pooled,delta,cd8nk_contact_20,Lung12,-0.20542702857731399,-0.23775648475422176,-0.17505542209006572
section_pooled,delta,cd8nk_count_50,Lung13,-0.8749548551626161,-1.127490925311583,-0.61946106978432
section_pooled,delta,cd8nk_count_100,Lung13,-0.46948496095685854,-1.3769061963720155,0.5942918614338902
section_pooled,delta,cd8nk_contact_20,Lung13,-0.14840056584054961,-0.18121251512890696,-0.11702966125830876
section_pooled,spearman,cd8nk_count_50,Lung5,-0.25746286208459573,,
section_pooled,spearman,cd8nk_count_100,Lung5,-0.21315321670642015,,
section_pooled,spearman,cd8nk_contact_20,Lung5,-0.23157814375116878,,
section_pooled,spearman,cd8nk_count_50,Lung6,-0.00654548150995948,,
section_pooled,spearman,cd8nk_count_100,Lung6,-0.0011976402995648007,,
section_pooled,spearman,cd8nk_contact_20,Lung6,-0.020752761935295867,,
section_pooled,spearman,cd8nk_count_50,Lung9,-0.2622822629351606,,
section_pooled,spearman,cd8nk_count_100,Lung9,-0.24518564061243164,,
section_pooled,spearman,cd8nk_contact_20,Lung9,-0.178599560731351,,
section_pooled,spearman,cd8nk_count_50,Lung12,-0.20337508465503615,,
section_pooled,spearman,cd8nk_count_100,Lung12,-0.13904959134436573,,
section_pooled,spearman,cd8nk_contact_20,Lung12,-0.17879065231711017,,
section_pooled,spearman,cd8nk_count_50,Lung13,-0.12727143907214583,,
section_pooled,spearman,cd8nk_count_100,Lung13,-0.02424870793323171,,
section_pooled,spearman,cd8nk_contact_20,Lung13,-0.17217588761620067,,
