patient_id,gene,est_counts
2849,CXCL13,74.0
2849,CXCL9,1195.0
2849,EPCAM,2934.75603
2849,FOXA1,211.000320782
2849,GATA3,1233.0
2849,GZMA,142.0
2849,KRT20,70.0
2849,KRT5,54482.2583
2849,PRF1,552.0
2849,TACSTD2,11320.0
2849,TGFB1,7331.53
2849,UPK2,167.9995
2937,CD274,72.99996
2937,CD8A,44.00198
2937,CDH1,1208.21776004
2937,CLDN4,227.52128
2937,CXCL13,41.99997
2937,CXCL9,147.0
2937,EPCAM,131.99996
2937,FOXA1,694.000101718
2937,GATA3,1034.0
2937,GZMA,51.0
2937,KRT20,1060.0
2937,KRT5,4307.7561
2937,PRF1,159.9997
2937,TACSTD2,1296.0
2937,TGFB1,368.0586
2937,UPK2,334.0
3529,CD274,161.0
3529,CD8A,100.0
3529,CDH1,4205.6802
3529,CLDN4,4542.031052
3529,CXCL13,60.0
3529,CXCL9,109.0
3529,EPCAM,514.00014
3529,FOXA1,1273.0006
3529,GATA3,1215.0
3529,GZMA,66.0
3529,KRT20,1036.99978
3529,KRT5,767.91262
3529,PRF1,256.0002
3529,TACSTD2,4759.0
3529,TGFB1,1544.9714
3529,UPK2,208.9999
5037,CD274,97.999967
5037,CD8A,35.0
5037,CDH1,3092.4171
5037,CLDN4,1111.7164244
5037,CXCL13,7.0
5037,CXCL9,6.0
5037,EPCAM,394.9995
5037,FOXA1,3928.00224
5037,GATA3,7343.99852
5037,GZMA,47.0
5037,KRT20,388.0
5037,KRT5,4406.97634
5037,PRF1,911.0
5037,TACSTD2,10874.0
5037,TGFB1,3470.991
5037,UPK2,465.00032
5122,CD274,173.999941908
5122,CD8A,14.06674
5122,CDH1,2503.9898
5122,CLDN4,347.751208
5122,CXCL13,18.0
5122,CXCL9,99.0
5122,EPCAM,2096.001
5122,FOXA1,646.99976
5122,GATA3,158.0
5122,GZMA,5.0
5122,KRT20,3.0
5122,KRT5,4812.8743
5122,PRF1,32.0000000103
5122,TACSTD2,666.0
5122,TGFB1,818.672
5122,UPK2,7.0
5338,CD274,151.0
5338,CD8A,49.00269
5338,CDH1,9290.4926
5338,CLDN4,2554.3782202
5338,CXCL13,23.00003
5338,CXCL9,159.0
5338,EPCAM,675.41685
5338,FOXA1,1506.9989
5338,GATA3,1475.0
5338,GZMA,27.0
5338,KRT20,148.00008
5338,KRT5,63826.2195
5338,PRF1,248.0
5338,TACSTD2,12046.0
5338,TGFB1,3200.586
5338,UPK2,173.9999
6229,CD274,124.0
6229,CD8A,152.99992
6229,CDH1,5070.3873
6229,CLDN4,3647.90056355
6229,CXCL13,55.0
6229,CXCL9,203.0
6229,EPCAM,1643.7547
6229,FOXA1,3023.99595
6229,GATA3,6429.99063
6229,GZMA,151.0
6229,KRT20,197.0
6229,KRT5,750.52937
6229,PRF1,245.0
6229,TACSTD2,8156.0
6229,TGFB1,3157.1494
6229,UPK2,979.0
6428,CD274,27.0
6428,CD8A,40.99999
6428,CDH1,493.536
6428,CLDN4,498.18864
6428,CXCL13,22.00004
6428,CXCL9,83.0
6428,EPCAM,124.51995
6428,FOXA1,233.00002658
6428,GATA3,308.0004
6428,GZMA,22.0
6428,KRT20,75.0
6428,KRT5,224.177987
6428,PRF1,178.0
6428,TACSTD2,753.0
6428,TGFB1,1078.03369
6428,UPK2,152.9998
6800,CD274,31.00002196
6800,CD8A,9.0
6800,CDH1,1844.99987
6800,CLDN4,1038.00397848
6800,CXCL13,6.0
6800,CXCL9,70.0
6800,EPCAM,267.99974
6800,FOXA1,497.9998
6800,GATA3,1099.0
6800,GZMA,12.0
6800,KRT20,824.0008
6800,KRT5,482.81927
6800,PRF1,17.0000000473
6800,TACSTD2,1722.0
6800,TGFB1,163.15537
6800,UPK2,1753.997
7577,CD274,12.0
7577,CD8A,87.99997
7577,CDH1,544.04937
7577,CLDN4,1305.45466212
7577,CXCL13,9.0
7577,CXCL9,87.0
7577,EPCAM,65.93662
7577,FOXA1,201.00000571
7577,GATA3,405.9999
7577,GZMA,34.0
7577,KRT20,13.0
7577,KRT5,465.7275
7577,PRF1,131.0
7577,TACSTD2,1225.0
7577,TGFB1,579.1015
7577,UPK2,126.0002
7729,CD274,6.0
7729,CD8A,2.0
7729,CDH1,212.74277
7729,CLDN4,96.53492
7729,CXCL13,2.0
7729,CXCL9,57.0
7729,EPCAM,80.5479
7729,FOXA1,63.0
7729,GATA3,154.9996
7729,GZMA,40.0
7729,KRT20,91.99992
7729,KRT5,198.000169135
7729,PRF1,13.0
7729,TACSTD2,195.0
7729,TGFB1,172.0
7729,UPK2,30.00002
8728,CD274,125.9999
8728,CD8A,119.00003
8728,CDH1,1261.21038
8728,CLDN4,4227.5701
8728,CXCL13,10.0
8728,CXCL9,89.0
8728,EPCAM,1177.8614
8728,FOXA1,1049.99975
8728,GATA3,1125.999
8728,GZMA,75.0
8728,KRT20,1756.9992
8728,KRT5,3001.93671
8728,PRF1,262.0
8728,TACSTD2,3244.0
8728,TGFB1,2670.347
8728,UPK2,121.99986
9517,CD274,105.0001
9517,CD8A,38.99997
9517,CDH1,24380.92523
9517,CLDN4,7287.71914
9517,CXCL13,30.0
9517,CXCL9,51.0
9517,EPCAM,1900.9998
9517,FOXA1,8053.0046
9517,GATA3,7397.006
9517,GZMA,30.0
9517,KRT20,368.00078
9517,KRT5,8638.32017
9517,PRF1,51.0
9517,TACSTD2,30437.0
9517,TGFB1,3900.887
9517,UPK2,3925.996
9723,CD274,43.0
9723,CD8A,42.00056
9723,CDH1,2669.43522
9723,CLDN4,1742.45876
9723,CXCL13,31.0
9723,CXCL9,251.0
9723,EPCAM,372.0007
9723,FOXA1,981.0004
9723,GATA3,1683.9987
9723,GZMA,9.0
9723,KRT20,78.00004
9723,KRT5,4515.71788
9723,PRF1,243.00000003
9723,TACSTD2,3214.0
9723,TGFB1,1524.8815
9723,UPK2,132.0
9881,CD274,101.99993
9881,CD8A,38.00001
9881,CDH1,577.4354
9881,CLDN4,434.595698
9881,CXCL13,2.000003
9881,CXCL9,0.0
9881,EPCAM,40.99999
9881,FOXA1,252.9998
9881,GATA3,237.0
9881,GZMA,1.0
9881,KRT20,207.0
9881,KRT5,734.44932
9881,PRF1,326.99986
9881,TACSTD2,948.0
9881,TGFB1,1988.47265
9881,UPK2,189.99976
