accession	bioproject	access	is_controlled	title	organization	release_time_string	study_type_id	url
HRA001751	PRJCA007748	Controlled	1	Single-cell Analysis of Human Lung with Pneumocystis Pneumonia(PCP)	Sichuan Academy of Medical Sciences and Sichuan Provincial People's Hospital	2022-05-09	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001751
HRA001764	PRJCA007767	Controlled	1	Single-cell dissection of host responses in patients with liver alveolar echinococcosis	Sichuan Academy of Medical Sciences and Sichuan Provincial People's Hospital	2022-01-05	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001764
HRA002376	PRJCA005950	Controlled	1	Single-Cell Analyses Reveals Therapeutic Potentials and Global Characterization of Tumor Microenvironment for Preinvasive Lung Adenocarcinoma	Guangdong Lung Cancer Institute	2024-11-08	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002376
HRA002473	PRJCA009786	Controlled	1	Single-cell transcriptomics of immune cells reveal diversity and exhaustion signatures in non-small-cell lung cancer	West China Hospital Sichuan University	2026-08-27	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002473
HRA002501	PRJCA009911	Controlled	1	Single-cell RNA sequencing of peripheral blood from patients with high-altitude pulmonary hypertension (HAPH) reveals a distinct monocyte phenotype	The first Affiliated Hospital of Dali University	2026-02-24	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002501
HRA002509	PRJCA009862	Controlled	1	Microenvironment compartmentalization of NSCLC after immunotherapy revealed by single-cell and spatial transcriptomic analyses	Shanghai Pulmonary Hospital Tongji University	2026-09-17	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002509
HRA002721	PRJCA010708	Controlled	1	Integrated single-cell transcriptome analysis reveals cellular architecture of human lung cancer-associated brain metastasis	Huazhong University of Science and Technology Union Shenzhen Hospital	2022-08-04	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002721
HRA002953	PRJCA011144	Controlled	1	single-cell RNA sequencing analysis of lung adenocarcinoma in never-smokers	Frontiers Science Center for Disease-related Molecular Networks, West China Hospital, Sichuan University, Chengdu, Sichuan, China	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002953
HRA002992	PRJCA011716	Controlled	1	Single cell study of non-smoking lung adenocarcinoma	Frontiers Science Center for Disease-related Molecular Networks, West China Hospital, Sichuan University, Chengdu, Sichuan, China	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002992
HRA003133	PRJCA011952	Controlled	1	Spatial transcriptomics sequencing reveals tissue architecture in lung adenocarcinomas	Nantong University	2024-06-11	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003133
HRA003150	PRJCA011153	Controlled	1	Alterations of Single-cell Transcriptome Profile of Small Cell Lung Cancer after Chemotherapy.	Frontiers Science Center for Disease-related Molecular Networks, West China Hospital, Sichuan University, Chengdu, Sichuan, China	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003150
HRA003574	PRJCA013611	Controlled	1	Single-cell transcriptomic sequencing of adipose tissues from patients with lung cancer induced cachexia	Peking University	2026-08-13	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003574
HRA003685	PRJCA014027	Controlled	1	Single-cell profiling reveals the trajectory of FOLR2-expressing tumor-associated macrophages to regulatory T cells in the progression of lung adenocarcinoma	Shanghai Chest Hospital, Shanghai Jiao Tong University	2025-11-08	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003685
HRA003826	PRJCA014495	Controlled	1	scRNA-seq and spatial transcriptomics of 20 early-stage lung adenocarcinoma	Guangdong Provincial People's Hospital	2025-09-12	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003826
HRA004142	PRJCA015093	Controlled	1	A single-cell transcriptomic atlas of the lungs of patients with pulmonary tuberculosis	Institute of Zoology, Chinese Academy of Sciences	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004142
HRA004390	PRJCA016296	Controlled	1	Single-cell RNA-seq of peripheral blood mono nuclear cells (PBMCs) from 26 donors and 5 NSCLC cell lines	Shanghai Jiaotong University School of Medicine	2026-07-06	4	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004390
HRA004391	PRJCA016193	Controlled	1	Single-cell landscape of lung adenocarcinoma accepting neoadjuvant immunotherapy	National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences	2026-09-03	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004391
HRA004495	PRJCA016559	Controlled	1	spatial transcriptome sequencing for lung cancer	Shandong Cancer Hospital and Institute, Shandong First Medical University and Shandong Academy of Medical Sciences	2026-09-04	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004495
HRA005270	PRJCA018933	Controlled	1	Single-Cell RNA Sequencing Revealls Distinct Tumor Microenvironment of ground glass nodules and solid nodules in lung adenocarcinoma	Jiangyin Clinical College of Xuzhou Medical University	2023-08-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005270
HRA005794	PRJCA019737	Controlled	1	Single-cell RNAseq on sub-solid pulmonary nodule cases by surgical specimen	Zhongshan Hospital, Fudan University	2026-09-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005794
HRA005869	PRJCA019400	Controlled	1	single-cell RNA sequencing of Cerebrospinal fluid from CNS metastases in NSCLC	Guangdong Provincial People’s Hospital (Guangdong Academy of Medical Sciences), Southern Medical University	2026-09-02	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005869
HRA005948	PRJCA020608	Controlled	1	High throughput single cell transcriptome sequencing of PBMC and epithelial cells of lung cancer patients	Fudan University	2026-09-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005948
HRA006097	PRJCA021539	Controlled	1	Single-cell RNA sequencing of  the primary tumor and lung metastases in a patient with advanced lung adenocarcinoma	The Fourth Affiliated Hospital of China Medical University	2023-12-23	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006097
HRA006426	PRJCA022088	Controlled	1	scRNA-seq data of lung metastatic MDA-MB-231	Chongqing Medical University	2026-01-09	3	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006426
HRA006493	PRJCA022724	Controlled	1	Single-cell RNA-seq of non-small cell lung cancer in response to neoadjuvant combinational immunotherapies	Shanghai Pulmonary Hospital Tongji University	2026-09-17	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006493
HRA006761	PRJCA023797	Controlled	1	Single-cell transcriptomics of malignant pleural effusion in patients with advanced non-small-cell lung cancer	Shanghai Pulmonary Hospital	2025-03-28	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006761
HRA007118	PRJCA024991	Controlled	1	Stereo-seq of non-small-cell lung cancer post neoadjuvant immunotherapy	Tongji University	2026-09-10	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007118
HRA007131	PRJCA023692	Controlled	1	Single cell RNA-seq of small cell lung cancer	Cancer Hospital, Chinese Academy of Medical Sciences	2026-06-30	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007131
HRA007382	PRJCA023692	Controlled	1	Single cell RNA-seq of 5 patients with small cell lung cancer	Cancer Hospital, Chinese Academy of Medical Sciences	2026-06-30	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007382
HRA007510	PRJCA021682	Controlled	1	single cell sequencing of combined small cell lung cancer	Shanghai Jiao Tong University School of Medicine	2026-07-10	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007510
HRA007834	PRJCA027458	Controlled	1	Single-cell and spatial RNA sequencing of lung adenocarcinoma	Frontiers Science Center for Disease-related Molecular Networks, West China Hospital, Sichuan University, Chengdu, Sichuan, China	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007834
HRA008199	PRJCA028438	Controlled	1	Single-Cell RNA sequencing of Lung Nodules and Lung Cancer	Clinical Oncology Center	2024-08-10	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008199
HRA008382	PRJCA023428	Controlled	1	Single-cell sequencing and spatial transcriptomic sequencing of lung adenocarcinoma brain metastasis	Shanghai General Hospital	2026-09-02	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008382
HRA008879	PRJCA030984	Controlled	1	Single-cell dissection of intratumoral heterogeneity and developmental lineages in early-stage lung adenocarcinoma	Shanghai Institute of Nutrition and Health, Chinese Academy of Sciences	2026-07-01	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008879
HRA009058	PRJCA028237	Controlled	1	Single cell sequencing of LUSC	International School of Medicine, Zhejiang University	2026-09-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009058
HRA009412	PRJCA031472	Controlled	1	Spatial transcriptomics elucidate the spatial niche in lung adenocarcinoma	Dalian Medical University	2025-12-22	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009412
HRA009508	PRJCA033055	Controlled	1	Single-cell sequencing data from five NSCLC patients	The First Affiliated Hospital of Zhengzhou University	2026-05-26	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009508
HRA009872	PRJCA034113	Controlled	1	A single cell and spatial transcriptomics atlas of metastasis lymph node and matched primary tumor of non-small cell lung cancer	Dalian University of Technology ' Liaoning cancer hospital and institute'	2026-03-04	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009872
HRA010558	PRJCA036193	Controlled	1	scRNA-seq of DC from NSCLC patients	Xinqiao Hospital, Third Military Medical University	2026-08-24	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010558
HRA010680	PRJCA037102	Controlled	1	Digital spatial transcriptomics analysis reveals specific expression genes associated with radiotherapy resistance in cancer-associated fibroblasts (CAFs) within non-small cell lung cancer (NSCLC).	Shandong Cancer Hospital and Institute, Shandong First Medical University and Shandong Academy of Medical Sciences	2026-09-04	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010680
HRA010788	PRJCA037445	Controlled	1	Single cell RNA-seq and TCR of LUSC patients	International School of Medicine, Zhejiang University	2026-09-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010788
HRA011002	PRJCA037797	Controlled	1	Identification of altered immune landscape at single-cell resolution and its association with poor immune checkpoint inhibitor responses in NSCLC brain metastasis	Shandong Cancer Hospital and Institute	2026-09-13	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011002
HRA011066	PRJCA038410	Controlled	1	Multi-region sequencing data of lung adenocarcinoma (WES, RNA-seq, scRNA-seq)	Institute of Zoology, Chinese Academy of Sciences	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011066
HRA011178	PRJCA038742	Controlled	1	Single-cell RNA landscape of pulmonary aspergillosis in bronchoalveolar lavage fluid	The First Affiliated Hospital of Ningbo University	2025-05-06	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011178
HRA011567	PRJCA038410	Controlled	1	Spatial transcriptomic data (Stereo-seq) of lung adenocarcinoma	Institute of Zoology, Chinese Academy of Sciences	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011567
HRA012741	PRJCA031182	Controlled	1	Lung single-cell eQTL atlas in China	Nanjing Medical University	2026-08-14	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012741
HRA012781	PRJCA043715	Controlled	1	Single-cell RNA sequencing for human idiopathic pulmonary fibrosis	Harbin Medical University	2026-06-22	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012781
HRA012795	PRJCA044380	Controlled	1	Single-cell transcriptome sequencing of tumor and adjacent non-tumor tissues from NSCLC patients	International School of Medicine, Zhejiang University	2026-09-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012795
HRA012808	PRJCA043885	Controlled	1	scRNA-seq of PBMCs from NSCLC patients undergoing immune-related pulmonary toxicity	Nanfang Hospital, Southern Medical University	2026-09-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012808
HRA013276	PRJCA045948	Controlled	1	Single-cell sequencing data of cerebrospinal fluid from lung adenocarcinoma patients with leptomeningeal metastasis before and after intrathecal Pemetrexed treatment	Beijing Chest Hospital	2026-09-08	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013276
HRA013418	PRJCA045081	Controlled	1	PKUPH small cell lung cancer single-cell RNA seq (GEM-X)	Peking University People's Hospital	2026-03-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013418
HRA014692	PRJCA050720	Controlled	1	A Single-Cell Transcriptomic Atlas of the Tumor Microenvironment in Clear Cell Renal Cell Carcinoma with Lung Metastasis	Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China	2025-11-24	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014692
HRA014996	PRJCA050912	Controlled	1	Deciphering the cellular and spatial architecture of lung cancer associated with cystic airspaces through integrated single-cell and spatial transcriptomic atlas	Wenzhou Medical University	2026-09-10	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014996
HRA015262	PRJCA052938	Controlled	1	Single-nucleus RNA Sequencing Atlas of SMARCA4-deficient Lung Adenocarcinoma	Shandong Cancer Hospital and Institute	2026-07-31	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015262
HRA015375	PRJCA053031	Controlled	1	Spatial Transcriptomics Reveals Molecular Heterogeneity and Subtype-Specific Therapeutic Targets in Small Cell Lung Cancer	National Cancer Center/Cancer Hospital, Chinese Academy of Medical Sciences	2025-12-15	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015375
HRA016650	PRJCA057037	Controlled	1	scRNA-seq of lung adenocarcinoma	First Hospital, Peking University	2026-08-11	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016650
HRA017905	PRJCA061385	Controlled	1	scRNA-seq of lung cancer tissues	The First Affiliated Hospital of Chongqing Medical University	2026-09-17	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017905
HRA018929	PRJCA038410	Controlled	1	Single-cell RNA sequencing data of lung adenocarcinoma	Institute of Zoology, Chinese Academy of Sciences	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018929
HRA018933	PRJCA038410	Controlled	1	Spatial transcriptomic data (Stereo-seq) of lung adenocarcinoma, batch 2	Institute of Zoology, Chinese Academy of Sciences	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018933
HRA009335	PRJCA031820	Open	0	Single-cell analysis reveals transcriptomic features and therapeutic targets in primary pulmonary lymphoepithelioma-like carcinoma.	Sun Yat-sen Memorial Hospital, Sun Yat-sen University	2026-05-07	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009335
HRA011368	PRJCA038849	Open	0	Single nucleus RNA sequencing data from human fetal lung tissue of twin-twin transfusion syndrome	Institute of Pediatrics	2026-09-13	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011368
