gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
ANO6	-0.5465151217806596	4.007963497794365	-1.369689003783011	0.22909325821431573	0.3990067236220871	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
MAML3	1.305284852987814	2.657437092059148	1.3695049958424432	0.22914697889333507	0.9531070400987296	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
JAM2	-2.026698638067576	2.3046446929992124	-1.3693370890871404	0.2291960091791659	1.4800582370982602	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	TJ
GSS	-0.3346825487763186	4.7662044923400595	-1.3692974079917446	0.22920759785400419	0.24441917937110152	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
MUC12	-1.0955273167529487	1.3845036826165962	-1.3688215529315089	0.2293466118720646	0.8003434154048311	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
FAAP24	0.9687867383661738	1.888836016693329	1.3686730827925142	0.22939000140797342	0.7078291745093362	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RNF146	0.9370201732767194	4.1686741049948495	1.3685390137315403	0.22942918892621128	0.6846864896615437	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
LMBR1	0.5773868007082676	3.4659683725843466	1.3683165145323282	0.22949423785512943	0.4219687437636537	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
TMEM134	0.30736324060585896	5.870046214112632	1.3681859705016712	0.22953241120733467	0.2246501917375738	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ATG3	-0.5754685625247349	5.417481572742742	-1.3679911182774185	0.229589400472526	0.4206668850667451	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
DPP9	0.7130372000671772	4.328474314451915	1.3679702779669793	0.22959549651270775	0.5212373481731368	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PTPRA	0.9756817482104627	4.599172948486236	1.3675738779869295	0.2297114771485365	0.7134398835159586	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RPL10	-0.3284067720262224	12.544251309443398	-1.3671098749956399	0.22984730717506016	0.24021973510159145	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ZNF799	0.773664745427398	1.7220973978438419	1.367061602086617	0.22986144267959258	0.5659326136046199	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
GGA3	0.6210102343235427	3.429586506545406	1.3669734168272518	0.22988726761380235	0.45429576513997527	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
FAM189A2	1.536985019782231	1.5184311985357173	1.3668921619170011	0.22991106541199813	1.124437656900953	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
FAM135A	0.6837331136223965	2.9874561556033243	1.3667055401077801	0.22996573162829104	0.5002782922563381	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
TYW1	0.5895082262739544	3.3491043769859603	1.3666574894893084	0.22997980883365304	0.4313503791606494	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
IZUMO4	0.5522025780175982	2.580685762909082	1.3663837171394586	0.2300600302797478	0.4041343372955594	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ATP5J2	0.46309686270706685	8.229798883078129	1.3663146753079027	0.23008026522715289	0.3389386581848041	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RPL26L1	-0.3302047929671049	5.87935976553573	-1.3661582871235929	0.23012610602351188	0.24170317310912898	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
