dataset	gene	source
GSE123902	NLRP4	absent:10/13;official:3/13
GSE123902	STAT6	official:13/13
GSE123902	STING1	alias:TMEM173:13/13
GSE123902	TBK1	official:13/13
GSE123902	TREX1	absent:13/13
GSE123902	AARS2	official:13/13
GSE123902	AKT1	official:13/13
GSE123902	AURKB	official:13/13
GSE123902	BANF1	official:13/13
GSE123902	BTK	official:13/13
GSE123902	ENPP3	absent:3/13;official:10/13
GSE123902	IRGM	absent:4/13;official:9/13
GSE123902	LYPLAL1	official:13/13
GSE123902	MAP3K7	official:13/13
GSE123902	MARCHF5	alias:MARCH5:13/13
GSE123902	MIR4691	absent:13/13
GSE123902	PARP1	official:13/13
GSE123902	PCBP2	official:13/13
GSE123902	PPP6C	official:13/13
GSE123902	RELA	official:13/13
GSE123902	RNF39	absent:2/13;official:11/13
GSE123902	SLC19A1	official:13/13
GSE123902	SMPDL3A	official:13/13
GSE123902	SPSB3	official:13/13
GSE123902	TAB1	official:13/13
GSE123902	ZDHHC18	official:13/13
GSE123902	ZDHHC9	official:13/13
GSE189357	ADAR	official:9/9
GSE189357	APOL6	official:9/9
GSE189357	ARID5B	official:9/9
GSE189357	ARL4A	official:9/9
GSE189357	AUTS2	official:9/9
GSE189357	B2M	official:9/9
GSE189357	BANK1	official:9/9
GSE189357	BATF2	official:9/9
GSE189357	BPGM	official:9/9
GSE189357	BST2	official:9/9
GSE189357	BTG1	official:9/9
GSE189357	C1R	official:9/9
GSE189357	C1S	official:9/9
GSE189357	CASP1	official:9/9
GSE189357	CASP3	official:9/9
GSE189357	CASP4	official:9/9
GSE189357	CASP7	official:9/9
GSE189357	CASP8	official:9/9
GSE189357	CCL2	official:9/9
GSE189357	CCL5	official:9/9
GSE189357	CCL7	official:9/9
GSE189357	CCRL2	official:9/9
GSE189357	CD274	official:9/9
GSE189357	CD38	official:9/9
GSE189357	CD40	official:9/9
GSE189357	CD47	official:9/9
GSE189357	CD69	official:9/9
GSE189357	CD74	official:9/9
GSE189357	CD86	official:9/9
GSE189357	CDKN1A	official:9/9
GSE189357	CFB	official:9/9
GSE189357	CFH	official:9/9
GSE189357	CIITA	official:9/9
GSE189357	CMKLR1	official:9/9
GSE189357	CMPK2	official:9/9
GSE189357	CMTR1	official:9/9
GSE189357	CNP	official:9/9
GSE189357	CSF1	official:9/9
GSE189357	CSF2RB	official:9/9
GSE189357	CXCL10	official:9/9
GSE189357	CXCL11	official:9/9
GSE189357	CXCL9	official:9/9
GSE189357	DDX58	official:9/9
GSE189357	DDX60	official:9/9
GSE189357	DHX58	official:9/9
GSE189357	EIF2AK2	official:9/9
GSE189357	EIF4E3	official:9/9
GSE189357	ELF1	official:9/9
GSE189357	EPSTI1	official:9/9
GSE189357	FAS	official:9/9
GSE189357	FCGR1A	official:9/9
GSE189357	FGL2	official:9/9
GSE189357	FPR1	official:9/9
GSE189357	GBP2	official:9/9
GSE189357	GBP4	official:9/9
GSE189357	GBP6	official:9/9
GSE189357	GCH1	official:9/9
GSE189357	GMPR	official:9/9
GSE189357	GPR18	official:9/9
GSE189357	GZMA	official:9/9
GSE189357	HELZ2	official:9/9
GSE189357	HERC6	official:9/9
GSE189357	HIF1A	official:9/9
GSE189357	HLA-A	official:9/9
GSE189357	HLA-B	official:9/9
GSE189357	HLA-C	official:9/9
GSE189357	HLA-DMA	official:9/9
GSE189357	HLA-DQA1	official:9/9
GSE189357	HLA-DRB1	official:9/9
GSE189357	HLA-G	official:9/9
GSE189357	ICAM1	official:9/9
GSE189357	IDO1	official:9/9
GSE189357	IFI27	official:9/9
GSE189357	IFI30	official:9/9
GSE189357	IFI35	official:9/9
GSE189357	IFI44	official:9/9
GSE189357	IFI44L	official:9/9
GSE189357	IFIH1	official:9/9
GSE189357	IFIT1	official:9/9
GSE189357	IFIT2	official:9/9
GSE189357	IFIT3	official:9/9
GSE189357	IFITM1	official:9/9
GSE189357	IFITM2	official:9/9
GSE189357	IFITM3	official:9/9
GSE189357	IFNAR2	official:9/9
GSE189357	IL10RA	official:9/9
GSE189357	IL15	official:9/9
GSE189357	IL15RA	official:9/9
GSE189357	IL18BP	official:9/9
GSE189357	IL2RB	official:9/9
GSE189357	IL4R	official:9/9
GSE189357	IL6	official:9/9
GSE189357	IL7	official:9/9
GSE189357	IRF1	official:9/9
GSE189357	IRF2	official:9/9
GSE189357	IRF4	official:9/9
GSE189357	IRF5	official:9/9
GSE189357	IRF7	official:9/9
GSE189357	IRF8	official:9/9
GSE189357	IRF9	official:9/9
GSE189357	ISG15	official:9/9
GSE189357	ISG20	official:9/9
GSE189357	ISOC1	official:9/9
GSE189357	ITGB7	official:9/9
GSE189357	JAK2	official:9/9
GSE189357	KLRK1	official:9/9
GSE189357	LAMP3	official:9/9
GSE189357	LAP3	official:9/9
GSE189357	LATS2	official:9/9
GSE189357	LCP2	official:9/9
GSE189357	LGALS3BP	official:9/9
GSE189357	LPAR6	official:9/9
GSE189357	LY6E	official:9/9
GSE189357	LYSMD2	official:9/9
GSE189357	MARCHF1	alias:MARCH1:9/9
GSE189357	METTL7B	official:9/9
GSE189357	MOV10	official:9/9
GSE189357	MT2A	official:9/9
GSE189357	MTHFD2	official:9/9
GSE189357	MVB12A	official:9/9
GSE189357	MVP	official:9/9
GSE189357	MX1	official:9/9
GSE189357	MX2	official:9/9
GSE189357	MYD88	official:9/9
GSE189357	NAMPT	official:9/9
GSE189357	NCOA3	official:9/9
GSE189357	NCOA7	official:9/9
GSE189357	NFKB1	official:9/9
GSE189357	NFKBIA	official:9/9
GSE189357	NLRC5	official:9/9
GSE189357	NMI	official:9/9
GSE189357	NOD1	official:9/9
GSE189357	NUB1	official:9/9
GSE189357	NUP93	official:9/9
GSE189357	OAS1	official:9/9
GSE189357	OAS2	official:9/9
GSE189357	OAS3	official:9/9
GSE189357	OASL	official:9/9
GSE189357	OGFR	official:9/9
GSE189357	P2RY14	official:9/9
GSE189357	PARP12	official:9/9
GSE189357	PARP14	official:9/9
GSE189357	PARP9	official:9/9
GSE189357	PDE4B	official:9/9
GSE189357	PELI1	official:9/9
GSE189357	PFKP	official:9/9
GSE189357	PIM1	official:9/9
GSE189357	PLA2G4A	official:9/9
GSE189357	PLSCR1	official:9/9
GSE189357	PML	official:9/9
GSE189357	PNP	official:9/9
GSE189357	PNPT1	official:9/9
GSE189357	PROCR	official:9/9
GSE189357	PSMA2	official:9/9
GSE189357	PSMA3	official:9/9
GSE189357	PSMB10	official:9/9
GSE189357	PSMB2	official:9/9
GSE189357	PSMB8	official:9/9
GSE189357	PSMB9	official:9/9
GSE189357	PSME1	official:9/9
GSE189357	PSME2	official:9/9
GSE189357	PTGS2	official:9/9
GSE189357	PTPN1	official:9/9
GSE189357	PTPN2	official:9/9
GSE189357	PTPN6	official:9/9
GSE189357	RAPGEF6	official:9/9
GSE189357	RBCK1	official:9/9
GSE189357	RIPK1	official:9/9
GSE189357	RIPK2	official:9/9
GSE189357	RNF213	official:9/9
GSE189357	RNF31	official:9/9
GSE189357	RSAD2	official:9/9
GSE189357	RTP4	official:9/9
GSE189357	SAMD9	official:9/9
GSE189357	SAMD9L	official:9/9
GSE189357	SAMHD1	official:9/9
GSE189357	SECTM1	official:9/9
GSE189357	SELL	official:9/9
GSE189357	SELP	official:9/9
GSE189357	SERPING1	official:9/9
GSE189357	SLAMF7	official:9/9
GSE189357	SLC25A28	official:9/9
GSE189357	SOCS1	official:9/9
GSE189357	SOCS3	official:9/9
GSE189357	SOD2	official:9/9
GSE189357	SP110	official:9/9
GSE189357	SPPL2A	official:9/9
GSE189357	SRI	official:9/9
GSE189357	SSPN	official:9/9
GSE189357	ST3GAL5	official:9/9
GSE189357	ST8SIA4	official:9/9
GSE189357	STAT1	official:9/9
GSE189357	STAT2	official:9/9
GSE189357	STAT3	official:9/9
GSE189357	STAT4	official:9/9
GSE189357	TAP1	official:9/9
GSE189357	TAPBP	official:9/9
GSE189357	TDRD7	official:9/9
GSE189357	TENT5A	official:9/9
GSE189357	TMEM140	official:9/9
GSE189357	TNFAIP2	official:9/9
GSE189357	TNFAIP3	official:9/9
GSE189357	TNFAIP6	official:9/9
GSE189357	TNFSF10	official:9/9
GSE189357	TOR1B	official:9/9
GSE189357	TRAFD1	official:9/9
GSE189357	TRIM14	official:9/9
GSE189357	TRIM21	official:9/9
GSE189357	TRIM25	official:9/9
GSE189357	TRIM26	official:9/9
GSE189357	TRIM5	official:9/9
GSE189357	TXNIP	official:9/9
GSE189357	UBA7	official:9/9
GSE189357	UBE2L6	official:9/9
GSE189357	UPP1	official:9/9
GSE189357	USP18	official:9/9
GSE189357	VAMP5	official:9/9
GSE189357	VAMP8	official:9/9
GSE189357	VCAM1	official:9/9
GSE189357	WARS1	alias:WARS:9/9
GSE189357	XAF1	official:9/9
GSE189357	XCL1	official:9/9
GSE189357	ZBP1	official:9/9
GSE189357	ZNFX1	official:9/9
GSE189357	ACTR2	official:9/9
GSE189357	APLF	official:9/9
GSE189357	ASTE1	official:9/9
GSE189357	ATM	official:9/9
GSE189357	ATP23	official:9/9
GSE189357	AUNIP	official:9/9
GSE189357	CYREN	official:9/9
GSE189357	DCLRE1A	official:9/9
GSE189357	DCLRE1B	official:9/9
GSE189357	DCLRE1C	official:9/9
GSE189357	DEK	official:9/9
GSE189357	DNTT	official:9/9
GSE189357	ERCC1	official:9/9
GSE189357	ERCC4	official:9/9
GSE189357	ERCC6	official:9/9
GSE189357	ERCC6L2	official:9/9
GSE189357	ERCC8	official:9/9
GSE189357	FH	official:9/9
GSE189357	HELQ	official:9/9
GSE189357	HMCES	official:9/9
GSE189357	HMGA2	official:9/9
GSE189357	HMGB1	official:9/9
GSE189357	HMGB2	official:9/9
GSE189357	HSF1	official:9/9
GSE189357	IFFO1	official:9/9
GSE189357	KDM2A	official:9/9
GSE189357	KDM4D	official:9/9
GSE189357	KMT5B	official:9/9
GSE189357	KMT5C	official:9/9
GSE189357	LIG3	official:9/9
GSE189357	LIG4	official:9/9
GSE189357	LMNA	official:9/9
GSE189357	MAD2L2	official:9/9
GSE189357	MLH1	official:9/9
GSE189357	MRE11	official:9/9
GSE189357	MRNIP	official:9/9
GSE189357	NBN	official:9/9
GSE189357	NHEJ1	official:9/9
GSE189357	NSD2	official:9/9
GSE189357	NSMCE2	official:9/9
GSE189357	NUDT16L1	official:9/9
GSE189357	PARP3	official:9/9
GSE189357	PAXX	official:9/9
GSE189357	PLK1	official:9/9
GSE189357	PNKP	official:9/9
GSE189357	POLA1	official:9/9
GSE189357	POLB	official:9/9
GSE189357	POLL	official:9/9
GSE189357	POLM	official:9/9
GSE189357	POLQ	official:9/9
GSE189357	POT1	official:9/9
GSE189357	PRKDC	official:9/9
GSE189357	PRPF19	official:9/9
GSE189357	PSMD14	official:9/9
GSE189357	RHNO1	official:9/9
GSE189357	RIF1	official:9/9
GSE189357	RNF168	official:9/9
GSE189357	RNF8	official:9/9
GSE189357	SETMAR	official:9/9
GSE189357	SHLD1	official:9/9
GSE189357	SHLD2	official:9/9
GSE189357	SHLD3	official:9/9
GSE189357	SMARCAL1	official:9/9
GSE189357	SMC5	official:9/9
GSE189357	SMCHD1	official:9/9
GSE189357	TFIP11	official:9/9
GSE189357	TOP2B	official:9/9
GSE189357	TOPBP1	official:9/9
GSE189357	TP53BP1	official:9/9
GSE189357	USP51	official:9/9
GSE189357	UVRAG	official:9/9
GSE189357	WAS	official:9/9
GSE189357	WRAP53	official:9/9
GSE189357	XRCC1	official:9/9
GSE189357	XRCC4	official:9/9
GSE189357	XRCC5	official:9/9
GSE189357	XRCC6	official:9/9
GSE189357	ZBTB7A	official:9/9
GSE189357	CGAS	official:9/9
GSE189357	DDX41	official:9/9
GSE189357	DTX4	official:9/9
GSE189357	IFI16	official:9/9
GSE189357	IRF3	official:9/9
GSE189357	NLRC3	official:9/9
GSE189357	NLRP4	official:9/9
GSE189357	STAT6	official:9/9
GSE189357	STING1	alias:TMEM173:9/9
GSE189357	TBK1	official:9/9
GSE189357	TREX1	official:9/9
GSE189357	AARS2	official:9/9
GSE189357	AKT1	official:9/9
GSE189357	AURKB	official:9/9
GSE189357	BANF1	official:9/9
GSE189357	BTK	official:9/9
GSE189357	ENPP3	official:9/9
GSE189357	IRGM	official:9/9
GSE189357	LYPLAL1	official:9/9
GSE189357	MAP3K7	official:9/9
GSE189357	MARCHF5	alias:MARCH5:9/9
GSE189357	MIR4691	absent:9/9
GSE189357	PARP1	official:9/9
GSE189357	PCBP2	official:9/9
GSE189357	PPP6C	official:9/9
GSE189357	RELA	official:9/9
GSE189357	RNF39	official:9/9
GSE189357	SLC19A1	official:9/9
GSE189357	SMPDL3A	official:9/9
GSE189357	SPSB3	official:9/9
GSE189357	TAB1	official:9/9
GSE189357	ZDHHC18	official:9/9
GSE189357	ZDHHC9	official:9/9
GSE131907	ADAR	official
GSE131907	APOL6	official
GSE131907	ARID5B	official
GSE131907	ARL4A	official
GSE131907	AUTS2	official
GSE131907	B2M	official
GSE131907	BANK1	official
GSE131907	BATF2	official
GSE131907	BPGM	official
GSE131907	BST2	official
GSE131907	BTG1	official
GSE131907	C1R	official
GSE131907	C1S	official
GSE131907	CASP1	official
GSE131907	CASP3	official
GSE131907	CASP4	official
GSE131907	CASP7	official
GSE131907	CASP8	official
GSE131907	CCL2	official
GSE131907	CCL5	official
GSE131907	CCL7	official
GSE131907	CCRL2	official
GSE131907	CD274	official
GSE131907	CD38	official
GSE131907	CD40	official
GSE131907	CD47	official
GSE131907	CD69	official
GSE131907	CD74	official
GSE131907	CD86	official
GSE131907	CDKN1A	official
GSE131907	CFB	official
GSE131907	CFH	official
GSE131907	CIITA	official
GSE131907	CMKLR1	official
GSE131907	CMPK2	official
GSE131907	CMTR1	official
GSE131907	CNP	official
GSE131907	CSF1	official
GSE131907	CSF2RB	official
GSE131907	CXCL10	official
GSE131907	CXCL11	official
GSE131907	CXCL9	official
GSE131907	DDX58	official
GSE131907	DDX60	official
GSE131907	DHX58	official
GSE131907	EIF2AK2	official
GSE131907	EIF4E3	official
GSE131907	ELF1	official
GSE131907	EPSTI1	official
GSE131907	FAS	official
GSE131907	FCGR1A	official
GSE131907	FGL2	official
GSE131907	FPR1	official
GSE131907	GBP2	official
GSE131907	GBP4	official
GSE131907	GBP6	official
GSE131907	GCH1	official
GSE131907	GMPR	official
GSE131907	GPR18	official
GSE131907	GZMA	official
GSE131907	HELZ2	official
GSE131907	HERC6	official
GSE131907	HIF1A	official
GSE131907	HLA-A	official
GSE131907	HLA-B	official
GSE131907	HLA-C	official
GSE131907	HLA-DMA	official
GSE131907	HLA-DQA1	official
GSE131907	HLA-DRB1	official
GSE131907	HLA-G	official
GSE131907	ICAM1	official
GSE131907	IDO1	official
GSE131907	IFI27	official
GSE131907	IFI30	official
GSE131907	IFI35	official
GSE131907	IFI44	official
GSE131907	IFI44L	official
GSE131907	IFIH1	official
GSE131907	IFIT1	official
GSE131907	IFIT2	official
GSE131907	IFIT3	official
GSE131907	IFITM1	official
GSE131907	IFITM2	official
GSE131907	IFITM3	official
GSE131907	IFNAR2	official
GSE131907	IL10RA	official
GSE131907	IL15	official
GSE131907	IL15RA	official
GSE131907	IL18BP	official
GSE131907	IL2RB	official
GSE131907	IL4R	official
GSE131907	IL6	official
GSE131907	IL7	official
GSE131907	IRF1	official
GSE131907	IRF2	official
GSE131907	IRF4	official
GSE131907	IRF5	official
GSE131907	IRF7	official
GSE131907	IRF8	official
GSE131907	IRF9	official
GSE131907	ISG15	official
GSE131907	ISG20	official
GSE131907	ISOC1	official
GSE131907	ITGB7	official
GSE131907	JAK2	official
GSE131907	KLRK1	official
GSE131907	LAMP3	official
GSE131907	LAP3	official
GSE131907	LATS2	official
GSE131907	LCP2	official
GSE131907	LGALS3BP	official
GSE131907	LPAR6	official
GSE131907	LY6E	official
GSE131907	LYSMD2	official
GSE131907	MARCHF1	alias:MARCH1
GSE131907	METTL7B	official
GSE131907	MOV10	official
GSE131907	MT2A	official
GSE131907	MTHFD2	official
GSE131907	MVB12A	official
GSE131907	MVP	official
GSE131907	MX1	official
GSE131907	MX2	official
GSE131907	MYD88	official
GSE131907	NAMPT	official
GSE131907	NCOA3	official
GSE131907	NCOA7	official
GSE131907	NFKB1	official
GSE131907	NFKBIA	official
GSE131907	NLRC5	official
GSE131907	NMI	official
GSE131907	NOD1	official
GSE131907	NUB1	official
GSE131907	NUP93	official
GSE131907	OAS1	official
GSE131907	OAS2	official
GSE131907	OAS3	official
GSE131907	OASL	official
GSE131907	OGFR	official
GSE131907	P2RY14	official
GSE131907	PARP12	official
GSE131907	PARP14	official
GSE131907	PARP9	official
