module	symbol	alias	entrez	name	logFC	logCPM	PValue	FDR	in_table	expressed	used_in_mean	direction	fdr_lt_0.05
IFN-chemokine	Cxcl11	CXCL11	56066	chemokine (C-X-C motif) ligand 11	5.044394119	-1.071298111	0.010305774	0.167807069	yes	no	no	up	no
IFN-chemokine	Ifnb1	IFNB1	15977	interferon beta 1, fibroblast	0	-2.071298111	1	1	yes	no	no	zero	no
IFN-chemokine	Ifng	IFNG	15978	interferon gamma	2.444784843	-0.611866493	0.100971434	0.590157829	yes	no	no	up	no
IFN-chemokine	Isg15	ISG15	100038882	ISG15 ubiquitin-like modifier	1.075372735	2.786682884	3.92718e-05	0.003095569	yes	yes	yes	up	yes
IFN-chemokine	Ifit1	IFIT1	15957	interferon-induced protein with tetratricopeptide repeats 1	0.57577684	4.616952198	0.000719541	0.02824166	yes	yes	yes	up	yes
IFN-chemokine	Ifit2	IFIT2	15958	interferon-induced protein with tetratricopeptide repeats 2	-0.369023039	5.378882136	0.012872714	0.19255841	yes	yes	yes	down	no
IFN-chemokine	Ifit3	IFIT3	15959	interferon-induced protein with tetratricopeptide repeats 3	-0.206965942	6.490944313	0.315638468	0.967196558	yes	yes	yes	down	no
IFN-chemokine	Rsad2	RSAD2	58185	radical S-adenosyl methionine domain containing 2	1.198246334	2.615202416	0.016139179	0.218459763	yes	yes	yes	up	no
IFN-chemokine	Stat1	STAT1	20846	signal transducer and activator of transcription 1	0.390851313	6.948292617	0.026232231	0.29079192	yes	yes	yes	up	no
IFN-chemokine	Irf7	IRF7	54123	interferon regulatory factor 7	0.227316665	3.975825801	0.329109646	0.983132036	yes	yes	yes	up	no
IFN-chemokine	Oasl2	OASL2	23962	2'-5' oligoadenylate synthetase-like 2	0.542098814	5.242718593	0.000371281	0.017868407	yes	yes	yes	up	yes
IFN-chemokine	Mx1	MX1	17857	myxovirus (influenza virus) resistance 1	0.626672753	1.371645385	0.11907033	0.648233013	yes	yes	yes	up	no
IFN-chemokine	Gbp4	GBP4	17472	guanylate binding protein 4	2.385050193	6.968306407	1.59806e-09	4.75148e-07	yes	yes	yes	up	yes
TJ-control	Cldn3	CLDN3	12739	claudin 3	0.091112223	7.125918582	0.523842584	1	yes	yes	yes	up	no
TJ-control	Cldn5	CLDN5	12741	claudin 5	0.208424808	8.807902207	0.135865801	0.683571603	yes	yes	yes	up	no
TJ-control	Cldn7	CLDN7	53624	claudin 7	0.112854612	5.420554985	0.473673217	1	yes	yes	yes	up	no
TJ-control	Cldn18	CLDN18	56492	claudin 18	-0.452490177	9.995127489	0.041302892	0.376994602	yes	yes	yes	down	no
TJ-control	Tjp1	TJP1	21872	tight junction protein 1	-0.103722846	9.291946899	0.459751347	1	yes	yes	yes	down	no
TJ-control	Ocln	OCLN	18260	occludin	-0.045588289	6.309162954	0.764313783	1	yes	yes	yes	down	no
anchor	Cldn4	CLDN4	12740	claudin 4	-6.061296179	2.250629984	1.7663e-29	4.0673e-26	yes	yes	yes	down	yes
