set	set_class	left_out	left_out_logFC	left_out_FDR	mean_without	delta_vs_full
HALLMARK_DNA_REPAIR	repair	Polb	0.307361982	0.753816293	0.047695180414285714	-0.0018416085218844955
HALLMARK_DNA_REPAIR	repair	Pold1	0.231570351	0.951938302	0.048236549207142855	-0.001300239729027354
HALLMARK_DNA_REPAIR	repair	Pold3	0.103866973	1.0	0.049148716192857135	-0.000388072743313074
HALLMARK_DNA_REPAIR	repair	Pold4	-0.067065439	1.0	0.05036966199285714	0.0008328730566869308
HALLMARK_DNA_REPAIR	repair	Pole4	-0.032406305	1.0	0.05012209675	0.0005853078138297885
HALLMARK_DNA_REPAIR	repair	Polh	0.754999517	0.040578312	0.044497769449999995	-0.005039019486170214
HALLMARK_DNA_REPAIR	repair	Poll	-0.092431287	1.0	0.050550846621428565	0.0010140576852583558
HALLMARK_DNA_REPAIR	repair	Polr1c	0.061359735	1.0	0.04945233932142856	-8.44496147416468e-05
HALLMARK_DNA_REPAIR	repair	Polr1d	0.023346807	1.0	0.049723860235714276	0.0001870712995440671
HALLMARK_DNA_REPAIR	repair	Polr2a	0.103087663	1.0	0.04915428269285713	-0.00038250624331307576
HALLMARK_DNA_REPAIR	repair	Polr2c	0.180045742	0.90649188	0.04860458212857142	-0.0009322068075987913
HALLMARK_DNA_REPAIR	repair	Polr2d	0.234811681	0.864466962	0.04821339685	-0.0013233920861702095
HALLMARK_DNA_REPAIR	repair	Polr2e	-0.112953562	1.0	0.05069743429999999	0.0011606453638297806
HALLMARK_DNA_REPAIR	repair	Polr2f	0.450833046	0.232268842	0.046670387099999995	-0.002866401836170214
HALLMARK_DNA_REPAIR	repair	Polr2g	0.311183937	0.672857877	0.047667880735714284	-0.0018689082004559252
HALLMARK_DNA_REPAIR	repair	Polr2h	0.229720657	1.0	0.04824976130714285	-0.001287027629027361
HALLMARK_DNA_REPAIR	repair	Polr2i	0.341036918	0.852606695	0.04745464515714285	-0.002082143779027358
