set	set_class	bridge_eligible	n_in_rank	n_expressed	n_ifn_overlap_expressed	n_decontaminated_expressed	mean_logFC	median_logFC	n_up	n_down	mean_perm_p	decontam_mean_logFC	decontam_median_logFC	decontam_n_up	decontam_n_down	decontam_mean_perm_p	nes	nes_nom_p	es	n_gsea	lead_genes	decontam_nes	decontam_nes_nom_p	decontam_lead_genes	loo_min_mean	loo_worst_gene	loo_sign_flip	nes_fdr_in_sweep	decontam_nes_fdr_bridge_family	bridge_score
HALLMARK_UV_RESPONSE_UP	damage_signal	yes	154	139	9	130	0.0017854440000000058	0.046408897	74	65	0.981003799240152	-0.004490965407692302	0.0111522355	68	62	0.9474105178964207	0.7162293695210094	0.4865134865134865	0.2450479099079093	154	Gal,Lhx2,Chrna5,Cxcl1,Fkbp4,Dnajb1,Ccne1,Dnaja1,Stip1,Nptxr,Hyal2,Rfc4,H2afx,Eno2,Msx1	0.7251716001693723	0.4825174825174825	Gal,Lhx2,Chrna5,Cxcl1,Fkbp4,Dnajb1,Ccne1,Dnaja1,Stip1,Nptxr,Hyal2,Rfc4,H2afx,Eno2,Msx1	-0.01717544858139534	Nr4a1	yes	0.5151182151182151	0.5154845154845155	0.7251716001693723
HALLMARK_P53_PATHWAY	damage_signal	yes	191	184	12	172	0.018150662233695655	0.0446446815	105	78	0.7596480703859229	0.011842421488372097	0.04300427	97	74	0.8478304339132173	0.7273854138734274	0.4885114885114885	0.24263876811707824	191	Nhlh2,Sfn,Fgf13,Cdkn1a,Tnni1,Polh,Upp1,Gls2,Phlda3,Aen,Foxo3,Steap3,Tcn2,Rhbdf2,Ier5	0.7066203896052756	0.4875124875124875	Nhlh2,Sfn,Fgf13,Tnni1,Polh,Gls2,Phlda3,Aen,Foxo3,Steap3,Tcn2,Rhbdf2,Ier5,Zmat3,Bmp2	0.004576208684210532	Sfn	no	0.5151182151182151	0.5154845154845155	0.7066203896052756
KEGG_Mismatch_repair	repair	yes	22	22	0	22	0.02463189009090908	0.0298880075	12	10	0.877624475104979	0.02463189009090908	0.0298880075	12	10	0.8784243151369726	0.5342202578386182	0.4985014985014985	0.25163053724158974	22	Exo1,Rfc4,Lig1	0.5342202578386182	0.4985014985014985	Exo1,Rfc4,Lig1	-0.008725646523809518	Exo1	yes	0.5151182151182151	0.5154845154845155	0.5342202578386182
custom_cytosolic_DNA_sensors	sensor	yes	14	14	2	12	0.09954596007142856	0.085025768	10	4	0.6094781043791242	0.02859476333333333	0.081052128	8	4	0.8778244351129774	0.7827127138055741	0.3756243756243756	0.40672928880708753	14	Zbp1,Mb21d1,Pycard,Ifi202b	0.49021778234719804	0.4865134865134865	Mb21d1,Pycard,Ifi202b	-0.014056406272727272	Mb21d1	yes	0.5151182151182151	0.5154845154845155	0.49021778234719804
custom_NHEJ_core	repair	yes	10	10	0	10	-0.029192139100000004	-0.019225956000000002	4	6	0.882623475304939	-0.029192139100000004	-0.019225956000000002	4	6	0.8770245950809838	-0.4978613927499692	0.5154845154845155	-0.27898587706563976	10	Xrcc4,Dclre1c,Polm	-0.4978613927499692	0.5154845154845155	Xrcc4,Dclre1c,Polm	-0.06699172411111111	Polm	yes	0.5154845154845155	0.5154845154845155	-0.4978613927499692
KEGG_Non-homologous_end-joining	repair	yes	13	12	0	12	-0.020805081083333333	0.019138104000000003	6	6	0.9092181563687263	-0.020805081083333333	0.019138104000000003	6	6	0.912617476504699	-0.7362253977084884	0.4175824175824176	-0.3909007224313055	13	Dclre1c,Rad50,Polm,Dntt	-0.7362253977084884	0.4175824175824176	Dclre1c,Rad50,Polm,Dntt	-0.05134984000000001	Polm	yes	0.5151182151182151	0.5154845154845155	-0.7362253977084884
custom_damage_arrest_transcripts	damage_signal	yes	15	15	2	13	-0.02188566300000001	-0.07592803	6	8	0.9010197960407919	-0.10208053730769232	-0.178505347	4	8	0.6126774645070986	0.619971013645008	0.46653346653346656	0.3150358222528482	15	Cdkn1a,Bbc3	-0.8376048465813147	0.35764235764235763	Polk,Gadd45b,Ccng1,Mdm2,Sesn1,Ddb2,Mgmt	-0.17567162974999997	Mgmt	no	0.5151182151182151	0.5154845154845155	-0.8376048465813147
HALLMARK_UV_RESPONSE_DN	damage_signal	yes	138	135	2	133	-0.06434203314074073	-0.047411721	58	76	0.3509298140371926	-0.06512453639849623	-0.047411721	57	75	0.3535292941411718	-0.9704467916475186	0.2807192807192807	-0.33918491883284496	138	Prkar2b,Bhlhe40,Pten,Dab2,Wdr37,Pik3cd,Ythdc1,Nfib,Fzd2,Notch2,Irs1,Mmp16,Abcc1,Mios,Map1b	-0.9748969480152986	0.2757242757242757	Prkar2b,Bhlhe40,Pten,Dab2,Wdr37,Pik3cd,Ythdc1,Nfib,Fzd2,Notch2,Irs1,Mmp16,Abcc1,Mios,Map1b	-0.0698754651590909	Kcnma1	no	0.5118998648410413	0.5154845154845155	-0.9748969480152986
custom_cytosolic_DNA_negative_regulators	sensor	yes	6	5	2	3	0.2292939154	0.225124564	4	1	0.3889222155568886	0.3684783566666667	0.24535357	3	0	0.2741451709658068				0					0.235239067	Rnaseh2c	no			0.3684783566666667
custom_NHEJ_Ku_DNAPKcs	repair	yes	3	3	0	3	0.116426778	0.048992655	2	1	0.6050789842031594	0.116426778	0.048992655	2	1	0.616876624675065				0					0.019138104000000003	Xrcc6	no			0.116426778
custom_NHEJ_ligation	repair	yes	4	4	0	4	0.06840758224999999	0.09010289999999999	2	2	0.7510497900419916	0.06840758224999999	0.09010289999999999	2	2	0.7444511097780444				0					0.0024434089999999936	Lig4	no			0.06840758224999999
