rank	gene	uniprot	protein_name	is_bait	exclusive	stringent	n_cldn4	n_gfp	mean_lfq_cldn4	mean_lfq_gfp	log2fc	p_mod	fdr_mod	p_welch	fdr_welch	unique_peptides	razor_unique_peptides	categories	majority_protein_ids
27	ZC3H14	E2RKD7	Zinc finger CCCH-type containing 14	False	False	True	4	2	3.57142e+07	2.6884e+07	2.29216	0.00604272	0.0331927	0.130416	0.302278	3	3		E2RKD7
28	STX11	F1P8F6	Syntaxin 11	False	False	True	4	2	2.9077e+07	2.522e+07	2.06338	0.00974736	0.0454738	0.154313	0.337299	3	3		F1P8F6
29	PHLDB2	E2RDB9	Pleckstrin homology like domain family B member 2	False	False	True	4	3	3.9946e+07	1.80443e+07	2.01023	0.0023199	0.0170334	0.0944633	0.241173	2	2		E2RDB9
30	PGS1	F1PYJ9	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	False	False	True	4	4	1.62622e+08	5.73078e+07	1.52182	2.27245e-06	0.000191236	0.000375921	0.0152318	5	5		F1PYJ9;F1PN70
31	MPP7	F1P8X0	Membrane palmitoylated protein 7	False	False	True	4	4	3.26212e+08	1.16051e+08	1.49544	3.3319e-06	0.000260364	0.000179386	0.0110431	11	11	TJ	F1P8X0
32	DNTTIP2	E2RR69	Deoxynucleotidyltransferase terminal interacting protein 2	False	False	True	4	4	1.83572e+08	6.33118e+07	1.47249	0.00012349	0.0031057	0.0113761	0.0723575	9	9		E2RR69
33	AFAP1	F1PFF6	Actin filament associated protein 1	False	False	True	4	4	3.11815e+08	1.14704e+08	1.47205	5.65232e-05	0.00187383	0.00500521	0.0460335	11	11		F1PFF6
34	ABLIM1	J9P5B6	Actin binding LIM protein 1	False	False	True	4	4	4.45185e+08	1.6685e+08	1.44285	1.02477e-05	0.000605998	0.00148907	0.0287185	9	9		J9P5B6;F1PWQ6
35	ARID1A	E2RSH9	AT-rich interaction domain 1A	False	False	True	4	4	2.78995e+08	1.07203e+08	1.41894	0.000814005	0.00809763	0.0246353	0.116168	9	9		E2RSH9
36	CISD2	E2R702	CDGSH iron sulfur domain 2	False	False	True	4	4	6.1422e+08	2.3778e+08	1.3593	5.40113e-06	0.000393922	0.000211451	0.0112842	7	7		E2R702
37	AHCTF1	F1Q0P9	AT-hook containing transcription factor 1	False	False	True	4	4	2.73332e+08	1.10306e+08	1.3518	0.000244673	0.00361827	0.0110304	0.0713311	14	14		F1Q0P9;J9JHE2
38	IWS1	E2RCQ3	IWS1, SUPT6H interacting protein	False	False	True	4	4	2.94995e+08	1.23395e+08	1.34022	0.000118286	0.00300941	0.0156781	0.0884116	4	4		E2RCQ3;J9PAW4
39	PLEKHG3	E2QX49	Pleckstrin homology and RhoGEF domain containing G3	False	False	True	4	4	1.66748e+08	6.7661e+07	1.33232	2.53698e-05	0.00115644	0.00284333	0.0349506	7	7		E2QX49;F1PWW9
40	ISG15	E2R7R1	ISG15 ubiquitin-like modifier	False	False	True	4	4	2.74675e+08	1.22224e+08	1.26934	0.000463369	0.00528047	0.026421	0.121448	5	5	IFN;immune	E2R7R1
41	OAS2	F1PTR7	2-5-oligoadenylate synthetase 2	False	False	True	4	4	3.27488e+08	1.34852e+08	1.26165	7.0892e-05	0.0020961	0.0027246	0.0346736	4	5	IFN;immune	F1PTR7
42	NIPBL	E2QUV0	Nipped-B protein	False	False	True	4	4	7.46058e+07	2.91355e+07	1.24757	0.00126914	0.0111076	0.0384792	0.150043	4	4		E2QUV0;J9P6G6;J9NZL2;J9P3A7
43	ZC3H11A	J9P070	Uncharacterized protein	False	False	True	4	4	6.88938e+08	3.04112e+08	1.24057	0.000461523	0.00528047	0.0177164	0.094692	23	23		J9P070;E2RJJ0
44	DHX37	E2RHZ3	DEAH-box helicase 37	False	False	True	4	4	1.47377e+08	6.03128e+07	1.21435	0.000286301	0.00379653	0.0228545	0.109903	8	8		E2RHZ3
45	SPINK5	F1PUI9	Serine peptidase inhibitor, Kazal type 5	False	False	True	4	4	1.35842e+09	5.88958e+08	1.20973	2.08305e-05	0.00100527	0.000162957	0.0110431	32	32		F1PUI9;F1PR80
46	KIF22	E2RRZ0	Kinesin-like protein	False	False	True	4	4	2.909e+08	1.28966e+08	1.19828	0.000256409	0.003643	0.00737172	0.0576047	11	11	trafficking	E2RRZ0;E2RRY9
47	VMP1	F1PHP3	Vacuole membrane protein 1	False	False	True	4	4	1.36562e+09	6.01855e+08	1.1876	1.50004e-05	0.000820523	0.000123994	0.00935511	6	6		F1PHP3
48	UGGT1	E2RR16	UDP-glucose glycoprotein glucosyltransferase 1	False	False	True	4	4	4.56328e+08	2.02072e+08	1.18687	3.16105e-05	0.00133007	0.000605619	0.0189299	13	13		E2RR16
49	IFFO2	J9P2L3	Uncharacterized protein	False	False	True	4	4	6.25802e+08	2.84178e+08	1.16003	3.67522e-05	0.00149257	0.00362786	0.0387208	12	12		J9P2L3;F1PT06
50	ABCA8	F6Y634	ATP binding cassette subfamily A member 8	False	False	True	4	4	1.5778e+08	6.90388e+07	1.15887	0.000227189	0.00361827	0.00681889	0.0549647	7	7		F6Y634
51	LPCAT2	E2R9U2	Lysophosphatidylcholine acyltransferase 2	False	False	True	4	4	5.0703e+08	2.29035e+08	1.14562	1.60153e-05	0.000854671	1.76166e-06	0.00128484	11	11		E2R9U2
52	ACOX1	F1P668	Acyl-coenzyme A oxidase	False	False	True	4	4	1.03644e+08	4.64622e+07	1.14003	4.82994e-05	0.00173244	0.00173611	0.0292487	3	3		F1P668;E2RAF6
53	SLC2A1	F1PWN2	Solute carrier family 2 member 1	False	False	True	4	4	2.52515e+09	1.1773e+09	1.11055	5.04424e-05	0.00178013	0.000551757	0.0188297	10	10		F1PWN2;F6X8D7
54	LOC610994	F1PV34	Uncharacterized protein	False	False	True	4	4	5.65895e+08	2.6127e+08	1.10837	4.5017e-05	0.00165957	0.000280647	0.0127928	11	11		F1PV34;J9P068
55	TXNDC12	J9P1H9	Thioredoxin domain containing 12	False	False	True	4	4	5.03698e+08	2.35902e+08	1.1005	3.68368e-05	0.00149257	0.000245565	0.0116803	9	9		J9P1H9
56	PKP2	E2RHY0	Plakophilin 2	False	False	True	4	4	1.66358e+09	7.98755e+08	1.07633	8.70278e-05	0.00243074	0.00210664	0.0306467	24	24		E2RHY0
57	SEC61G	P60058	Protein transport protein Sec61 subunit gamma	False	False	True	4	4	7.10635e+08	3.35205e+08	1.07337	0.000225294	0.00361827	0.00276731	0.0349506	2	2		P60058
58	LMO7	F1PG65	LIM domain 7	False	False	True	4	4	6.40315e+08	3.0949e+08	1.05647	0.00030338	0.00388686	0.00333787	0.0374186	19	19		F1PG65
59	METTL7A	J9NTA1	Methyltransferase like 7A	False	False	True	4	4	3.12005e+08	1.48772e+08	1.05108	0.000199663	0.00361827	0.00271345	0.0346736	4	4		J9NTA1
60	PDIA6	E2RB37	Uncharacterized protein	False	False	True	4	4	2.87928e+09	1.42052e+09	1.04649	0.000758147	0.00764435	0.0108587	0.0705548	16	16		E2RB37
61	AMACR	E2QYD9	Alpha-methylacyl-CoA racemase	False	False	True	4	4	2.00922e+08	9.84895e+07	1.01603	0.000208577	0.00361827	0.00189728	0.0300385	6	6		E2QYD9
62	CDC42	P60952	Cell division control protein 42 homolog	False	False	True	4	4	1.52822e+09	7.66028e+08	1.00497	0.000129527	0.00318432	0.000604164	0.0189299	8	10	TJ	P60952;J9P730
63	HNRNPH2	E2RJH5	Heterogeneous nuclear ribonucleoprotein H2	False	False	True	4	4	4.07402e+08	2.01282e+08	1.00403	0.000149841	0.00345107	0.00196106	0.0300385	6	7		E2RJH5
64	SYNPO	J9P7S2	Synaptopodin	False	False	True	4	4	4.9032e+08	2.5186e+08	1.0039	0.000539512	0.00596188	0.0131602	0.0794505	13	13	TJ	J9P7S2;E2RG15
65	LRRC8A	E2RQD5	Leucine rich repeat containing 8 VRAC subunit A	False	True	False	2	0	1.00392e+08		2.88765	0.0133055	0.0559853	0.181709	0.356432	3	3		E2RQD5
66	CDCA8	E2R7G5	Cell division cycle associated 8	False	True	False	2	0	9.5745e+07		2.84243	0.0134915	0.0563135	0.18234	0.356432	3	3		E2R7G5
67	CERS3	F6XW58	Ceramide synthase 3	False	True	False	2	0	7.3287e+07		2.66061	0.0135241	0.0563135	0.181715	0.356432	2	2		F6XW58
68	PARD3B	F1PUY2	Par-3 family cell polarity regulator beta	False	True	False	2	0	7.28245e+07		2.65551	0.0135379	0.0563135	0.18175	0.356432	3	3	TJ	F1PUY2;J9P593
69	MRPL37	E2R775	Mitochondrial ribosomal protein L37	False	True	False	2	0	6.0446e+07		2.48731	0.0143494	0.0563672	0.184299	0.35775	2	2		E2R775
70	EPN2	F1P9H0	Epsin 2	False	True	False	2	0	5.62175e+07		2.46726	0.0137983	0.0563672	0.181876	0.356432	2	2	trafficking	F1P9H0
71	ST6GAL1	E2R2H3	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	False	True	False	2	0	4.93465e+07		2.37552	0.0138912	0.0563672	0.181704	0.356432	2	2		E2R2H3
72	TCF20	E2RT08	Transcription factor 20	False	True	False	2	0	4.79235e+07		2.33979	0.0142415	0.0563672	0.182937	0.356432	2	2		E2RT08
73	CAPN5	F1PB20	Calpain 5	False	True	False	2	0	4.6412e+07		2.32931	0.0140046	0.0563672	0.181872	0.356432	3	3		F1PB20
74	TIMM9	J9NRU3	Translocase of inner mitochondrial membrane 9	False	True	False	2	0	4.51755e+07		2.31113	0.014009	0.0563672	0.181764	0.356432	3	3		J9NRU3
75	PYCR1	F6XKI0	Pyrroline-5-carboxylate reductase	False	True	False	2	0	4.2323e+07		2.2646	0.0140795	0.0563672	0.181721	0.356432	2	2		F6XKI0
76	ICAM1	P33729	Intercellular adhesion molecule 1 (Fragment)	False	True	False	2	0	3.91615e+07		2.20558	0.0142583	0.0563672	0.182007	0.356432	2	2	IFN;TJ;immune	P33729;F1PB95
77	GTF2H1	E2RCX0	General transcription factor IIH subunit 1	False	True	False	2	0	3.8826e+07		2.20272	0.0141881	0.0563672	0.18169	0.356432	2	2		E2RCX0
78	RABL3	E2R3T1	RAB, member of RAS oncogene family like 3	False	True	False	2	0	3.68715e+07		2.16383	0.0143046	0.0563672	0.181851	0.356432	2	2	trafficking	E2R3T1
79	LIPT1	E2RPI5	Lipoyltransferase 1	False	True	False	2	0	3.30185e+07		2.08492	0.0144628	0.0564788	0.181789	0.356432	2	2		E2RPI5
80	SPECC1	F1PEF9	Sperm antigen with calponin homology and coiled-coil domains 1	False	True	False	2	0	3.2197e+07		2.06385	0.0145883	0.0564788	0.182103	0.356432	3	3		F1PEF9;F1Q150
81	NCBP1	F1PUP7	Nuclear cap binding protein subunit 1	False	True	False	2	0	3.0219e+07		2.02188	0.0145943	0.0564788	0.181697	0.356432	2	2		F1PUP7
82	TIMM29	E2RJ67	Translocase of inner mitochondrial membrane 29	False	True	False	2	0	3.139e+07		2.01945	0.0154341	0.0578251	0.185088	0.35775	2	2		E2RJ67
