sampleId,TACSTD2,immune_tcell_effector,cytotoxic,exhaustion,ESTIMATE_Aran,ABSOLUTE_Aran,CPE_Aran,ABSOLUTE_GDC,ESTIMATE_or_ABSOLUTE
TCGA-22-4595-01,-0.6986,0.2276125,0.39305,-0.04808333333333333,0.7123,0.85,0.8806,0.46,0.7123
TCGA-22-4596-01,-0.6522,0.9200625,0.7137374999999999,1.2924333333333335,0.4241,0.29,0.3332,0.69,0.4241
TCGA-22-4599-01,-2.3721,1.4560499999999998,1.4810625000000002,0.9830916666666666,0.6676,0.47,0.6362,0.47,0.6676
TCGA-22-4601-01,0.924,-0.196625,-0.553975,-0.3667666666666667,0.8996,0.78,0.8997,0.78,0.8996
TCGA-22-4604-01,-0.2734,0.8192875,0.25568749999999996,0.59655,0.5961,,0.6601,0.84,0.5961
TCGA-22-4605-01,0.8469,-0.7155,-0.5009125,0.10366666666666668,0.6931,0.23,0.5712,0.24,0.6931
TCGA-22-4607-01,1.6904,-0.6843249999999999,-0.3305,-0.5166333333333334,0.793,0.64,0.7496,0.63,0.793
TCGA-22-4609-01,-0.1591,0.823175,0.8448249999999999,0.8183249999999999,0.5981,0.42,0.5383,0.42,0.5981
TCGA-22-4613-01,0.1901,0.7324375,0.48991250000000003,0.37695000000000006,0.7747,0.45,0.6471,0.62,0.7747
TCGA-22-5471-01,0.1275,1.6111250000000001,1.577675,0.6953333333333335,0.7564,0.44,0.6566,0.44,0.7564
TCGA-22-5472-01,1.4036,-0.8118875,-0.3293375,-0.6235166666666667,0.8038,0.65,0.7454,0.65,0.8038
TCGA-22-5473-01,-0.6532,0.0718,0.32386250000000005,-0.10524166666666669,0.8693,0.58,0.773,0.58,0.8693
TCGA-22-5474-01,0.2736,1.3718625,1.3464,1.1927333333333332,0.6785,0.52,0.5739,0.55,0.6785
TCGA-22-5477-01,-0.9873,0.1358625,0.04837499999999999,0.02241666666666668,0.9099,0.73,0.8716,0.73,0.9099
TCGA-22-5478-01,-0.3318,-0.3524125,-0.2695625,-0.3467083333333334,0.8052,0.41,0.5894,0.4,0.8052
TCGA-22-5479-01,-0.5612,0.34167499999999995,0.29845,-0.08900833333333334,0.844,0.28,0.5748,0.28,0.844
TCGA-22-5480-01,-2.0377,0.7854375,0.24622500000000003,0.8936250000000001,0.714,0.71,0.716,0.71,0.714
TCGA-22-5481-01,-3.5337,0.86455,0.6931874999999998,0.5184749999999999,0.8219,0.69,0.7686,0.7,0.8219
TCGA-22-5482-01,0.3838,-0.7721000000000001,-0.615675,-0.7624416666666667,0.8912,0.66,0.7887,0.66,0.8912
TCGA-22-5483-01,-0.9328,0.5779875,-0.08235,0.1451416666666666,0.7778,0.7,0.809,0.7,0.7778
TCGA-22-5485-01,-1.0695,-0.9176249999999999,-0.7880249999999999,-0.6479666666666666,0.8897,0.71,0.8083,0.72,0.8897
TCGA-22-5489-01,-1.9796,0.763675,0.5189375,1.0497333333333332,0.5383,0.42,0.5441,0.43,0.5383
TCGA-22-5491-01,1.1344,-0.3581,-0.5168375000000001,-0.42915,0.9365,0.67,0.8394,0.67,0.9365
TCGA-22-5492-01,0.2454,0.8113624999999999,0.9996499999999999,0.7706,0.6953,0.56,0.5967,0.56,0.6953
TCGA-22-A5C4-01,-0.99,-0.27645,-0.6117125,-0.6267999999999999,0.9152,,0.8168,0.68,0.9152
TCGA-33-4532-01,-0.016,-0.8121125,-0.6216999999999999,-0.9293333333333335,0.9638,0.58,0.836,0.56,0.9638
TCGA-33-4533-01,-1.6351,-0.1505875,-0.708375,-0.3257083333333333,0.8747,0.7,0.8335,0.7,0.8747
TCGA-33-4538-01,0.3145,-0.40340000000000004,-0.4583125,-0.20508333333333337,0.9045,0.6,0.769,0.59,0.9045
TCGA-33-4547-01,0.5165,-0.9266750000000001,-0.7618750000000001,-0.269175,0.8026,0.96,0.8712,0.49,0.8026
TCGA-33-4566-01,0.0783,1.0103749999999998,1.2333,0.279825,0.7372,0.54,0.6537,0.53,0.7372
TCGA-33-4582-01,-0.2531,-0.5840625,-0.58895,-1.2821083333333334,0.9504,0.54,0.6796,0.54,0.9504
TCGA-33-4583-01,0.905,0.4378875,1.0445625,-0.08907500000000002,0.9079,0.52,0.7022,0.52,0.9079
TCGA-33-4586-01,-1.0677,-1.1278124999999999,-0.704925,-0.8634916666666667,0.9085,0.42,0.5774,0.42,0.9085
TCGA-33-4587-01,-1.0763,-0.5558624999999999,-1.1805625,-1.1142416666666666,0.9344,0.88,0.9215,0.88,0.9344
TCGA-33-4589-01,0.6971,1.1053,1.2905125,0.42289166666666667,0.7365,0.21,0.5074,0.2,0.7365
TCGA-33-6737-01,-0.4394,0.11794999999999999,0.4833625,-0.048325,0.7868,0.48,0.6181,0.48,0.7868
TCGA-33-6738-01,1.2218,-0.6665125,-0.7031625,-0.7113833333333331,0.9217,0.35,0.6327,0.53,0.9217
TCGA-33-A4WN-01,0.9718,-0.85065,-1.082875,-0.30302499999999993,0.9128,,0.7913,0.39,0.9128
TCGA-33-A5GW-01,0.8802,-2.2354624999999997,-2.112,-1.3510916666666668,0.9734,,0.9358,0.82,0.9734
TCGA-33-AAS8-01,-1.9234,-0.9804125000000001,-0.5562375,-0.5035916666666667,0.9693,,0.8353,0.64,0.9693
TCGA-33-AASB-01,0.0286,-1.2517,-1.5000250000000002,-1.5743166666666666,0.9867,,0.8472,0.44,0.9867
TCGA-33-AASD-01,0.3323,-0.7043875,-0.8223250000000001,-0.7768333333333333,0.9236,,0.8043,0.69,0.9236
TCGA-33-AASI-01,0.5066,0.5362625000000001,0.43622500000000003,0.16579999999999995,0.8692,,0.8567,0.52,0.8692
TCGA-33-AASJ-01,1.2654,-0.19904999999999998,-0.3656125,-0.34208333333333335,0.9702,,0.9253,0.6,0.9702
TCGA-33-AASL-01,0.4029,0.2348625,0.5225375,-0.14381666666666668,0.9197,,0.8464,0.43,0.9197
TCGA-34-2596-01,-1.6855,-0.23175,0.0410625,0.5146916666666667,0.8203,0.65,0.7665,0.65,0.8203
TCGA-34-2600-01,1.4811,-0.834475,-0.681625,-1.1699583333333334,0.951,0.86,0.944,0.86,0.951
TCGA-34-2608-01,0.4679,0.1847625,0.417875,0.5284083333333333,0.5529,0.29,0.4379,0.29,0.5529
TCGA-34-5231-01,-2.1638,0.35124999999999995,0.3419125,0.110875,0.8656,0.67,0.7277,0.67,0.8656
TCGA-34-5232-01,1.6541,0.6108125,0.38028749999999995,0.8199750000000002,0.7367,0.28,0.4285,0.29,0.7367
TCGA-34-5234-01,0.3739,1.0464499999999999,1.3290875,0.9563833333333335,0.4465,0.19,0.3632,0.18,0.4465
TCGA-34-5236-01,-0.3128,-0.606575,-0.5360375000000001,-0.11580833333333336,0.6948,0.24,0.5807,0.18,0.6948
TCGA-34-5239-01,-0.2152,1.002,1.0705874999999998,0.8557583333333335,0.5844,0.45,0.5599,0.45,0.5844
TCGA-34-5240-01,1.0221,-0.652975,-0.5303375,-0.26215000000000005,0.8244,0.64,0.7721,0.64,0.8244
TCGA-34-5241-01,0.9457,0.6984499999999999,0.9958,0.5995916666666666,0.6245,0.24,0.5134,0.88,0.6245
TCGA-34-5927-01,-0.6697,-0.3029875,-0.5114000000000001,-0.5534499999999999,0.9401,0.77,0.8421,0.77,0.9401
TCGA-34-5928-01,-0.4977,0.262175,0.0653,0.29154166666666664,0.6722,0.4,0.5653,0.4,0.6722
TCGA-34-5929-01,-2.1486,-0.34490000000000004,-0.53135,0.011883333333333348,0.8568,0.76,0.692,0.75,0.8568
TCGA-34-7107-01,-0.2048,-0.27381249999999996,-0.4550625,-0.09197499999999999,0.7703,0.59,0.7223,0.59,0.7703
TCGA-34-8454-01,0.8711,0.86425,1.1600750000000002,0.8707333333333332,0.6414,,0.5035,0.45,0.6414
TCGA-34-8455-01,0.6318,-0.17000000000000004,-0.30635,-0.7724916666666667,0.8395,,0.6573,0.46,0.8395
TCGA-34-8456-01,-0.3171,-0.7435375000000001,-0.607,0.03846666666666668,0.8729,,0.773,0.64,0.8729
TCGA-34-A5IX-01,1.0379,-0.4375875,-0.18480000000000002,-0.6857833333333333,0.8911,,0.7466,0.36,0.8911
TCGA-37-3783-01,0.5578,1.1168624999999999,1.5597625,0.7113666666666667,0.6449,0.36,0.5283,0.36,0.6449
TCGA-37-3789-01,0.4005,0.8947874999999998,1.0346125,0.3112333333333333,0.7705,0.62,0.7019,0.62,0.7705
TCGA-37-3792-01,1.088,1.4574624999999999,1.6080499999999998,1.4966166666666665,0.4867,0.4,0.5422,0.4,0.4867
TCGA-37-4129-01,-5.1137,-1.989,-2.1278,-1.5313583333333334,0.9768,0.51,0.6465,0.45,0.9768
TCGA-37-4130-01,-4.4725,2.4844,2.913325,1.7588749999999997,0.5848,0.4,0.5422,0.4,0.5848
TCGA-37-4132-01,-1.2594,0.9064499999999999,0.9532625,0.7934583333333332,0.7722,0.63,0.7019,0.62,0.7722
TCGA-37-4133-01,1.7339,0.34451249999999994,0.4710875,0.19179166666666667,0.8179,0.67,0.7913,0.67,0.8179
TCGA-37-4135-01,0.0592,0.056449999999999986,0.2382,-0.5124166666666667,0.8491,0.91,0.8056,0.91,0.8491
TCGA-37-4141-01,-0.4947,0.517175,0.16381249999999997,0.2810000000000001,0.8208,0.75,0.7672,0.76,0.8208
TCGA-37-5819-01,-2.7283,0.11772499999999997,0.27641250000000006,0.013966666666666646,0.8765,0.71,0.8361,0.71,0.8765
TCGA-37-A5EL-01,-0.1299,-0.6645875,0.09961250000000002,-1.0241333333333333,0.961,,0.9421,0.77,0.961
TCGA-37-A5EM-01,0.6773,0.5426125,0.41684999999999994,0.55435,0.6633,,0.604,,0.6633
TCGA-37-A5EN-01,0.0621,0.03509999999999999,-0.13186250000000002,0.05592500000000003,0.9073,,0.8846,0.54,0.9073
TCGA-39-5011-01,-0.027,1.5845250000000002,1.6222125000000003,1.0596333333333332,0.6412,0.43,0.5233,0.43,0.6412
TCGA-39-5016-01,1.062,0.7176750000000002,0.5852875000000001,0.649875,0.8189,0.51,0.7433,0.51,0.8189
TCGA-39-5019-01,-0.1721,-0.018137500000000008,0.011525000000000014,0.2974583333333333,0.7861,0.37,0.6534,0.55,0.7861
TCGA-39-5021-01,-1.234,0.769825,0.515875,0.36259166666666665,0.7852,0.4,0.5422,0.4,0.7852
TCGA-39-5022-01,-0.024,1.8018000000000003,1.5459375,1.6051166666666665,0.5074,0.25,0.3782,0.26,0.5074
TCGA-39-5024-01,0.864,-0.23448750000000002,-0.182675,-0.12325000000000001,0.8832,0.19,0.4369,0.32,0.8832
TCGA-39-5027-01,-0.5466,-1.0451125,-0.9039624999999999,-0.9922916666666669,0.9827,0.68,0.7369,0.68,0.9827
TCGA-39-5028-01,1.1105,0.19497500000000004,0.287775,0.4440916666666668,0.7271,0.19,0.5509,0.19,0.7271
TCGA-39-5029-01,0.6261,0.69785,0.7695375000000001,0.19158333333333333,0.7829,0.34,0.5575,0.54,0.7829
TCGA-39-5030-01,-0.9901,1.6409124999999998,1.360325,1.381516666666667,0.4709,0.29,0.4087,0.3,0.4709
TCGA-39-5031-01,-0.1507,0.3413125,0.04206249999999999,0.37539166666666673,0.767,0.4,0.6254,0.4,0.767
TCGA-39-5034-01,-0.9494,0.05735000000000001,0.48277500000000007,0.023816666666666677,0.7617,0.51,0.6667,0.51,0.7617
TCGA-39-5035-01,0.9929,1.2545,1.5203375000000001,0.9981583333333334,0.7242,0.45,0.5896,0.44,0.7242
TCGA-39-5036-01,1.3193,-0.19161250000000002,-0.182375,-0.6395166666666666,0.95,0.64,0.7588,0.64,0.95
TCGA-39-5037-01,-0.2268,-1.8495875,-2.1022125000000003,-1.448175,0.9909,0.48,0.7058,0.49,0.9909
TCGA-39-5039-01,0.6227,-0.194975,0.041600000000000005,-0.3586833333333334,0.7395,0.28,0.5831,0.28,0.7395
TCGA-39-5040-01,-1.2466,-0.61565,-0.7257375,-0.22014999999999998,0.9061,0.59,0.8039,0.59,0.9061
TCGA-43-2576-01,0.5799,0.5282375,0.81275,0.45317500000000005,0.5892,0.27,0.4527,0.27,0.5892
TCGA-43-2578-01,-1.0111,0.18236249999999998,0.3873125,0.14650833333333338,0.8612,,0.8513,0.59,0.8612
TCGA-43-2581-01,-0.4707,0.428125,0.5578625,0.6076666666666666,0.5702,0.29,0.4379,0.29,0.5702
TCGA-43-3394-01,0.2368,-1.0811374999999999,-0.9845125000000001,-0.41368333333333335,0.894,0.6,0.8665,0.6,0.894
TCGA-43-3920-01,-0.2885,1.0213625,1.055825,0.4169083333333334,0.6966,0.52,0.656,0.52,0.6966
TCGA-43-5668-01,0.0616,1.3203625,1.1675125,1.2200499999999999,0.6377,0.34,0.502,0.34,0.6377
TCGA-43-5670-01,1.1041,-1.9680875,-2.0350625,-1.8332833333333332,0.9598,0.62,0.7508,0.62,0.9598
TCGA-43-6143-01,-0.2591,-0.494275,-0.519275,-0.444575,0.8859,0.76,0.8458,0.86,0.8859
TCGA-43-6647-01,-0.8722,-0.007537500000000016,-0.250775,0.6914916666666665,0.5468,0.25,0.3975,0.25,0.5468
TCGA-43-6770-01,-0.2501,-0.8995875,-0.908525,-0.26014166666666666,0.8241,0.69,0.7717,0.69,0.8241
TCGA-43-6771-01,0.7442,-0.023375,-0.08712500000000001,-0.22240833333333335,0.7642,0.47,0.6494,0.48,0.7642
TCGA-43-6773-01,0.1193,0.6347375,1.0946500000000001,1.1691833333333335,0.4898,0.93,0.5098,0.21,0.4898
TCGA-43-7656-01,-0.9352,0.953875,0.7571625000000001,0.9277666666666667,0.6955,0.6,0.6644,0.59,0.6955
TCGA-43-7657-01,-0.2383,-1.2992625000000002,-1.6740749999999998,-0.6781333333333334,0.8917,0.44,0.7292,0.44,0.8917
TCGA-43-7658-01,-2.0448,1.0638625,0.7104125,0.470775,0.8901,0.76,0.8274,0.75,0.8901
TCGA-43-8115-01,-0.2355,0.8855875,0.8124374999999999,0.8901416666666667,0.524,0.27,0.419,0.42,0.524
TCGA-43-8116-01,-0.2383,-0.003050000000000004,0.11249999999999999,-0.075075,0.8401,0.57,0.6915,0.58,0.8401
TCGA-43-8118-01,0.389,-0.6334625,-0.443425,-0.11756666666666667,0.7728,,0.6635,0.33,0.7728
TCGA-43-A474-01,0.0825,-2.1731374999999997,-1.8065875,-2.060408333333333,0.9443,,0.836,0.61,0.9443
TCGA-43-A475-01,0.1041,2.09415,1.9465125,1.438175,0.622,,0.4973,0.34,0.622
TCGA-43-A56U-01,0.3338,0.8908500000000001,1.08415,1.3304749999999999,0.5717,,0.4289,0.17,0.5717
TCGA-43-A56V-01,0.2982,-0.698525,-1.0634625,-0.5196750000000001,0.8997,,0.8744,0.57,0.8997
TCGA-46-3765-01,0.2615,0.14495,0.0655,-0.00927500000000002,0.8042,0.36,0.7446,0.36,0.8042
TCGA-46-3766-01,-0.2859,1.0141125,0.95925,1.1719916666666665,0.3935,0.24,0.3905,0.17,0.3935
TCGA-46-3767-01,0.0302,0.2311625,0.393625,0.6422416666666667,0.506,,0.6325,0.23,0.506
TCGA-46-3768-01,-0.2272,-0.8621625,-0.778425,-0.7859000000000002,0.8889,0.75,0.874,0.75,0.8889
TCGA-46-3769-01,0.2945,0.3853875,0.08512499999999998,0.3752166666666667,0.6878,0.47,0.6086,0.47,0.6878
TCGA-46-6025-01,0.0383,-0.08631250000000001,-0.2640875,-0.22115833333333332,0.8949,0.55,0.7932,0.54,0.8949
TCGA-46-6026-01,-0.6118,-1.1164375,-1.0505625,-0.7871416666666667,0.9631,0.9,0.8758,0.9,0.9631
TCGA-51-4079-01,1.1998,0.03873750000000001,-0.02391250000000001,0.14461666666666664,0.8166,0.63,0.7603,0.62,0.8166
TCGA-51-4080-01,0.064,-1.0571375,-1.2148875,-1.0201500000000001,0.9407,0.96,0.93,0.96,0.9407
TCGA-51-4081-01,-0.5681,-1.4686124999999999,-1.779475,-1.1384166666666664,0.8999,0.64,0.827,0.63,0.8999
TCGA-51-6867-01,0.4156,0.6025875,0.952525,0.5640166666666666,0.8506,0.59,0.7994,,0.8506
TCGA-52-7622-01,-0.0299,0.9773624999999999,1.025975,0.7697916666666668,0.6915,0.26,0.5485,0.39,0.6915
TCGA-52-7809-01,-0.8345,-0.246525,-0.3222125,-0.3612666666666667,0.9148,0.52,0.6793,0.52,0.9148
TCGA-52-7810-01,0.6319,-2.3403374999999995,-1.8811,-1.5734916666666665,0.9212,0.51,0.7048,0.51,0.9212
TCGA-52-7811-01,0.5113,-0.30776250000000005,-0.17636250000000003,-0.21005,0.7831,0.19,0.4559,0.22,0.7831
TCGA-52-7812-01,-0.286,1.3941999999999999,0.9709249999999999,0.39809999999999995,0.7739,0.56,0.6939,0.56,0.7739
TCGA-56-1622-01,0.6274,-1.1312375000000001,-1.0761625000000001,-0.7050249999999999,0.9351,0.82,0.9224,0.9,0.9351
TCGA-56-5897-01,0.3098,0.31839999999999996,0.34028749999999997,0.4784000000000001,0.53,0.19,0.3722,0.32,0.53
TCGA-56-5898-01,0.621,-0.17893750000000003,-0.1913375,-0.3920083333333333,0.7913,0.36,0.7002,0.36,0.7913
TCGA-56-6545-01,-0.594,0.5473000000000001,0.3781,0.66565,0.5419,0.33,0.4759,0.32,0.5419
TCGA-56-6546-01,-1.7244,1.3254875,1.4992874999999999,0.6854250000000001,0.6688,0.26,0.4851,0.41,0.6688
TCGA-56-7221-01,-0.1112,-1.991525,-1.8836000000000002,-1.308775,0.9546,0.58,0.7074,0.58,0.9546
TCGA-56-7222-01,0.3907,-2.2513,-1.96955,-1.7021833333333332,0.9414,0.54,0.6884,0.53,0.9414
TCGA-56-7223-01,-1.458,-1.4871249999999998,-2.122925,-1.3631833333333336,0.9863,0.94,0.9782,0.94,0.9863
TCGA-56-7579-01,1.038,-1.6597624999999998,-1.8325874999999998,-1.2149166666666666,0.8619,0.51,0.6465,0.66,0.8619
TCGA-56-7580-01,0.3332,-0.48778749999999993,-0.3189,-0.5776333333333333,0.8897,0.37,0.666,0.37,0.8897
TCGA-56-7582-01,-0.157,-0.12027499999999999,-0.3083,-0.24896666666666667,0.8317,0.62,0.7664,0.62,0.8317
TCGA-56-7730-01,-0.1943,-1.2725375,-1.6370875,-1.188491666666667,0.9873,0.8,0.9094,0.8,0.9873
TCGA-56-7731-01,0.8046,-0.5313000000000001,-0.04145,0.22519166666666668,0.6611,0.22,0.4905,0.17,0.6611
TCGA-56-7822-01,1.3667,-1.0710125,-0.63835,-0.6121833333333332,0.8522,0.31,0.5781,0.31,0.8522
TCGA-56-7823-01,0.1339,-0.5070625,-0.6302125000000001,-0.9603666666666667,0.9349,,0.724,0.92,0.9349
TCGA-56-8082-01,0.0533,-1.2016875,-1.4724374999999998,-1.1132666666666668,0.9392,0.81,0.8211,0.81,0.9392
TCGA-56-8083-01,-1.2953,-1.2236874999999996,-2.3131625,-1.2906083333333331,0.9619,0.91,0.9587,0.91,0.9619
TCGA-56-8201-01,-0.4114,1.3385,1.2864250000000002,0.9370249999999999,0.4705,0.22,0.3661,0.22,0.4705
TCGA-56-8304-01,1.1026,0.3137125,0.37885,-0.4778333333333333,0.8999,,0.6573,0.54,0.8999
TCGA-56-8305-01,-0.0034,-1.21405,-1.422325,-0.8247249999999999,0.8796,0.41,0.746,0.41,0.8796
TCGA-56-8307-01,-0.9562,0.4628375,0.4712124999999999,0.3213249999999999,0.8098,0.52,0.6589,0.52,0.8098
TCGA-56-8308-01,1.556,-0.6887875000000001,-0.49211250000000006,0.13426666666666667,0.8209,0.45,0.6207,0.44,0.8209
TCGA-56-8309-01,-0.3909,1.3958375,1.1497125,1.4896500000000001,0.5067,0.3,0.4192,0.31,0.5067
TCGA-56-8503-01,0.2252,0.4179625,0.185325,0.49887499999999996,0.5373,,0.4009,0.22,0.5373
TCGA-56-8504-01,-0.0587,0.1919375,0.29117499999999996,-0.3357833333333334,0.7987,,0.6486,0.35,0.7987
TCGA-56-8622-01,1.2005,-1.4894125,-0.6912875000000002,-0.42527499999999985,0.7902,,0.6141,0.47,0.7902
TCGA-56-8623-01,-0.2392,0.5163875,1.285125,0.8172416666666665,0.4287,,0.5632,0.96,0.4287
TCGA-56-8624-01,0.5639,-1.0134249999999998,-0.9627125,-0.5498416666666667,0.8045,,0.7099,0.28,0.8045
TCGA-56-8625-01,-0.4967,1.4898874999999998,1.4582375,1.2582916666666666,0.4464,,0.4194,0.37,0.4464
TCGA-56-8626-01,0.3341,-1.120975,-0.8934875,-0.4634583333333333,0.8318,,0.7398,0.4,0.8318
TCGA-56-8628-01,0.1887,0.35948749999999996,0.21571250000000003,0.5138916666666666,0.6404,,0.6278,0.41,0.6404
TCGA-56-8629-01,0.4904,-0.5901000000000001,-0.3223875,-0.7069166666666667,0.8876,,0.7898,0.62,0.8876
TCGA-56-A49D-01,0.3859,0.807075,1.0853125000000001,0.5336166666666667,0.7759,,0.7062,0.56,0.7759
TCGA-56-A4BW-01,0.5013,-0.003550000000000012,-0.005412500000000001,0.09208333333333334,0.8173,,0.7019,0.58,0.8173
TCGA-56-A4BX-01,0.5594,-2.5540750000000005,-3.5502875,-1.7539999999999998,0.9932,,0.8206,0.87,0.9932
TCGA-56-A4BY-01,1.1293,-0.17286249999999997,-0.3294875,0.05157499999999999,0.8959,,0.7913,0.45,0.8959
TCGA-56-A4ZJ-01,0.6717,-0.12050000000000001,0.15406250000000002,0.2505,0.5791,,0.4783,0.16,0.5791
TCGA-56-A4ZK-01,1.1022,0.8187875,0.47201249999999995,0.27585833333333337,0.7712,,0.6573,,0.7712
