gsm	library	model	treatment	pair	n_cells	spearman_rho	spearman_p
GSM9128165	PC9_Veh	PC9	vehicle	TACSTD2_vs_CLDN4	1420	0.482028143805862	1.6681756406393363e-83
GSM9128165	PC9_Veh	PC9	vehicle	TACSTD2_vs_TJ_SIG	1420	0.5883444760865424	5.372504901624126e-133
GSM9128165	PC9_Veh	PC9	vehicle	TACSTD2_vs_IFN_ISG	1420	0.3197674217455222	4.0301534451889885e-35
GSM9128165	PC9_Veh	PC9	vehicle	TACSTD2_vs_MHC1_APM	1420	0.34887934446110574	6.577875745641801e-42
GSM9128165	PC9_Veh	PC9	vehicle	CLDN4_vs_TJ_SIG	1420	0.6902380180837258	1.740448063799981e-201
GSM9128165	PC9_Veh	PC9	vehicle	CLDN4_vs_IFN_ISG	1420	0.3043869454171879	7.971477529377427e-32
GSM9128165	PC9_Veh	PC9	vehicle	CLDN4_vs_MHC1_APM	1420	0.1079630714779029	4.567968591411369e-05
GSM9128165	PC9_Veh	PC9	vehicle	TJ_SIG_vs_IFN_ISG	1420	0.3634616437040612	1.3710083202685628e-45
GSM9128165	PC9_Veh	PC9	vehicle	TJ_SIG_vs_MHC1_APM	1420	0.40704567675603565	8.6581612695079e-58
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_CLDN4	1401	0.28836739703928577	3.100277540625907e-28
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_TJ_SIG	1401	0.3288219303600775	1.1155816114386068e-36
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_IFN_ISG	1401	0.1807787531010826	9.313266083208972e-12
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_MHC1_APM	1401	0.27991174717444123	1.2362389348289533e-26
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	CLDN4_vs_TJ_SIG	1401	0.7141622997469143	5.6206619368436995e-219
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	CLDN4_vs_IFN_ISG	1401	0.19668901529669575	1.1011836896124521e-13
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	CLDN4_vs_MHC1_APM	1401	0.2753607999015484	8.52896123419243e-26
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	TJ_SIG_vs_IFN_ISG	1401	0.24247888801988005	3.3981377873887946e-20
GSM9101265	T357	patient_357	neoadjuvant_EGFR_TKI_residual	TJ_SIG_vs_MHC1_APM	1401	0.32312495935127705	2.0771235966035652e-35
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_CLDN4	88		
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_TJ_SIG	88	0.3970962700313934	0.00012783583627213726
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_IFN_ISG	88	0.2463502625793653	0.02068374592868776
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	TACSTD2_vs_MHC1_APM	88	0.21297613915105834	0.0463440065167409
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	CLDN4_vs_TJ_SIG	88		
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	CLDN4_vs_IFN_ISG	88		
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	CLDN4_vs_MHC1_APM	88		
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	TJ_SIG_vs_IFN_ISG	88	0.5734747077066316	5.223400585501403e-09
GSM9101264	N357	patient_357	neoadjuvant_EGFR_TKI_residual	TJ_SIG_vs_MHC1_APM	88	0.5645339389751237	1.0123721820856554e-08
