group	direction_tacstd2	delta_mean_tacstd2	direction_cldn4	delta_mean_cldn4	cancer_type	cell_line
MC38_GSE172162_antiPD1	up	0.02013010653810022	down	-0.00729893102448615	Colorectal carcinoma	MC38
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	up	0.7246291585359348	up	0.33360000272349166	Lung carcinoma	LLC
LLC_GSE155972_antiCTLA4&antiPD1	up	0.13259432798655757	up	0.08069353897217502	Lung carcinoma	LLC
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1	down	-1.3419547718580098	down	-1.1549044068178347	Mammary cancer, NOS	KPB25L
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1	up	0.31742501730251327	down	-0.2042487063514269	Mammary cancer, NOS	KPB25L
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1	up	1.0385373579553576	up	0.24580246373552317	Mammary cancer, NOS	KPB25L
KPB25L_GSE124821_end_antiCTLA4&antiPD1	up	0.3756147619162684	down	-0.36536044314325267	Mammary cancer, NOS	KPB25L
KPB25L_GSE124821_day7_antiCTLA4&antiPD1	down	-0.25010101245942984	down	-0.38429642210892556	Mammary cancer, NOS	KPB25L
KPB25L_GSE124821_day3_antiCTLA4&antiPD1	up	0.06184884344780528	down	-1.4531931964443352	Mammary cancer, NOS	KPB25L
EMT6_GSE107801_antiTGFb_trap_antiPDL1	up	0.6466757896831523	up	0.7372514766606637	Mammary carcinoma	EMT6
EMT6_GSE107801_antiPDL1	up	0.044972972277203316	up	0.24369957232656164	Mammary carcinoma	EMT6
E0771_GSE174053_high.fat.diet_antiPD1	up	0.009815545034404183	down	-0.03612687105161638	Mammary adenocarcinoma	E0771
D4M.3A.3_GSE159344_antiPD1	up	0.1613987199705567	down	-0.09632113449793633	Melanoma	D4M.3A.3
D3UV2_GSE159344_antiPD1	up	0.8488536926945518	up	0.47576772698160646	Melanoma	D3UV2
CT26_GSE153239_FcS_antiTGFb_antiPD1	up	0.28511384108170107	up	0.26353389491261076	Colorectal carcinoma	CT26
CT26_GSE153239_FcS_antiPD1	up	0.15507255575346612	up	0.18301667894231755	Colorectal carcinoma	CT26
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1	up	0.27647734220176834	up	0.4323365549751939	Colorectal carcinoma	CT26
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1	up	0.3581193772674359	up	0.5494155838807742	Colorectal carcinoma	CT26
CT26_GSE139475_antiPD1	down	-0.3166630333827094	down	-0.35518461436611126	Colorectal carcinoma	CT26
CT26_ERP114266_day7_antiCTLA4&antiPDL1	up	0.3178761368481633	down	-0.1347896160615638	Colorectal carcinoma	CT26
CT26_ERP114266_day14_antiCTLA4&antiPDL1	up	0.4125749887695861	up	0.3557798711441931	Colorectal carcinoma	CT26
BNL-MEA_GSE148947_regorafenib_5_antiPD1	up	0.032338412145901566	up	0.3228498119624489	Hepatocellular carcinoma	BNL-MEA
BNL-MEA_GSE148947_antiPD1	down	-0.05201996387775577	up	0.4280656352929276	Hepatocellular carcinoma	BNL-MEA
B16_GSE152925_swainsonine_antiPDL1	down	-0.013115540614165838	up	0.07955452141291092	Melanoma	B16
B16_GSE152925_Man2a1_KO_antiPDL1	up	0.020458133410393733	tie	0.0	Melanoma	B16
B16_GSE152925_antiPDL1	up	0.013112900419935384	down	-0.01819598514681163	Melanoma	B16
B16_GSE151829_antiCTLA4	up	0.2057913145666739	up	0.0625853656053321	Melanoma	B16
B16_GSE151829_Aire_KO_antiCTLA4	up	0.40818126284507483	down	-0.17280829763609185	Melanoma	B16
B16_GSE150401_MDK_knockdown_antiPD1	up	0.21215404398300575	up	0.07422023008169075	Melanoma	B16
B16_GSE150401_antiPD1	up	0.0574797835081895	tie	0.0	Melanoma	B16
B16_GSE149825_birinapant_antiCTLA4&antiPD1	up	2.5083650840519156	up	1.4656859358862575	Melanoma	B16
B16_GSE149825_antiCTLA4&antiPD1	up	0.002762999666898011	up	0.017317774064741366	Melanoma	B16
B16_GSE109485_intracranial_antiCTLA4&antiPD1	up	0.016657279809116098	down	-0.0006103877145249666	Melanoma	B16
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	up	0.0035001252860444665	up	0.0005918980905810334	Melanoma	B16
4T1_GSE137818_Brca2_KO_antiPD1	up	0.05797231164456296	up	0.0745643624230814	Mammary carcinoma	4T1
4T1_GSE137818_Brca1_KO_antiPD1	down	-0.12875531751893554	down	-0.07883773655259496	Mammary carcinoma	4T1
4T1_GSE132529_antiPD1	up	0.011692352408712914	down	-0.013089217227410188	Mammary carcinoma	4T1
4T1_GSE130472_young_antiPDL1	down	-0.3140224897515851	up	0.13052614589219846	Mammary carcinoma	4T1
4T1_GSE130472_young_antiCTLA4	up	0.1943267067539738	down	-0.4153165821877369	Mammary carcinoma	4T1
4T1_GSE130472_old_antiPDL1	down	-0.5961262457263146	down	-0.15977351106892623	Mammary carcinoma	4T1
4T1_GSE130472_old_antiCTLA4	down	-0.4132634957277683	down	-0.013239553734247345	Mammary carcinoma	4T1
402230_GSE148856_radiation_antiPD1	up	0.18562829636519473	down	-0.08367406932837057	Sarcoma	402230
402230_GSE148856_antiPD1	up	0.23804778373791413	up	0.09927756322286346	Sarcoma	402230
