accession	sample	group	patient	TACSTD2	CLDN4
GSE225620	post15	post		4.0	0.0
GSE225620	post16	post		51.0	0.0
GSE225620	post17	post		68.0	0.0
GSE225620	post18	post		8.0	3.0
GSE225620	post19	post		19.0	1.0
GSE225620	post20	post		6.0	0.0
GSE225620	post21	post		61.0	0.0
GSE225620	sampleF1	normal		3.0	0.0
GSE225620	sampleH1	normal		2.0	4.0
GSE225620	sampleL1	normal		0.0	1.0
GSE225620	sampleLC1	normal		0.0	2.0
GSE225620	sampleS1	normal		3.0	0.0
GSE260770	E-lncA411-69h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-42h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-43h	Non-responsed to sintilimab		0.024656	0.0
GSE260770	E-lncA411-44h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-45h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-46h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-11h	Responsed to sintilimab		0.0	0.194652
GSE260770	E-lncA411-12h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-13h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-14h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-47h	Non-responsed to sintilimab		0.030599	0.0
GSE260770	E-lncA411-76h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-77h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-78h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-21h	Responsed to sintilimab		0.0	0.009863
GSE260770	E-lncA411-23h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-22h	Responsed to sintilimab		1.84784	0.0
GSE260770	E-lncA411-24h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-60h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-26h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-01h	Responsed to sintilimab		0.0	0.009653
GSE260770	E-lncA411-02h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-03h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-04h	Responsed to sintilimab		0.0	0.484565
GSE260770	E-lncA411-05h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-06h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-27h	Non-responsed to sintilimab		0.153942	0.0
GSE260770	E-lncA411-28h	Non-responsed to sintilimab		0.25383	0.0
GSE260770	E-lncA411-29h	Non-responsed to sintilimab		0.055438	0.0
GSE260770	E-lncA411-30h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-54h	Responsed to sintilimab		0.0	0.289202
GSE260770	E-lncA411-08h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-56h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-10h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-15h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-16h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-17h	Responsed to sintilimab		0.0	0.010578
GSE260770	E-lncA411-18h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-19h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-20h	Responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-35h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-36h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-37h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-38h	Non-responsed to sintilimab		1.902972	0.642887
GSE260770	E-lncA411-68h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-40h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-31h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-32h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-65h	Non-responsed to sintilimab		0.0	0.0
GSE260770	E-lncA411-34h	Non-responsed to sintilimab		0.0	0.0
GSE265899	tumor001	tumor		321.8534184	71.52298186
GSE265899	immune001	immune		40.77351807	19.41596098
GSE265899	tumor002	tumor		287.8130687	74.00907481
GSE265899	immune002	immune		59.54228035	7.766384394
GSE265899	tumor003	tumor		149.1145804	56.69460607
GSE265899	immune003	immune		28.56025229	11.2737838
GSE265899	tumor004	tumor		115.3308082	36.11368743
GSE265899	immune004	immune		21.30208291	13.97949191
GSE265899	tumor005	tumor		176.2631588	99.27465268
GSE265899	immune005	immune		37.0045374	12.3348458
GSE265899	tumor006	tumor		254.6651627	66.10457414
GSE265899	immune006	immune		44.80606381	17.92242552
GSE265899	tumor007	tumor		213.5755708	72.32445467
GSE265899	immune007	immune		90.8666974	27.95898382
GSE265899	tumor008	tumor		175.4289181	57.56261374
GSE265899	immune008	immune		32.61881445	13.97949191
GSE265899	tumor009	tumor		416.3190792	182.7144118
GSE265899	immune009	immune		28.78130687	26.04023003
GSE265899	tumor010	tumor		320.2140027	132.6259489
GSE265899	immune010	immune		21.84295611	21.84295611
GSE265899	tumor011	tumor		279.1238551	219.944006
GSE265899	immune011	immune		31.06553757	19.41596098
GSE265899	tumor012	tumor		292.9868512	161.3466358
GSE265899	immune012	immune		19.06294351	8.472419338
GSE265899	tumor013	tumor		243.582056	199.1018545
GSE265899	tumor014	tumor		260.5268947	193.0501264
GSE265899	immune014	immune		29.12394148	11.64957659
GSE265899	tumor015	tumor		121.932235	126.5920656
GSE265899	immune015	immune		12.42621503	17.08604567
GSE265899	tumor016	tumor		251.1130954	139.7949191
GSE265899	immune016	immune		23.29915318	12.94397399
GSE265899	tumor017	tumor		113.7546891	163.0940723
GSE265899	immune017	immune		13.97949191	13.20285347
GSE265899	tumor018	tumor		101.9337952	135.4263279
GSE265899	immune018	immune		11.33472317	20.15061897
GSE265899	tumor019	tumor		132.4372918	129.9847493
GSE265899	immune019	immune		26.62760364	13.31380182
GSE265899	tumor020	tumor		185.5611128	103.1819641
GSE265899	immune020	immune		29.95605409	36.612955
GSE265899	tumor021	tumor		31.06553757	31.06553757
GSE265899	immune021	immune		10.19337952	32.03633562
GSE265899	tumor022	tumor		23.29915318	26.62760364
GSE265899	immune022	immune		15.94152586	15.94152586
GSE265899	tumor023	tumor		97.37851201	83.63798578
GSE265899	immune023	immune		26.12329296	27.53536285
GSE265899	tumor024	tumor		62.90771359	61.74275593
GSE265899	immune024	immune		24.26995123	27.18234538
GSE265899	tumor025	tumor		115.3862824	96.52506318
GSE265899	immune025	immune		24.26995123	10.67877854
GSE265899	tumor026	tumor		143.5227836	92.2646466
GSE265899	immune026	immune		12.94397399	12.94397399
GSE265899	tumor027	tumor		202.5234084	55.55951912
GSE265899	immune027	immune		11.64957659	13.31380182
GSE265899	tumor028	tumor		100.2876593	90.15759274
GSE265899	immune028	immune		34.94872977	20.38675903
GSE265899	tumor029	tumor		189.1669342	70.45220128
GSE265899	immune029	immune		32.89292214	17.81699949
GSE265899	tumor030	tumor		179.7363245	64.90478386
GSE265899	immune030	immune		23.29915318	23.29915318
GSE265899	tumor031	tumor		132.9993327	51.45229661
GSE265899	immune031	immune		23.29915318	6.656900909
GSE265899	tumor032	tumor		123.9091328	99.55092723
GSE265899	immune032	immune		16.94483868	21.18104835
GSE265899	tumor033	tumor		243.582056	132.0285347
GSE265899	immune033	immune		28.47674278	16.82716619
GSE265899	tumor034	tumor		155.3276879	100.9629971
GSE265899	immune034	immune		17.00208475	14.48325738
GSE265899	tumor035	tumor		214.7574119	140.8079257
GSE265899	immune035	immune		12.94397399	24.59355058
GSE265899	tumor036	tumor		309.5458923	337.8377211
GSE265899	immune036	immune		15.26496243	20.88889596
GSE265899	tumor037	tumor		193.882239	99.85351363
GSE265899	immune037	immune		41.11615267	21.92861476
GSE265899	tumor038	tumor		141.1654575	96.62295878
GSE265899	immune038	immune		29.77114018	28.47674278
GSE265899	tumor039	tumor		151.8462052	111.6752515
GSE265899	immune039	immune		20.96923786	11.64957659
GSE265899	tumor040	tumor		189.3802964	119.4828368
GSE265899	immune040	immune		29.82291607	26.09505156
GSE265899	tumor041	tumor		258.6206003	162.6280892
GSE265899	immune041	immune		27.95898382	18.63932254
GSE265899	tumor042	tumor		248.6736541	132.6259489
GSE265899	immune042	immune		25.41725802	19.06294351
GSE265899	tumor043	tumor		232.6330833	212.9184152
GSE265899	immune043	immune		10.67877854	16.50356684
GSE265899	tumor044	tumor		148.2673384	136.0882356
GSE265899	immune044	immune		18.23411988	18.23411988
GSE265899	tumor045	tumor		179.065266	190.7148426
GSE265899	immune045	immune		22.28614652	15.1950999
GSE265899	tumor046	tumor		172.772182	161.3018297
GSE265899	immune046	immune		37.72243848	37.72243848
GSE265899	tumor047	tumor		147.4339857	125.2806925
GSE265899	immune047	immune		18.44516293	25.24074928
GSE265899	tumor048	tumor		80.41965775	109.3557028
GSE265899	immune048	immune		24.96337841	16.64225227
