label	family	cohorts	unit_kind	k	n	n_malignant	n_epithelial_like	rho_mean	p_mean	rho_pct	p_pct	n_spearman	spearman_ok	merge_ok	r_rb	p_q4q1	n_q1	n_q4	n_compared	delta_median	thin_q4q1	q4q1_ok	clear_q4_drop	rho_neg_sig	cellchat_trigger	note	malignant_only_filter
GSE117570	sample_malignant	GSE117570	sample	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	True
GSE143423	sample_malignant	GSE143423	sample	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	True
GSE117570+GSE143423	sample_malignant	GSE117570+GSE143423	sample	2	4	4	0	-1.0	0.0	-0.39999999999999997	0.6	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	True
GSE117570	sample_mixed	GSE117570	sample	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	False
GSE143423	sample_mixed	GSE143423	sample	1	2	2	0					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	False
GSE146100	sample_mixed	GSE146100	sample	1	3	0	3	-0.5	0.6666666666666666	-0.5	0.6666666666666666	3	False	False			0	0	0		True	False	False	False	False	n=3<5; Spearman not a claim	False
GSE149655	sample_mixed	GSE149655	sample	1	2	0	2					2	False	False			0	0	0		True	False	False	False	False	n=2<5; Spearman not a claim	False
GSE117570+GSE143423	sample_mixed	GSE117570+GSE143423	sample	2	4	4	0	-1.0	0.0	-0.39999999999999997	0.6	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	False
GSE117570+GSE146100	sample_mixed	GSE117570+GSE146100	sample	2	5	2	3	0.3	0.623837664781073	0.0	1.0	5	True	False			0	0	0		True	False	False	False	False	n=5<8; merge threshold not met	False
GSE117570+GSE149655	sample_mixed	GSE117570+GSE149655	sample	2	4	2	2	-0.39999999999999997	0.6	0.39999999999999997	0.6	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	False
GSE143423+GSE146100	sample_mixed	GSE143423+GSE146100	sample	2	5	2	3	-0.6	0.28475697986529386	0.09999999999999999	0.8728885715695384	5	True	False			0	0	0		True	False	False	False	False	n=5<8; merge threshold not met	False
GSE143423+GSE149655	sample_mixed	GSE143423+GSE149655	sample	2	4	2	2	0.0	1.0	0.0	1.0	4	False	False			0	0	0		True	False	False	False	False	n=4<5; Spearman not a claim	False
GSE146100+GSE149655	sample_mixed	GSE146100+GSE149655	sample	2	5	0	5	-0.7999999999999999	0.10408803866182788	0.09999999999999999	0.8728885715695384	5	True	False			0	0	0		True	False	False	False	False	n=5<8; merge threshold not met	False
GSE117570+GSE143423+GSE146100	sample_mixed	GSE117570+GSE143423+GSE146100	sample	3	7	4	3	-0.28571428571428575	0.5345092286010406	0.0	1.0	7	True	False	-0.5	0.6666666666666666	2	2	4	-0.25580482690663603	True	True	False	False	False	n=7<8; merge threshold not met; Q4 vs Q1 thin	False
GSE117570+GSE143423+GSE149655	sample_mixed	GSE117570+GSE143423+GSE149655	sample	3	6	4	2	-0.4285714285714286	0.3965014577259473	-0.08571428571428573	0.8717434402332361	6	True	False	-1.0	0.3333333333333333	2	2	4	-0.15995036907606958	True	True	False	False	False	n=6<8; merge threshold not met; Q4 vs Q1 thin	False
GSE117570+GSE146100+GSE149655	sample_mixed	GSE117570+GSE146100+GSE149655	sample	3	7	2	5	-0.21428571428571433	0.6445115810207203	0.28571428571428575	0.5345092286010406	7	True	False	-0.5	0.6666666666666666	2	2	4	-0.2446744395847515	True	True	False	False	False	n=7<8; merge threshold not met; Q4 vs Q1 thin	False
GSE143423+GSE146100+GSE149655	sample_mixed	GSE143423+GSE146100+GSE149655	sample	3	7	2	5	-0.5	0.2531699951003227	0.07142857142857144	0.879048193148154	7	True	False	-1.0	0.3333333333333333	2	2	4	-0.4626117746258942	True	True	False	False	False	n=7<8; merge threshold not met; Q4 vs Q1 thin	False
GSE117570+GSE143423+GSE146100+GSE149655	sample_mixed	GSE117570+GSE143423+GSE146100+GSE149655	sample	4	9	4	5	-0.33333333333333337	0.38071318167686347	0.09999999999999999	0.797971695234851	9	True	True	-0.33333333333333337	0.8	3	2	5	-0.07443001510103298	True	True	False	False	False	Q4 vs Q1 thin	False
