accession,uid,title,summary,pdat,taxon,n_samples,gdsType,gpl
GSE193534,200193534,Distant antimetastatic effect of enterotropic colon cancer-derived α4β7 CD8 T cells [bulk RNA-seq],"Despite the high prognostic value of immune infiltrates in colorectal cancer (CRC), metastatic disease remains resistant to immunotherapy by immune checkpoint blockade (ICB). Here we show in a metastatic CRC multi-tumor preclinical model that orthotopically-implanted primary colon tumors can spontaneously exert a colon-specific and immune-dependent antimetastatic effect on distant hepatic lesions. An immune signature, integrating antitumor CD8 T cells, dendritic cells and protumor macrophages, that we called MicroEnvironment (ME)-score, was predictive of the antimetastatic effect. ScRNA-Seq and phenotypic analyses revealed that enterotropic α4β7 integrin expressing tumor neoantigen-specific CD8 T cells were key components of the systemic immune response responsible for the antimetastatic effect. Accordingly, the presence of concomitant colon tumors improved the efficacy of proof-of-concept ICB on liver lesions and generated a protective memory immune response whereas antibody-mediated partial depletion of α4β7+ cells abrogated the control of metastatic disease by the primary tumor. Finally, in a metastatic CRC patients’ cohort, we show increased expression of genes encoding the α4β7 integrin and of the ME-score in ICB responsive metastases concomitant with increased proportions of circulating α4β7+ CD8 T cells. Our findings identify a systemic cancer immunosurveillance role for gut primed tumor-specific α4β7+ CD8 T cells. ",2023/11/01,Homo sapiens,33,Expression profiling by high throughput sequencing,21697
GSE195770,200195770,Idiopathic pulmonary fibrosis (IPF),"Idiopathic pulmonary fibrosis (IPF) is a disease related to AT2 cell. We used flow cytometry to analyze the epithelial component of donor and IPF lungs. From the live cells, we first excluded the CD31PosCD45Pos and then selected the EPCAMPos cells for further analysis using the human AT2 cell marker HTll-280 and the surface marker PD-L1. Our data indicate that, the bona fide differentiated AT2 cells (HTll-280High PD-L1Neg), were drastically reduced in the context of IPF. More interestingly, the number of HTll-280Low/Neg PD-L1High was drastically increased, suggesting that HTll-280Low PD-L1High epithelial cells could represent a pool of progenitors linked to the deficient AT2 lineage. The aim of this experiment is further characterization of AT2 and PDL1+ cells in donor and IPF.",2023/01/01,Homo sapiens,8,Expression profiling by array,20844
GSE198099,200198099,Immune suppressive landscape in the human non-small cell lung cancer microenvironment,"Background: Lung cancer is the one of the malignant tumors with the highest morbidity and mortality in China and even the world. The overall five-year survival rate is about 20%, and most patients die of tumor metastasis. Non-small cell lung cancer (NSCLC) is the main pathologic type of lung cancer. The development and metastasis of tumor cells is influenced by the interaction with other cells in the environment. To explore the molecular expression spectrum of tumor and tumor microenvironment can provide clues for the mechanism of tumor progression, drug resistance and metastasis. The emergence of single cell ribonucleic acid sequencing (scRNA-seq) technology can explore the genomic and transcriptional characteristics of different tumor cells at the single cell resolution, which can reveal the molecular characteristics of individual cells and the relationship between individuals and the environment, thus making it possible to further understand the genesis and progression of NSCLC. Methods: ScRNA-seq (10X genomics) was used to detect single-cell transcriptomes in 2 patients with NSCLC, aiming to more accurately explore the effects of the transcriptome in a single cell on its function and the progression of NSCLC, and to find new cell subtypes or molecular targets for drug therapy. Results: The tumor tissue, distant normal tissue, and lymph node tissue of 2 patients with NSCLC were analyzed. A total of 43779 cells were analyzed, which were classified into epithelial cells, T lymphocytes, natural killer cells (NK cells), B lymphocytes, myeloid cells, endothelial cells, fibroblasts, and MAST cells. Tumor cells showed signature markers of epithelial (EPCAM, KRT7, KRT8, KRT18, CDH1, etc.) and tumor (KRT19, ENO2, SLC25A2, UBE2C, etc.) markers. Additionally, the acquired immunity is activated in the tumor microenvironment, while the innate immunity is exhausted. The proportion of B lymphocytes increases, and immunosuppressive tumor-infiltrating B cells (CD19+, MS4A1+, CD69+, CD27-, CR2-) are observed, which are capable of participating in the induction of exhausted regulatory T cells. The proportion of cytotoxic CD8+ T cells in T lymphocyte population decreases, and the number of exhausted regulatory T cells and exhausted follicular helper T cells increases. They all express LAG3+, TIGIT+, PDCD1+, CTLA4+, and other suppressive markers, showing a state of immunosuppression. High expression of WFDC2 in T cells has a significant effect on prognosis. NK cells show a state of depletion, not only in number, but also gradually transform into a less cytotoxic subtype (CD56+, CD16-). In addition, myeloid cells also play an important role in disrupting the anti-tumor immune response. Tumor associated macrophages (TAMs) and plasmacytoid dendritic cells (pDCs) are enriched in tumor tissue. TAMs highly express anti-inflammatory markers (APOE+, C1QA+, C1QB+) and proliferative markers (MKI67+, STMN1+, NUSAP1+), which are closely related to tumor progression and metastasis. TAMs show M2 type polarization of macrophages, which has a tumor promoting effect. At the same time, TAMs express monocyte markers, which may be transformed from monocyte derived macrophages. Macrophages highly express CXCL8, CCL2, and other genes, which participate in Toll-like receptor, NOD-like receptor signaling pathway, and have a significant impact on the prognosis. pDCs are immunosuppressive cells. The high expression of LILR family genes and GZMB in pDCs may lead to poor tumor antigen presentation of lung squamous cell carcinoma. Dendritic cells highly express NLRP3, IRF7, and other genes, which participate in C-type lectin receptor, Toll-like receptor, NOD-like receptor signaling pathway, and have a significant impact on the prognosis. In addition to the immune system, fibroblasts in the stroma also show characteristics of immunosuppressive cells. Enrichment of Cancer-associated fibroblasts (CAFs) in tumor can promote immunosuppression and tumor progression. Among them, a special subtype termed inflammatory CAFs is found, which participate in the process of extracellular matrix remodeling, angiogenesis, and cell migration, resulting in promoting tumor progression. Fibroblasts highly express FN1, TIMP1, and hub gene SPP1, which interact with macrophages, participate in PI3K-AKT pathway, and have a significant impact on the prognosis. Conclusions: NSCLC shows heterogeneous tumor microenvironment. A variety of immune cells and stromal cells together lead to immunosuppressive environment and promote the progression of tumor. This study enhances our understanding of molecular and cellular dynamics of NSCLC, and reveals potential diagnostic and therapeutic targets in tumor microenvironment.",2023/12/31,Homo sapiens,6,Expression profiling by high throughput sequencing,24676
GSE200146,200200146,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [human RNA-Seq],"Decreased antigen presentation contributes to the ability of cancer cells to evade the immune system. We used the minimal gene regulatory network of type 1 conventional dendritic cells (cDC1) to reprogram cancer cells into professional antigen- presenting cells (tumor-APCs). Enforced expression of the transcription factors PU.1, IRF8, and BATF3 (PIB) was sufficient to induce cDC1 phenotype in 36 cell lines derived from human and mouse hematological and solid tumors. Within 9 days of reprogramming, tumor-APCs acquired transcriptional and epigenetic programs associated with cDC1 cells. Reprogramming restored the expression of antigen presentation complexes and costimulatory molecules on the surface of tumor cells, allowing the presentation of endogenous tumor antigens on MHC-I, and facilitating targeted killing by CD8+ T cells. Functionally, tumor-APCs engulfed and processed proteins and dead cells, secreted inflammatory cytokines, and cross- presented antigens to naïve CD8+ T cells. Human primary tumor cells could also be reprogrammed to increase their capability to present antigen and to activate patient-specific tumor-infiltrating lymphocytes. In addition to acquiring improved antigen presentation, tumor-APCs had impaired tumorigenicity in vitro and in vivo. Injection of in vitro generated melanoma-derived tumor-APCs into subcutaneous melanoma tumors delayed tumor growth and increased survival in mice. Antitumor immunity elicited by tumor-APCs was synergistic with immune checkpoint inhibitors. Our approach serves as a platform for the development of immunotherapies that endow cancer cells with the capability to process and present endogenous tumor antigens.",2023/07/07,Homo sapiens,249,Expression profiling by high throughput sequencing,18573
GSE201021,200201021,Pan-cancer tumor-specific antigens and membrane targets from transposable elements,"We charted the transcription start sites (TSSs) landscape globally to determine the expressed isoform of each gene and validate the precence of transposable element-derived transcript. Cryptic promoters within transposable elements (TEs) are transcriptionally reactivated in tumors to create novel TE-gene chimeric transcripts, which can produce immunogenic antigens. We performed the most comprehensive screen to date for these TE exaptation events in 33 TCGA tumortypes,675 cancer cell lines, and 11,686 GTEx adult tissue transcriptomes and identified 201,068 TE-exapted candidates with the potential to generate shared tumor-specific TE-chimeric antigens (TS-TEAs). Resultant whole lysate and HLA-pull down mass spectrometry data confirmed that TS-TEAs are presented on cancer cell surfaces. In addition, we highlight the tumor-specific membrane proteins transcribed from TE promoters that can expose novel epitopes on the extracellular surface of cancer cells. Here, we showcase the high pan-cancer prevalence of TS-TEAs and atypical membrane proteins that can be therapeutically exploited through immunotherapy approaches.",2023/01/20,Homo sapiens,23,Other,18573
GSE201460,200201460,­The proteasome regulator PSME4 reduces the response to immunotherapy by abrogating tumor immunogenicity in NSCLC,"Disruption in proteostasis is a hallmark of cancer, with aberrations in proteasome-mediated degradation highly implicated in this malignancy. Proteasomes further bear critical importance in tumor immunogenicity by regulating inflammatory signaling, promoting immune cell activation and playing a crucial role in antigen processing and presentation. Indeed, response to immunotherapy in melanoma patients has been recently linked to increased expression of immunoproteasomes, a specialized form of proteasomes that are upregulated under inflammatory conditions. Yet, the percentage of patients that respond to therapy remains low, and the underlying mechanisms driving resistance remain poorly understood. Further, comprehensive analysis of the role proteasomes play in the pathophysiology of cancer and as a modulator of anti-tumor immunity is remains lacking. Here, we show that proteasome complex composition varies across cancer types and can be used to stratify patient response to immunotherapy. Specifically, we found that the proteasome regulator PSME4 is upregulated in NSCLC and associated with poor prognosis. We show that PSME4 alters proteasome activity and antigen processing attenuating the antigenic diversity and presentation. Through exacting biochemical assays, proteasome profiling of patient-derived NSCLC samples, combined with scRNA-seq, immunopeptidomics and in vivo analyses we uncovered a novel mechanism of immune evasion mediated by PSME4, which promotes an immunosuppressive tumor microenvironment and abrogates anti-tumor immunity. Collectively, our approach may be adapted to other cancer types and pathological settings and affords a novel paradigm by which proteasome composition heterogeneity should be examined and targeted in the context of precision oncology.",2023/02/26,Homo sapiens,4,Expression profiling by high throughput sequencing,18573
GSE201514,200201514,TSC2 regulates tumor susceptibility to TRAIL-mediated T cell killing by orchestrating mTOR signaling,"Resistance to immunotherapy continues to impair common clinical benefit. Here, we uncover an important role for Tuberous Sclerosis 2 (TSC2) in tumor susceptibility to killing by cytotoxic T lymphocytes, both in in vitro and in vivo. TSC2-depleted tumor cells show disruption of mTOR regulation upon CTL attack, which was associated by enhanced cell death responses. Mechanistically, we observed induced TRAIL receptor expression in TSC2-depleted cells, causing enhanced TRAIL sensitivity of tumor cells. Corroborating these data clinically, a negative correlation between TSC2 expression and TRAIL signaling was found in TCGA patient cohorts. Moreover, a lower TSC2 immune response signature was observed in melanoma patients responding to immune checkpoint blockade. Our study reveals a critical role for TSC2 in cancer immune response by crosstalk between TSC2-mTOR and TRAIL signaling, and merits therapeutic exploration of this pathway for immuno-oncology.",2023/01/19,Homo sapiens,16,Expression profiling by high throughput sequencing,16791
GSE205049,200205049,Spatially Resolved Multi-Omics Single-Cell Analyses Inform Mechanisms of Immune Dysfunction in Pancreatic Cancer,"As pancreatic ductal adenocarcinoma (PDAC) continues to be recalcitrant to therapeutic interventions including poor response to immunotherapy, albeit effective in other solid malignancies, a more nuanced understanding of the immune microenvironment in PDAC is urgently needed. Using a spatially-resolved multimodal single cell approach we unveil a detailed view of the immune micromilieu in PDAC with specific emphasis on the correlation of immune subtypes with patient prognosis. We substantiate the exhausted phenotype of CD8 T cells and immunosuppressive features of myeloid cells, and highlight immune subpopulations with potentially underappreciated roles in PDAC that diverge from immune populations within adjacent normal areas, particularly CD4 T cell subsets presenting immunosuppressive phenotypes with varying modes of exhaustion. We reveal striking differences between immune phenotypes in PDAC and lung adenocarcinoma, which explain their differential responsiveness to current immunotherapies, providing a comprehensive resource for functional studies and the exploration of therapeutically actionable targets in PDAC.",2023/07/20,Homo sapiens,18,Expression profiling by high throughput sequencing,20301
GSE205354,200205354,Spatially resolved multi-omics single-cell analyses inform mechanisms of immune-dysfunction in pancreatic cancer,"As pancreatic ductal adenocarcinoma (PDAC) continues to be recalcitrant to therapeutic interventions including poor response to immunotherapy, albeit effective in other solid malignancies, a more nuanced understanding of the immune microenvironment in PDAC is urgently needed. Using a spatially-resolved multimodal single cell approach we unveil a detailed view of the immune micromilieu in PDAC with specific emphasis on the correlation of immune subtypes with patient survival. We substantiate the exhausted phenotype of CD8 T cells and immunosuppressive features of myeloid cells, and highlight immune subpopulations with potentially underappreciated roles in PDAC, particularly CD4 T cell subsets presenting immunosuppressive phenotypes with varying modes of exhaustion. We also demonstrate the dynamic changes associated with transcriptional reprogramming of immune subtypes within adjacent normal tissue and tumor surrounding stroma, and further reveal striking differences between immune phenotypes in PDAC and lung adenocarcinoma, which at least partially explain their differential responsiveness to current immunotherapies and might have implications for the development of novel treatment strategies.",2023/07/20,Homo sapiens,8,Expression profiling by high throughput sequencing,21697
GSE207422,200207422,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,"To address the potential therapy-resistant mechanisms and underly the changes of tumor microenvironment (TME) after immunotherapy, we performed scRNA-seq  and bulk RNA-seq from the patients with resectable non-small cell lung cancer (NSCLC) before and after PD-1 blockade combined with chemotherapy. We found that the combined therapy significantly remodeled the immune cell compartments in the TME. Patients with different pathologic responses had distinct characteristics of malignant cells and immune cell compositions. Our study provided several potential biomarkers for future immunotherapy and novel strategies to improve response.",2023/03/21,Homo sapiens,39,Expression profiling by high throughput sequencing,24676
GSE211282,200211282,Rewiring Cancer Drivers to Activate Apoptosis,"Genes that drive the proliferation, survival, invasion and metastasis of malignant cells have been identified for manyhuman cancers. Independent studies have identified cell death pathways that eliminate cells by an altruistic form of suicide. The coexistence of the cell death pathways with the driver mutations suggest that the cancer driver could be reprogrammedto activate cell death. We have invented a new class of molecules: TCIPs (Transcriptional/EpigeneticChemical 20Inducers of Proximity) that recruit the cancer driver, or a downstream transcription factor,to the promoters of cell death genesmthereby activating their expression. To develop this concept, we have focused on diffuse largeB cell lymphoma(DLBCL),in which BCL6 is amplified or mutated. BCL6 binds to the promoters of cell death genes and epigenetically suppresses their expression. We produced the first TCIPs by chemically linking BCL6 inhibitors with small molecule binders to transcriptional activators. Several of these molecules robustly kill DLBCL at single-digit nanomolar concentrations, including chemotherapy-resistant, TP53-mutant lines. The dominant gain-of-function approach provided by TCIPs allows access to therapeutic space unreachable to conventional small molecule inhibitors or degraders, RNAi,or CRISPR(i). TCIPs are relatively non-toxic to normal cells and selective in malignant cells, reflecting their need for coincident expression of both target proteins for effective killing. The later attribute should allow highly personalized treatment. The general TCIP concept has applications in elimination of senescent cells, enhancing expression of therapeutic genes, treatment of diseases produced by haploinsufficiency,and activation of immunogens for immunotherapy.",2023/05/03,Homo sapiens; Mus musculus,85,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,24247;24676
GSE213590,200213590,FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis,"Lung cancer brain metastasis (LCBM) is a leading cause of mortality in lung cancer patients, with a median survival of merely 4-6 months post-metastasis. Ferroptosis, an iron-dependent form of programmed cell death, has emerged as a key regulator of cancer metastasis, yet its role and underlying mechanisms in LCBM remain elusive. This study investigates the involvement of ferroptosis resistance and the transcription factor FOS in LCBM progression. Through single-cell RNA sequencing (scRNA-seq) and clinical sample validation, we identified prominent ferroptosis resistance in LCBM tissues, characterized by elevated expression of resistance markers (e.g., GPX4, SLC7A11) and reduced pro-ferroptotic factors (e.g., ACSL4, TFRC). Functional assays demonstrated that ferroptosis activation inhibits epithelial-mesenchymal transition (EMT) and LCBM both in vitro and in vivo. Notably, FOS expression was progressively downregulated from normal lung tissues to primary lung cancer and LCBM tissues, and FOS overexpression significantly suppressed ferroptosis resistance and brain metastasis. Mechanistically, FOS transcriptionally inhibits the NRF2-SLC3A2-GPX4 axis while promoting the SLC39A8-ACSF2 axis, thereby regulating iron and lipid metabolism to induce ferroptosis. Additionally, FOS overexpression disrupts aberrant crosstalk between lung cancer epithelial cells and cancer-associated fibroblasts (CAFs), blocking CAF-mediated extracellular matrix (ECM) remodeling and cancer cell PD-L1-driven immunosuppression. Notably, FOS overexpression also enhances cisplatin sensitivity in chemo-resistant lung cancer cells, reinforcing its therapeutic potential. Our findings reveal FOS as a critical regulator of ferroptosis and CAF function in LCBM, highlighting targeting FOS and ferroptosis as a novel therapeutic strategy to improve outcomes for lung cancer patients with brain metastasis.",2023/09/20,Homo sapiens,6,Expression profiling by high throughput sequencing,11154
GSE213902,200213902,The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer,"Lack of reliable predictive biomarkers is a major limitation of combination therapy with chemotherapy and anti-PD-1 therapy (chemo-immunotherapy). The increase of peripheral blood (PB) CD8+ T cells expressing CX3CR1, a marker of differentiation, correlates with response to anti-PD-1 therapy; however, the predictive and prognostic value of T-cell CX3CR1 expression during chemo-immunotherapy remains elusive. Here, we evaluated the utility of PB CX3CR1+CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in non-small cell lung cancer (NSCLC) patients. At least 10% increase of the CX3CR1+ subset in circulating CD8+ T cells from baseline (CX3CR1 score) was associated with response to chemo-immunotherapy at 6 weeks (p = 0.0382) and 9 weeks (p = 0.0045). Sensitivity, specificity, positive and negative predictive value of at least 10% increase of the CX3CR1 score was 83.3%, 88.2%, 83.3% and 88.2%, respectively with 86.2% overall accuracy of predicting response at 9 weeks. Furthermore, at least 10% increase of the CX3CR1 score correlated with improved overall (p = 0.0105) and progression-free survival (p = 0.0265). Combined T-cell receptor (TCR) sequencing of tumor tissue and single-cell RNA/TCR sequencing of longitudinal PB samples from a patient who received a long-term benefit from chemo-immunotherapy demonstrated that circulating clonally expanded CD8+ T cells were terminal effector T cells expressing high levels of CX3CR1, and contained frequent tumor-infiltrating T-cell colonotypes early-on post treatment. Collectively, these findings suggest the potential utility of T-cell CX3CR1 expression as a dynamic blood-based biomarker during the course of chemo-immunotherapy and a marker to identify frequent tumor-infiltrating lymphocyte repertoires.",2023/04/05,Homo sapiens,6,Expression profiling by high throughput sequencing; Other,24676
