accession,file,size_token,size_bytes,is_processed_candidate
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_matrix.mtx.gz,13M,13631488,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_barcodes.tsv.gz,1.0K,1024,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_matrix.mtx.gz,765K,783360,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_barcodes.tsv.gz,15K,15360,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_matrix.mtx.gz,15M,15728640,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R1_barcodes.tsv.gz,4.8K,4915,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R1_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R1_matrix.mtx.gz,3.2M,3355443,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R2_barcodes.tsv.gz,4.7K,4812,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R2_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R2_matrix.mtx.gz,2.9M,3040870,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R3_barcodes.tsv.gz,2.8K,2867,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R3_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R3_matrix.mtx.gz,1.8M,1887436,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R4_barcodes.tsv.gz,3.8K,3891,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R4_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R4_matrix.mtx.gz,2.6M,2726297,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R5_barcodes.tsv.gz,6.0K,6144,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R5_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R5_matrix.mtx.gz,4.8M,5033164,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R6_barcodes.tsv.gz,949,949,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R6_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R1-R6_RNA_R6_matrix.mtx.gz,514K,526336,True
GSE185204,GSE185204_multimer_MSK1263_R7-R8_RNA_R7_barcodes.tsv.gz,54K,55296,True
GSE185204,GSE185204_multimer_MSK1263_R7-R8_RNA_R7_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R7-R8_RNA_R7_matrix.mtx.gz,68M,71303168,True
GSE185204,GSE185204_multimer_MSK1263_R7-R8_RNA_R8_barcodes.tsv.gz,40K,40960,True
GSE185204,GSE185204_multimer_MSK1263_R7-R8_RNA_R8_features.tsv.gz,298K,305152,True
GSE185204,GSE185204_multimer_MSK1263_R7-R8_RNA_R8_matrix.mtx.gz,44M,46137344,True
GSE185205,GSE185205_RAW.tar,31M,32505856,False
GSE185206,GSE185206_RAW.tar,934M,979369984,False
GSE186446,GSE186446_fcount_aggr.txt.gz,1.2M,1258291,True
GSE189804,GSE189804_A549_counts.txt.gz,342K,350208,True
GSE189804,GSE189804_IFNy_A549_counts.txt.gz,822K,841728,True
GSE213902,GSE213902_MQpool1_barcodes.tsv.gz,20K,20480,True
GSE213902,GSE213902_MQpool1_features.tsv.gz,326K,333824,True
GSE213902,GSE213902_MQpool1_filtered_contig_annotations.csv.gz,353K,361472,True
GSE213902,GSE213902_MQpool1_matrix.mtx.gz,17M,17825792,True
GSE213902,GSE213902_MQpool2_barcodes.tsv.gz,25K,25600,True
GSE213902,GSE213902_MQpool2_features.tsv.gz,326K,333824,True
GSE213902,GSE213902_MQpool2_filtered_contig_annotations.csv.gz,491K,502784,True
GSE213902,GSE213902_MQpool2_matrix.mtx.gz,22M,23068672,True
GSE216297,GSE216297_TEP_Count_Matrix.RData.gz,1.6M,1677721,True
GSE217451,GSE217451_siMENA_H1650_fpkm_table_RAP.csv.gz,620K,634880,True
GSE218402,GSE218402_ADO_DEGs_PBMC.txt.gz,435K,445440,True
GSE218402,GSE218402_NE_DEGs_A549.txt.gz,609K,623616,True
GSE223779,GSE223779_RAW.tar,921M,965738496,False
GSE224099,GSE224099_counts.txt.gz,5.0M,5242880,True
GSE224216,GSE224216_rsem.merged.gene_tpm_H2030.tsv.gz,790K,808960,True
GSE224246,GSE224246_RAW.tar,4.3M,4508876,False
GSE229353,GSE229353_RAW.tar,155M,162529280,False
GSE235048,GSE235048_24CFlow_TPM.txt.gz,1.1M,1153433,True
GSE235500,GSE235500_RAW.tar,781M,818937856,False
GSE235603,GSE235603_RAW.tar,2.3G,2469606195,False
GSE238006,GSE238006_Table_S5_RNA-seq_Normalized_Counts_H146_F1339_Veh_vs_Dec.xlsx,4.3M,4508876,True
GSE248378,GSE248378_Durva_Post_FPKMs.txt.gz,1.0M,1048576,True
GSE248830,GSE248830_Raw_data.csv.gz,62K,63488,True
