gene	rho	p	n	present	cohort	split	q
KRT19	0.4753456015075414	2.1655832564304585e-30	515	True	TCGA-LUAD	median	3.6814915359317796e-29
CDH1	0.3448049274639434	8.002562016420548e-16	515	True	TCGA-LUAD	median	2.7208710855829865e-15
VIM	0.10304129022993729	0.019339278424730436	515	True	TCGA-LUAD	median	0.029887975747310672
ZEB1	-0.06616519782928729	0.1337381979868094	515	True	TCGA-LUAD	median	0.18946244714797997
SNAI2	0.007630861128689832	0.8628451712793662	515	True	TCGA-LUAD	median	0.8628451712793662
CLDN1	0.42395708701891444	2.5644149740389316e-23	502	True	TCGA-LUSC	quartile	4.359505455866184e-22
CLDN4	0.41001864614936134	8.933859858309045e-22	502	True	TCGA-LUSC	quartile	5.0625205863751254e-21
CLDN7	0.4013759940596416	7.438630669976322e-21	502	True	TCGA-LUSC	quartile	3.1614180347399367e-20
F11R	0.2479028062989408	1.8167840612160465e-08	502	True	TCGA-LUSC	quartile	4.412189862953256e-08
PARD3	0.15114478237840873	0.0006799245027942633	502	True	TCGA-LUSC	quartile	0.0008891320421155751
OCLN	0.17492679843265002	8.150015245850307e-05	502	True	TCGA-LUSC	quartile	0.00012595478107223202
TJP1	0.16192410945659827	0.000269487468503287	502	True	TCGA-LUSC	quartile	0.00038177391371298995
KRT5	0.3680921802833049	1.4900419965749632e-17	502	True	TCGA-LUSC	quartile	5.066142788354875e-17
KRT17	0.22895460967094441	2.1478264964134274e-07	502	True	TCGA-LUSC	quartile	4.5641313048785336e-07
KRT7	0.09743832712660704	0.02904357117117242	502	True	TCGA-LUSC	quartile	0.032916047327328744
KRT8	0.04108355958042423	0.3583126949123645	502	True	TCGA-LUSC	quartile	0.3583126949123645
KRT18	0.04340107569409541	0.3318223539436172	502	True	TCGA-LUSC	quartile	0.3525612510650933
KRT19	0.419113898267994	8.97420549178684e-23	502	True	TCGA-LUSC	quartile	7.6280746680188135e-22
CDH1	0.2056936254680411	3.3690831589822577e-06	502	True	TCGA-LUSC	quartile	5.727441370269838e-06
VIM	-0.2237451811479077	4.085169930707123e-07	502	True	TCGA-LUSC	quartile	7.716432091335677e-07
ZEB1	-0.2777732391078582	2.4021120619831896e-10	502	True	TCGA-LUSC	quartile	6.805984175619037e-10
SNAI2	0.09836438084014201	0.027542524121503084	502	True	TCGA-LUSC	quartile	0.032916047327328744
CLDN1	0.42395708701891444	2.5644149740389316e-23	502	True	TCGA-LUSC	median	4.359505455866184e-22
CLDN4	0.41001864614936134	8.933859858309045e-22	502	True	TCGA-LUSC	median	5.0625205863751254e-21
CLDN7	0.4013759940596416	7.438630669976322e-21	502	True	TCGA-LUSC	median	3.1614180347399367e-20
F11R	0.2479028062989408	1.8167840612160465e-08	502	True	TCGA-LUSC	median	4.412189862953256e-08
PARD3	0.15114478237840873	0.0006799245027942633	502	True	TCGA-LUSC	median	0.0008891320421155751
OCLN	0.17492679843265002	8.150015245850307e-05	502	True	TCGA-LUSC	median	0.00012595478107223202
TJP1	0.16192410945659827	0.000269487468503287	502	True	TCGA-LUSC	median	0.00038177391371298995
KRT5	0.3680921802833049	1.4900419965749632e-17	502	True	TCGA-LUSC	median	5.066142788354875e-17
KRT17	0.22895460967094441	2.1478264964134274e-07	502	True	TCGA-LUSC	median	4.5641313048785336e-07
KRT7	0.09743832712660704	0.02904357117117242	502	True	TCGA-LUSC	median	0.032916047327328744
KRT8	0.04108355958042423	0.3583126949123645	502	True	TCGA-LUSC	median	0.3583126949123645
KRT18	0.04340107569409541	0.3318223539436172	502	True	TCGA-LUSC	median	0.3525612510650933
KRT19	0.419113898267994	8.97420549178684e-23	502	True	TCGA-LUSC	median	7.6280746680188135e-22
CDH1	0.2056936254680411	3.3690831589822577e-06	502	True	TCGA-LUSC	median	5.727441370269838e-06
VIM	-0.2237451811479077	4.085169930707123e-07	502	True	TCGA-LUSC	median	7.716432091335677e-07
ZEB1	-0.2777732391078582	2.4021120619831896e-10	502	True	TCGA-LUSC	median	6.805984175619037e-10
SNAI2	0.09836438084014201	0.027542524121503084	502	True	TCGA-LUSC	median	0.032916047327328744
