term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	split	n_high	n_low	n_rank_genes	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.36368013600812127	-1.2828862415550428	0.07292707292707293	42	-1.4166751061474736	WNT6,SKP2,PSEN2,HDAC5,NCOR2,WNT5B,MAML1,HDAC2,CCND2,TCF7,WNT1,NKD1,AXIN2,CTNNB1,DVL2,LEF1,RBPJ,PTCH1	18	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Wnt-beta Catenin Signaling	42	0.09115884115884115	
HALLMARK_TGF_BETA_SIGNALING	0.30354283222508294	1.2082821984016703	0.058941058941058944	54	0.16539067709492009	SMAD3,ID1,JUNB,HDAC1,CDH1,TGFB1,RAB31,SMURF1,IFNGR2,TJP1,PPP1R15A,KLF10,PPP1CA,CDK9,ACVR1,BCAR3,UBE2D3,SERPINE1,PPM1A,FNTA,XIAP,TGIF1,FURIN	23	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	TGF-beta Signaling	54	0.07687964209703341	
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.29515193233740855	1.3229164845735837	0.013986013986013986	87	0.04348302214268923	CXCL1,IL4R,LTBR,CD9,TNFRSF1A,TNFRSF21,IFNGR1,MAP3K8,BAK1,TNFRSF12A,CD44,TGFB1,IFNGR2,OSMR,PIM1,TLR2,IFNAR1,IL1B,JUN,IL10RB,IRF9,CD36,MYD88,CSF3R,PTPN2	27	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	IL-6/JAK/STAT3 Signaling	87	0.02097902097902098	
HALLMARK_DNA_REPAIR	-0.17766529576406465	-0.7814865300730842	0.6983016983016983	140	-0.5433056842084848	CANT1,SNAPC4,TAF6,SUPT5H,VPS37D,NFX1,SDCBP,FEN1,CSTF3,ADCY6,RFC5,GTF2F1,LIG1,AAAS,POLD1,TYMS,POLH,XPC,POLA2,SSRP1,POM121,POLA1,RNMT,POLR3C,PDE4B	30	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	DNA Repair	150	0.6983016983016983	
HALLMARK_G2M_CHECKPOINT	-0.45670868470494885	-2.065178675227139	0.000999000999000999	184	-2.21663272927944	SUV39H1,CUL5,STAG1,CENPA,TNPO2,DMD,MEIS2,MCM5,HMGN2,TROAP,KIF20B,HIRA,NUMA1,CCNA2,CENPE,GINS2,CHAF1A,PRMT5,TLE3,HNRNPD,SS18,CCNB2,TACC3,PBK,HMMR	102	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	G2-M Checkpoint	200	0.002140716426430712	
HALLMARK_APOPTOSIS	0.41208847745386534	1.98775557153035	0.000999000999000999	158	0.6829999030474891	HSPB1,BCL10,GNA15,TSPO,IL1A,RETSAT,TNFSF10,SAT1,ANXA1,EMP1,FDXR,CDKN1A,LGALS3,BCL2L10,GADD45A,BCAP31,IFNGR1,IL18,TNFRSF12A,VDAC2,BIK,RNASEL,ERBB3,BID,BCL2L1	48	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apoptosis	161	0.002140716426430712	
HALLMARK_NOTCH_SIGNALING	0.30362409386795486	1.0980903265148327	0.1018981018981019	32	-0.16389467131463686	HES1,DTX2,PPARD,JAG1,FZD5,NOTCH3,RBX1	7	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Notch Signaling	32	0.1247731859976758	
HALLMARK_ADIPOGENESIS	0.3584510859560107	1.8052941534646376	0.000999000999000999	189	0.6052915518258889	RETSAT,ESRRA,CMPK1,SCP2,ATP1B3,RNF11,RIOK3,GPD2,GADD45A,IFNGR1,CHCHD10,REEP6,BCL6,ALDOA,ACADS,UQCR10,CPT2,COQ9,LPCAT3,TST,HSPB8,POR,COX8A,CD151,DBT	74	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Adipogenesis	200	0.002140716426430712	
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.41124193953059895	2.097351271864354	0.000999000999000999	192	0.7602153395476957	ZNF185,SFN,P2RY2,LAD1,DHRS3,HES1,ELF3,KRT13,AQP3,SULT2B1,CLDN7,RAPGEFL1,RHOD,KLF4,ESRP2,BLVRB,MREG,KRT19,SLC9A3R1,CA12,MAST4,MYOF,KRT15,MSMB,ENDOD1	66	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Estrogen Response Early	200	0.002140716426430712	
HALLMARK_ESTROGEN_RESPONSE_LATE	0.4267316643586371	2.1685237898344245	0.000999000999000999	196	0.9572608237541416	S100A9,SFN,PERP,GJB3,KRT13,FGFR3,SULT2B1,FABP5,RAPGEFL1,TRIM29,KLF4,GALE,PKP3,BLVRB,ST6GALNAC2,CD9,KRT19,LSR,SLC9A3R1,CA12,ST14,SGK1,MYOF,CLIC3,AGR2	69	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Estrogen Response Late	200	0.002140716426430712	
HALLMARK_ANDROGEN_RESPONSE	0.35396861411224334	1.6166116824509702	0.002997002997002997	96	0.36331342798514127	SAT1,ELL2,SLC38A2,KRT19,DHCR24,SGK1,ALDH1A3,PDLIM5,NDRG1,AKT1,GNAI3,MYL12A,STEAP4,TMPRSS2,VAPA,HOMER2,UBE2I,NCOA4,TMEM50A,GPD1L,DBI,MAP7,TNFAIP8,SPDEF	24	TCGA-LUSC	quartile	126	126	20224	HALLMARK_CONTEXT	UNDIRECTED	False	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Androgen Response	100	0.005449096358187267	
