probe,symbol,raw_symbol,mapped_via,alias_note,description,GSM558700_deposited,GSM558701_deposited,GSM558702_deposited,GSM558700_ch1_cy3,GSM558700_ch2_cy5,GSM558700_scan_log2,GSM558701_ch1_cy3,GSM558701_ch2_cy5,GSM558701_scan_log2,GSM558702_ch1_cy3,GSM558702_ch2_cy5,GSM558702_scan_log2
14116,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR",-1.5146,3.8520,-2.3219,61751.00,28834.00,-1.0987,10644.00,778.00,-3.7741,65376.00,18022.00,-1.8590
20164,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR",-1.5995,2.4854,-1.7370,53851.00,23508.00,-1.1958,36500.00,8751.00,-2.0604,65373.00,28516.00,-1.1969
26212,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR",-3.1844,0.5460,1.6415,320.00,14.00,-4.5146,458.00,210.00,-1.1250,-23.00,-74.00,
31702,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--Major histocompatibility complex, class I, A",-2.6439,0.9260,1.7655,20172.00,3319.00,-2.6035,53687.00,42509.00,-0.3368,1735.00,4742.00,1.4506
33565,HLA-A,HLA-A,DESCRIPTION_PREFIX,,"HLA-A--Major histocompatibility complex, class I, A",-2.3219,,-2.0000,62894.00,16675.00,-1.9152,47541.00,-18.00,,29297.00,8630.00,-1.7633
24124,HLA-B,HLA-B,DESCRIPTION_PREFIX,,"HLA-B--Major histocompatibility complex, class I, B",-1.5564,2.3277,-2.1203,7862.00,2449.00,-1.6827,19105.00,4710.00,-2.0202,31714.00,8526.00,-1.8952
4255,HLA-C,HLA-C,DESCRIPTION_PREFIX,,"HLA-C--Major histocompatibility complex, class I, C",-1.2515,1.0566,0.4542,61382.00,35504.00,-0.7898,62472.00,45839.00,-0.4466,31921.00,63605.00,0.9946
7462,HLA-C,HLA-C,DESCRIPTION_PREFIX,,"HLA-C--Major histocompatibility complex, class I, C",-1.2515,0.5850,-1.2515,65311.00,38347.00,-0.7682,4892.00,3620.00,-0.4344,65363.00,41187.00,-0.6663
21857,HLA-C,HLA-C,DESCRIPTION_PREFIX,,"HLA-C--Major histocompatibility complex, class I, C",-5.6439,1.2570,-3.3219,65407.00,1248.00,-5.7118,1537.00,550.00,-1.4826,37430.00,3939.00,-3.2483
13326,IFI27,IFI27,ORF,,"IFI27--Interferon, alpha-inducible protein 27",-2.6439,2.8420,-2.3219,21316.00,3636.00,-2.5515,43875.00,8283.00,-2.4052,24687.00,5420.00,-2.1874
29863,IFIT1,IFIT1,ORF,,IFIT1--Interferon-induced protein with tetratricopeptide repeats 1,-2.8365,-1.1203,-2.1203,493.00,28.00,-4.1381,-4.00,-10.00,,1044.00,110.00,-3.2465
1952,ISG15,G1P2,ORF,G1P2->ISG15,"G1P2--Interferon, alpha-inducible protein (clone IFI-15K)",0.7137,1.7949,-1.0589,4066.00,6241.00,0.6182,988.00,205.00,-2.2689,2148.00,666.00,-1.6894
35937,MX1,MX1,ORF,,"MX1--Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)",-0.0740,,0.7908,313.00,124.00,-1.3358,156.00,-16.00,,19.00,22.00,0.2115
18303,OAS2,OAS2,ORF,,"OAS2--2'-5'-oligoadenylate synthetase 2, 69/71kDa",-0.2863,2.8115,0.1110,352.00,122.00,-1.5287,1044.00,100.00,-3.3840,48.00,29.00,-0.7270
10912,PSMB10,PSMB10,ORF,,"PSMB10--Proteasome (prosome, macropain) subunit, beta type, 10",-0.3771,-0.0893,0.2141,4442.00,3015.00,-0.5591,5055.00,6205.00,0.2957,399.00,213.00,-0.9055
16374,PSMB8,PSMB8,ORF,,"PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)",1.7137,-0.0291,1.2079,1298.00,3364.00,1.3739,400.00,275.00,-0.5406,2378.00,4544.00,0.9342
22422,PSMB8,PSMB8,ORF,,"PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)",-1.0589,2.1440,-1.4739,19230.00,10359.00,-0.8925,1415.00,247.00,-2.5182,21319.00,8624.00,-1.3057
25567,PSMB9,PSMB9,ORF,,"PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)",2.1276,5.7371,2.3277,244.00,500.00,1.0350,127.00,2.00,-5.9887,960.00,3477.00,1.8567
28889,PSMB9,PSMB9,ORF,,"PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)",-0.2515,0.3674,1.0909,13605.00,12683.00,-0.1012,11092.00,10851.00,-0.0317,5645.00,12181.00,1.1096
4277,TAP1,TAP1,ORF,,"TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",-0.8625,2.1763,-0.9434,11383.00,6424.00,-0.8253,1340.00,224.00,-2.5807,3502.00,1383.00,-1.3404
34518,TAP1,TAP1,ORF,,"TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",-2.9434,2.5311,-2.0000,10716.00,1245.00,-3.1055,174.00,21.00,-3.0506,12180.00,2912.00,-2.0644
3841,TAP2,TAP2,ORF,,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",1.3618,-3.0589,1.3103,599.00,913.00,0.6081,62.00,334.00,2.4295,416.00,510.00,0.2939
9889,TAP2,TAP2,ORF,,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",-3.4739,-0.3771,-1.8365,431.00,15.00,-4.8447,153.00,129.00,-0.2462,1215.00,166.00,-2.8717
15937,TAP2,TAP2,ORF,,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",-0.5564,-3.6439,-0.1681,-79.00,-53.00,,5.00,51.00,3.3505,145.00,60.00,-1.2730
7726,TAPBP,TAPBP,ORF,,TAPBP--TAP binding protein (tapasin),-1.3585,1.3103,-2.0000,17843.00,7529.00,-1.2448,23662.00,12772.00,-0.8896,18942.00,4996.00,-1.9227
13774,TAPBP,TAPBP,ORF,,TAPBP--TAP binding protein (tapasin),2.0942,0.5460,0.8797,300.00,642.00,1.0976,554.00,263.00,-1.0748,888.00,980.00,0.1422
30819,TAPBP,TAPBP,ORF,,TAPBP--TAP binding protein (tapasin),-2.9434,-0.8625,,-22.00,-2.00,,23.00,35.00,0.6057,-12.00,23.00,
