method	split	family	n	mean_sum	median_sum	mean_per_ligand	frac_pos	p_wilcox	p_signflip	n_GSE123902	mean_GSE123902	n_GSE131907	mean_GSE131907	n_GSE205335	mean_GSE205335	n_GSE189357	mean_GSE189357	n_cohorts_pos	meta_mean	i2	p_meta	ifn_sum	ifn_mean	ifn_cohorts_pos	separates	cohorts_ok	sig	positive	trim_ok	lig4	lig3
liana_logfc	decile	barrier	60	1.4675767871408594	1.3250257754480734	0.36689419678521484	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.9687019171497152	19	1.4055443176204423	21	1.8271506876170842	9	1.369264407228613	4	1.3714217975076493	60.175404738553475	1.1885144997911875e-14	0.1251108382865632	0.025022167657312636	4	True	True	True	True	True	True	True
liana_logfc	q4q1	barrier	64	1.2153374059905537	1.0480443010905125	0.30383435149763843	0.96875	6.209655957698549e-12	9.999000099990002e-05	13	0.7980557156925182	21	1.002529139221758	21	1.6342442430140742	9	1.3371809613822472	4	1.173079110754901	70.2049820976076	2.4229113046334177e-10	0.11128405552335281	0.022256811104670565	4	True	True	True	True	True	False	True
natmi_spec	decile	barrier	60	1.1110307618611668	1.1732566568986247	0.2777576904652917	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.8516482064548822	19	1.2282399914625972	21	1.210626865746325	9	0.9482212691337926	4	1.050356695995874	32.54104685628885	3.764784015472213e-31	0.1759316045191078	0.03518632090382156	4	True	True	True	True	True	False	True
cp10k_log2fc	q4q1	barrier	64	1.0855765936274733	0.8647964511072528	0.2713941484068683	0.9375	2.851024383234501e-11	9.999000099990002e-05	13	0.5624610913075313	21	0.9195012653626716	21	1.4586395601283886	9	1.3582167188720131	4	1.0543789364203824	76.21167107047928	2.1107751442856608e-07	0.058297975866371914	0.01165959517327438	3	True	True	True	True	True	False	False
natmi_spec	q4q1	barrier	64	0.8908206296810841	0.930613563709978	0.22270515742027103	0.953125	9.024870814312639e-12	9.999000099990002e-05	13	0.6704355422159961	21	0.8074697088933117	21	1.0931989042500936	9	0.9314241527522142	4	0.8796267129537259	34.0610703750562	1.618375690538033e-23	0.1661940544307994	0.033238810886159875	4	True	True	True	True	True	False	True
cpdb_means	decile	barrier	60	0.5086233561309548	0.4592189402105436	0.1271558390327387	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.3357265013376694	19	0.487124540455331	21	0.6332421737899738	9	0.47455088165579906	4	0.4752985761504397	60.17540473855353	1.1885144997912222e-14	0.043360112407911267	0.008672022481582253	4	True	True	True	True	True	True	True
conn_prod	decile	barrier	60	0.493338908309611	0.3848525448027924	0.12333472707740276	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.2538789339313735	19	0.4500921217285441	21	0.72255895776936	9	0.3424641999258504	4	0.41577022194207497	79.24967810069123	7.335525086583671e-07	0.026249599035156657	0.005249919807031332	4	True	True	True	True	True	True	True
cpdb_means	q4q1	barrier	64	0.4212038481956949	0.3632244762014035	0.10530096204892372	0.96875	6.209655957698549e-12	9.999000099990002e-05	13	0.27658503463100914	21	0.3474501231403752	21	0.5663858946957637	9	0.4634316066402708	4	0.40655823909676364	70.20498209760758	2.4229113046333996e-10	0.03856811466364421	0.007713622932728842	4	True	True	True	True	True	False	True
cellchat_prod	decile	barrier	60	0.42096874006310253	0.32092564904364446	0.10524218501577563	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.24495909966467674	19	0.371642840242809	21	0.6050624785975639	9	0.310672032479166	4	0.3659755295591789	70.9353241003753	4.0119285763398765e-08	0.023446091601663385	0.004689218320332676	4	True	True	True	True	True	True	True
sca_lrscore	decile	barrier	60	0.40068868664554264	0.35151747893782126	0.10017217166138566	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.30230764540443017	19	0.40586323240578287	21	0.4663757990941675	9	0.35673821139960415	4	0.37429154342587007	22.243953301654162	1.6200198885991458e-28	0.04133500992555443	0.008267001985110886	4	True	True	True	True	True	False	True
conn_prod	q4q1	barrier	64	0.39918683825911283	0.2921925174680225	0.09979670956477821	0.9375	2.2700792012848116e-11	9.999000099990002e-05	13	0.1932487375668629	21	0.3190822972699342	21	0.62645146233088	9	0.35327945651076714	4	0.3518567077494504	75.73254354548104	4.42624176833134e-06	0.02536998512687816	0.0050739970253756315	4	True	True	True	True	True	False	True
cellchat_prod	q4q1	barrier	64	0.3655375686460836	0.29057461687026176	0.0913843921615209	0.9375	1.3079621198163594e-11	9.999000099990002e-05	13	0.22106221630518627	21	0.2803393257224234	21	0.5548286658124022	9	0.3313408621278431	4	0.32956138138122726	67.92368088844847	1.2760165271756077e-07	0.02384780233582064	0.004769560467164128	4	True	True	True	True	True	True	True
sca_lrscore	q4q1	barrier	64	0.3003158785588615	0.2947358125476083	0.07507896963971537	0.9375	1.5021513881750895e-11	9.999000099990002e-05	13	0.22316034705385232	21	0.2344193489860913	21	0.3925934098019198	9	0.3502070868354245	4	0.29697137914453536	60.417543014698296	1.1612244577922753e-12	0.04058983107259776	0.008117966214519552	4	True	True	True	True	True	False	True
cellchat_hill	decile	barrier	60	0.3002832374530697	0.2481325736819413	0.07507080936326742	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.1909466115671859	19	0.26418553101738723	21	0.41284341512911693	9	0.24748274587814764	4	0.26808939856586766	63.76750373594275	4.5776255994800685e-11	0.019461052758046195	0.0038922105516092384	4	True	True	True	True	True	True	True
cellchat_hill	q4q1	barrier	64	0.26052240253830944	0.1992704573893972	0.06513060063457736	0.953125	6.209655957698549e-12	9.999000099990002e-05	13	0.17435257433391982	21	0.19797880100052798	21	0.3783921163830072	9	0.2558956701174008	4	0.23990034576403535	62.597321676004434	2.9982063840637065e-09	0.019786104605543767	0.0039572209211087535	4	True	True	True	True	True	True	True
cellchat_hill_pop	q4q1	barrier	64	0.01875263221999121	0.008440645343320547	0.004688158054997803	0.953125	5.393405572989189e-12	9.999000099990002e-05	13	0.011670549859338365	21	0.012951113717033077	21	0.03285049021638493	9	0.0096241812562512	4	0.014238445375115222	66.29446180398963	8.32902299834477e-06	0.0012458946237077727	0.0002491789247415545	4	True	True	True	True	True	True	True
cellchat_hill_pop	decile	barrier	60	0.015074905477583618	0.007544089946753052	0.0037687263693959045	0.9666666666666667	3.5060510731588664e-11	9.999000099990002e-05	11	0.008977799026070866	19	0.013662403550298925	21	0.024090726230192958	9	0.004471957897611773	4	0.011615857538641814	85.67764515386006	0.0013879553549574564	0.0008270341724402196	0.00016540683448804393	4	True	True	True	True	True	True	True
