family	row	interaction_name	ligand	receptor	axis	thesis_expect	split	n_units	n_gse123902	n_gse131907	n_gse205335	mean_delta	median_delta	se	wilcoxon_p	meta_p	I2	n_pos	n_neg	observed_direction	agrees_thesis
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	tertile	44	11	16	17	0.0791716109260974	0.08697941541973654	0.017453621285821383	5.5318294016615255e-06	5.730029217851114e-06	0.0	37	7	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	tertile	43	11	16	16	0.10222816626869627	0.11420973951068253	0.021944218833016827	6.498386710518389e-06	3.1844970747315755e-06	0.0	36	7	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	tertile	52	12	20	20	0.08842956196415076	0.06801247292190013	0.010599023779479438	9.916952571674e-10	7.231903072502007e-17	4.1796631515299995e-14	49	3	high>low	yes
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	q4q1	35	6	13	16	0.19355196393799104	0.12961824525626975	0.02792743922115395	5.820766091346741e-11	4.1926592828742465e-12	2.089831575765e-14	35	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	q4q1	28	10	0	18	0.162061140974462	0.10682795299392303	0.02488742950214436	7.450580596923828e-09	7.427188860260697e-11	0.0	28	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	q4q1	38	6	15	17	0.1053220536023077	0.08774135501484179	0.015155492777956024	7.275957614183426e-12	3.667620619638078e-12	1.9203857723245947e-14	38	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	q4q1	28	2	10	16	0.08928668006933438	0.06464227233920639	0.014894605817206846	7.450580596923828e-09	2.0403107009282726e-09	2.6316397620744445e-14	28	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	q4q1	26	8	9	9	0.023624308481169264	0.00424491824905723	0.010949399474330658	0.006848047504925522	0.030959767865640683	2.8421709430403998e-14	20	5	high>low	yes
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	q4q1	44	11	16	17	0.09200138910156204	0.11359504627232431	0.017815011403557714	5.151052278051793e-06	2.413891989836307e-07	1.6524249668839537e-14	36	8	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	q4q1	43	11	16	16	0.11838817327702193	0.12903132919388494	0.022011167398007833	3.852246663882397e-06	7.508796171228735e-08	1.6917684184764287e-14	35	8	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	q4q1	52	12	20	20	0.09888327385716707	0.08065560814388319	0.011150472632091702	7.031291491175325e-10	7.441842849807919e-19	0.0	49	3	high>low	yes
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	median	2	1	1	0	0.004339862244247056	0.004339862244247055	0.0020837889603923395	0.5	0.0372805481993298	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	median	10	3	4	3	-0.00086340330183976	0.00023927274960408462	0.0068460089069432425	0.49609375	0.8996387100196286	0.0	6	3	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	median	4	0	2	2	0.0025363026191798006	-0.0001210949748337456	0.004537767029545583	1.0	0.5762082168123126	0.0	2	2	high>low	no
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	median	3	0	2	1	0.003972990335443167	0.002982627667178524	0.0038825122645953928	0.5	0.30616413247749275	0.0	2	1	high>low	no
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	median	46	10	17	19	0.027221944383781397	0.0184919268577258	0.00879583590042795	3.033028593790732e-05	0.0019690100908780106	3.157967714489333e-14	38	8	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	median	46	10	17	19	0.03104296162133209	0.021714698425182644	0.009828471461553202	6.664765118102878e-05	0.0015859800651363692	0.0	39	7	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	median	46	10	17	19	0.03586934820139923	0.022323666909306872	0.011016756805685306	0.00016301461116086102	0.001130375397325751	0.0	38	8	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	median	47	11	17	19	0.028096959615978363	0.021586588992992966	0.009308493338714604	0.00013431014949000336	0.002540949344585887	3.0893162424352174e-14	37	9	high>low	opposite
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	tertile	1	1	0	0	0.0005704099200019995	0.0005704099200019995					1	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	tertile	10	2	5	3	-0.008352174171364767	0.0002589649353825707	0.011089178401781134	0.625	0.45134030486200283	0.0	6	4	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	tertile	4	0	2	2	-0.0015672882470276592	-0.00016141728420017708	0.0072844606650412135	0.875	0.829646462003766	0.0	2	2	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	tertile	3	0	2	1	0.003670505843011918	0.002861010934605327	0.00372401546663426	0.5	0.32431412059789555	0.0	2	1	high>low	no
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	tertile	48	11	19	18	0.03722812665170705	0.0252881569419518	0.009364408606745336	8.26213678806198e-07	7.023405783207912e-05	3.023586109617446e-14	42	6	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	tertile	48	11	19	18	0.03956251587873942	0.02723343533627043	0.010219242733816775	7.812767208292826e-06	0.00010822336624789284	0.0	41	7	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	tertile	48	11	19	18	0.04596673045486391	0.0303644452141075	0.011470968961964577	1.0485555854700124e-05	6.1436854827484e-05	0.0	40	8	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	tertile	48	11	19	18	0.03781045912428559	0.026710579772050862	0.009949321145805627	1.398806289643062e-05	0.00014451785559252075	1.5117930548087235e-14	40	8	high>low	opposite
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	q4q1	1	1	0	0	0.0005704099200019995	0.0005704099200019995					1	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	q4q1	10	2	5	3	-0.017355851688730002	0.00028309292668385317	0.020012541047967444	0.921875	0.385805717482792	0.0	6	4	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	q4q1	4	0	2	2	-0.004932618962990016	-0.00026349940149432075	0.01061080868545957	0.875	0.6420264229519695	0.0	2	2	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	q4q1	3	0	2	1	0.003582011415355707	0.0021697299402375857	0.0039659346753119365	0.75	0.3664225386823404	0.0	2	1	high>low	no
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	q4q1	48	11	19	18	0.04439007397005866	0.031830540959911446	0.009777237063083703	3.261326781967e-07	5.6215554655725665e-06	0.0	44	4	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	q4q1	48	11	19	18	0.044946876324478136	0.03259038914358131	0.010331089256178438	2.4086190819616604e-06	1.3573918673691417e-05	0.0	41	7	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	q4q1	48	11	19	18	0.05172067367282817	0.03804841846571258	0.011799062223972692	5.443569143892546e-06	1.1681108771805347e-05	0.0	42	6	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	q4q1	48	11	19	18	0.04332666421249759	0.03228411009740471	0.010209040554405836	4.256276476155563e-06	2.1961867794940733e-05	0.0	42	6	high>low	opposite
