Sample	Sample_Origin	n_cells	n_author_AT2	n_author_club	n_author_tumor_state	n_cldn4_low	n_cldn4_mid	n_cldn4_high	mean_CLDN4	mean_TACSTD2	mean_sling	mean_dpt	mean_AT2	mean_club	mean_basal	mean_barrier_keratin	mean_IFN	mean_malignant_like	pct_CLDN4_pos	patient_id	mean_SFTPC
LUNG_N18	nLung	399	76	76	0	121	109	169	1.4548214057035613	1.580248596823604	0.6434135094203363	0.0984288826584816	1.0604281218204283	1.8811485548515368	0.027119757864334827	1.11367433516304	0.2477574262331978	0.220849560852238	0.7644110275689223	18	1.9029065920296766
LUNG_N19	nLung	174	151	5	0	71	79	24	1.0937608405091297	0.723923144840646	0.13212221379069047	0.019124560058116913	3.533535216303393	0.8679191128161676	0.011541425539501783	0.611713350275924	0.11023139926335718	0.09554895113482786	0.7988505747126436	19	6.444332917188776
LUNG_N20	nLung	305	191	34	0	141	120	44	0.9567862342615596	0.9624493704467524	0.28670307968103637	0.028526701033115387	2.7209769952492637	1.602558739491499	0.023679553998298332	0.6208615476316443	0.10835991109510444	0.20093643313548606	0.6786885245901639	20	5.241592535034555
LUNG_N28	nLung	233	208	1	0	103	112	18	0.9816149746911208	0.779030798842467	0.11659998361749241	0.008569716475903988	3.648539983748708	1.2930998462165717	0.01466006745660254	0.6706455407586902	0.17020354939035762	0.0990010536407708	0.7725321888412017	28	6.768921279088622
LUNG_N30	nLung	334	72	104	0	110	80	144	1.4649124655002606	1.7235305576981186	0.5172477772498244	0.08916570246219635	1.1813419780911443	2.4328760955326576	0.048752378672361374	0.9503600785430677	0.15954287695359912	0.11697186568302072	0.7365269461077845	30	2.3588014716159798
LUNG_N31	nLung	400	250	36	0	161	130	109	1.1621299136430026	1.2297566677629947	0.30359594451143174	0.048475369811058044	2.6739436485370005	0.9393774616469939	0.027121885418891906	0.9171784165874124	0.10826552114001027	0.1435124904414018	0.705	31	5.0250498624145985
LUNG_N34	nLung	400	369	9	0	166	155	79	1.0591748651117086	1.056266662478447	0.0811120296313486	0.009821637533605099	3.722682947491606	1.6344236590961616	0.02154725108295679	0.7282168665155768	0.09120513030500323	0.05020060745378335	0.715	34	7.083382003307342
LUNG_T06	tLung	145	0	0	100	23	67	55	1.5803985077759315	1.6696179850348112	0.33852680160341025	0.03346514701843262	1.3421312018372547	0.9394154460265719	0.08601371245137576	1.098802163100791	0.29281938679678077	0.4357225260515322	0.903448275862069	06	1.513057798558268
LUNG_T08	tLung	42	0	0	42	7	15	20	1.5307875474294026	1.7755115316027688	0.3140160794687162	0.015225301496684551	1.7298072407997789	2.276186746737314	0.056660267568769906	1.1634611032075353	0.1907629403146066	0.7359307449724939	0.8571428571428571	08	3.738431829781759
LUNG_T09	tLung	119	0	0	5	62	44	13	0.920867643436464	0.9968942862097957	0.13208455569169544	0.01187895704060793	3.4231316883023046	0.7338438558311356	0.034012311333868686	0.9159936451193998	0.13865105612531023	0.17088204409394941	0.7815126050420168	09	5.289126633846459
LUNG_T18	tLung	400	0	0	389	42	135	223	1.822716866955161	1.6910267244279384	0.8618389946576082	0.04280010238289833	0.16186399820260702	0.49328753136098386	0.11665928418282419	1.6019134671924014	0.4449186021262021	1.1736781843813757	0.93	18	0.00042916972190141676
LUNG_T19	tLung	316	0	0	222	99	141	76	1.251455722824682	1.0016918884047978	0.21072785509412723	0.024789884686470032	2.4215673020714696	0.42888241756377343	0.017231175793877132	0.7272205873773696	0.17666436172410516	0.5280950443842743	0.810126582278481	19	2.94808416898492
LUNG_T20	tLung	400	0	0	331	61	113	226	1.7612521447241307	1.9318046674132348	0.5328843955864248	0.037087783217430115	1.195435860461245	0.3549859250461062	0.09010553830303251	1.9872098537037772	0.37164412087795357	0.6357386094207564	0.885	20	0.5923505393788219
LUNG_T25	tLung	226	0	0	223	62	81	83	1.3795063566845076	1.5738103846005633	0.17218748183774085	0.021898986771702766	2.1821903433310075	0.6229708971878772	0.03043207834450017	1.1840266088974334	0.1461062327818533	0.5993507410836431	0.7964601769911505	25	1.8499372393156575
LUNG_T28	tLung	400	0	0	314	43	126	231	1.8968391360342503	1.7641125232726336	0.5006687560199327	0.029551438987255096	1.173189814472571	0.8143813294979432	0.0747480370849371	1.4340921209597337	0.476276758344913	0.48175787181903923	0.9375	28	1.6931453228741884
LUNG_T30	tLung	400	0	0	365	179	130	91	1.0285795559734106	1.4959337583184242	0.2084662735934021	0.017503056675195694	2.3624707032367587	1.6390407166878382	0.018258763253688814	0.9418653629223506	0.20908084511756897	0.05933727473020554	0.63	30	5.376801108717919
LUNG_T31	tLung	272	0	0	182	100	110	62	1.1001509094939512	1.290509277187726	0.4586905826517146	0.03746013715863228	1.4784941371603342	0.5088484950783645	0.069994826499811	1.5700751210234183	0.20707443159394176	0.3730020196104021	0.6985294117647058	31	2.520778010325397
LUNG_T34	tLung	400	0	0	383	76	155	169	1.5633164809644222	1.6380941790342332	0.25110840692865605	0.02409067191183567	1.6415610667131841	1.5366069759925205	0.04767758442088962	1.224453094576796	0.38812896174689127	0.7060614855835834	0.9	34	0.4060404197499156
NS_02	mBrain	181	0	0	181	99	63	19	0.8219661159410002	0.010858256513901179	0.3692728153749617	0.06065695360302925	0.16030297082596723	0.03521292364399736	0.013761657254142657	0.7343336037920983	0.12761595411329443	0.13969071050265439	0.585635359116022	02	0.0
NS_03	mBrain	400	0	0	399	28	86	286	2.0065067636966707	0.6363119446858764	0.9541461903992366	0.39650240540504456	0.2618861192278564	0.00018668081611394882	0.18752160032279788	1.9687749133196968	0.23633875906329466	0.43729179617017505	0.9475	03	0.0
NS_04	mBrain	400	0	0	399	94	214	92	1.3302343513071537	0.6719715708494186	0.7190596909250254	0.32166993618011475	0.5797671653299282	0.0641196129967769	0.1298669632105157	1.3142008273024113	0.37495068870553816	1.1081213564177355	0.875	04	0.0
NS_06	mBrain	84	0	0	83	36	16	32	1.1824063037832577	1.3410662760337193	0.10404051492879696	0.04414091631770134	0.5687508472344942	0.020415028557181355	0.04078216750973037	1.6804989461624438	0.17508514101306596	0.026547502726316452	0.6071428571428571	06	0.0
NS_07	mBrain	400	0	0	399	56	131	213	1.762079752087593	1.1016989816725253	0.507646850956036	0.13698923587799072	0.2667679385654628	0.0029312152663866675	0.002677381932735443	1.0123485654530426	0.07215993675920698	0.4975113908201456	0.9075	07	0.0
NS_12	mBrain	400	0	0	399	72	110	218	1.6720506718009711	0.827259271107614	0.43505640298069836	0.1825217753648758	0.7278002434782684	0.07958467920621237	0.03861167371273041	1.5096814951362711	0.1120003289218854	0.5160818004359801	0.845	12	0.0028894735500216485
NS_13	mBrain	400	0	0	398	139	133	128	1.224239458143711	0.9198539378494024	0.16725760687262287	0.013499429449439049	2.9895706878229977	0.11496394372234742	0.02032268944196403	0.9699070833312967	0.2928650035612561	0.5277864408120513	0.7225	13	6.091324999332428
NS_16	mBrain	81	0	0	79	79	1	1	0.10951764752835404	0.08782702242886578	0.6191929405770596	0.041114188730716705	0.03259328252984663	0.0	0.016062270941925638	1.9594844807813196	0.48402807960021854	0.010905357116043813	0.12345679012345678	16	0.008908824420269624
NS_17	mBrain	400	0	0	397	59	51	290	2.0337307941913605	0.9322325187548995	0.9215807616011307	0.8378822803497314	0.04457022751681507	1.8814802727351587	0.07570638599339873	1.5134139026235789	0.1562397245966174	0.4582792534554998	0.855	17	0.0
NS_19	mBrain	400	0	0	400	160	159	81	1.0534212154150009	1.1196813852339984	0.6247343887980032	0.05268784984946251	0.32973225480255985	0.03286051300664743	0.13508026172406973	1.3221515950125953	0.548971018348993	0.30754901707172394	0.685	19	0.1335692649707198
