Sample	Sample_Origin	n_high	n_low	AT2_high	AT2_low	barrier_high	barrier_low	IFN_high	IFN_low	malignant_high	malignant_low	sling_high	sling_low	dpt_high	dpt_low
LUNG_N01	nLung	22	112	1.4575693170455368	3.4734544322959016	0.9138048958371985	0.6699619699446929	0.2348598021549809	0.14565506126120606	0.09327065086725987	0.05823409646039917	0.5139874466018285	0.1268957619061968	0.09990956634283066	0.0200506541877985
LUNG_N06	nLung	39	83	0.9401693927426623	2.8399451601816468	0.8553103308519746	0.6348840330977996	0.19322795810749274	0.11492277746326099	0.08960835266317059	0.168724625943655	0.7647103861373483	0.2556194237968277	0.18591323494911194	0.03339044377207756
LUNG_N08	nLung	57	144	0.8703434587570659	2.362109651133694	1.0410218215738123	0.7857726997592382	0.2014848918903951	0.148030471102691	0.2072081292233272	0.2021574178641593	0.7440644821390573	0.43908415250330307	0.13982470333576202	0.037205152213573456
LUNG_N09	nLung	37	198	2.219825886592672	3.8210343337721295	1.0126112107489562	0.693443035662977	0.09246367624810746	0.08743792532023713	0.24403962466093868	0.11279216348522841	0.38306928056377915	0.10624622649574551	0.06713969260454178	0.012525529600679874
LUNG_N18	nLung	169	121	0.5990384415350487	1.3844835263966857	1.2061045098410557	0.9757818716370369	0.27959740074702893	0.2045483026513274	0.20250419093777206	0.22195305426915488	0.7512532987518845	0.5538784676790213	0.14852462708950043	0.04346282780170441
LUNG_N19	nLung	24	71	2.452143218782213	3.764275836133062	0.9684854191210533	0.522495662382511	0.19471905555254146	0.11266819081022893	0.17365548759698868	0.04736738711455618	0.3775243336951662	0.11032749291858934	0.049644067883491516	0.011587899178266525
LUNG_N20	nLung	44	141	2.385682212696834	2.785339934007214	0.7405569213583614	0.5929287482872077	0.13762311273652697	0.11556294964372502	0.27376542579043994	0.20823092409904967	0.3726915134951023	0.3184821842410181	0.03437665477395058	0.018360503017902374
LUNG_N28	nLung	18	103	2.5286220577028065	3.718906362079879	0.8553794887330796	0.5736717162683943	0.1928711300524174	0.15602295866376073	0.22631280289755928	0.05732509715657404	0.351622725141404	0.12470441678641189	0.009515184909105301	0.009450132958590984
LUNG_N30	nLung	144	110	0.7089353954867909	1.6613711762157353	1.0724789603889266	0.7415678442427607	0.17726034252164663	0.14528452777099932	0.11849595661516545	0.10921383572347235	0.6102385075062617	0.46005277607054523	0.12178152054548264	0.05274367332458496
LUNG_N31	nLung	109	161	1.7541019733345842	3.161966304724755	0.9952789988448495	0.8726289483639518	0.12685557445457424	0.09396210739961953	0.12589157511699453	0.12087905221844311	0.5007654139525733	0.21724482541976597	0.09886674582958221	0.01716410368680954
LUNG_N34	nLung	79	166	3.428263446198234	3.7300721809088464	0.8436954078040547	0.6673847985674579	0.10883247117397095	0.08305335669233457	0.06148041074286031	0.050375644042788735	0.15024896565830786	0.07980104874939087	0.0169250275939703	0.007273408118635416
