PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.Completeness	PG.MolecularWeight	[1] 4351_WP_01.htrms.PG.NrOfStrippedSequencesIdentified	[2] 4351_WP_02.htrms.PG.NrOfStrippedSequencesIdentified	[3] 4351_WP_03.htrms.PG.NrOfStrippedSequencesIdentified	[4] 4351_WP_04.htrms.PG.NrOfStrippedSequencesIdentified	[5] 4351_WP_05.htrms.PG.NrOfStrippedSequencesIdentified	[6] 4351_WP_06.htrms.PG.NrOfStrippedSequencesIdentified	[7] 4351_WP_07.htrms.PG.NrOfStrippedSequencesIdentified	[8] 4351_WP_08.htrms.PG.NrOfStrippedSequencesIdentified	[9] 4351_WP_09.htrms.PG.NrOfStrippedSequencesIdentified	[10] 4351_WP_10.htrms.PG.NrOfStrippedSequencesIdentified	[11] 4351_WP_11.htrms.PG.NrOfStrippedSequencesIdentified	[12] 4351_WP_12.htrms.PG.NrOfStrippedSequencesIdentified	[13] 4351_WP_13.htrms.PG.NrOfStrippedSequencesIdentified	[14] 4351_WP_14.htrms.PG.NrOfStrippedSequencesIdentified	[15] 4351_WP_15.htrms.PG.NrOfStrippedSequencesIdentified	[16] 4351_WP_16.htrms.PG.NrOfStrippedSequencesIdentified	[1] 4351_WP_01.htrms.PG.Quantity	[2] 4351_WP_02.htrms.PG.Quantity	[3] 4351_WP_03.htrms.PG.Quantity	[4] 4351_WP_04.htrms.PG.Quantity	[5] 4351_WP_05.htrms.PG.Quantity	[6] 4351_WP_06.htrms.PG.Quantity	[7] 4351_WP_07.htrms.PG.Quantity	[8] 4351_WP_08.htrms.PG.Quantity	[9] 4351_WP_09.htrms.PG.Quantity	[10] 4351_WP_10.htrms.PG.Quantity	[11] 4351_WP_11.htrms.PG.Quantity	[12] 4351_WP_12.htrms.PG.Quantity	[13] 4351_WP_13.htrms.PG.Quantity	[14] 4351_WP_14.htrms.PG.Quantity	[15] 4351_WP_15.htrms.PG.Quantity	[16] 4351_WP_16.htrms.PG.Quantity	[1] 4351_WP_01.htrms.PG.IBAQ	[2] 4351_WP_02.htrms.PG.IBAQ	[3] 4351_WP_03.htrms.PG.IBAQ	[4] 4351_WP_04.htrms.PG.IBAQ	[5] 4351_WP_05.htrms.PG.IBAQ	[6] 4351_WP_06.htrms.PG.IBAQ	[7] 4351_WP_07.htrms.PG.IBAQ	[8] 4351_WP_08.htrms.PG.IBAQ	[9] 4351_WP_09.htrms.PG.IBAQ	[10] 4351_WP_10.htrms.PG.IBAQ	[11] 4351_WP_11.htrms.PG.IBAQ	[12] 4351_WP_12.htrms.PG.IBAQ	[13] 4351_WP_13.htrms.PG.IBAQ	[14] 4351_WP_14.htrms.PG.IBAQ	[15] 4351_WP_15.htrms.PG.IBAQ	[16] 4351_WP_16.htrms.PG.IBAQ
A2AAY5	Sh3pxd2b	SH3 and PX domain-containing protein 2B	27	100	101517.11	20	24	20	23	23	23	26	19	23	22	23	21	25	24	26	22	551801.375	586906.0625	536562.625	586640.5	496955.1875	648261.9375	474550.4375	572011.5	573107	475977.15625	570516.4375	550559.9375	1387099.5	1400876.75	1370627.125	1060331.5	172142	209800.7	173452.9	196637.1	161838.9	206879.3	168840	176547.6	196170	148979.4	162462	171095.1	364459.7	386672.4	398683	306313
A2AB59	Arhgap27	Rho GTPase-activating protein 27	7	100	97048.58	5	4	4	4	6	7	6	3	5	4	5	6	2	2	2	1	59289.625	85510.0703125	74269.390625	59445.5	82704.6640625	97339.171875	74469.15625	78837.046875	81871.03125	66161.3359375	86136.6875	82173.875	8182.43896484375	27941.251953125	16153.62109375	21186.9921875	8106.1	9005.5	5208.3	6427.3	10670.6	10523.2	9865.3	7417.3	10237	8045	7293.1	13001.9	429.5	369.7	560.4	280.3
A2ABV5	Med14	Mediator of RNA polymerase II transcription subunit 14	12	100	160965.75	9	11	8	10	10	11	11	8	10	8	12	8	11	11	11	8	1179620.5	1302653.125	1427503.75	1245942	1025053.75	1193955.75	1011245.8125	991621.0625	1004016.75	1138526.375	1049542.75	1148579	1594358.75	1846024.125	1981295.5	1587212.5	35097.2	37632.6	27946.3	22608.9	51854.1	257638.1	56098.8	116000.8	64716.5	41668	59440.3	142101.5	57928.4	36653.4	61860.2	29819.9
A2ACJ2	Faap100	Fanconi anemia core complex-associated protein 100	1	25	94281.44	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	27241.80078125	27495.025390625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44515.18359375	25441.47265625	NaN	633.5	639.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1035.2	591.7	NaN
A2ADA5	Pusl1	tRNA pseudouridine synthase-like 1	2	93.8	31992.62	2	2	2	2	0	1	2	2	2	2	1	2	2	2	2	2	111723.5	73308.7109375	97426.46875	66939.359375	NaN	72358.671875	65942.703125	56025.01953125	74317.0703125	76532.4609375	81225.6015625	67854.4140625	67903.3671875	69789.625	67897.5078125	59571.0390625	16932.1	10314.9	12571.3	9139.6	NaN	2204.7	8195.3	7734.2	9969.9	11420.6	2474.8	10901.4	15180.4	9461.3	10854.5	9256
A2ADY9	Ddi2	Protein DDI1 homolog 2	10	100	44590.62	7	9	8	7	9	8	10	7	8	8	10	8	8	9	8	8	176265.8125	165168.640625	180931.578125	188433.90625	193350.640625	284295.1875	235626.484375	208604.59375	183555.078125	190562.65625	242915.546875	218606.78125	216840.46875	189916.375	238123.484375	177592.25	62235.7	78491.3	66631	65526.9	64249.2	91806.6	80978.6	71027.8	63635.9	70697.5	81494.7	76566.8	72055.6	74231.8	82709.4	72616.9
A2AEV7	Ccdc120	Coiled-coil domain-containing protein 120	6	87.5	67407.4	5	4	5	5	4	5	6	5	4	4	5	5	0	5	0	2	1362360.875	1001184.6875	917580.125	743605.1875	945708.75	548234.625	981621.375	749495.375	461751	957733.5625	734317.75	871624.875	NaN	656700.0625	NaN	406974.28125	120150.1	120097.2	95861.1	58640.4	52076.7	45803.9	66883	58423	7676.2	80101.9	73663.7	79403.3	NaN	82934.5	NaN	2189.8
A2AF47	Dock11	Dedicator of cytokinesis protein 11	36	100	237771.23	25	31	26	27	31	27	31	28	32	25	31	32	32	33	29	28	231756.59375	227672.578125	224801.75	190683.78125	235148.15625	243416.3125	228115.203125	240095.390625	218299.671875	209097.3125	232070.109375	198965.59375	225830.78125	263344.21875	293936.15625	195849.765625	44989.6	39555.6	34188.1	28039.9	38016.9	31180.3	35007.5	34411.7	35181.6	31864.9	34353.2	34921.2	39473.9	39528.1	41500.5	33747.8
A2AG58	Bclaf3	BCLAF1 and THRAP3 family member 3	5	100	90111.47	5	4	5	3	3	4	4	5	4	4	3	4	5	4	4	5	354035.90625	299666.0625	259869.75	164158.265625	260886.203125	183369	190270.515625	222827.015625	218952.9375	226412.828125	197674.34375	187671.671875	296227.84375	324583.1875	263725.875	375514.875	41132.6	33821.6	31369.8	18688.6	25585.8	20095	25470.3	32996.2	31438.7	29397.9	26167.6	19861.4	38169	39993.9	27449.3	49506.3
A2AGH6	Med12	Mediator of RNA polymerase II transcription subunit 12	12	100	244561.11	9	9	9	10	8	10	11	8	11	8	11	7	12	10	10	10	55189.66015625	51345.06640625	46648.9296875	44272.70703125	42203.72265625	31169.23046875	36129.92578125	36619.75390625	36051.12890625	36777.18359375	40927.46484375	32772.921875	66504.875	76435.09375	71857.1171875	42779.00390625	9684	6162.5	8435.6	6375.1	5141.4	9459.8	6480.6	5925.9	9511.8	5328.8	9547.5	4329.5	11177.9	13802.5	13008.7	8193.3
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	75	100	225634.64	63	68	67	72	67	65	67	64	67	64	69	70	72	71	71	70	366612.78125	377320.1875	375272.65625	445705.0625	286642.6875	336033.15625	309992	320372.90625	331138.28125	313621.53125	348018.6875	364705.1875	484236.375	460126.3125	510594.6875	442845.9375	209852.4	202890.7	216298.3	238026.9	151896.2	159033.8	161014.8	172236.9	175823.8	167296.1	188022.5	197649.2	253255.3	258639.5	275620.5	245717.2
