PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.Completeness	PG.MolecularWeight	[1] 4351_WP_01.htrms.PG.NrOfStrippedSequencesIdentified	[2] 4351_WP_02.htrms.PG.NrOfStrippedSequencesIdentified	[3] 4351_WP_03.htrms.PG.NrOfStrippedSequencesIdentified	[4] 4351_WP_04.htrms.PG.NrOfStrippedSequencesIdentified	[5] 4351_WP_05.htrms.PG.NrOfStrippedSequencesIdentified	[6] 4351_WP_06.htrms.PG.NrOfStrippedSequencesIdentified	[7] 4351_WP_07.htrms.PG.NrOfStrippedSequencesIdentified	[8] 4351_WP_08.htrms.PG.NrOfStrippedSequencesIdentified	[9] 4351_WP_09.htrms.PG.NrOfStrippedSequencesIdentified	[10] 4351_WP_10.htrms.PG.NrOfStrippedSequencesIdentified	[11] 4351_WP_11.htrms.PG.NrOfStrippedSequencesIdentified	[12] 4351_WP_12.htrms.PG.NrOfStrippedSequencesIdentified	[13] 4351_WP_13.htrms.PG.NrOfStrippedSequencesIdentified	[14] 4351_WP_14.htrms.PG.NrOfStrippedSequencesIdentified	[15] 4351_WP_15.htrms.PG.NrOfStrippedSequencesIdentified	[16] 4351_WP_16.htrms.PG.NrOfStrippedSequencesIdentified	[1] 4351_WP_01.htrms.PG.Quantity	[2] 4351_WP_02.htrms.PG.Quantity	[3] 4351_WP_03.htrms.PG.Quantity	[4] 4351_WP_04.htrms.PG.Quantity	[5] 4351_WP_05.htrms.PG.Quantity	[6] 4351_WP_06.htrms.PG.Quantity	[7] 4351_WP_07.htrms.PG.Quantity	[8] 4351_WP_08.htrms.PG.Quantity	[9] 4351_WP_09.htrms.PG.Quantity	[10] 4351_WP_10.htrms.PG.Quantity	[11] 4351_WP_11.htrms.PG.Quantity	[12] 4351_WP_12.htrms.PG.Quantity	[13] 4351_WP_13.htrms.PG.Quantity	[14] 4351_WP_14.htrms.PG.Quantity	[15] 4351_WP_15.htrms.PG.Quantity	[16] 4351_WP_16.htrms.PG.Quantity	[1] 4351_WP_01.htrms.PG.IBAQ	[2] 4351_WP_02.htrms.PG.IBAQ	[3] 4351_WP_03.htrms.PG.IBAQ	[4] 4351_WP_04.htrms.PG.IBAQ	[5] 4351_WP_05.htrms.PG.IBAQ	[6] 4351_WP_06.htrms.PG.IBAQ	[7] 4351_WP_07.htrms.PG.IBAQ	[8] 4351_WP_08.htrms.PG.IBAQ	[9] 4351_WP_09.htrms.PG.IBAQ	[10] 4351_WP_10.htrms.PG.IBAQ	[11] 4351_WP_11.htrms.PG.IBAQ	[12] 4351_WP_12.htrms.PG.IBAQ	[13] 4351_WP_13.htrms.PG.IBAQ	[14] 4351_WP_14.htrms.PG.IBAQ	[15] 4351_WP_15.htrms.PG.IBAQ	[16] 4351_WP_16.htrms.PG.IBAQ
Q8C3P7	Mettl3	N6-adenosine-methyltransferase subunit METTL3	8	100	64616.17	5	6	4	5	6	5	5	4	6	5	7	4	7	5	6	4	148336.859375	137857.671875	176642.703125	132863.578125	131275.703125	115678.0625	136984.203125	98431.8125	115348.4296875	166530.25	137161.21875	78306.8671875	183380.40625	154547.3125	209774.84375	224348.203125	19495.9	19275.8	8053.7	19469.3	19105.5	11678.6	18507.3	13794.1	15110.9	21460.9	21914.4	8226.5	37112.2	18984.8	27485	17066.1
Q8C3Q5	Shisa7	Protein shisa-7	1	62.5	58333.85	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	NaN	85513.890625	NaN	NaN	65074.56640625	91081.3359375	55763.234375	88152.9609375	57734.4765625	60440.48828125	NaN	42498.2890625	NaN	64630.8515625	NaN	58485.609375	NaN	2948.8	NaN	NaN	2244	3140.7	1922.9	3039.8	1990.8	2084.2	NaN	1465.5	NaN	2228.7	NaN	2016.7
Q8C3R1	Brat1	BRCA1-associated ATM activator 1	9	100	89085.63	5	5	3	5	6	6	5	7	6	5	5	6	6	5	7	6	27584.130859375	24510.828125	26218.310546875	34651.45703125	21650.037109375	28097.3671875	35271.95703125	22509.16796875	31212.419921875	21819.669921875	35326.21875	23770.029296875	25426.025390625	28894.84765625	31244.48046875	17656.05078125	3956.3	3702.9	1458.3	2558.2	2075.5	4038.4	3411	5390.8	4549.7	3168.7	4763.7	5434.6	4481.7	2316.5	5604.8	3218.6
Q8C3S2	Tango6	Transport and Golgi organization protein 6 homolog	6	62.5	118732.29	0	0	0	3	3	2	0	1	0	2	0	2	5	5	4	3	NaN	NaN	NaN	35487.78515625	37249.57421875	68561.25	NaN	44418.8046875	NaN	66297.7734375	NaN	73733.8203125	113300.1796875	117113.640625	111471.1171875	140714.90625	NaN	NaN	NaN	5230	3376.1	1748.6	NaN	420.4	NaN	1852.1	NaN	1604.4	6771.7	6869.3	3841.6	3985.7
Q8C3W1		Uncharacterized protein C1orf198 homolog	11	100	35316.43	8	9	8	10	8	10	10	6	10	10	10	9	11	11	11	11	127707.859375	124179.390625	144271.828125	124901.4375	123099.828125	98867.765625	145203	127106.84375	127994.7265625	123412.1640625	122964.09375	119724.8359375	345336.625	337082	340847.6875	483754.53125	59649.9	56654.9	54952	67199.4	60791.4	65573.8	91116.3	44421.5	66051.6	81966	74013.2	54190.2	176097.3	203699.2	192568.5	280923
Q8C3X2	Ccdc90b	Coiled-coil domain-containing protein 90B, mitochondrial	2	87.5	29596.75	0	0	2	2	2	2	2	2	1	1	2	2	1	1	1	1	NaN	NaN	170681.796875	80406.40625	217923.453125	123163.890625	125804.0390625	135965.375	153286.8125	120477.25	102757.296875	110323.171875	185278.140625	196775.953125	157637.515625	174275.5625	NaN	NaN	16572.6	7586.3	21794.2	11622.7	11933.9	12572.3	9902.9	7783.2	9606.3	10676	11969.6	12712.4	10183.9	11258.8
Q8C3X4	Guf1	Translation factor Guf1, mitochondrial	3	93.8	72462.8	0	1	2	2	2	2	1	2	2	2	3	1	2	3	2	3	NaN	15186.34765625	17098.0078125	21409.458984375	13951.4130859375	12864.0234375	18072.791015625	11446.609375	8530.0087890625	9437.3076171875	12382.3681640625	14886.2490234375	17676.203125	19463.314453125	17580.9765625	19727.751953125	NaN	329.7	893.3	1561.8	1011	872.4	634.1	810.9	639.9	537.9	1144.5	323.2	1096.6	1851.9	1030.3	1800.1
Q8C3X8	Lmf2	Lipase maturation factor 2	12	100	79997.26	10	9	10	9	9	11	10	10	11	10	10	9	10	11	12	11	1452089.875	1303242.5	1453647.375	1000324.9375	1048845.125	800606.5	874267.625	1191866.125	1239693	1175443.25	1249320.5	884984.0625	1013058	1213382.625	1387200	1023299.5	449905.2	375464.2	421802.3	296262.9	282627.8	212698.5	259758.4	344253.2	360818.5	369907.5	339570.1	257056.8	289632.9	386929.8	372883.3	321983.8
Q8C3Y4	Kntc1	Kinetochore-associated protein 1	27	100	250358.26	15	18	18	21	18	18	16	14	18	15	23	17	20	18	22	16	68678.890625	77063.890625	67575.15625	92747.3515625	59447.953125	59252.1015625	57367.6953125	58153.515625	67397.25	73394.015625	71598.2265625	68560.3515625	65112.87109375	79625.0078125	76774.0234375	72527.515625	20967.5	16602.3	14723.2	29734.8	22780.4	16106.4	17141.3	14303.2	21343	14350.5	28912.6	21642.6	16258.8	19417.3	21863.8	17209
Q8C407	Yipf4	Protein YIPF4	2	75	27282.97	1	1	0	1	1	0	2	2	2	1	2	1	2	0	1	0	153330.9375	299983.375	NaN	103522.78125	444770.53125	NaN	358414.625	306637.46875	285757.5625	311082.84375	369422.84375	163722.578125	226133.046875	NaN	342880.8125	NaN	12782	25449.2	NaN	8629.9	37077.2	NaN	66143.3	50205.1	44842.8	25932.6	62639.2	13648.3	39665.4	NaN	28583.4	NaN
Q8C436	Vcpkmt	Protein N-lysine methyltransferase METTL21D	3	93.8	25535.26	3	3	3	3	0	1	1	1	2	2	2	2	2	3	2	2	728155.3125	313344.96875	778587.5625	753060.4375	NaN	633188.8125	843128.75	916926.75	621347.875	364142.59375	1252334.625	576449	339523.65625	397565.65625	474477.71875	668162.625	172687.9	126011.8	272300.9	172305.8	NaN	1750.1	209943.8	228319.9	271987.9	130379.2	311838.4	131276.2	62080.7	84257.4	93919	91700.6
Q8C4B4	Unc119b	Protein unc-119 homolog B	10	100	28302.8	9	10	9	9	8	10	10	10	10	9	10	10	10	9	9	10	319868.46875	312819.84375	316867.78125	362497.40625	359888.28125	305952.46875	352357.4375	327841.75	334137.59375	346124.21875	360403.3125	349522.375	243614.765625	245997.75	202594.109375	353012.65625	184838.6	192792.9	196545	207252.4	211602.1	187059.2	205597.9	204230.2	202807.9	204046	213417.3	210211.8	143624.2	151901.4	124331.3	222333.3
Q8C4J7	Tbl3	Transducin beta-like protein 3	31	100	88265.8	28	31	30	31	28	28	28	26	30	28	27	29	31	29	30	29	374205.3125	409030.0625	403418.25	405778.71875	284598.1875	346955.46875	291012	293607.375	341968.90625	313917.15625	346131.03125	331948.84375	437149.96875	438046.34375	456377.84375	396033.5	238804.5	262393	262185.1	257229.7	172578.5	181803.4	192796.1	163506.2	217186.2	204769.2	196006.5	221115.3	277671.9	270598.8	279145.3	244367.9
Q8C4Q6	Aida	Axin interactor, dorsalization-associated protein	3	100	34888.04	3	3	1	2	3	3	3	3	3	2	3	3	3	3	3	3	64583.109375	84856.5703125	62737.76953125	70541.1015625	103835.6796875	123357.6953125	102522.7109375	105762.578125	59608.40234375	166985.609375	121291.7265625	91408.359375	144683.640625	52394.67578125	152092.28125	104045.0703125	14654.3	18777.9	2534.5	7684.4	21212.6	24408.8	18720.9	19914.3	11483.5	15888.4	23117.8	16987.4	27878.4	13761.5	28772.2	20879.9
Q8C4X2	Csnk1g3	Casein kinase I isoform gamma-3	6	100	48937.98	5	4	3	4	5	2	6	5	5	4	3	3	4	5	5	2	118444.25	99663.9921875	134056.96875	91356.5390625	141908.890625	85857.171875	102383.625	129346.96875	112632	108743.0390625	86598.9765625	104610.9765625	125896.359375	178300.625	160406.296875	117054.09375	22305.2	17639.9	22459.7	16420.4	19026.1	12969.8	22283.1	23681.2	22665.5	20392.7	13292.5	13583.4	22100	34017.2	31988.4	15031.1
Q8C4Y3	Nelfb	Negative elongation factor B	16	100	65636.26	12	13	11	12	13	12	15	11	15	11	14	12	12	12	13	10	122106.8671875	122611.828125	116831.3359375	103966.65625	122900.2578125	101104.5078125	113349.4375	106228.4375	102069.96875	94648.9609375	111395.8046875	99143.515625	87301.8203125	92721.9453125	78585.0546875	95263.34375	80702.8	85471	78177.2	60398	70635.4	64287.8	51123.7	66238.5	69242.7	58686.2	68345.5	63231.4	54107.3	70155.3	68270.3	61107.2
Q8C522	Endod1	Endonuclease domain-containing 1 protein	13	100	55262.15	11	12	12	13	12	12	12	13	11	13	13	13	7	7	9	6	642034.125	606314.4375	586432	501810.1875	803942.25	532184.625	752617	751303.8125	602612.9375	612460.3125	645116.8125	565861.8125	55151.1328125	75187.7421875	59958.8359375	37689.90234375	245306.1	246332.3	233410.2	212325.4	330474.7	255540.6	321455.9	301932.1	236701.9	253132.9	278473	237044.9	15695	20719.9	17273.8	11605.3
Q8C525	Mb21d2	Nucleotidyltransferase MB21D2	1	25	48476.99	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	9405.6923828125	NaN	NaN	26416.115234375	NaN	NaN	NaN	NaN	2909.70654296875	NaN	NaN	3886.2021484375	NaN	NaN	NaN	NaN	391.9	NaN	NaN	1100.7	NaN	NaN	NaN	NaN	121.2	NaN	NaN	161.9	NaN	NaN	NaN	NaN
Q8C547	Heatr5b	HEAT repeat-containing protein 5B	36	100	224319.47	21	32	26	30	32	26	27	29	31	30	29	27	30	30	25	30	119838.703125	125576.28125	118336.109375	112682.9296875	110462.5234375	107844.953125	107969.5625	116759.4453125	124567.0859375	126235.59375	132418.84375	119973.0390625	129456.90625	126259.8359375	158673.171875	110559.4453125	22968.6	27187.5	24598.8	22875.7	26016.2	23248.5	23263.5	22309.3	23249.8	22653.1	25776.2	20032.1	23714.5	22848.3	28756.7	19606.2
Q8C561	Lmbrd2	G-protein coupled receptor-associated protein LMBRD2	1	18.8	81101.1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	NaN	NaN	NaN	14074.3359375	NaN	NaN	35981.3203125	NaN	15433.9873046875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	469.1	NaN	NaN	1199.4	NaN	514.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8C569	Fam118b	Protein FAM118B	4	100	39508.2	4	3	3	4	4	3	3	2	3	4	3	2	4	2	4	4	144529.203125	106756.3203125	143439.109375	98616.1875	90903.34375	121101.6328125	137985.09375	121179.7109375	116886.34375	112144.109375	119706.9609375	123152.390625	126975.734375	126050.703125	156598.21875	134284.859375	38395.1	19119	20369	22034.8	15658.2	16223.6	28626.3	7866	22748.4	30715.5	12597.5	20156.8	35536.4	13564	36068.7	51551.9
Q8C570	Rae1	mRNA export factor	17	100	40965.15	17	17	17	17	17	15	17	17	16	17	16	17	17	16	17	17	571962.625	561944.3125	554957.9375	518372.53125	538655.875	586272.3125	552936.625	482534.1875	520926.34375	583023.25	525960.75	536678.375	527150.625	488424.875	403126.71875	500642.25	868840.3	814222.4	811428.1	736902.6	778936.7	690428.7	794650.1	749495.7	691554	854637.7	648649.3	768524.8	688111.1	687040	596198.8	692227.1
Q8C5D8	Pias2	E3 SUMO-protein ligase PIAS2	2	56.2	68425.74	1	0	0	0	0	2	2	0	1	2	2	2	0	2	2	0	70133.234375	NaN	NaN	NaN	NaN	75184.765625	49687.27734375	NaN	76957.7421875	99419.8046875	78401.5078125	109450.4375	NaN	174990.5625	115957.6953125	NaN	2375.8	NaN	NaN	NaN	NaN	4032.8	2397.7	NaN	1313	5473.7	4121.5	5836.8	NaN	8489	6153.8	NaN
Q8C5H8	Nadk2	NAD kinase 2, mitochondrial	12	100	50858.52	9	7	6	8	8	8	7	8	6	7	6	6	12	10	12	11	57820.55859375	49886.25	54990.98828125	40711.86328125	46001.00390625	36441.22265625	50495.0546875	56084.26953125	53424.21484375	45130.1875	41720.046875	36204.875	191578.609375	223623.015625	188897.71875	210194.84375	30353.6	21690.2	21275.7	18332.8	24766.9	18656.5	24310	25058.3	23974.1	18176.1	17617.5	14450.8	110332.7	125075.9	116764	114742.8
Q8C5K5		Uncharacterized protein CXorf38 homolog	4	100	36588.83	3	3	3	3	3	4	3	3	3	2	3	2	3	3	3	3	171631.9375	153779.53125	145613.65625	154507.703125	165210.578125	166148.171875	152013.34375	153066.09375	144811.75	188091.21875	133723.578125	168508.3125	224323.5625	214823.03125	185190.765625	254995.90625	28748.3	23303.9	21255.1	21981.1	24347	15588.7	22124.9	22027.4	21486.6	23907.8	20077.7	21464.8	38505.8	33030.8	24033.1	34070.9
Q8C5L3	Cnot2	CCR4-NOT transcription complex subunit 2	8	100	59710.67	8	8	6	7	7	6	8	7	8	7	8	8	7	7	7	8	199080.40625	190185.796875	187372.78125	144876.140625	191439.9375	161572.25	184108.703125	189869.65625	166384.09375	178375.671875	195670.203125	185742.203125	163176.34375	147839.875	158834.46875	169481.203125	76286.3	73569.9	61531.6	53887.9	70395.6	61329	72036.4	71017.9	63499.9	66302.9	71437.3	67139	57245.8	57608.6	64880.7	55677.9
Q8C5L6	Inpp5k	Inositol polyphosphate 5-phosphatase K	2	81.2	54158.92	1	2	1	2	0	0	1	1	2	2	1	2	1	1	2	0	26235.421875	29797.642578125	55779.73828125	42373.328125	NaN	NaN	38586.078125	41448.46875	33814.6953125	35680.890625	42349.72265625	23395.166015625	23537.080078125	23074.876953125	55854.67578125	NaN	2897.7	4143.3	6160.9	4477.2	NaN	NaN	4261.9	644.8	4704	5232.3	658.8	2895.9	2599.7	2548.6	6538.4	NaN
Q8C5L7	Rbm34	RNA-binding protein 34	9	100	49116.19	4	8	9	8	6	7	3	6	6	5	6	8	8	6	6	5	41630.8671875	57333.8984375	50896.3984375	82480.2890625	18775.359375	56883.2578125	34933.21484375	36566.65625	46369.10546875	50413.03515625	74187.2578125	69485.0703125	59257.96484375	56775.32421875	70223.6171875	48054.671875	9542.6	60348	66557.8	100012.2	4249.6	13061.4	2648	8380.6	11454.3	10388.7	19314.6	76564.7	20449.1	18611.8	18272.8	9696.4
Q8C5N3	Cwc22	Pre-mRNA-splicing factor CWC22 homolog	13	100	104773.49	12	10	10	10	8	6	10	7	11	12	13	13	11	11	10	7	626618.3125	605889.875	537805.8125	412558.8125	192568.515625	148686.640625	200860.953125	275456.09375	524419.25	509254.9375	537698.3125	508486.0625	390932.03125	395923.1875	458272.875	398990.03125	93123.9	81304.8	82334.4	57919.4	18660.1	12681.7	29461.9	21016.3	77152.7	73611.1	66995	81799.7	52211.2	54573.7	64672.8	52794.5
Q8C5N5	Pdcd2l	Programmed cell death protein 2-like	2	100	39955.05	2	1	2	1	1	1	1	1	2	1	2	2	2	2	2	2	378944.65625	237134.90625	263695.03125	182337.453125	238905.1875	131103.828125	227647.234375	170698.578125	339735.125	258254.125	304878.375	278893.75	151239.375	155441.59375	281915.28125	235026.734375	37814.3	21317.1	35364.4	16391.1	21476.3	11785.5	20464.2	15344.9	34526.6	23215.6	29817.9	27932.2	16668.8	17771.3	27518.1	25572.9
Q8C5Q4	Grsf1	G-rich sequence factor 1	16	100	53076.37	11	12	12	13	8	10	12	10	12	13	14	14	14	14	15	14	471483.15625	495207	477453.03125	453379.125	325457.15625	415051.09375	286988.4375	314754.25	486256.0625	515692.09375	495977.46875	415994.125	377880.40625	486626.6875	563495.375	710970.4375	157843.7	169472.5	189614.6	151128.7	125233.7	121330.3	101711.5	89590.7	167049	190495.3	186961.1	169971.6	138146.5	182615.4	225331	241673
Q8C5R2	Proser2	Proline and serine-rich protein 2	6	93.8	50420.86	5	6	5	6	6	6	6	6	6	5	6	6	0	4	4	4	314635.9375	309136.1875	266744.625	368614.75	426191.375	353856.03125	436996.84375	376005.5625	353735.5	328273.125	416544.53125	333664.71875	NaN	256823.8125	186718.15625	228257.875	36922.9	42014.1	38084.4	54459.1	58295.6	56643.2	62617.9	52579.6	53435.5	48767.8	58412.8	48062.5	NaN	24774	36702.3	28217.7
Q8C5U9	Ubqln3	Ubiquilin-3	1	100	70752.92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	85916.7890625	121621.9375	99770.0859375	222697.125	282772.375	237520.71875	204581.5625	235592.875	239264.46875	191586.640625	256899.859375	173554.296875	168828.234375	178310.703125	229298.5	284721.09375	6340.8	9377.2	6953.9	15742.4	18673.3	16460.7	15907.9	17701.6	17896.4	13980.3	19416.1	13349.2	13375.6	13592.8	16595	21034.4
Q8C5W0	Clmn	Calmin	19	100	117226.97	18	17	19	17	16	14	17	16	17	17	16	15	1	6	3	4	75874.1328125	70679.34375	65703.296875	78701.078125	100770.3046875	103715.0703125	90677.4296875	78743.375	74859.8125	79763.9921875	83561.3515625	73370.9453125	62600.7890625	24094.005859375	17627.61328125	39566.66015625	46052.6	44588.7	45067.6	40678	54665.3	49438	59238.6	54922.1	49503.9	46553.9	47276.1	41913.5	431.4	2223.3	1620.6	2455.3
Q8C5W3	Tbcel	Tubulin-specific chaperone cofactor E-like protein	6	87.5	48031.78	3	3	4	4	6	5	3	3	3	3	4	3	0	2	2	0	36277.16796875	44788.53125	35432.87109375	30361.689453125	36655.9453125	66165.796875	43102.0546875	34772.69140625	44752.625	58229.46484375	51358.8359375	11476.97265625	NaN	49607.08984375	37139.94140625	NaN	11876.1	11886.4	17335.2	7228.4	10544	16713.9	7527.7	4599.4	11051.1	13858.7	4802	5012.8	NaN	1886.7	3259.3	NaN
Q8C650	Septin10	Septin-10	5	100	52422.09	4	4	4	3	3	2	3	4	4	4	4	3	3	4	4	3	62170.91015625	78533.2734375	63205.2890625	57681.84375	82782.75	71908.453125	78337.484375	59763.484375	70421.8125	73836.296875	66603.109375	67036.8046875	98498.75	90202.1328125	73460.515625	103712.2265625	9866	12355.6	9356.5	7013.8	9190.3	7956.5	10072.4	9047	11037.7	11090.8	9767.1	8875	12185.4	13871.7	12015.5	13044.3
Q8C6B2	Rtkn	Rhotekin	7	100	63012.75	5	5	4	3	6	5	6	3	5	4	5	4	6	6	5	2	60852.67578125	65316.3671875	54748.265625	47127.57421875	64895.7734375	43024.9296875	61898.828125	58822.2734375	47048.328125	56475.90234375	48910.80078125	44113.72265625	44903.56640625	55573.328125	58293.06640625	36828.86328125	8144.6	11221.7	8274.8	6162.7	10322.9	3861.8	7586	8256.4	7128.1	7887.2	10756.8	6923	8174.8	9796.6	9576.3	3919.9
Q8C6B9	Rps19bp1	Active regulator of SIRT1	3	100	15977.51	3	2	3	3	3	2	3	2	2	2	3	2	2	2	3	2	278177.03125	285233.625	266446.84375	181070.65625	184195.5625	133798.859375	191318.515625	203205.328125	190150.859375	272893.75	247641.484375	235221.90625	231902.046875	242427.359375	194128.96875	307059.21875	181526.9	169875.5	163535.7	114088.6	126330	68563.9	118835.8	112351.9	105765.9	147704.5	135128.5	127199.4	125971.5	133337.4	138474.7	167684
Q8C6E0	Cfap36	Cilia- and flagella-associated protein 36	5	100	39599.92	4	5	3	4	4	3	3	4	5	3	4	3	4	3	2	3	579884.75	481800.15625	304149.8125	411191.5625	506472.125	609264.6875	650522.3125	726021.125	436598.875	444388	629999.0625	528053	593539	601194.25	592097.6875	625410.8125	93415.7	93339.7	51593.3	93715.6	115318.8	163088.5	127863	143801	109814.8	86466.7	138536	122095.6	98122.7	86925.8	87629.9	97961.9
Q8C6G8	Wdr26	WD repeat-containing protein 26	18	100	70543.42	12	14	16	18	16	14	16	13	14	14	14	14	12	12	15	14	191574.8125	185216.625	192991.3125	162259.5	166843.84375	195657.953125	193048.546875	201826.46875	172000.046875	166227.40625	155409.15625	166005.53125	136681.4375	129095.9765625	124410.484375	131702.90625	83285.6	96109.3	134615.5	77070.6	81212.8	84911.1	84577.9	101388.3	74165.8	77033.1	78196.5	117174.4	50717.7	55220.7	59171.9	56706.3
Q8C6I2	Sdhaf2	Succinate dehydrogenase assembly factor 2, mitochondrial	2	100	19431.27	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	175830.4375	175349.46875	137874.734375	147992.265625	103721.359375	85552.7734375	89315.390625	96287.4609375	179046.1875	187227.78125	158083.078125	159360.84375	71091.7109375	117519.2890625	86062.4375	154129.296875	39995.1	44961	31522.9	37903.6	23644.2	19476.1	20454.1	22299.1	46971.8	48735.5	35977.8	42190.3	16380.7	29821.6	21844.5	35599.3
Q8C6L5	Cgas	Cyclic GMP-AMP synthase	2	56.2	58193.8	0	1	2	1	0	0	0	0	1	0	2	0	2	2	2	2	NaN	22507.826171875	85462.5390625	47894.36328125	NaN	NaN	NaN	NaN	8584.1337890625	NaN	27941.345703125	NaN	55117.828125	94978.0546875	90671.03125	52015.203125	NaN	1024.7	7283.4	542.9	NaN	NaN	NaN	NaN	390.8	NaN	1365.1	NaN	3624.6	5181	4442.6	3587.3
Q8C726	Btbd9	BTB/POZ domain-containing protein 9	2	100	69147.54	1	2	1	2	1	2	2	1	2	2	2	1	2	1	2	2	60649.03515625	64355.30859375	45306.22265625	55832.328125	58828.70703125	70369.375	70024.4609375	86327.9921875	45968.51171875	74428.140625	63473.15625	70872.6640625	50523.18359375	39395.63671875	55799.37109375	61336.6015625	2471.7	2539.9	1846.4	1945.2	2397.5	2862.8	3382.7	3518.2	2305.1	3452.7	2896.4	2888.4	2401.6	1605.5	2401.3	3408.4
Q8C735	Lin9	Protein lin-9 homolog	1	50	61758.59	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	16789.607421875	NaN	21519.94140625	42348.9453125	NaN	NaN	NaN	NaN	NaN	NaN	16720.802734375	21592.845703125	10107.8623046875	8544.0244140625	NaN	13674.017578125	599.6	NaN	768.6	1512.5	NaN	NaN	NaN	NaN	NaN	NaN	597.2	771.2	361	305.1	NaN	488.4
Q8C754	Vps52	Vacuolar protein sorting-associated protein 52 homolog	16	100	82044.02	10	15	12	13	11	13	11	12	13	12	10	12	14	12	11	10	185548.1875	178354.640625	157868.828125	115864.65625	184313.65625	177865.125	179572.71875	172119.140625	199375.25	193980.1875	191732.125	190950.5625	161820.078125	154887.703125	158011.4375	114361.3046875	38722.6	41889.5	30906.7	25777.9	32391	38492.7	39126.8	29529.4	41663.3	46003.8	31187.8	53131.1	39326.5	29605.2	26989.1	18047
Q8C796	Rcor2	REST corepressor 2	4	25	57907.7	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42165.8515625	57269.671875	43441.62890625	70325.21875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5407.3	6409.7	3459.9	9779.5
Q8C7B6	Fbxl22	F-box and leucine-rich protein 22	1	100	26320.45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1433466.375	1430258.125	1605861.375	1067158.75	802756.0625	1080310.5	1032407.0625	1344286.625	1011255.3125	977799.8125	1109650.75	1215322	1039411.25	849969.3125	647183.25	1009950.0625	89591.6	89391.1	100366.3	66697.4	50172.3	67519.4	64525.4	84017.9	63203.5	61112.5	69353.2	75957.6	64963.2	53123.1	40449	63121.9
Q8C7D2	Crbn	Protein cereblon	2	93.8	50880.07	1	2	2	2	2	2	0	1	2	1	2	2	2	2	2	1	53289.5234375	96886.3125	91162.7265625	130666.5390625	60200.91015625	72686.640625	NaN	67515.7421875	83179.078125	126086.9296875	76128.8359375	93816.671875	94941.484375	62919.63671875	41976.38671875	93232.0234375	1587	8245.8	7727.6	9944.8	4945.9	5739.7	NaN	2010.7	7072.4	6747.6	6654.3	8040.4	8367.2	5736.9	4975.9	2776.6
Q8C7E7	Stbd1	Starch-binding domain-containing protein 1	10	93.8	36127.07	6	4	6	8	8	10	10	10	8	8	9	10	2	2	0	2	124783.90625	115860.203125	89323.5625	105743.25	358136.40625	321348.46875	359134.78125	405855.59375	124992.109375	136632.09375	120181.828125	98831.6015625	60295.6484375	91480.4609375	NaN	88767.1875	36829.8	26864.6	32527.2	37566.8	142462.3	128427.4	141276.9	156299.8	48872.5	50241.1	45830.7	36182.6	9694.6	11330.4	NaN	14157
Q8C7E9	Cstf2t	Cleavage stimulation factor subunit 2 tau variant	3	100	65862.24	3	3	2	3	3	3	2	2	3	2	3	3	3	3	3	3	254300.0625	221896.921875	192502.03125	206583.890625	258777	228987.234375	246229.609375	196094.96875	212667.71875	218532.796875	231093.890625	225638.234375	149504.125	195440.734375	142457.421875	135974.625	27587.4	23785.3	32224.2	20962.3	26280.2	23955.3	23044.8	23512	21949.5	3197.7	21670.5	22657.4	14817.7	18075.5	14637.4	14718.3
Q8C7H1	Mmaa	Methylmalonic aciduria type A homolog, mitochondrial	5	93.8	45932.32	1	3	3	3	4	1	3	3	2	0	2	4	3	5	3	2	98683.5703125	90285.15625	71349.5390625	101683.171875	104316.15625	123477.015625	47193.89453125	98923.2265625	109677.953125	NaN	120662.796875	75554.9765625	127682.59375	197444.15625	176076.546875	228318.234375	4152.3	12517.9	11043.8	17873.4	16906.9	5195.5	3055.2	5221.1	5188.2	NaN	5427.2	16779.3	5722.9	48719.1	56401	10197.6
Q8C7K6	Pcyox1l	Prenylcysteine oxidase-like	9	100	54874.72	9	8	9	9	8	8	9	8	9	8	8	8	9	9	9	9	112332.9296875	110146.5390625	126076.4140625	92592.3515625	128993.75	142440.8125	145656.734375	147418.53125	132821.71875	137305.34375	133443.734375	121536.328125	220283.015625	248977.015625	276144.9375	190501.234375	71837.9	60270.8	79197.6	46326.7	64040.4	89749.6	83919.5	93347.9	82980.8	70999	75907.7	64756.6	129260	146804.7	173134.2	115134.8
