accession	disposition	reason	n_samples_metadata	title	geo_url	entrez_verified	pubmed
GSE261348	already_finished_elsewhere	PR 35 (GeoMx CTA; TACSTD2 only)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261348	False	
GSE285888	already_finished_elsewhere	PR 45 / 115 (PBMC scRNA)	1	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285888	False	40404203
GSE305086	already_finished_elsewhere	PR 45 / 115 (whole blood array; TACSTD2 at background)	173	Blood gene expression under immunotherapy as potential biomarker for immune checkpoint blockade in non-small-cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305086	False	
GSE72094	already_finished_elsewhere	PR 76 (LUAD survival, not ICI-treated)	442	KRAS mutation-associated gene expression, p53 and STK11 mutations, proliferation and immune surveillance in lung adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72094	False	26477306
GSE81089	already_finished_elsewhere	PR 76 (NSCLC survival, not ICI-treated)	218	Next Generation Sequencing (RNAseq) of non-small cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81089	False	29282718;33576873;41540507
GSE91061	already_finished_elsewhere	PR 76 (melanoma, not lung)	109	Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91061	False	29033130
GSE248378	analyzed_here	post-treatment bulk FPKM vs recurrence / PFS; MPR not estimable (0 MPR cases deposited)	29	Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248378	True	38114518;38401548
GSE253564	analyzed_here	pre-treatment bulk FPKM vs MPR / recurrence / PFS (this slice)	32	Features associated with enhanced proliferation define lung tumors that respond to dual immune checkpoint and radiation therapy	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253564	True	38401548
GSE221733	leftover_genes_absent	GeoMx CTA spatial; TACSTD2/CLDN4 not on the 68-gene CTA panel	93	Multi-omic and spatial dissection of immunotherapy response groups in non-small cell lung cancer (NSCLC)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221733	False	37022147
GSE309652	leftover_genes_absent	NanoString NS_Hs_Metabolism_v1.0 (~768 genes); TACSTD2/CLDN4 absent from RCC files	72	Clinically relevant metabolic subtypes of lung cancer for immunotherapy	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309652	True	
GSE101929	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	66	Gene expression data from African Americans and European Americans with non-small cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101929	False	29196495
GSE124574	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	41	CD56dim NK cell gene signature in melanoma patients with better and worse clinical outcomes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124574	False	30761123;41369171
GSE175692	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	184	Gene expression profiles of breast cancer metastasis according to organ site	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175692	False	34051058
GSE176021	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	110	Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade [single-cell RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176021	False	34290408
GSE176307	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	90	Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176307	False	34294892
GSE206613	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	77	A novel gene signature unveils three distinct immune-metabolic rewiring patterns conserved across diverse tumor types and associated with outcome	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206613	False	36119118
GSE218989	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	355	Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218989	False	38744958
GSE241876	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	19	Distinct Transcriptional Landscapes Identified by Radiographic Response in Metastatic Triple-Negative Breast Cancer Treated with Carboplatin, Nab-Paclitaxel, and Pembrolizumab in a Single-Arm Phase II Trial	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241876	False	37882661
GSE260461	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	39	Sex-dependent APOE4 Neutrophil-microglia interactions drive cognitive impairment in Alzheimer's Disease	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE260461	False	38961225
GSE266219	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	79	Clinical and Immunological Responses to Combined JAK Inhibition and PD-1 immunotherapy for Lung Cancer Patients	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266219	False	40950163
GSE283522	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	1254	The spatially informed mFISHseq assay resolves biomarker discordance and predicts treatment response in breast cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283522	False	39747865
GSE295969	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	18	Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295969	False	40860257
GSE299684	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	15	Single-cell RNAseq analysis of relapsed SCLC patient specimens	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299684	False	42019833
GSE306542	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	2	Circulating cell populations as response predictors and targets to improve immunotherapy in metastatic lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306542	False	42291216
GSE316195	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	22	A Phase 1 clinical trial and single-cell correlates of motixafortide, cemiplimab, gemcitabine and nab-paclitaxel for metastatic treatment-naïve metastatic pancreatic ductal adenocarcinoma.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316195	False	
GSE35640	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	65	Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35640	False	23715562
GSE46517	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	121	Human melanoma samples comparing nevi and primary and metastatic melanoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46517	False	20520718
GSE78220	leftover_not_analyzed	has an outcome field but not a usable leftover tumour matrix + genes	28	mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78220	False	26997480
GSE126044	named_exclusion	PR 4 / 5 / 11 / 36 (named exclusion)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126044	False	
GSE135222	named_exclusion	PR 87 / 4 / 11 / 36 (named exclusion)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135222	False	
GSE136961	named_exclusion	PR 4 / 36 (named exclusion; Oncomine panel lacks genes)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136961	False	
GSE166449	named_exclusion	PR 4 / 11 (named exclusion)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166449	False	
GSE205335	named_exclusion	PR 50 (named exclusion; scRNA)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205335	False	
GSE207422	named_exclusion	PR 51 / 11 (named exclusion)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207422	False	
GSE93157	named_exclusion	PR 76 (named exclusion; NanoString panel lacks genes)			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93157	False	
GSE126045	named_exclusion_superseries	SuperSeries of excluded GSE126044; not an independent cohort	18	Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126045	False	32879421;32879421
