subset	eligible	method	alpha	size	purity	endpoint	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
all	True	z-mean	0.25	22	none	ImmuneScore	-0.3939698974788646	6.268729181608064e-05	0.7246176644570743	DL random	420	4	-0.5514356446317978	-0.20939585815499265	-0.308538192998527	0.00022548143849970178	0.31298593868482877	DL random	251	0.3939698974788646	0.308538192998527
all	True	z-mean	0.25	23	none	CD8A	-0.3475048402853703	2.4258790469596213e-05	0.597172800054938	DL random	420	4	-0.4861065409916295	-0.19184955600824433	-0.25722628125076935	4.250317464237106e-05	0.0	fixed	251	0.3475048402853703	0.25722628125076935
all	True	z-mean	0.25	23	none	ImmuneScore	-0.3864729133075234	0.0002686774689355519	0.7622910681095996	DL random	420	4	-0.555926546727516	-0.18617864306712256	-0.2953662078682462	0.0007467812363739736	0.35786044459193567	DL random	251	0.3864729133075234	0.2953662078682462
all	True	z-mean	0.25	24	none	CD8A	-0.35991484296923854	1.8582449554082605e-05	0.615748268981035	DL random	420	4	-0.49998134262623084	-0.20149935148269046	-0.2690525698098116	1.7779246530506466e-05	0.0	fixed	251	0.35991484296923854	0.2690525698098116
all	True	z-mean	0.25	24	none	ImmuneScore	-0.4046800132325182	0.00016298824771220847	0.7706032025301326	DL random	420	4	-0.5732571301065699	-0.20323526057105312	-0.31825588317076503	0.0005809548388174959	0.4175040979961623	DL random	251	0.4046800132325182	0.31825588317076503
all	True	z-mean	0.25	25	none	CD8A	-0.3658384290081098	2.237729677949682e-06	0.550309427278763	DL random	420	4	-0.49491069177032887	-0.22097101855797682	-0.2829890044082908	6.017247960543845e-06	0.0	fixed	251	0.3658384290081098	0.2829890044082908
all	True	z-mean	0.25	25	none	ImmuneScore	-0.41109653703255666	7.007680851857786e-05	0.7534636768690556	DL random	420	4	-0.5732248671681168	-0.21799232869055502	-0.32766695986099725	0.000296822621025991	0.3988105881268574	DL random	251	0.41109653703255666	0.32766695986099725
all	True	z-mean	0.25	26	none	CD8A	-0.36628191267700555	2.3124821694606065e-07	0.47065511703715657	DL random	420	4	-0.4851362211928082	-0.23413939164833292	-0.2912519592573591	3.0730837376372932e-06	0.0	fixed	251	0.36628191267700555	0.2912519592573591
all	True	z-mean	0.25	26	none	ImmuneScore	-0.4072619381510262	3.08046172405074e-05	0.7228983748667828	DL random	420	4	-0.5619293382324443	-0.22507940752283812	-0.320276341948723	7.760611910444495e-05	0.28252217538536745	DL random	251	0.4072619381510262	0.320276341948723
all	True	z-mean	0.25	27	none	CD8A	-0.381746049379916	4.38160514750806e-09	0.38922547219881803	DL random	420	4	-0.4902446654478517	-0.26159664723735065	-0.31513637067670913	3.873502901186104e-07	0.0	fixed	251	0.381746049379916	0.31513637067670913
