cohort	study	subset	method	alpha	size	purity	endpoint	n	rho	p	k	n_genes_present
OncoSG	OncoSG	all	z-mean	0.25	34	none	CD8A	169	-0.4842026751529014	2.561927762606523e-11	0	34
OncoSG	OncoSG	all	z-mean	0.25	34	none	ImmuneScore	169	-0.5423748197503854	2.606784756658566e-14	0	34
OncoSG	OncoSG	all	z-mean	0.25	35	none	CD8A	169	-0.485162348963254	2.3102196658661637e-11	0	35
OncoSG	OncoSG	all	z-mean	0.25	35	none	ImmuneScore	169	-0.5397369598727065	3.6686051267317954e-14	0	35
OncoSG	OncoSG	all	z-mean	0.25	36	none	CD8A	169	-0.4899830938292477	1.36746384783377e-11	0	36
OncoSG	OncoSG	all	z-mean	0.25	36	none	ImmuneScore	169	-0.5409377952364379	3.141283773490854e-14	0	36
OncoSG	OncoSG	all	z-mean	0.25	37	none	CD8A	169	-0.49556958878225854	7.37085305860291e-12	0	37
OncoSG	OncoSG	all	z-mean	0.25	37	none	ImmuneScore	169	-0.541860176023072	2.7871402895869757e-14	0	37
OncoSG	OncoSG	all	z-mean	0.25	38	none	CD8A	169	-0.48896872358410826	1.5280286441087113e-11	0	38
OncoSG	OncoSG	all	z-mean	0.25	38	none	ImmuneScore	169	-0.5359877678882204	5.932017079582835e-14	0	38
OncoSG	OncoSG	all	z-mean	0.25	39	none	CD8A	169	-0.5006339814032122	4.168374666036149e-12	0	39
OncoSG	OncoSG	all	z-mean	0.25	39	none	ImmuneScore	169	-0.5474168365571082	1.3453242577006807e-14	0	39
OncoSG	OncoSG	all	z-mean	0.25	40	none	CD8A	169	-0.502916314454776	3.2141610518063665e-12	0	40
OncoSG	OncoSG	all	z-mean	0.25	40	none	ImmuneScore	169	-0.5495624285217046	1.0118395626566895e-14	0	40
OncoSG	OncoSG	all	z-mean	0.25	41	none	CD8A	169	-0.49417980209835416	8.60485371124182e-12	0	41
OncoSG	OncoSG	all	z-mean	0.25	41	none	ImmuneScore	169	-0.5403460792601065	3.3911668192606985e-14	0	41
OncoSG	OncoSG	all	z-mean	0.25	42	none	CD8A	169	-0.5100069613644275	1.4155546233488498e-12	0	42
OncoSG	OncoSG	all	z-mean	0.25	42	none	ImmuneScore	169	-0.5587638605738153	2.9134398948925756e-15	0	42
OncoSG	OncoSG	all	z-mean	0.25	43	none	CD8A	169	-0.5100069613644275	1.4155546233488498e-12	0	42
OncoSG	OncoSG	all	z-mean	0.25	43	none	ImmuneScore	169	-0.5587638605738153	2.9134398948925756e-15	0	42
OncoSG	OncoSG	all	z-mean	0.25	44	none	CD8A	169	-0.5056511361941227	2.3478925492756756e-12	0	43
OncoSG	OncoSG	all	z-mean	0.25	44	none	ImmuneScore	169	-0.5575083287752972	3.460734385030402e-15	0	43
OncoSG	OncoSG	all	z-mean	0.25	45	none	CD8A	169	-0.5091417632141615	1.5661170650582529e-12	0	44
OncoSG	OncoSG	all	z-mean	0.25	45	none	ImmuneScore	169	-0.5572696534234997	3.5755674264401306e-15	0	44
OncoSG	OncoSG	all	z-mean	0.25	46	none	CD8A	169	-0.5066008651981503	2.1039213161575634e-12	0	45
OncoSG	OncoSG	all	z-mean	0.25	46	none	ImmuneScore	169	-0.557451146138929	3.487914269711974e-15	0	45
OncoSG	OncoSG	all	z-mean	0.25	47	none	CD8A	169	-0.5069215852021283	2.027241183315558e-12	0	46
OncoSG	OncoSG	all	z-mean	0.25	47	none	ImmuneScore	169	-0.5593854109691214	2.674721311215499e-15	0	46
OncoSG	OncoSG	all	z-mean	0.25	48	none	CD8A	169	-0.5100069613644275	1.4155546233488498e-12	0	47
OncoSG	OncoSG	all	z-mean	0.25	48	none	ImmuneScore	169	-0.5595296106608325	2.6221280257112364e-15	0	47
OncoSG	OncoSG	all	z-mean	0.25	49	none	CD8A	169	-0.5144995276216996	8.336559906975438e-13	0	48
OncoSG	OncoSG	all	z-mean	0.25	49	none	ImmuneScore	169	-0.5622544875938541	1.7984193947478397e-15	0	48
OncoSG	OncoSG	all	z-mean	0.25	50	none	CD8A	169	-0.5083312614986825	1.7212131376711124e-12	0	49
OncoSG	OncoSG	all	z-mean	0.25	50	none	ImmuneScore	169	-0.5574287703246981	3.498606466222586e-15	0	49
OncoSG	OncoSG	all	z-mean	0.25	51	none	CD8A	169	-0.5129854308587342	9.973746054457337e-13	0	50
OncoSG	OncoSG	all	z-mean	0.25	51	none	ImmuneScore	169	-0.5594749142260454	2.641957338575655e-15	0	50
OncoSG	OncoSG	all	z-mean	0.25	52	none	CD8A	169	-0.5132017303963007	9.72203867173419e-13	0	51
OncoSG	OncoSG	all	z-mean	0.25	52	none	ImmuneScore	169	-0.5583511511113322	3.0833019341457783e-15	0	51
OncoSG	OncoSG	all	z-mean	0.25	53	none	CD8A	169	-0.5160807518273582	6.906393859855884e-13	0	52
OncoSG	OncoSG	all	z-mean	0.25	53	none	ImmuneScore	169	-0.5617572472776093	1.9270215600779194e-15	0	52
OncoSG	OncoSG	all	z-mean	0.25	54	none	CD8A	169	-0.5229053751678187	3.0310499170977103e-13	0	53
OncoSG	OncoSG	all	z-mean	0.25	54	none	ImmuneScore	169	-0.5697081199343643	6.297766671353334e-16	0	53
OncoSG	OncoSG	all	z-mean	0.25	55	none	CD8A	169	-0.5268658942867088	1.8635481442764502e-13	0	54
OncoSG	OncoSG	all	z-mean	0.25	55	none	ImmuneScore	169	-0.576214509472428	2.4654626523262193e-16	0	54
OncoSG	OncoSG	all	z-mean	0.25	56	none	CD8A	169	-0.5231415643180349	2.944907028604175e-13	0	55
OncoSG	OncoSG	all	z-mean	0.25	56	none	ImmuneScore	169	-0.57049127343245	5.631663957011459e-16	0	55
OncoSG	OncoSG	all	z-mean	0.25	57	none	CD8A	169	-0.5206305007209985	3.996690264696046e-13	0	56
OncoSG	OncoSG	all	z-mean	0.25	57	none	ImmuneScore	169	-0.5681144647207996	7.899244467466114e-16	0	56
OncoSG	OncoSG	all	z-mean	0.25	58	none	CD8A	169	-0.5195887822584656	4.5331781448970267e-13	0	57
OncoSG	OncoSG	all	z-mean	0.25	58	none	ImmuneScore	169	-0.5688354631793546	7.130725309076763e-16	0	57
OncoSG	OncoSG	all	z-mean	0.25	59	none	CD8A	169	-0.5098727064790414	1.437958779431076e-12	0	58
OncoSG	OncoSG	all	z-mean	0.25	59	none	ImmuneScore	169	-0.5594948038386952	2.6347298096905675e-15	0	58
OncoSG	OncoSG	all	z-mean	0.25	60	none	CD8A	169	-0.5182313161951172	5.338343079896958e-13	0	59
OncoSG	OncoSG	all	z-mean	0.25	60	none	ImmuneScore	169	-0.5679155685943017	8.125107124521204e-16	0	59
OncoSG	OncoSG	all	z-mean	0.25	61	none	CD8A	169	-0.5186862910844812	5.054097681221474e-13	0	60
OncoSG	OncoSG	all	z-mean	0.25	61	none	ImmuneScore	169	-0.5653920739893592	1.1599991322525206e-15	0	60
OncoSG	OncoSG	all	z-mean	0.25	62	none	CD8A	169	-0.5114489582815375	1.1953319601783274e-12	0	61
OncoSG	OncoSG	all	z-mean	0.25	62	none	ImmuneScore	169	-0.5587091641390285	2.9354155092784734e-15	0	61
OncoSG	OncoSG	all	z-mean	0.25	63	none	CD8A	169	-0.5055840087514296	2.3661403088831027e-12	0	62
OncoSG	OncoSG	all	z-mean	0.25	63	none	ImmuneScore	169	-0.5565834617870817	3.926810852073423e-15	0	62
OncoSG	OncoSG	all	z-mean	0.25	64	none	CD8A	169	-0.5104743672616976	1.3401713651355914e-12	0	63
OncoSG	OncoSG	all	z-mean	0.25	64	none	ImmuneScore	169	-0.5609964695937547	2.1413270021702453e-15	0	63
OncoSG	OncoSG	all	z-mean	0.25	65	none	CD8A	169	-0.5171100392819851	6.106874359747346e-13	0	64
OncoSG	OncoSG	all	z-mean	0.25	65	none	ImmuneScore	169	-0.5677067276614788	8.369046241154441e-16	0	64
OncoSG	OncoSG	all	z-mean	0.25	66	none	CD8A	169	-0.5123315598428722	1.0773797875924896e-12	0	65
OncoSG	OncoSG	all	z-mean	0.25	66	none	ImmuneScore	169	-0.5646561583213168	1.2861871159535968e-15	0	65
OncoSG	OncoSG	all	z-mean	0.25	67	none	CD8A	169	-0.5149420715031576	7.909584933725518e-13	0	66
OncoSG	OncoSG	all	z-mean	0.25	67	none	ImmuneScore	169	-0.5632812888468998	1.558802956293767e-15	0	66
OncoSG	OncoSG	all	z-mean	0.25	68	none	CD8A	169	-0.5149420715031576	7.909584933725518e-13	0	66
OncoSG	OncoSG	all	z-mean	0.25	68	none	ImmuneScore	169	-0.5632812888468998	1.558802956293767e-15	0	66
OncoSG	OncoSG	all	z-mean	0.25	69	none	CD8A	169	-0.520058674357317	4.2830296006837334e-13	0	67
OncoSG	OncoSG	all	z-mean	0.25	69	none	ImmuneScore	169	-0.5704390631992443	5.673844010968783e-16	0	67
OncoSG	OncoSG	all	z-mean	0.25	70	none	CD8A	169	-0.518673860076575	5.061664540929476e-13	0	68
OncoSG	OncoSG	all	z-mean	0.25	70	none	ImmuneScore	169	-0.5701879568395406	5.88105747436533e-16	0	68
OncoSG	OncoSG	all	z-mean	0.25	71	none	CD8A	169	-0.5191760727959823	4.764565845040897e-13	0	69
OncoSG	OncoSG	all	z-mean	0.25	71	none	ImmuneScore	169	-0.5705235940530059	5.605706081161078e-16	0	69
OncoSG	OncoSG	all	z-mean	0.25	72	none	CD8A	169	-0.51638904082343	6.656811847709488e-13	0	70
OncoSG	OncoSG	all	z-mean	0.25	72	none	ImmuneScore	169	-0.567918054795883	8.122245311080668e-16	0	70
OncoSG	OncoSG	all	z-mean	0.25	73	none	CD8A	169	-0.5122793496096665	1.0840304714704135e-12	0	71
OncoSG	OncoSG	all	z-mean	0.25	73	none	ImmuneScore	169	-0.5651061608075183	1.2075200120747645e-15	0	71
OncoSG	OncoSG	all	z-mean	0.25	74	none	CD8A	169	-0.5104992292775099	1.3362728842304977e-12	0	72
OncoSG	OncoSG	all	z-mean	0.25	74	none	ImmuneScore	169	-0.5637810153647258	1.4537531922859756e-15	0	72
OncoSG	OncoSG	all	z-mean	0.25	75	none	CD8A	169	-0.5028218387946896	3.2490593309545896e-12	0	73
OncoSG	OncoSG	all	z-mean	0.25	75	none	ImmuneScore	169	-0.5562005867435732	4.1371955584112076e-15	0	73
OncoSG	OncoSG	all	z-mean	0.25	76	none	CD8A	169	-0.5089055740639452	1.6098532463363717e-12	0	74
OncoSG	OncoSG	all	z-mean	0.25	76	none	ImmuneScore	169	-0.5632439958231814	1.5669329513949144e-15	0	74
OncoSG	OncoSG	all	z-mean	0.25	77	none	CD8A	169	-0.5102630401272936	1.3737579426577926e-12	0	75
OncoSG	OncoSG	all	z-mean	0.25	77	none	ImmuneScore	169	-0.5669235741633932	9.349129291172752e-16	0	75
OncoSG	OncoSG	all	z-mean	0.25	78	none	CD8A	169	-0.5134304609417732	9.46258677817363e-13	0	76
OncoSG	OncoSG	all	z-mean	0.25	78	none	ImmuneScore	169	-0.5684550743374273	7.526609432545243e-16	0	76
OncoSG	OncoSG	all	z-mean	0.25	79	none	CD8A	169	-0.5134304609417732	9.46258677817363e-13	0	76
OncoSG	OncoSG	all	z-mean	0.25	79	none	ImmuneScore	169	-0.5684550743374273	7.526609432545243e-16	0	76
OncoSG	OncoSG	all	z-mean	0.25	80	none	CD8A	169	-0.5109666351747799	1.2650005604618133e-12	0	77
OncoSG	OncoSG	all	z-mean	0.25	80	none	ImmuneScore	169	-0.5657127939933371	1.1088639595951234e-15	0	77
OncoSG	OncoSG	all	z-mean	0.25	81	none	CD8A	169	-0.5059171597633136	2.2769129155754437e-12	0	78
OncoSG	OncoSG	all	z-mean	0.25	81	none	ImmuneScore	169	-0.5624608423250957	1.747543857172187e-15	0	78
OncoSG	OncoSG	all	z-mean	0.25	82	none	CD8A	169	-0.5118019989060714	1.1467169211819468e-12	0	79
OncoSG	OncoSG	all	z-mean	0.25	82	none	ImmuneScore	169	-0.5683158470488788	7.67680639573663e-16	0	79
OncoSG	OncoSG	all	z-mean	0.25	83	none	CD8A	169	-0.5126721694594999	1.034955527513314e-12	0	80
OncoSG	OncoSG	all	z-mean	0.25	83	none	ImmuneScore	169	-0.5693252448908558	6.650821284844944e-16	0	80
OncoSG	OncoSG	all	z-mean	0.25	84	none	CD8A	169	-0.5154069911988465	7.483943215375367e-13	0	81
OncoSG	OncoSG	all	z-mean	0.25	84	none	ImmuneScore	169	-0.5714235990254091	4.928006607470714e-16	0	81
OncoSG	OncoSG	all	z-mean	0.25	85	none	CD8A	169	-0.5102555815225499	1.3749581791652651e-12	0	82
OncoSG	OncoSG	all	z-mean	0.25	85	none	ImmuneScore	169	-0.5666749540052708	9.683066747718756e-16	0	82
OncoSG	OncoSG	all	z-mean	0.25	86	none	CD8A	169	-0.5169857292029238	6.198430095987637e-13	0	83
OncoSG	OncoSG	all	z-mean	0.25	86	none	ImmuneScore	169	-0.5706677937447169	5.491310183284913e-16	0	83
OncoSG	OncoSG	all	z-mean	0.25	87	none	CD8A	169	-0.5169857292029238	6.198430095987637e-13	0	83
OncoSG	OncoSG	all	z-mean	0.25	87	none	ImmuneScore	169	-0.5706677937447169	5.491310183284913e-16	0	83
OncoSG	OncoSG	all	z-mean	0.25	88	none	CD8A	169	-0.5188702700014917	4.94338656075267e-13	0	84
OncoSG	OncoSG	all	z-mean	0.25	88	none	ImmuneScore	169	-0.5718363084878922	4.644654475643331e-16	0	84
OncoSG	OncoSG	all	z-mean	0.25	89	none	CD8A	169	-0.5212818855352793	3.693179362527904e-13	0	85
OncoSG	OncoSG	all	z-mean	0.25	89	none	ImmuneScore	169	-0.5738053801402219	3.497475746952084e-16	0	85
OncoSG	OncoSG	all	z-mean	0.25	90	none	CD8A	169	-0.5226169757843967	3.139564229087149e-13	0	86
OncoSG	OncoSG	all	z-mean	0.25	90	none	ImmuneScore	169	-0.5745910198398887	3.1215441223768126e-16	0	86
OncoSG	OncoSG	all	z-mean	0.25	91	none	CD8A	169	-0.5270076077768385	1.8311786605289026e-13	0	87
OncoSG	OncoSG	all	z-mean	0.25	91	none	ImmuneScore	169	-0.5779399333697977	1.9158931664773312e-16	0	87
OncoSG	OncoSG	all	z-mean	0.25	92	none	CD8A	169	-0.530150166575506	1.2389815527515856e-13	0	88
OncoSG	OncoSG	all	z-mean	0.25	92	none	ImmuneScore	169	-0.5814156431803491	1.1475527879090555e-16	0	88
OncoSG	OncoSG	all	z-mean	0.25	93	none	CD8A	169	-0.535816219979116	6.063035125168245e-14	0	89
OncoSG	OncoSG	all	z-mean	0.25	93	none	ImmuneScore	169	-0.5850728457063299	6.647772602830895e-17	0	89
OncoSG	OncoSG	all	z-mean	0.25	94	none	CD8A	169	-0.5358908060265526	6.005728020033668e-14	0	90
OncoSG	OncoSG	all	z-mean	0.25	94	none	ImmuneScore	169	-0.5853910795087266	6.337297722902682e-17	0	90
OncoSG	OncoSG	all	z-mean	0.25	95	none	CD8A	169	-0.5390433096315449	4.011516399353842e-14	0	91
OncoSG	OncoSG	all	z-mean	0.25	95	none	ImmuneScore	169	-0.589475908706678	3.4138741709874726e-17	0	91
OncoSG	OncoSG	all	z-mean	0.25	96	none	CD8A	169	-0.5432847695291134	2.3153338198691914e-14	0	92
OncoSG	OncoSG	all	z-mean	0.25	96	none	ImmuneScore	169	-0.5924916712247029	2.1501126012837093e-17	0	92
OncoSG	OncoSG	all	z-mean	0.25	97	none	CD8A	169	-0.5493685047983692	1.0383162819866751e-14	0	93
OncoSG	OncoSG	all	z-mean	0.25	97	none	ImmuneScore	169	-0.5967008105017155	1.1186489975925432e-17	0	93
OncoSG	OncoSG	all	z-mean	0.25	98	none	CD8A	169	-0.5456441748296952	1.6997137271025866e-14	0	94
OncoSG	OncoSG	all	z-mean	0.25	98	none	ImmuneScore	169	-0.5943712396201084	1.607896486636078e-17	0	94
OncoSG	OncoSG	all	z-mean	0.25	99	none	CD8A	169	-0.5429416737109045	2.421289358055395e-14	0	95
OncoSG	OncoSG	all	z-mean	0.25	99	none	ImmuneScore	169	-0.5922853164934614	2.2195599349704888e-17	0	95
OncoSG	OncoSG	all	z-mean	0.25	100	none	CD8A	169	-0.544920690169559	1.8691750875661704e-14	0	96
OncoSG	OncoSG	all	z-mean	0.25	100	none	ImmuneScore	169	-0.5942096365173288	1.6486983467056142e-17	0	96
OncoSG	OncoSG	all	z-mean	0.25	101	none	CD8A	169	-0.5440579782208742	2.0928480721256155e-14	0	97
OncoSG	OncoSG	all	z-mean	0.25	101	none	ImmuneScore	169	-0.5938193028690767	1.751471131434711e-17	0	97
OncoSG	OncoSG	all	z-mean	0.25	102	none	CD8A	169	-0.5419447068768336	2.7567039459914048e-14	0	98
OncoSG	OncoSG	all	z-mean	0.25	102	none	ImmuneScore	169	-0.5920640445527324	2.2964638080247793e-17	0	98
OncoSG	OncoSG	all	z-mean	0.25	103	none	CD8A	169	-0.5445403013276318	1.9647674594467528e-14	0	99
OncoSG	OncoSG	all	z-mean	0.25	103	none	ImmuneScore	169	-0.5937621202327085	1.7670436126301126e-17	0	99
OncoSG	OncoSG	all	z-mean	0.25	104	none	CD8A	169	-0.5475983292725375	1.3133975187845385e-14	0	100
OncoSG	OncoSG	all	z-mean	0.25	104	none	ImmuneScore	169	-0.5954452787031973	1.3607302211500714e-17	0	100
OncoSG	OncoSG	all	z-mean	0.25	105	none	CD8A	169	-0.5456367162249516	1.7013818467826812e-14	0	101
OncoSG	OncoSG	all	z-mean	0.25	105	none	ImmuneScore	169	-0.5934538312366368	1.8533603338221594e-17	0	101
OncoSG	OncoSG	all	z-mean	0.25	106	none	CD8A	169	-0.5457784297150813	1.669958762687789e-14	0	102
OncoSG	OncoSG	all	z-mean	0.25	106	none	ImmuneScore	169	-0.5943538362090399	1.6122426551743892e-17	0	102
OncoSG	OncoSG	all	z-mean	0.25	107	none	CD8A	169	-0.5498533141067079	9.733545547617211e-15	0	103
OncoSG	OncoSG	all	z-mean	0.25	107	none	ImmuneScore	169	-0.5969742926756502	1.0717973323511579e-17	0	103
OncoSG	OncoSG	all	z-mean	0.25	108	none	CD8A	169	-0.551407190094973	7.907403104073324e-15	0	104
OncoSG	OncoSG	all	z-mean	0.25	108	none	ImmuneScore	169	-0.597638108497837	9.659119449259944e-18	0	104
OncoSG	OncoSG	all	z-mean	0.25	109	none	CD8A	169	-0.554435383620904	5.258127241674066e-15	0	105
OncoSG	OncoSG	all	z-mean	0.25	109	none	ImmuneScore	169	-0.6004947541146636	6.1565288577612e-18	0	105
OncoSG	OncoSG	all	z-mean	0.25	110	none	CD8A	169	-0.5540201879568395	5.56203105244279e-15	0	106
OncoSG	OncoSG	all	z-mean	0.25	110	none	ImmuneScore	169	-0.6012779076127492	5.4371349119136204e-18	0	106
OncoSG	OncoSG	all	z-mean	0.25	111	none	CD8A	169	-0.5510839838894137	8.257369080980529e-15	0	107
OncoSG	OncoSG	all	z-mean	0.25	111	none	ImmuneScore	169	-0.5994232012331561	7.293503623675012e-18	0	107
OncoSG	OncoSG	all	z-mean	0.25	112	none	CD8A	169	-0.5518000099448064	7.501495652579635e-15	0	108
OncoSG	OncoSG	all	z-mean	0.25	112	none	ImmuneScore	169	-0.5971856198100542	1.0369131707288452e-17	0	108
OncoSG	OncoSG	all	z-mean	0.25	113	none	CD8A	169	-0.5510939286957387	8.246379107734606e-15	0	109
OncoSG	OncoSG	all	z-mean	0.25	113	none	ImmuneScore	169	-0.5949729004027647	1.4644877575982136e-17	0	109
OncoSG	OncoSG	all	z-mean	0.25	114	none	CD8A	169	-0.5585226990204366	3.0115545397394173e-15	0	110
OncoSG	OncoSG	all	z-mean	0.25	114	none	ImmuneScore	169	-0.6036820645417931	3.704907259762582e-18	0	110
OncoSG	OncoSG	all	z-mean	0.25	115	none	CD8A	169	-0.5569514196211028	3.734475703672923e-15	0	111
OncoSG	OncoSG	all	z-mean	0.25	115	none	ImmuneScore	169	-0.6041320670279947	3.4469809887820446e-18	0	111
OncoSG	OncoSG	all	z-mean	0.25	116	none	CD8A	169	-0.5516682412610014	7.635336053804884e-15	0	112
OncoSG	OncoSG	all	z-mean	0.25	116	none	ImmuneScore	169	-0.5987867336283627	8.063476898196335e-18	0	112
OncoSG	OncoSG	all	z-mean	0.25	117	none	CD8A	169	-0.5552334543284769	4.718792735123262e-15	0	113
OncoSG	OncoSG	all	z-mean	0.25	117	none	ImmuneScore	169	-0.6036348267117498	3.7330529240936e-18	0	113
OncoSG	OncoSG	all	z-mean	0.25	118	none	CD8A	169	-0.5567848441151609	3.820380028576491e-15	0	114
OncoSG	OncoSG	all	z-mean	0.25	118	none	ImmuneScore	169	-0.6033886927552087	3.883124668496542e-18	0	114
