	mean_delta
Itgb1	0.2919164839939568
Mal2	0.29124377416392383
Pfn1	0.2910727156652511
Serpinb6b	0.29099785103863657
Ly6d	0.28930895947072394
Dstn	0.2883544514363122
Atp5d	0.28807785850637496
Mal	0.28691861765661913
Rai14	0.2865294109500897
Junb	0.285890643429412
Dynll1	0.28493425608591133
Gm26532	0.2825907953886389
Trir	0.28110395539666483
Dusp6	0.2799185556548657
Vmp1	0.2791442877115462
Cfl1	0.27878492962154944
Sem1	0.27780602126846576
Cstb	0.27779958378089403
Rbpms	0.2762603261056842
Mt1	0.2757408241173912
Actn4	0.2744152571518918
Sparc	0.27405263037091643
Elovl1	0.2730433131794304
4930523C07Rik	0.2729476668417454
Far1	0.2711415856248422
Calm1	0.27078618787773107
Cdk2ap2	0.27061241697025473
Tmem252	0.27013392594792657
Crip2	0.2701137682162144
Capzb	0.26993016380591345
Camk2d	0.2698721962478329
Cd151	0.26937963363479767
Eno1	0.2693142633548991
Reep3	0.26865924898645765
Hdgf	0.2681969244348733
Cdkn1a	0.2674278852170265
Ano1	0.2665285899745729
Gclc	0.2664559856534058
Ctnnb1	0.26644000362161824
Rhoa	0.2641631212639227
Dnaja1	0.2631559077366999
Npc2	0.26273193117494664
Gsto1	0.26176473236154874
Rex1bd	0.26168952371483195
Jund	0.2613956305416663
Ctnna1	0.26070524068708933
Bri3	0.2605917908850571
Pkm	0.2597759545656818
Abhd2	0.2587071070174653
Malat1	0.25847436860017176
Vamp5	0.2584620032341533
Aldoa	0.2581135789322593
Myof	0.25802316496374905
Cmpk1	0.2579135178167376
Rps27l	0.25786855424758415
Bcr	0.2577759878201374
Rack1	0.25772983494444895
Fos	0.2566495544404862
Crb3	0.25636838771871645
Ly6c1	0.25612331253880705
B2m	0.25583630198736185
Mgst3	0.25569792084981163
Atp6v1g1	0.2555852725754727
Aes	0.2554851062200913
Pmvk	0.25539072775890675
Lamc2	0.2539374531169537
Psma2	0.25355316276260453
Eloc	0.2533501918900371
Rbx1	0.25319206584041076
Errfi1	0.2529997277679842
Psmd8	0.2522641188714489
Serpinb9	0.25118972534563005
S100a13	0.25077670691713466
Spcs2	0.2503644110969224
Actn1	0.2500418749583318
Mfge8	0.2491728843532449
Mtdh	0.2490780740708219
Gabarap	0.24901370479729049
Rtraf	0.24883988034441049
Cuta	0.24837491402628706
Dad1	0.2481570675584638
Oaz1	0.24732571458110536
Selenoh	0.2472470491194885
Kras	0.24695371415730533
Hmgn1	0.24613627905952157
Tuba4a	0.24554701262131634
Vps28	0.24451974923196276
Gapdh	0.24389003396952366
Tmed9	0.24302573752945392
S100a1	0.24300848958238472
Myh14	0.24294961431411846
Ube2i	0.24271051374871558
Nfe2l2	0.24246503522083215
Eif1	0.2420355079297913
Atp6v0e	0.24192606118404184
Icam1	0.24183351019092345
Prdx1	0.24160637967640125
Foxq1	0.2414648478476271
Selenok	0.24133393106744247
Timp2	0.24105556973132863
Ptprf	0.24046016456348213
Sec62	0.23951455927715792
Ctsl	0.23939040860105784
Fdx1	0.23914017861754155
Mtpn	0.2390165695722439
Uqcr11	0.23805677921403795
Myl12b	0.23747736197235186
Psmb4	0.23733649530854997
Gnb2	0.23731713206295568
Hmgb1	0.2351593936581671
Dnajc3	0.2342065980556906
Cers2	0.23418196072812117
Chka	0.2338262805260707
Atp2b1	0.2338199043591096
Rala	0.23380992683191
Fat1	0.23367787197392817
Tmbim6	0.2334381391446858
Serpinb6a	0.23285626518451993
Socs2	0.23229753547125664
Atxn10	0.23206615624903604
Pfdn5	0.2320286951805335
Hspa5	0.2318295659409078
Prr13	0.23114896312069938
Calr	0.23107449269381442
Id3	0.2308148379646226
Myo1b	0.2304122568498017
Bax	0.23003744612495117
Btg2	0.22986124970700997
Hsp90ab1	0.22970268563552068
Ppp3ca	0.22932885840903958
Ctsd	0.22932679799654973
Psmb3	0.22908847276557573
Slc25a3	0.22904521735464584
Rheb	0.2279010121486207
Pam	0.2275498539970011
Naxd	0.22618698738989626
Actb	0.22613799336336873
Slc12a2	0.2259773461411295
Pgd	0.22576121935338422
Kif5b	0.2251143960529574
Cltb	0.2249617847462708
Tinagl1	0.22495643267052015
Ralbp1	0.22464057649060423
Ndufc2	0.22412818934636045
Gpx1	0.22360890012255655
Azin1	0.22333063372066592
Smdt1	0.22296767446077656
Ptgr1	0.22292862235065994
St3gal4	0.2224812075309969
Taf10	0.22235836748447166
Anxa4	0.22074718148493466
Chmp2a	0.2204507105334001
Atp5b	0.2199481665175958
Ptms	0.21978044949753167
Timm13	0.2195249584783616
Cox6b1	0.21889272104092547
Cav2	0.21865889073617253
Ppa1	0.21861711093012484
Lamp1	0.21824669269164484
Rab2a	0.2179545063860576
Hspa1b	0.2179257660914746
Scd2	0.21768573256729956
H2afz	0.21764919529462756
Ran	0.21706377190950407
Vdac2	0.21646343538558416
Psma1	0.21608099042619136
Jun	0.2160311516697093
Capns1	0.21599175918932872
2610001J05Rik	0.21568814163918212
Cox6c	0.21559600900405093
Camk2n1	0.21543802955374108
Zdhhc3	0.214909968309005
Epha2	0.21405219937018125
Atp5g1	0.21391555620784222
Lamb3	0.21370385552427057
Ybx3	0.2135482587485909
Pomp	0.21346223086273497
Tpp1	0.2133239725496818
Rbms1	0.2131015613664536
Selenbp1	0.2129560918165355
Afdn	0.21294441088227456
Cd44	0.21290130716278785
Il4ra	0.21280393498966935
Siva1	0.21262326271335638
Pbx1	0.2122390495696809
Eif4h	0.21190846004349265
Stub1	0.21177706162152146
Dram1	0.21163103379038417
Arf5	0.21066907339216226
Hnrnpab	0.210397634939008
Ffar4	0.20970106560946208
Atox1	0.20923669278479196
Plpp2	0.20920255790584746
Trib1	0.20855824529020667
Hsp90b1	0.20834165156169893
Bcap31	0.2082652295358177
Arhgdia	0.20821450759642257
Nkx2-1	0.20795915049609434
Tmem30a	0.207776650217762
Cxcl16	0.20678731167689768
Tubb4b	0.20677745748230142
Naxe	0.20670414689866376
Wls	0.20653649128794158
Psmd7	0.20645860819121076
Ywhah	0.20640420458399072
Cops9	0.20609873851434846
Mlf2	0.20563271001544067
Ubc	0.20554924871243238
H2afj	0.2055476227774015
Mt2	0.20478187197768083
Atp5j	0.2046039204926457
Psenen	0.2045996917772936
Perp	0.20454884807452464
Anxa7	0.204338820021035
Sep15	0.2041244516539738
Ube2b	0.20377338950116394
Rab11fip1	0.20358469774340146
Actg1	0.20302902206843917
Ece1	0.203012491802752
Mbnl2	0.2023246222282625
Atp11a	0.20199366135555366
Arf1	0.20183320022575574
Lhfp	0.20152325964412934
Klf5	0.2011654191892855
Klf6	0.2008100184740406
Cebpd	0.20064998673001933
Psmb2	0.20061494823825862
Prnp	0.19980061197269566
Chmp5	0.1993650048255973
Tceb2	0.1990895908986307
Ttll7	0.19907889341221305
P4hb	0.19899399257948783
Ociad2	0.19893867441412283
Slc34a2	0.1989169893009806
Akr1b8	0.19843905705793377
Bhlhe40	0.1983756914046
Tmem43	0.1980991245911175
Oat	0.1976765888480573
Iqgap1	0.1976487930250124
Jup	0.19733621660098416
Rer1	0.19727086199536556
Ndufa11	0.19726816884766354
Ahnak	0.19722403547991332
Rab25	0.19722252154858402
Ndufa7	0.197218717376741
Psmb5	0.1969289232514199
Laptm4a	0.19661935292583452
Uqcrb	0.1965221622632718
Nr4a1	0.19649798479302957
Stard10	0.1963025181494842
Serinc2	0.19624994486731354
Cltc	0.1959818840136139
Tbcb	0.19555420724399028
Ywhaq	0.1955503669792598
Sumo2	0.19492374843277147
Ubl3	0.1947562936095582
Aprt	0.19462801589532527
Cadm1	0.19451074651384026
Hras	0.19443563374137499
Sat1	0.19414845162138608
Ier3	0.19379900837764552
Ndufb9	0.19348031784427863
S100a10	0.19344172665424256
Rtn4	0.1933467190346126
Tgoln1	0.19317307431763722
Eif2s2	0.19306540439105715
Prdx2	0.1929985364547939
Spcs1	0.19297571432625465
Hspa8	0.192634270443851
Gabarapl2	0.19222423263676727
Egr1	0.19196679630713967
Tma7	0.19185988140450022
Ap2m1	0.1918353135950389
Eif4g2	0.1918129618580313
H2afy	0.19177529802831975
Chchd10	0.19168055546793725
Arpc3	0.19154414619879265
Golph3	0.1914748400293303
Mcl1	0.191418249930192
Tmem59	0.19117254278544055
Cyb5r3	0.19070840622289023
Kcnk1	0.19059027057802064
Hes1	0.1903616886951147
F11r	0.19014190667401096
Klf13	0.19013301925365228
Hs2st1	0.1901259027918285
Rac1	0.1901041038516372
Capg	0.18990175821910002
Rgs10	0.18988653719718127
Tnip3	0.1897683179447677
Serpinb5	0.18974194414856796
Lrrfip1	0.1897286175338479
Higd1a	0.1889254748853406
Atp5f1	0.1883863826966548
Fkbp2	0.18835747652058063
Prkar1a	0.18822852683686175
Sf3b5	0.18793192943415274
Sdcbp	0.18779625178931633
Nucks1	0.18772376303799213
Fads3	0.18762265219256974
Lamp3	0.18756270601402628
Reep5	0.18742403924465195
Ubald2	0.1872452983403999
Il18r1	0.18712452793130543
Chil1	0.18710413859101077
Nfib	0.1868473838272029
Flna	0.1867678344060799
Acsl4	0.1866557599602808
Lpp	0.1861363261772683
Ubb	0.18601911619752073
Dctn3	0.18598497291442387
Fam173a	0.18590538123573855
Pcbp1	0.18581541563003082
Smim14	0.18575208444728578
Tmem238	0.18563684289979493
Atp1a1	0.18552220493109178
Aplp2	0.185446890536393
Rnf181	0.18534312031430453
Atp1b3	0.18531892143009435
Slpi	0.1851603120457353
Hint1	0.18486049744445948
Rhoc	0.18454190617831803
Ly6g6c	0.18439284467027564
Morf4l2	0.18437395257696745
Fxyd3	0.18392876922404058
Lsr	0.18374338542607088
Gja1	0.18364879950049476
Lurap1l	0.18356135663260145
Snx3	0.1834083042433166
H2-T23	0.18246249025503022
Set	0.18241173211603634
Plec	0.18206904844897226
Ftl1	0.18184374966297728
Ifi27	0.1814665413111301
Selk	0.18143935405283707
2310036O22Rik	0.18142184794940014
Trbc2	0.18137815585363595
Hnrnpk	0.1812966870404127
Ddost	0.18087768028534004
Mpc1	0.1807342285820772
Rras	0.18071066858757676
Adgrg1	0.18033466292971093
Tm9sf3	0.18033463154996618
Sec11a	0.18030444104261223
Krtcap2	0.18020992212500733
Ddt	0.18019642503661518
Mbnl1	0.17984979804965123
Slc44a2	0.17984071498752113
Pnrc1	0.1797006319511151
Procr	0.17967053562074198
Dynlt3	0.17960084577432717
Ybx1	0.17943303544356692
Rps19	0.17942537921499996
Eif3f	0.1793694797705492
Lpcat1	0.17936759289940335
Ccdc12	0.17932928135378298
Itgav	0.1792511960455994
Gnas	0.17884183774568482
Plp2	0.17870962412313643
Gsk3b	0.17869022379584396
Clic3	0.17863004355315834
Ppp1r14b	0.17858428619992842
Cox17	0.17856521164984634
Rnf11	0.17842603065100798
Ndufa4	0.17839777725753017
Minos1	0.17839768152103339
Rap1b	0.17838877329576627
Ndufb4	0.17816170586337296
Chchd2	0.17811183068545935
Psme2	0.17753950409501845
1110008P14Rik	0.1774199519679989
Akap13	0.17733787431013504
Csgalnact2	0.17711132403974944
Mrpl52	0.17697954536175456
Ube2m	0.17684258850420922
Scarb2	0.1768199545194297
Plxnb2	0.17665705116091823
Esd	0.17659529669400179
Acadl	0.17648605421881683
Clic5	0.17628777927799213
Sf3b1	0.1759902516599941
Tpi1	0.17593450268245686
Tpm3	0.17587251635304613
Psmb1	0.17563626100668261
Lamtor2	0.17502780801856352
Skp1a	0.1750004060157752
Zcrb1	0.17497819404296644
Ndufb11	0.17488560489129942
Eef1g	0.17472110142592684
Cd36	0.17466291361067302
Rab10	0.17449368753195463
Ptprn	0.1741452473514245
Fkbp8	0.17411266777424825
Txn1	0.1737202540464868
Pdlim1	0.1737040137625033
Dctn2	0.1737015703880321
Cox7a2	0.17367059420518394
Nt5e	0.1735308248367604
Pdia6	0.17346065941967295
Atp6v1f	0.17329799780759844
Srp14	0.17328864495975368
Rbm8a	0.17328463284152007
Tnfrsf11b	0.17324634259868846
Tax1bp1	0.1732239004107445
Hnrnpa2b1	0.17320552553925392
Degs1	0.17312590226281183
Golm1	0.17300895605203345
Rpl27a	0.17299968129885038
Eif4g1	0.17297857285508592
Ptma	0.17291535047133286
Mpc2	0.17291063264510007
1110008F13Rik	0.17289131915592285
Pgam1	0.17283448385682715
Flnb	0.17269448860391945
Cgnl1	0.17268124987176875
Ube2s	0.17254018220176867
Tnfrsf23	0.1724618784275485
Clta	0.1723911949813513
Txnl1	0.17228906529283344
Edf1	0.17206832509025954
Manf	0.17201209795073885
Sars	0.17195547248485996
Gnb1	0.17177924712768602
Ereg	0.17177098685269704
Ypel3	0.17155455350300805
Prdx5	0.1713551805637446
Ctnnd1	0.17122273681220276
Uqcrh	0.17121446717139616
Cited2	0.17111395614645422
Tuba1b	0.17110890641758417
Pafah1b3	0.17103865862351286
Gls	0.17091679450232608
Trappc4	0.1708910010486864
Wbp2	0.17088490576547852
Cpne3	0.17076348257332372
Lamp2	0.17064609885286036
Arhgef5	0.17056082244490905
Irf2bp2	0.17015672989851088
Selenot	0.17006101111422553
Polr2f	0.16999834643938025
Map1lc3a	0.16985164127020136
Tjp1	0.16984860531896045
Tjp2	0.16982900305404042
Uqcrc2	0.1694853812732133
Polr2k	0.16943941222724643
Txndc17	0.16918337837688138
Itm2b	0.16917931620682242
Fkbp4	0.1690121426617242
Grasp	0.16845267527447577
Rtn3	0.1684504097207882
Galnt1	0.16842639454737038
Ier3ip1	0.1684175278240048
Pdlim2	0.16827105442123957
Atp2a2	0.16823565676982769
Sar1a	0.16820424635812167
Serbp1	0.16819091469412623
Irx5	0.1680591132841381
Usmg5	0.16744461991054158
Map2k2	0.16732874093208444
Cd2ap	0.1672247016358702
Psmd11	0.16716869184757682
Nbeal1	0.16707806001886252
Tnfrsf21	0.16701025022300478
Ppp1ca	0.16681050535970796
Dnaja2	0.1667694917957386
Morf4l1	0.16657047577928252
Sh3bgrl3	0.16649458038196122
Tmem256	0.16648845132879492
Mrpl17	0.1663671972829976
Klc3	0.16632327810402217
Phldb2	0.1662392826996411
Elovl5	0.1661328562337132
Sqstm1	0.1658895273628398
Nptn	0.16588393803116402
Taldo1	0.16587627322136958
Ptbp3	0.16583716499071727
Uqcrq	0.16580714939598534
Mrpl23	0.16580243358181251
Polr2e	0.16569099210200916
Npnt	0.16568894633653805
BC031181	0.16553635663696406
Mrpl14	0.16535369680769138
Mettl26	0.1652769260792046
Ptges3	0.16513420126075218
Atp5g2	0.16488923884444234
Eif5a	0.16474070207035832
H3f3b	0.1646947615643261
Tmem50a	0.16462195387129316
Tra2a	0.1645599023474013
Arl2	0.16444407281769594
Mrfap1	0.1644399819157664
Phc2	0.16436954657668815
Cox5a	0.16432096022893303
Hspb8	0.16429839744112076
Eif3k	0.16421197444944013
Ube2l3	0.16410667003424262
Spint1	0.16408834269796832
Rps2	0.16407844528796048
Hsbp1	0.16386531811906457
Cttn	0.1636885258377074
Pdcd6ip	0.16350515575155136
Ap2s1	0.163337644191433
1810037I17Rik	0.16322270137090739
Fam162a	0.16311821928767062
Psme1	0.16289966182717877
Mvp	0.16266843034710948
Ptges	0.16252384118517568
Ostf1	0.16239571719199275
Cdipt	0.1623804909877505
Card19	0.16233291187991578
Lrrc8c	0.16225601584314608
Map1lc3b	0.1621403586214547
Adgrf5	0.16208567804224283
Metap2	0.1620826515060411
Cox14	0.16181595682494412
Psma4	0.16168769834667204
Rab11b	0.16163827724391072
Atxn7l3b	0.16149284443586365
Ptp4a1	0.16142447127048265
Ndufs8	0.1614151346250931
Lamtor4	0.16138205009776208
Eif4a1	0.1612371979799448
Ly6a	0.16112702922727
Clip4	0.16100431024530085
Pvrl2	0.16081535637147912
Tmbim1	0.16072139094296098
Cwh43	0.16035435582270222
Nectin3	0.1603027044633992
Itga6	0.1601406011730666
Ppib	0.1601388215869915
Ubxn1	0.16012110427302442
Abracl	0.1600765192380547
Snrpd2	0.16000256834226664
2900097C17Rik	0.15973099488660777
Sepw1	0.1596415865199703
Osbpl9	0.15963480814541095
Erbin	0.15957906187882268
Pdcd6	0.15940166519499052
Ppia	0.1593593476933132
Ift20	0.15928847856531636
Snrpb	0.15916218309040708
Bmp4	0.1591008346947174
Nectin1	0.15908231654961233
Dnajb6	0.1589638562089616
Ranbp1	0.15886807315120471
C77080	0.1588286409712807
Atp5h	0.15879885478778297
Cmtm8	0.15872573125934872
Me1	0.15860529260058784
Suclg1	0.15851581037969537
Maff	0.1583470636464614
Cyb5a	0.15832814285833724
Gtf2h5	0.15798086771985798
Glrx	0.15795799075745856
Ddb1	0.15783050972981824
Ormdl2	0.1577172261139134
Irx3	0.15757398429359545
Hsp90aa1	0.15752016841450583
AC149090.1	0.15750982389764598
Nbl1	0.15732260012426552
Rnf10	0.15711294020229166
Tapbp	0.15703344294600113
Hnrnpa3	0.15664831496164458
Zfp36	0.15661348937898367
Mindy1	0.1566087140201066
Eif5b	0.15654825810549525
Naca	0.15639583124686074
Nedd8	0.15630772002689833
Vimp	0.15620254351204296
Kmt5a	0.1561435829236326
Atp6v1e1	0.15610649409161867
Eif3c	0.1559841840120619
Emc6	0.15596880427828322
Serinc1	0.15589881851565884
Hp1bp3	0.1558849721404599
Vegfa	0.15575133934268076
Ndufs6	0.15570858591743178
Rbm47	0.15557265886521557
Ube2d3	0.15552020039078687
Dnajb1	0.155519858260107
Ube2n	0.15529914775760176
Hpf1	0.15520250306054204
Utrn	0.1551826722249534
Ptgs2	0.15497632438096698
H13	0.15493873519205056
Psmc3	0.1544838360762216
Adam10	0.15437145725983087
Lrrfip2	0.1543154483402621
Lamtor5	0.15424811789783524
Pcbp2	0.1542344926250742
Atp6v1a	0.15420539181199763
Eif4a2	0.15420095270133363
Klf4	0.15405836432473663
Ywhab	0.15392984334953483
Coq10b	0.15382530572977401
Ppp4r2	0.15377721246183215
Mindy3	0.15368517662129674
Sdhb	0.15350171804684767
Ppp4r3a	0.15347888922288613
Romo1	0.1534514211573266
Sftpc	0.15339926557753808
Rpl21	0.15334747763423776
Fam241a	0.15327656252048358
Nsmce1	0.15327198546551588
Tpr	0.15326133156463945
Cast	0.15325579814030937
Pfdn1	0.15318740051837382
Mrpl33	0.1530901797358343
Psmc4	0.15302551159316544
Cdc42	0.1528912368692578
Atp6v0b	0.15265313328086874
Tomm22	0.1525608836932737
Yipf4	0.1522365754086064
Eif6	0.15197742346507392
Mdh1	0.1519253910512248
Cavin1	0.1518929007916135
Pdia3	0.1517759045216268
Rab11a	0.15175109400845876
Dnajc8	0.1516556841032793
Sec61b	0.15155563595913338
Tmed10	0.15143349936793454
Uqcr10	0.15140166409001493
H2-Q7	0.15124513527010422
Pdcl3	0.15115696446974874
Timm10b	0.15115470000378808
Malt1	0.15105288841742698
Muc1	0.1510403244356449
Atp5j2	0.15098033776663744
Sptbn1	0.15076534630646377
Acot7	0.15074452571833225
Zfand6	0.15066105060805718
Tnfaip1	0.1506286553306643
Col4a2	0.15052196604451304
Brk1	0.15033546315175877
Taok3	0.15025215393148844
Marc2	0.15024211351634273
Tmem258	0.15013497670754924
Stx8	0.15010576133469306
1110004F10Rik	0.15007884408556804
Pcolce	0.15003940576780023
Mrpl57	0.14995520482016564
Rab15	0.14994629781774865
Rab7	0.14983040791623423
Tomm7	0.14980755771353232
Ppp2r1a	0.14977082917773268
Erbb3	0.1497110980311873
Psmd4	0.1494259836524943
Itpripl2	0.1494166522700682
Zyx	0.14940486147742954
March5	0.14915999211598022
D8Ertd738e	0.14912001044255532
Mrpl54	0.1489383380791469
Cald1	0.14878141398594985
Nckap1	0.14872697653148412
Ssr4	0.1486477607116789
Trappc2l	0.14864585873757566
Emp3	0.14855249694973421
Cope	0.1484835645138997
Ehd2	0.14847315361910463
Psma3	0.14843166740785904
Hagh	0.14839378993555186
Ywhag	0.14797539103546153
Adssl1	0.14777621004943883
Cxadr	0.14749381294433567
Aurkaip1	0.1474543407167474
Capn2	0.14745385449024973
Snrpe	0.14734501919347776
Aamp	0.14730470554904956
B4galnt1	0.14713012909258977
Tnfsf9	0.14711649075569141
Pdcd5	0.1470267116819683
Cox5b	0.1470211407452575
Smc1a	0.14700991300707583
Tmem245	0.14700592508717886
Srsf2	0.14680767187127186
Ssu72	0.14666364558996306
Hopx	0.14665476078384135
Arf4	0.14664762900535772
Ehf	0.14650879394038419
Paics	0.14645697402907867
Srpr	0.14631193920310379
Srp72	0.14621675910621615
Higd2a	0.1458417245653702
Pon2	0.14566327220392652
Hif1a	0.14538141523048861
Gipc1	0.14522571954897923
Atf4	0.14519505857253254
Hnrnpf	0.1451581172830498
Fis1	0.14495929260155185
Rnaseh2c	0.14464030655561613
Fkbp1a	0.14443019519520645
Mmp15	0.1443025496749061
Fxyd4	0.1442923029454664
Rab6a	0.14428351784505608
Tmem63b	0.14427722411334137
Wdr1	0.14415519433619303
Osbpl3	0.1441529867421445
Pfdn2	0.14406534410792732
Ppp1r11	0.14403410994819218
Prelid1	0.1439366798683061
Sod2	0.14386364159796633
Eif3a	0.14363097162912047
Mydgf	0.14350829867736417
Slc4a4	0.14330089898864595
Eny2	0.14329370132131106
Nucb1	0.14327358591329833
Rps11	0.14297370398876488
Zfp706	0.14293817451279683
Plekhb2	0.14291002005963854
Pbrm1	0.14288348123377534
Snx4	0.1428311254745382
Srp9	0.14256171848858437
Rnf149	0.1425041352122195
Ssb	0.14247549484874303
Tsg101	0.1424181213596718
Mosmo	0.14224833748849589
Ndufa6	0.14219114893337978
Cycs	0.1421809604638866
Msln	0.1416211723226874
Ppp2cb	0.14155630258776397
Col4a1	0.14148543056058674
Slc25a5	0.14127286013205045
Rpl15	0.14115490341870998
Pum2	0.14084749518125636
Psma5	0.14068387454347503
Rplp0	0.14058822672139668
Mfsd4a	0.14036163281749084
Ost4	0.14003771324016592
Serp1	0.1400304366734227
Ndufs5	0.13994084956548317
Gde1	0.13987574385204454
Capza2	0.13987243812895542
Sh3d19	0.13977169867456277
Iscu	0.1397435917588837
Wdr83os	0.13960841910541602
St14	0.13959275477817154
Nemf	0.13957822411749451
Ocln	0.13933262241053593
Pdcd10	0.13929395440759038
Arl1	0.13919186718999274
Prdx4	0.13916525651706407
Calm3	0.13907912315961318
Srsf9	0.13900295949851646
St3gal5	0.13892305316548859
Atpif1	0.13891150179909867
Ccdc107	0.13882677373166208
Cggbp1	0.138790628344137
Mrpl20	0.1387661814638134
Hsd17b11	0.13863605615864066
Tes	0.13863474562729097
Uqcrc1	0.1386159975695635
Eif5	0.13847792226460398
Ddx6	0.13834279374501532
Ndufs7	0.13833168667334822
Mlph	0.13821282111678712
Srsf11	0.1381983715694272
Hcfc1r1	0.13816141441186516
Cyr61	0.1381382879505735
Tshz1	0.1380920670957089
Ctdspl	0.13790366432528375
Trim8	0.13777474858208305
Gabarapl1	0.13774357112723173
Lasp1	0.1376980790220724
Tm9sf2	0.13762692261354542
Prr15l	0.1375936754676569
Fgfr1op2	0.13750605527298118
Il33	0.13750498594380683
Arl6ip1	0.13738895819042068
B4galt1	0.13733940584337048
St13	0.1371938572710489
Cct7	0.13716283309854027
Mrps14	0.1370137557128602
Med21	0.13692428737364779
Rictor	0.13682353665645217
Lsm6	0.1368030087241332
Prkci	0.13644586918116416
Fnbp1l	0.13640353534355623
Rassf7	0.13639874446387504
Purb	0.13636207417052992
Pkp2	0.13627712487652893
Cd164	0.13625833256230926
Mindy2	0.13613214847271687
Prpf40a	0.13605618743685002
Arpc5	0.13598176390509611
Cryab	0.13589873662409166
Klf2	0.1358591339788137
Acsl5	0.13568071290328973
Ccdc124	0.13566282337064858
Txn2	0.1356301938275425
Usf2	0.13552218472277586
Mdfic	0.13550311495004383
Adam9	0.13522204471715452
Cct3	0.1351467053504799
Tmed2	0.13513272603863666
Dazap2	0.13511349386383706
Glmp	0.13494748631422673
Rgs4	0.13491599787333017
Tmod3	0.1348747349573844
Wwc1	0.1347165272962227
Bola2	0.13462982727589992
Ndufb7	0.13451089340881045
Aco1	0.13446714278139424
Park7	0.13441234135271704
Rps18	0.1343085299297085
Arrdc1	0.1342950488049395
Sri	0.13428080410504406
Pura	0.13420199164270347
Tmem165	0.1341675282998455
Ppp1r2	0.1340519572605205
Ccnd2	0.13402244333610755
Slc39a4	0.1339133818561552
Ufc1	0.1338017644922765
Snrpf	0.13372409552952846
Jpt2	0.13356339019416666
Mboat1	0.13341337724183078
Tm2d2	0.13330890537929038
Sfr1	0.13326806609719602
Hnrnpu	0.13316787349211504
Nenf	0.1330109895473807
