n_units,n_epithelial,n_cd8_pos,n_cd8_ref_non_epi,frac_cd8_pos,frac_cldn4_pos,frac_cldn4_pos_epi,n_both_pos,frac_cd8_among_cldn4_pos,frac_cd8_among_cldn4_neg,rho_cldn4_cd8a,p_cldn4_cd8a,n_cldn4_cd8a,rho_cldn4_cd8a_epi,p_cldn4_cd8a_epi,n_cldn4_cd8a_epi,rho_cldn4_cd8a_nonzero,p_cldn4_cd8a_nonzero,n_cldn4_cd8a_nonzero,rho_krt8_residual_cd8a,p_krt8_residual_cd8a,n_krt8_residual_cd8a,rho_krt8_residual_cd8a_epi,p_krt8_residual_cd8a_epi,n_krt8_residual_cd8a_epi,n_epi,n_cd8_ref,n_cldn4_high_epi,n_cldn4_low_epi,median_nn_um_high,median_nn_um_low,delta_high_minus_low_um,mw_u,mw_p,gsm,patient,chip,unit
69857,49480,718,209,0.010278139628097399,0.0885666432855691,0.10509296685529507,99,0.016001293033780506,0.009722004083555835,0.016759671169451155,9.428006998481078e-06,69857,0.01855719832428802,3.657206185245295e-05,49480,-0.4711348037946769,0.0,6806,0.007750648444492791,0.04050836029975392,69857,0.008211517152969281,0.06776553664575205,49480,49480,209,2606,44280,160.70430834402842,173.02600960549256,-12.321701261464142,54842293.0,2.1263772469035365e-05,GSM9684216,LUAD_P11,GSM9684216_D06050E4,cell_bin
32508,25906,1227,483,0.03774455518641565,0.7823612649194045,0.828726935844978,918,0.03609483741595565,0.04367491166077739,-0.03490608734749343,3.069342985087565e-10,32508,-0.008350677484640025,0.1789391422766814,25906,-0.12562267941947014,4.8634520122884796e-91,25742,-0.030494876314977992,3.8133216177316584e-08,32508,-0.008490385789911698,0.1717773045855269,25906,25906,483,10737,4437,175.0,160.0781059358212,14.921894064178787,25027613.5,8.609112384986029e-07,GSM9684206,LUAD_P1,GSM9684206_D06053D2,bin50
24928,21852,326,48,0.013077663671373555,0.05194961489088575,0.054319970712062966,27,0.02084942084942085,0.012651800448525367,0.015411607340764922,0.01496189636400889,24928,0.0153547213081166,0.023219498833276037,21852,-0.6505474242242771,1.8037997747463204e-192,1594,0.0062968278340551015,0.32015413966485634,24928,0.004820020517611442,0.4761681167179407,21852,21852,48,594,20665,403.5001239750076,412.31056256176606,-8.810438586758437,5964598.0,0.24099487033926492,GSM9684207,LUAD_P2,GSM9684207_D06047C3,bin50
16784,14680,422,73,0.025142993326978075,0.1326858913250715,0.13841961852861034,62,0.02784014369106421,0.0247303702685993,0.003487819563886088,0.6513947120647458,16784,0.0050905615125192765,0.5374133234409549,14680,-0.5747843707696801,2.0965506417619626e-227,2587,0.0009578048625274393,0.9012540279214034,16784,0.0008491915440905826,0.9180580554081428,14680,14680,73,1016,12648,230.4886114323222,230.4886114323222,0.0,6243201.0,0.13245376252350483,GSM9684208,LUAD_P3,GSM9684208_D06047F6,bin50
15147,13589,272,45,0.017957351290684626,0.03782927312339077,0.03730958863786887,16,0.027923211169284468,0.017565527651982982,0.014416817661645126,0.07601867954808389,15147,0.013237525380588287,0.12281896319900029,13589,-0.7686427306228566,1.2224715743189043e-162,829,0.005182208826374326,0.5236413766857358,15147,0.006996253294168127,0.4147854444105405,13589,13589,45,254,13082,359.2503270641539,391.3118960624632,-32.06156899830927,1577312.5,0.166379292730088,GSM9684209,LUAD_P4,GSM9684209_D06047E1,bin50
6624,6112,124,13,0.018719806763285024,0.08801328502415459,0.08965968586387435,11,0.018867924528301886,0.0187055123323953,0.00031849066618830715,0.979324007791733,6624,-0.0036704979881071013,0.7741895277421194,6112,-0.6011472716906621,1.3202070046524745e-69,696,-0.009880954365582222,0.42136314828790356,6624,-0.015333898445371523,0.23067635026951497,6112,6112,13,274,5564,316.22776601683796,320.1562118716424,-3.9284458548044654,736762.0,0.3490258760243814,GSM9684210,LUAD_P5,GSM9684210_D06050A2,bin50
34916,26972,1611,611,0.04613930576240119,0.19148814297170352,0.20602847397300905,395,0.05907867185163027,0.043074743181013106,0.022372965205912695,2.9029830389801435e-05,34916,0.026196399733332074,1.6864231737953384e-05,26972,-0.5698155610185595,0.0,7902,0.009562599253424155,0.07396540590327547,34916,0.010161463731521915,0.09515729761690092,26972,26972,611,2779,21415,176.7766952966369,176.7766952966369,0.0,29786559.5,0.9300157072794019,GSM9684211,LUAD_P6,GSM9684211_D06047A2,bin50
20900,18046,288,75,0.013779904306220095,0.07722488038277511,0.08057187188296576,28,0.01734820322180917,0.013481281758788759,0.008045871804466977,0.24477779724107204,20900,0.008586544162593308,0.24873876897424013,18046,-0.5756997077546943,6.957576546858603e-166,1874,0.012678517193829064,0.06682101341918098,20900,0.011052172314489652,0.13763908202208516,18046,18046,75,728,16592,328.8236609491476,336.34060117684277,-7.516940227695159,5995776.0,0.7406060128578701,GSM9684212,LUAD_P7,GSM9684212_D06050C2,bin50
29203,24186,681,115,0.023319521966921206,0.16984556381193713,0.1825022740428347,150,0.03024193548387097,0.02190322979829229,0.01754263731933175,0.002718080448419217,29203,0.019705200151173052,0.002179160671504879,24186,-0.4681702372372719,2.8997925726542766e-297,5491,0.001512419675575137,0.7960636854019906,29203,0.001582355540302724,0.805625742097167,24186,24186,115,2209,19772,340.03676271838606,265.75364531836624,74.28311740001982,25561210.0,1.4350193494714684e-39,GSM9684213,LUAD_P8,GSM9684213_D06047D4,bin50
27861,24174,1827,264,0.06557553569505761,0.19403467212232153,0.19992553983618763,380,0.07029226785053644,0.0644399910932977,0.0062392662557323696,0.2976910138624091,27861,0.005352771421798103,0.40528968482780237,24174,-0.614084996121208,0.0,6853,0.009702791322766477,0.1053358581894257,27861,0.007042942578489997,0.27351971258103003,24174,24174,264,2417,19341,215.05813167606567,215.05813167606567,0.0,23624661.0,0.3884561380571221,GSM9684214,LUAD_P9,GSM9684214_D06047E2,bin50
13011,11049,1455,265,0.1118284528475905,0.2104373222657751,0.21830029866956285,312,0.1139517896274653,0.1112625328531101,-0.004054450968243399,0.6437718849631622,13011,-0.006283435721014499,0.5089905895102631,11049,-0.6739815022915836,0.0,3881,-0.0038683559226084492,0.6590636846803447,13011,-0.001679177723189298,0.8599124468983258,11049,11049,265,1206,8637,167.70509831248424,160.0781059358212,7.626992376663026,5362525.5,0.09474256201671638,GSM9684215,LUAD_P10,GSM9684215_D06050D4,bin50
15362,12910,698,171,0.04543679208436401,0.32944929045697174,0.3374903175832688,293,0.05789369689784628,0.03931657120667896,0.033068054929184444,4.142957063392735e-05,15362,0.02977222352848159,0.0007164452522301635,12910,-0.3642194043218216,4.077917629953605e-171,5466,0.024475741596495296,0.0024148043160885555,15362,0.02052609145398856,0.01968811426960778,12910,12910,171,2179,8553,223.60679774997897,257.390753524675,-33.78395577469604,8313819.0,7.132131860424446e-15,GSM9684216,LUAD_P11,GSM9684216_D06050E4,bin50
