accession	mouse	group	primary_immune	note	n_raw	n_qc	n_epi	n_tnk	n_ptprc	n_epcam	cldn4_pct	cldn4_mean	tacstd2_pct	tacstd2_mean	ifn	n_ifn_genes	error	t_frac
GSE201247	ATTAC_1	WT_ATTAC	False	whole-lung digest; WT ATTAC is scored and held out of the primary pool	12324.0	11992.0	6124.0	2479.0	5346.0	504.0	0.0014696276943174395	0.0007644166524885478	0.0310254735467015	0.033673612843867766	0.279542061862392	15.0		0.2067211474316211
GSE201247	Kras_2	Kras	True	whole-lung digest; WT ATTAC is scored and held out of the primary pool	16471.0	15984.0	15026.0	2409.0	7273.0	790.0	0.001397577532277386	0.0016936508174530119	0.03261014241980567	0.035293932192753466	0.2221864126527315	15.0		0.1507132132132132
GSE201247	ATTAC_Kras_3	ATTAC_Kras	True	whole-lung digest; WT ATTAC is scored and held out of the primary pool	13136.0	12701.0	7741.0	2525.0	5776.0	683.0	0.0014210050381087715	0.0012788715826455449	0.034491667743185635	0.037646886953833995	0.29402300056360864	15.0		0.19880324383906778
GSE201247	ATTAC_4	WT_ATTAC	False	whole-lung digest; WT ATTAC is scored and held out of the primary pool	10351.0	10113.0	3477.0	1708.0	4835.0	286.0	0.0008628127696289905	0.0004759578136425829	0.04687949381650849	0.050154843556208924	0.2649515969901746	15.0		0.16889152575892416
GSE201247	Kras_5	Kras	True	whole-lung digest; WT ATTAC is scored and held out of the primary pool	8257.0	7965.0	3179.0	1201.0	3413.0	318.0	0.0006291286568103177	0.00025610566704712545	0.04938659955960994	0.05539217138450298	0.26312123910662966	15.0		0.15078468298807282
GSE201247	ATTAC_Kras_6	ATTAC_Kras	True	whole-lung digest; WT ATTAC is scored and held out of the primary pool	9941.0	9723.0	2705.0	1016.0	5058.0	235.0	0.0011090573012939	0.0008520179117947625	0.09981515711645102	0.08796628811471827	0.4140114957252975	15.0		0.1044944975830505
GSE266323	d10_1	Malat1_CRISPRa	True	whole-lung digest; d10 is Malat1 CRISPRa and dTom is the tomato control in the published mouse table	10168.0	9533.0	1894.0	2281.0	7417.0	818.0	0.0897571277719113	0.14077084073136406	0.0908130939809926	0.08543040829955946	0.07592822181694542	14.0		0.23927410049302422
GSE266323	d10_2	Malat1_CRISPRa	True	whole-lung digest; d10 is Malat1 CRISPRa and dTom is the tomato control in the published mouse table	4939.0	4597.0	1276.0	1128.0	3582.0	627.0	0.12617554858934169	0.19627792586290585	0.10501567398119123	0.07916610357227821	0.09173443067812535	14.0		0.24537742005655863
GSE266323	dTom_1	Tomato_control	True	whole-lung digest; d10 is Malat1 CRISPRa and dTom is the tomato control in the published mouse table	8842.0	8120.0	3054.0	2047.0	6158.0	1218.0	0.1925343811394892	0.26741893726193244	0.15749836280288146	0.14523162786581773	0.07520864136595425	14.0		0.2520935960591133
GSE266323	dTom_2	Tomato_control	True	whole-lung digest; d10 is Malat1 CRISPRa and dTom is the tomato control in the published mouse table	7135.0	6730.0	1561.0	3248.0	5745.0	755.0	0.108263933376041	0.14620318917900066	0.08071748878923767	0.06399544633254639	0.0953224377845676	14.0		0.4826151560178306
GSE165641	KL1	KL	True	mixed lung digest; n=2, descriptive only	4400.0	4165.0	947.0	82.0	3098.0	344.0	0.14361140443505807	0.22604524486367922	0.26399155227032733	0.4218466198825082	0.11005815637391916	15.0		0.019687875150060024
GSE165641	KL2	KL	True	mixed lung digest; n=2, descriptive only	2780.0	2470.0	1417.0	228.0	1561.0	290.0	0.053634438955539876	0.05781865407281889	0.12844036697247707	0.11506212041364051	0.12493015776029745	15.0		0.09230769230769231
GSE180963	K	K	True	mixed lung digest; n=2, descriptive only	6696.0	6696.0	5335.0	3467.0	5545.0	1302.0	0.00018744142455482662	0.00014147686823942044	0.020431115276476102	0.024113082251367237	0.14545295626636348	14.0		0.5177718040621266
GSE180963	KL	KL	True	mixed lung digest; n=2, descriptive only	7564.0	7564.0	6044.0	3603.0	6223.0	1080.0	0.0038054268696227664	0.003572175799217183	0.05972865651886168	0.058828973151341606	0.21377312117438466	14.0		0.4763352723426758
GSE179501	CM2260	Restored	True	Lkb1-XTR total viable cells; Restored vs Non-Restored labels are the published mouse table	4279.0	4269.0	715.0	1520.0	3152.0	372.0	0.027972027972027972	0.03841460879863897	0.07552447552447553	0.0943189169746025	0.08877637918620292	15.0		0.35605528226750993
GSE179501	CM2319	Restored	True	Lkb1-XTR total viable cells; Restored vs Non-Restored labels are the published mouse table	4809.0	4795.0	1196.0	1330.0	3193.0	591.0	0.014214046822742474	0.019099886132859824	0.07859531772575251	0.1074070881104531	0.08958827265492679	15.0		0.2773722627737226
GSE179501	CM2324	Non-Restored	True	Lkb1-XTR total viable cells; Restored vs Non-Restored labels are the published mouse table	6641.0	6552.0	1525.0	1649.0	3943.0	621.0	0.011147540983606558	0.01904659098082452	0.06885245901639345	0.1027693943213047	0.06736405303882012	15.0		0.2516788766788767
GSE179501	CM2328	Non-Restored	True	Lkb1-XTR total viable cells; Restored vs Non-Restored labels are the published mouse table	4622.0	4594.0	1891.0	883.0	2542.0	1055.0	0.02009518773135907	0.03345992933265757	0.11052353252247488	0.17056637278526685	0.05653580764153467	15.0		0.19220722681758814
