score	adjustment	gene	dataset	n	rho	p
mean	KRT	CLDN4	GSE205335	22	-0.24633590415900072	0.28173629859313964
mean	KRT	CLDN4	GSE189357	9	-0.5526833588699896	0.15540818872494108
mean	KRT	CLDN3	GSE123902	13	-0.22794149398375635	0.4761381510631497
mean	KRT	CLDN3	GSE131907	21	-0.46473289107293686	0.038968654502004506
mean	KRT	CLDN3	GSE205335	22	-0.12270728465348701	0.5961863302741058
mean	KRT	CLDN3	GSE189357	9	0.07211621806391912	0.8652501825889682
mean	KRT	CLDN7	GSE123902	13	-0.5747090776481012	0.050627890931612254
mean	KRT	CLDN7	GSE131907	21	-0.5965959535777781	0.005491075910849311
mean	KRT	CLDN7	GSE205335	22	0.2754016235285776	0.22692880834581663
mean	KRT	CLDN7	GSE189357	9	0.11817833654810472	0.780470090778599
mean	KRT	OCLN	GSE123902	13	-0.35058289800151093	0.2638785994213756
mean	KRT	OCLN	GSE131907	21	-0.1878032989582116	0.4278385338082348
mean	KRT	OCLN	GSE205335	22	0.1872192330626157	0.4164275919930296
mean	KRT	OCLN	GSE189357	9	-0.19049456397173106	0.6513695000782846
mean	KRT	F11R	GSE123902	13	0.0921360651853107	0.7758057967437579
mean	KRT	F11R	GSE131907	21	-0.13142804201966526	0.5807266880870356
mean	KRT	F11R	GSE205335	22	0.09853163980508928	0.6708973451717171
mean	KRT	F11R	GSE189357	9	0.14599183064490293	0.7301299646599115
mean	KRT	CDH1	GSE123902	13	-0.6186031944712841	0.0320046284466328
mean	KRT	CDH1	GSE131907	21	-0.11162867814920342	0.639396108966966
mean	KRT	CDH1	GSE205335	22	0.1463660599863742	0.5266772149230349
mean	KRT	CDH1	GSE189357	9	-0.15686609568480062	0.7106654515280739
