family	row	interaction_name	ligand	receptor	axis	thesis_expect	split	n_units	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta	median_delta	se	wilcoxon_p	meta_p	I2	n_pos	n_neg	observed_direction	agrees_thesis
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	pctpos	50	11	16	18	5	0.11950614551774612	0.11479562729330692	0.02262778134101819	6.395325407863627e-06	1.282072196636636e-07	1.4500872158369392e-14	41	7	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	pctpos	49	11	16	17	5	0.15025297321246167	0.15946405851346543	0.02827040972935382	6.878385368834134e-06	1.0674551069922745e-07	1.4802973661668752e-14	40	7	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	pctpos	59	11	18	21	9	0.11860582906229494	0.09732586506477381	0.011243126561057878	6.963035706847179e-11	5.1239278175353224e-26	0.0	57	2	high>low	yes
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	median	43	5	12	17	9	0.1633574946765549	0.11902971687567149	0.020957449500474512	2.2737367544323206e-13	6.4550384798542015e-15	0.0	43	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	median	53	9	17	19	8	0.0974862352614377	0.06220677560925375	0.013090855500737514	2.386484752546066e-10	9.556212375582467e-14	0.0	53	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	median	43	6	15	18	4	0.08131730734248475	0.05295340558752043	0.01178726938835004	2.2737367544323206e-13	5.24657773960936e-12	0.0	43	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	median	33	2	10	17	4	0.065000804820762	0.04568553067732989	0.011184068367033425	2.3283064365386963e-10	6.17638465157951e-09	0.0	33	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	median	26	6	9	9	2	0.01591768016985378	0.00427750998013598	0.004987866130585336	0.00014047636832915627	0.0014164366748935693	0.0	23	2	high>low	yes
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	median	50	10	16	18	6	0.06288465788046708	0.060488004043825344	0.01694650656686732	2.637127659948904e-05	0.0002066264206969018	0.0	41	8	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	median	49	10	16	17	6	0.08092277987892786	0.06615781588329266	0.02235378890669428	3.125045926705092e-05	0.0002944979045058421	0.0	40	8	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	median	59	11	18	21	9	0.07757232736066717	0.06541637624124043	0.008899054630229733	1.546827935439342e-10	2.8587763707456376e-18	0.0	56	3	high>low	yes
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	tertile	44	6	13	16	9	0.17225606192697293	0.12867940175550202	0.021701951143419666	1.1368683772161603e-13	2.0654046171303165e-15	0.0	44	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	tertile	55	10	19	18	8	0.11298899949482631	0.07961368292967978	0.014948821352349088	1.1076151546135735e-10	4.080935968090712e-14	2.6316397620744445e-14	55	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	tertile	42	6	15	17	4	0.09154071015119322	0.0755297425787337	0.013317882453811615	4.547473508864641e-13	6.263742395506572e-12	0.0	42	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	tertile	32	2	10	16	4	0.07265138628396733	0.05405751826745635	0.012500028184855476	4.656612873077393e-10	6.169477831155625e-09	1.1460366705808067e-14	32	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	tertile	28	8	9	9	2	0.01760392997889976	0.003446219604518546	0.006600465304302026	0.001396735231711408	0.007651480252519174	0.0	23	4	high>low	yes
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	tertile	50	11	16	17	6	0.08160631262368405	0.07581465570664929	0.01775588714489621	1.4543591948523726e-06	4.306489940806857e-06	0.0	42	8	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	tertile	49	11	16	16	6	0.10437201738085214	0.11019394054242544	0.021910064279751087	1.7085923182946772e-06	1.9011615153587415e-06	0.0	41	8	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	tertile	61	12	20	20	9	0.08722256619474983	0.07183472346323598	0.009845281200278694	5.86650747346474e-11	8.049887643743778e-19	1.1842378929335e-14	57	4	high>low	yes
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	q4q1	1	1	0	0	0	0.0005704099200019995	0.0005704099200019995					1	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	q4q1	10	2	5	3	0	-0.017355851688730002	0.00028309292668385317	0.020012541047967444	0.921875	0.385805717482792	0.0	6	4	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	q4q1	4	0	2	2	0	-0.004932618962990016	-0.00026349940149432075	0.01061080868545957	0.875	0.6420264229519695	0.0	2	2	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	q4q1	3	0	2	1	0	0.003582011415355707	0.0021697299402375857	0.0039659346753119365	0.75	0.3664225386823404	0.0	2	1	high>low	no
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	q4q1	56	11	19	18	8	0.03892831892917319	0.029724039820438114	0.008996063290731595	6.212512502222835e-06	1.5097463514817316e-05	0.0	47	9	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	q4q1	56	11	19	18	8	0.037163833149274905	0.028324041810061873	0.009493093516326155	4.224301552997068e-05	9.04684853844953e-05	0.0	45	11	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	q4q1	56	11	19	18	8	0.0411665663329561	0.03302707871176591	0.011058261115434152	0.0001931680770015788	0.00019710524320620189	2.5837917664003636e-14	44	12	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	q4q1	56	11	19	18	8	0.03592120194764744	0.03016406581940617	0.0094280477259506	5.987940539982893e-05	0.00013894651591073016	1.2918958832001821e-14	45	11	high>low	opposite
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	pctpos	2	1	1	0	0	0.004142823373764853	0.004142823373764853	0.0022808278308745424	0.5	0.06931389426411418	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	pctpos	10	3	4	3	0	-0.00024711127553641226	0.002732653889136763	0.006841683599408319	0.12890625	0.9711878796566737	0.0	8	1	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	pctpos	4	0	2	2	0	-0.006324222697841622	-0.00019175748278553857	0.0143829443489772	0.875	0.660152283947991	0.0	2	2	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	pctpos	3	0	2	1	0	0.0051956348771591086	0.0023319256144369374	0.005294769680075603	0.5	0.3264562389533716	0.0	2	1	high>low	no
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	pctpos	54	10	17	19	8	0.04267254471753957	0.03297275542288552	0.0097560780673712	1.5140485364751194e-05	1.2202137244645347e-05	0.0	43	11	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	pctpos	54	10	17	19	8	0.04623741067356784	0.03257998819517447	0.011680136561052708	3.933028178589819e-05	7.537897144929135e-05	0.0	43	11	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	pctpos	54	10	17	19	8	0.04732649998338304	0.03898312488900055	0.01159705921412006	0.00013895472770064212	4.4860638244131076e-05	0.0	42	12	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	pctpos	55	11	17	19	8	0.041211902121573066	0.03697782835001453	0.010258259434366979	4.913206309586091e-05	5.883477372636983e-05	0.0	41	13	high>low	opposite
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	median	2	1	1	0	0	0.004339862244247056	0.004339862244247055	0.0020837889603923395	0.5	0.0372805481993298	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	median	10	3	4	3	0	-0.00086340330183976	0.00023927274960408462	0.0068460089069432425	0.49609375	0.8996387100196286	0.0	6	3	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	median	4	0	2	2	0	0.0025363026191798006	-0.0001210949748337456	0.004537767029545583	1.0	0.5762082168123126	0.0	2	2	high>low	no
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	median	3	0	2	1	0	0.003972990335443167	0.002982627667178524	0.0038825122645953928	0.5	0.30616413247749275	0.0	2	1	high>low	no
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	median	54	10	17	19	8	0.024562312577287332	0.018125698051096817	0.007911371691190341	0.00010492849242120419	0.0019048212686178035	0.0	42	12	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	median	54	10	17	19	8	0.02486085726430343	0.017721678372866423	0.008913417429871166	0.0006402798761460725	0.0052846600087927634	0.0	43	11	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	median	54	10	17	19	8	0.02757094237842984	0.01904218466770564	0.010104939017033052	0.002270781527811428	0.006363041598935034	0.0	41	13	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	median	55	11	17	19	8	0.022964713165057434	0.0192248116139029	0.008448576294083427	0.0005290246682167081	0.006564300806212638	2.6316397620744445e-14	41	13	high>low	opposite
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	tertile	1	1	0	0	0	0.0005704099200019995	0.0005704099200019995					1	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	tertile	10	2	5	3	0	-0.008352174171364767	0.0002589649353825707	0.011089178401781134	0.625	0.45134030486200283	0.0	6	4	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	tertile	4	0	2	2	0	-0.0015672882470276592	-0.00016141728420017708	0.0072844606650412135	0.875	0.829646462003766	0.0	2	2	low>high	direction_only
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	tertile	3	0	2	1	0	0.003670505843011918	0.002861010934605327	0.00372401546663426	0.5	0.32431412059789555	0.0	2	1	high>low	no
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	tertile	56	11	19	18	8	0.032649709953252566	0.024059737055151742	0.008545634938820048	1.1412913956603267e-05	0.0001331111733085042	0.0	45	11	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	tertile	56	11	19	18	8	0.03230014351615957	0.02261827348962958	0.009354226799691947	0.00011417800780502077	0.0005543893594491908	0.0	45	11	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	tertile	56	11	19	18	8	0.03641374810182768	0.028344006773086267	0.010682966754403264	0.0002835282153353994	0.0006530190589017512	1.2918958832001821e-14	42	14	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	tertile	56	11	19	18	8	0.03112329701542653	0.025846091758581394	0.009136170913712952	0.00017524838466937876	0.0006577699621033458	1.2918958832001821e-14	43	13	high>low	opposite
