term	n_overlap	n_set_in_bg	n_query	n_bg	enrichment	p	overlap_genes	fdr	rank
HALLMARK_INFLAMMATORY_RESPONSE	10	194	364	24082	3.4102752917185906	0.0007762953734765177	AHR,CCL2,F3,GNA15,ICAM1,ICAM4,LY6E,P2RY2,PCDH7,TNFSF15	0.0023994584271092366	22
HALLMARK_XENOBIOTIC_METABOLISM	9	184	364	24082	3.2360547061634017	0.0020150731284784506	CES1,COMT,CYP2S1,EPHA2,IDH1,JUP,PTGES,SPINT2,XDH	0.005957607510284115	23
HALLMARK_ANDROGEN_RESPONSE	6	98	364	24082	4.050571877102489	0.0037537592591172877	ALDH1A3,B4GALT1,KRT19,NDRG1,STEAP4,TMPRSS2	0.010635651234165648	24
HALLMARK_MYOGENESIS	8	177	364	24082	2.9902526851679396	0.005650746936504979	AGRN,COL1A1,ERBB3,IGFBP3,ITGB5,PLXNB2,SVIL,SYNGR2	0.015370031667293544	25
HALLMARK_UV_RESPONSE_DN	7	144	364	24082	3.2160790598290596	0.006400963016811287	CCN1,COL1A1,EFEMP1,ERBB2,F3,RND3,TJP1	0.016740980197814136	26
HALLMARK_HEME_METABOLISM	8	182	364	24082	2.908102886124864	0.0066515815165366105	BCAM,ENDOD1,HEBP1,ICAM4,IGSF3,MBOAT2,NFE2,SLC6A9	0.016752131226832945	27
HALLMARK_TGF_BETA_SIGNALING	4	53	364	24082	4.993157785610616	0.008397303617267537	CDH1,RAB31,THBS1,TJP1	0.02039345164193545	28
KEGG_TIGHT_JUNCTION	7	154	364	24082	3.007242757242757	0.009111348269696777	AMOTL2,ARHGEF18,CLDN4,ERBB2,OCLN,PARD6B,TJP1	0.02136454077032348	29
HALLMARK_COAGULATION	6	124	364	24082	3.2012584190003546	0.01151758199377092	ADAM9,CAPN2,F3,LRP1,PLAU,THBS1	0.026106519185880753	30
HALLMARK_NOTCH_SIGNALING	3	32	364	24082	6.202438186813186	0.01228137184472875	DTX2,MAML2,NOTCH3	0.026939783401340484	31
HALLMARK_CHOLESTEROL_HOMEOSTASIS	4	73	364	24082	3.625169351196748	0.024714901114834518	CXCL16,ERRFI1,MAL2,S100A11	0.0524622401089332	32
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	3	42	364	24082	4.725667189952905	0.02545961652345288	CLDN4,GRHL2,OCLN	0.0524622401089332	33
HALLMARK_ADIPOGENESIS	7	194	364	24082	2.3871927042030134	0.02854825752927655	ANGPTL4,APLP2,ATL2,IDH1,RAB34,SLC66A3,SOWAHC	0.0570965150585531	34
REACTOME_TIGHT_JUNCTION_INTERACTIONS	2	27	364	24082	4.900691900691901	0.06240796178552962	CLDN4,PARD6B	0.12124975432617184	35
HALLMARK_APOPTOSIS	5	160	364	24082	2.0674793956043955	0.09598387154230832	EMP1,ERBB2,ERBB3,GNA15,PTK2	0.1813028684688046	36
HALLMARK_INTERFERON_GAMMA_RESPONSE	5	198	364	24082	1.6706904206904207	0.1815188493653386	CCL2,GBP6,ICAM1,IRF5,LY6E	0.33360220964440607	37
HALLMARK_PI3K_AKT_MTOR_SIGNALING	3	103	364	24082	1.9269710871652619	0.20442793787613747	EGFR,RALB,SFN	0.3658184151467723	38
CUSTOM_CLAUDIN_PANEL	1	19	364	24082	3.4820705610179297	0.25135248214031813	CLDN4	0.43825560988568285	39
HALLMARK_ALLOGRAFT_REJECTION	4	188	364	24082	1.4076455459434183	0.316907246754201	CCL2,CD47,EGFR,ICAM1	0.5387423194821417	40
HALLMARK_UV_RESPONSE_UP	3	153	364	24082	1.2972419737125618	0.40818003432761046	CDKN2B,ICAM1,MARK2	0.6454296606986117	41
HALLMARK_ANGIOGENESIS	1	35	364	24082	1.8902668759811618	0.41341884267259826	PTK2	0.6454296606986117	42
HALLMARK_HEDGEHOG_SIGNALING	1	35	364	24082	1.8902668759811618	0.41341884267259826	CELSR1	0.6454296606986117	43
HALLMARK_INTERFERON_ALPHA_RESPONSE	2	96	364	24082	1.378319597069597	0.4271225695799637	CD47,LY6E	0.6454296606986117	44
HALLMARK_PROTEIN_SECRETION	2	96	364	24082	1.378319597069597	0.4271225695799637	CAV2,EGFR	0.6454296606986117	45
HALLMARK_PEROXISOME	2	102	364	24082	1.297241973712562	0.4577763948801638	IDH1,SEMA3C	0.6767129315619813	46
HALLMARK_BILE_ACID_METABOLISM	2	104	364	24082	1.2722950126796282	0.46778270259627536	CH25H,IDH1	0.676791995245675	47
HALLMARK_APICAL_SURFACE	1	43	364	24082	1.538589317659085	0.4808093927212782	B4GALT1	0.6811466396884774	48
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	1	46	364	24082	1.438246536072623	0.5040398709974068	DLG5	0.6994839026086461	49
HALLMARK_COMPLEMENT	3	194	364	24082	1.0230825875155771	0.5639590382589612	ADAM9,F3,LRP1	0.7669842920321872	50
HALLMARK_MITOTIC_SPINDLE	3	199	364	24082	0.9973769948644321	0.5812186190091485	CDC42EP1,NET1,WASL	0.7749581586788646	51
HALLMARK_KRAS_SIGNALING_DN	2	168	364	24082	0.7876111983254841	0.7240980074502767	EDN2,EFHD1	0.9375784676608335	52
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	86	364	24082	0.7692946588295425	0.7307596880297673	CSF2	0.9375784676608335	53
HALLMARK_MTORC1_SIGNALING	2	198	364	24082	0.6682761682761683	0.8032684121318899	IDH1,SERPINH1	1.0	54
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	110	364	24082	0.6014485514485515	0.8134728361902038	CCL2	1.0	55
HALLMARK_FATTY_ACID_METABOLISM	1	149	364	24082	0.44402242053248764	0.8973457229919302	IDH1	1.0	56
HALLMARK_DNA_REPAIR	1	150	364	24082	0.4410622710622711	0.8989070047715205	BCAM	1.0	57
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	200	364	24082	0.3307967032967033	0.9530577376560251	IDH1	1.0	58
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0	21	364	24082	0.0	1.0		1.0	59
GOBP_CORNIFICATION	0	6	364	24082	0.0	1.0		1.0	60
HALLMARK_E2F_TARGETS	0	198	364	24082	0.0	1.0		1.0	61
HALLMARK_G2M_CHECKPOINT	0	195	364	24082	0.0	1.0		1.0	62
HALLMARK_MYC_TARGETS_V1	0	196	364	24082	0.0	1.0		1.0	63
HALLMARK_MYC_TARGETS_V2	0	58	364	24082	0.0	1.0		1.0	64
HALLMARK_PANCREAS_BETA_CELLS	0	32	364	24082	0.0	1.0		1.0	65
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0	48	364	24082	0.0	1.0		1.0	66
HALLMARK_SPERMATOGENESIS	0	106	364	24082	0.0	1.0		1.0	67
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	41	364	24082	0.0	1.0		1.0	68
