term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	fdr	rank
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.2876469610794978	1.044620114306455	0.2067932067932067	41	0.0947290054850596	MYC,JAG1,DKK1,WNT6,PPARD,NUMB,KAT2A,NCSTN,ADAM17,HDAC11,CTNNB1,FZD1	0.2164866383616383	57
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.2856849353261506	0.9089193508434308	0.3186813186813186	21	0.1493719595582841	HLA-E,PDIA3,TAPBP,ERAP2,HLA-G,HLA-B,ERAP1,HLA-A,TAP2,PSMB10,HLA-F,CALR	0.3235098235098235	58
HALLMARK_MTORC1_SIGNALING	0.1887083546450099	0.8968817705219614	0.4365634365634365	198	-0.0062764843234527	SERPINH1,IDH1,ME1,LTA4H,CTSC,ERO1A,SYTL2,SRD5A1,DAPP1,CD9,DHCR24,ENO1	0.4365634365634365	59
HALLMARK_MYC_TARGETS_V2	-0.2236426344183038	-0.9005081981433161	0.3126873126873127	58	-0.0971874319758279	MYC,LAS1L,HK2,WDR74,RRP9,TFB2M,NIP7,TCOF1,MAP3K6,MYBBP1A,PRMT3,PPRC1	0.3223084607699992	60
HALLMARK_DNA_REPAIR	-0.2729253296240457	-1.312086449207874	0.0209790209790209	150	-0.12576904390697	VPS28,BCAM,ZNF707,BCAP31,GUK1,ZNRD1,RRM2B,GPX4,TAF13,VPS37B,POLR2A,CANT1	0.0275606746194981	61
HALLMARK_MYC_TARGETS_V1	-0.2789560887071692	-1.3805120484354652	0.0069930069930069	196	-0.2146760469357633	MYC,RSL1D1,G3BP1,EIF4G2,SRSF3,PABPC1,SRSF2,HNRNPU,HSP90AB1,CLNS1A,PCBP1,IFRD1	0.0093706293706293	62
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.4013474492767839	-1.9739443763717104	0.0009990009990009	200	-0.4011557633110937	IDH1,ATP6V0C,CYB5A,GLUD1,BDH2,POR,GPX4,TCIRG1,CASP7,ATP5MF,ATP5PD,MTX2	0.0014874014874014	63
HALLMARK_SPERMATOGENESIS	-0.4475017133703527	-2.010093024544552	0.0009990009990009	106	-0.4944599341885174	OAZ3,MAP7,TCP11,ART3,DMRT1,GSTM3,SHE,LDHC,RPL39L,HSPA2,STAM2,PHKG2	0.0014874014874014	64
HALLMARK_G2M_CHECKPOINT	-0.407542127771863	-2.018148741599852	0.0009990009990009	195	-0.3995458556606201	NOTCH2,CCND1,MYC,SS18,MEIS1,G3BP1,SRSF2,HNRNPU,SMAD3,RASAL2,GSPT1,YTHDC1	0.0014874014874014	65
HALLMARK_PANCREAS_BETA_CELLS	-0.6309591704164466	-2.244396108515479	0.0009990009990009	32	-0.6893078806852486	VDR,DPP4,MAFB,NKX6-1,SRP9,FOXA2,LMO2,STXBP1,GCK,SRPRB,SEC11A,SPCS1	0.0014874014874014	66
HALLMARK_E2F_TARGETS	-0.4638846794616231	-2.300635613526911	0.0009990009990009	198	-0.5083360377054131	MYC,SRSF2,CCNE1,CDKN1A,GSPT1,HMGA1,ILF3,SMC6,TK1,XPO1,SUV39H1,POLE4	0.0014874014874014	67
