contrast	term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	label	fdr_headline	n_q1	n_q4
loo_drop_GSE123902	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.635153587657027	3.254233605442115	0.000999000999000999	95	1.0081306251375668	GBP4,GBP2,TMEM140,TAP1,EPSTI1,SAMD9L,PSMB9,PSME2,PARP12,IFITM1,RTP4,IFI35,STAT2,LAP3,CASP1,CXCL10,UBE2L6,SP110,IRF9,PSME1,SAMD9,IFIH1,SELL,IFI44L,C1S	62	IFN-α	0.001332001332001332	14.0	13.0
loo_drop_GSE123902	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.7671846911339781	2.706467289280611	0.000999000999000999	21	1.3857497293115038	TAP2,TAP1,PSMB9,PSMB10,HLA-B,HLA-E,HLA-F,ERAP1,IRF1,B2M,HLA-C,PSMB8,HLA-A,TAPBP,ERAP2,NLRC5,TAPBPL	17	MHC-I / APM	0.001332001332001332	14.0	13.0
loo_drop_GSE123902	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.2314849657278608	-0.95001670291639	0.5614385614385614	146	-0.2846832752366397	OCLN,CLDN9,DLG2,MICALL2,LLGL2,STK11,CDC42,JUN,MARVELD2,TJP2,SRC,MAPK8,AMOTL1,PRKACA,PRKAA2,MAGI1,CGNL1,ARHGEF2,CLDN15,PARD6A,AMOT,MAP2K7,CLDN3,DLG3	24	KEGG TJ (CLDN4 out)	0.5614385614385614	14.0	13.0
loo_drop_GSE131907	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.7428239012085988	3.8107952922500092	0.000999000999000999	197	1.745475701468909	GZMA,CCL5,EPSTI1,IL15RA,OAS2,MYD88,SAMD9L,CSF2RB,GBP4,CASP1,SLAMF7,STAT4,TAP1,RSAD2,PSME2,PSMB9,XAF1,HLA-B,IFI35,SAMHD1,B2M,OASL,IL10RA,MX2,BST2	139	IFN-γ	0.001332001332001332	12.0	11.0
loo_drop_GSE131907	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.7258429684015302	3.3997803335923393	0.000999000999000999	95	1.7870900067851914	EPSTI1,GBP2,SAMD9L,GBP4,TMEM140,CASP1,TAP1,RSAD2,PSME2,PSMB9,IFI35,SAMD9,B2M,OASL,BST2,HLA-C,IFI44L,PSMB8,MX1,UBE2L6,LAP3,RTP4,ELF1,OAS1,IL4R	56	IFN-α	0.001332001332001332	12.0	11.0
loo_drop_GSE131907	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.8534447300981145	2.8073353151709832	0.000999000999000999	21	2.2619434342509352	TAP1,PSMB9,HLA-B,TAP2,B2M,HLA-C,PSMB8,HLA-E,HLA-F,TAPBPL,NLRC5,HLA-A,ERAP1,PSMB10,HLA-G,IRF1,TAPBP	17	MHC-I / APM	0.001332001332001332	12.0	11.0
loo_drop_GSE131907	KEGG_TIGHT_JUNCTION_NO_CLDN4	0.23614459721130396	1.173871977502804	0.03996003996003996	149	0.002397822138261543	ACTR3,MYH9,ARPC2,WAS,HCLS1,CLDN10,RAP1A,ARPC1B,TUBA1C,ACTR2,MYL9,HSPA4,VASP,ACTB,MYL6,CLDN16,CD1D,MYH11,MSN,RHOA,TUBA4A,PPP2CA,RAB8B,PRKCE,RAB8A	42	KEGG TJ (CLDN4 out)	0.03996003996003996	12.0	11.0
loo_drop_GSE205335	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4573888548323005	2.4128735784065882	0.000999000999000999	196	0.5854649057191689	CSF2RB,CCL5,GZMA,PSMA2,IL10RA,FGL2,SAMHD1,IRF8,CD69,IL15RA,LAP3,SERPING1,VCAM1,RTP4,TAP1,JAK2,FPR1,GBP4,EPSTI1,B2M,XCL1,CD86,PTPN1,PFKP,FCGR1A	85	IFN-γ	0.001998001998001998	13.0	10.0
loo_drop_GSE205335	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.45189623421535313	2.1340024983295103	0.000999000999000999	94	0.5060971643293386	GBP2,TMEM140,LAP3,RTP4,TAP1,GBP4,EPSTI1,B2M,SELL,IFITM1,UBE2L6,STAT2,IRF9,PSMB9,ELF1,PSME2,PSME1,IFI35,CXCL11,IFI30,IFITM3,PROCR,SAMD9L,HLA-C,C1S	42	IFN-α	0.001998001998001998	13.0	10.0
loo_drop_GSE205335	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.5775419845060201	1.955575283716299	0.001998001998001998	21	0.8094124450382436	TAP2,TAP1,B2M,PSMB9,HLA-E,HLA-C,HLA-B,PSMB8,HLA-F,IRF1,PSMB10,HLA-G	12	MHC-I / APM	0.002664002664002664	13.0	10.0
loo_drop_GSE205335	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.2790103384474548	-1.2075942718979857	0.10989010989010989	144	-0.3270551872333935	PRKAA1,CLDN8,MAPK10,PRKCE,SCRIB,RUNX1,PCNA,WHAMM,MICALL2,TUBA4A,PPP2R2D,TJP2,CLDN23,PPP2CB,MAGI1,CGN,PARD6A,PRKACA,CLDN1,SRC,ROCK2,RAPGEF6,MAP3K1,NEDD4L,CDC42	46	KEGG TJ (CLDN4 out)	0.10989010989010989	13.0	10.0
loo_drop_GSE189357	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6902447289064635	3.626761212669027	0.000999000999000999	196	1.354752332101436	CCL5,GZMA,CD69,GBP4,CSF2RB,PSME2,STAT2,STAT1,TAP1,JAK2,IL10RA,EPSTI1,IL15RA,IFI35,LCP2,FGL2,SAMD9L,SAMHD1,HLA-DQA1,CD86,OAS2,LAP3,PFKP,PSMB9,RTP4	125	IFN-γ	0.001332001332001332	15.0	14.0
loo_drop_GSE189357	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.687371011559651	3.3260707553667097	0.000999000999000999	95	1.3204836094859755	GBP2,GBP4,PSME2,STAT2,TAP1,EPSTI1,IFI35,TMEM140,SAMD9L,IFITM1,LAP3,PSMB9,RTP4,CASP1,IFI44L,PSME1,UBE2L6,SP110,IRF9,SELL,OASL,SAMD9,CXCL11,B2M,ELF1	59	IFN-α	0.001332001332001332	15.0	14.0
loo_drop_GSE189357	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.8162683017478171	2.722868686854986	0.000999000999000999	21	1.7686826873156067	TAP2,TAP1,PSMB9,HLA-E,HLA-B,ERAP1,HLA-F,B2M,HLA-C,PSMB10,TAPBP,PSMB8,IRF1,HLA-A,TAPBPL	15	MHC-I / APM	0.001332001332001332	15.0	14.0
loo_drop_GSE189357	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.23811639637126647	-1.0366902245160488	0.3206793206793207	145	-0.21001074879310447	PRKAB1,LLGL2,IGSF5,AMOTL1,PRKACA,F11R,OCLN,SRC,TJP2,CACNA1D,CLDN15,ARHGEF2,MARVELD2,CLDN18,AMOT,MAGI1,MAP2K7,CGNL1,PRKAA2,PARD6A,DLG3,CLDN3	22	KEGG TJ (CLDN4 out)	0.3206793206793207	15.0	14.0
continuous_low_when_CLDN4_high	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5673688999212959	2.9845629390899004	0.000999000999000999	198	1.0299324437725597	VCAM1,TAP1,GZMA,CCL5,CD69,CSF2RB,GBP4,STAT1,EPSTI1,CXCL11,IL10RA,STAT2,PSMB9,PFKP,XCL1,LCP2,OAS2,FGL2,SERPING1,CXCL10,GPR18,IL15RA,TNFAIP3,LAP3,PDE4B	98	IFN-γ	0.001332001332001332		
continuous_low_when_CLDN4_high	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5549240910375652	2.6016151549261286	0.000999000999000999	95	0.9053795522724432	TAP1,GBP4,EPSTI1,TMEM140,CXCL11,STAT2,PSMB9,GBP2,CXCL10,SELL,LAP3,SAMD9L,RIPK2,ELF1,IFITM1,RTP4,OASL,LPAR6,IFI35,B2M,IFIH1,CASP1,IRF1,ISG15,SAMD9	46	IFN-α	0.001332001332001332		
continuous_low_when_CLDN4_high	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.7095074280707006	2.397142735536354	0.000999000999000999	21	1.6527141361485425	TAP1,TAP2,PSMB9,HLA-E,HLA-F,ERAP1,HLA-B,B2M,IRF1,TAPBP,NLRC5,HLA-C,PSMB10,PSMB8,HLA-G	15	MHC-I / APM	0.001332001332001332		
continuous_low_when_CLDN4_high	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.2586669694894169	-1.1486226088331755	0.14685314685314685	151	-0.33433932005863837	MAGI1,ROCK2,PRKAB1,NEDD4L,MICALL2,EPB41L4B,IGSF5,AMOTL1,NF2,MAP2K7,ARHGEF2,PRKAA1,CLDN9,CACNA1D,SRC,F11R,MARVELD3,OCLN,TUBAL3,MAPK9,JUN,RUNX1,ACTR3C,AMOT,PRKAA2	33	KEGG TJ (CLDN4 out)	0.14685314685314685		
continuous_low_when_CLDN4_high	KEGG_TIGHT_JUNCTION	-0.27769238449465244	-1.224710047084386	0.0919080919080919	152	-0.37981322553197816	MAGI1,ROCK2,PRKAB1,NEDD4L,MICALL2,EPB41L4B,IGSF5,AMOTL1,NF2,MAP2K7,ARHGEF2,PRKAA1,CLDN9,CACNA1D,SRC,F11R,MARVELD3,OCLN,TUBAL3,MAPK9,JUN,RUNX1,ACTR3C,AMOT,PRKAA2	34	KEGG TJ (CLDN4 in)			
continuous_low_when_CLDN4_high	GOBP_TIGHT_JUNCTION_ORGANIZATION_NO_CLDN4	-0.3639225391794267	-1.4229663313073342	0.028971028971028972	71	-0.5658577819922351	FZD5,PRKACA,EPHB2,NPHP4,LSR,ROCK2,STRN,MICALL2,CLDN9,MPP7,F11R,MARVELD3,OCLN,CLDN12,ABCC8,SLC39A9,ILDR1,CLDN15,GRHL2,MARVELD2,TBCD,CLDN3	22	GO TJ organization (CLDN4 out)			
