gene	logFC	t	se	p	df	stat_low_vs_high
LINC00909	0.33449401808046564	1.3305656069178138	0.25139235250135744	0.1937005063197533	29	-1.3305656069178138
RCBTB1	0.348889034634418	1.330829427794184	0.26215909217809585	0.19361472286343961	29	-1.330829427794184
OTULIN	0.3096545421864723	1.331035460878428	0.23264184260133325	0.19354774998454358	29	-1.331035460878428
FBXW11	0.2546440640381061	1.3313037049071381	0.19127420970849635	0.19346058171527433	29	-1.3313037049071381
ANAPC15	0.28395162101795773	1.3322483681001063	0.21313715056217009	0.19315384660447463	29	-1.3322483681001063
ACSL1	0.4974703337321419	1.3330200116974862	0.37319044678005714	0.19290357058003677	29	-1.3330200116974862
BARX2	0.6945381001737485	1.333303881204858	0.520915081673744	0.1928115630369841	29	-1.333303881204858
TMUB1	0.26112676051741246	1.3336867294575303	0.19579317597590878	0.19268752833602626	29	-1.3336867294575303
AAGAB	0.2638362243725934	1.333695276624071	0.19782346762180292	0.1926847599399646	29	-1.333695276624071
TRIM36	0.31597864467706155	1.333701151118176	0.23691862634454863	0.1926828572305903	29	-1.333701151118176
TAF4	0.2299931468310073	1.3340728964227264	0.17239923504009902	0.1925624809618139	29	-1.3340728964227264
FAT3	0.30091514494940186	1.3345587106135748	0.22547913595427627	0.1924052552946621	29	-1.3345587106135748
GYG2	0.4416706615712691	1.3348998036486488	0.33086427937442314	0.19229492556570738	29	-1.3348998036486488
PRR12	0.31531560746963033	1.3351562560387717	0.23616382430407745	0.19221200588098683	29	-1.3351562560387717
NEUROG3	0.3329698930521536	1.335239251650337	0.24937095927984998	0.19218517653352543	29	-1.335239251650337
CKAP5	0.29924897323018773	1.3354003566236885	0.22408933152210855	0.19213310564938202	29	-1.3354003566236885
EPB41L1	0.42053696273151564	1.335483522198647	0.31489490940268056	0.19210622990086798	29	-1.335483522198647
IMPACT	0.26192510846130734	1.335652458159751	0.19610274129408276	0.19205164558986887	29	-1.335652458159751
SGTA	0.26426733810063885	1.33591926316654	0.19781684820850917	0.19196546359576236	29	-1.33591926316654
WDR20	0.21122596340398592	1.3359494398074778	0.15810924957940434	0.19195571797504632	29	-1.3359494398074778
ZBTB22	0.3710480410413235	1.3359954634837865	0.277731512705714	0.19194085525236645	29	-1.3359954634837865
VLDLR	0.5047981310870637	1.336011754689896	0.377839588098709	0.19193559444149416	29	-1.336011754689896
ARF3	0.2548049729476018	1.3362875618003847	0.1906812427441158	0.1918465468194416	29	-1.3362875618003847
CYB5B	0.28640048165886123	1.3362886805986225	0.2143253069617871	0.19184618566717984	29	-1.3362886805986225
MCTS1	0.27774199398289867	1.3364418002356053	0.20782198965486914	0.1917967630383723	29	-1.3364418002356053
LRRC26	0.7241704119386282	1.3366432105259074	0.5417828828485206	0.19173176857731783	29	-1.3366432105259074
PDPR	0.30787612142198023	1.337336640157716	0.23021587248643058	0.19150813140936535	29	-1.337336640157716
RAB39A	0.4383659709989756	1.3379818309970934	0.32763223000741026	0.1913002330780262	29	-1.3379818309970934
NEURL3	0.23997038430654638	1.3382789146933807	0.17931268412872448	0.1912045632708786	29	-1.3382789146933807
MPP7	0.6498460474765677	1.338332700543515	0.48556390142201294	0.1911872465851469	29	-1.338332700543515
ZMAT5	0.1968455030239293	1.3384157407264101	0.14707351164078034	0.19116051367167178	29	-1.3384157407264101
HMGXB4	0.24128285285361045	1.3386530494519566	0.1802430084123675	0.19108413343673272	29	-1.3386530494519566
STX12	0.22546325540977966	1.3391130280256547	0.16836760653594376	0.19093615194436697	29	-1.3391130280256547
BTBD3	0.429035863291168	1.3393902369373762	0.32032177886572705	0.19084701286348346	29	-1.3393902369373762
LRRC37A2	0.2817099701907257	1.3394518092548122	0.2103173613595338	0.19082721809286216	29	-1.3394518092548122
USP35	0.27473764653634236	1.3394963472376322	0.20510518532052613	0.19081290065027784	29	-1.3394963472376322
SYAP1	0.27696528376765267	1.3395089656755137	0.20676627843844197	0.1908088444041015	29	-1.3395089656755137
LHX2	0.7070297604323933	1.3396369269517368	0.5277771508144352	0.1907677145245956	29	-1.3396369269517368
CGA	0.39104557209147744	1.3403820734446954	0.2917418696047729	0.19052834266851024	29	-1.3403820734446954
PDE9A	0.5658091885745835	1.3405505130754274	0.42207226289185545	0.19047426515774232	29	-1.3405505130754274
GOLGB1	0.2919112911705798	1.3406007704169942	0.21774662346328558	0.19045813235177306	29	-1.3406007704169942
HIGD1A	0.3947601710624444	1.340742274385591	0.29443404493480846	0.19041271470380708	29	-1.340742274385591
NBEAL2	0.4241047599992454	1.3409415254981296	0.31627386573900007	0.1903487765434829	29	-1.3409415254981296
