interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_131907	n_q4_131907	n_q1_148071	n_q4_148071	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb
CDH1_ITGAE_ITGB7	outgoing	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	4	4	8	4	4	0	0	0.05598799577155731	0.23781814357293946	0.18183014780138215	14.0	0.11428571428571428	0.75
HLA-DPA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	other	4	4	8	4	2	0	2	0.0023057481964521647	0.030874715390120683	0.02856896719366852	14.0	0.11428571428571428	0.75
SPP1_CD44	outgoing	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	10	6	16	6	3	4	3	0.5078588440127008	0.056396767884671385	-0.45146207612802935	15.0	0.11788211788211789	-0.5
GZMA_PARD3	incoming	PARs	Secreted Signaling	GZMA	PARD3	GZMA	PARD3	other	12	11	23	5	5	7	6	0.08799904427101861	0.1464767520789703	0.05847770780795168	91.0	0.13158760640666853	0.3787878787878789
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	4	6	10	4	4	0	2	0.019012688235455075	0.04879175582382944	0.029779067588374366	19.0	0.17142857142857143	0.5833333333333333
CD6_ALCAM	incoming	CD6	Cell-Cell Contact	CD6	ALCAM	CD6	ALCAM	other	7	6	13	6	4	1	2	0.03686047994211074	0.1213027503841361	0.08444227044202536	31.0	0.18065268065268064	0.4761904761904763
HLA-F_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	inhibitory	9	6	15	4	4	5	2	0.18838436385141272	0.0647319941790817	-0.12365236967233102	15.0	0.181018981018981	-0.4444444444444444
ICAM1_ITGAL	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL	ICAM1	ITGAL	other	8	3	11	3	2	5	1	0.03972961901953881	0.22822686463790443	0.18849724561836562	19.0	0.19393939393939394	0.5833333333333333
HLA-DRA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	other	4	4	8	4	2	0	2	0.011619045398811746	0.0706375746688695	0.059018529270057754	13.0	0.2	0.625
HLA-DQA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	other	4	4	8	4	2	0	2	0.0002986295138477713	0.0033202622586992123	0.0030216327448514407	13.0	0.2	0.625
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	13	10	23	6	5	7	5	0.664492296987188	0.550399955704399	-0.114092341282789	44.0	0.20360201785036391	-0.32307692307692304
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	10	5	15	6	2	4	3	0.21149943980245947	0.3619395544473071	0.1504401146448476	36.0	0.20646020646020646	0.43999999999999995
PTN_NCL	outgoing	PTN	Secreted Signaling	PTN	NCL	PTN	NCL	other	6	5	11	0	2	6	3	0.4075657864173416	0.14104821290803393	-0.26651757350930766	8.0	0.24675324675324672	-0.4666666666666667
ICAM1_ITGAL_ITGB2	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	7	3	10	3	2	4	1	0.09746046564555719	0.27710078005758143	0.17964031441202424	16.0	0.26666666666666666	0.5238095238095237
ICAM1_SPN	outgoing	ICAM	Cell-Cell Contact	ICAM1	SPN	ICAM1	SPN	other	8	7	15	3	4	5	3	0.07937474369915418	0.2203276524177658	0.14095290871861163	38.0	0.280963480963481	0.3571428571428572
IFNG_IFNGR1_IFNGR2	incoming	IFN-II	Secreted Signaling	IFNG	IFNGR1_IFNGR2	IFNG	IFNGR1|IFNGR2	attack	8	6	14	5	3	3	3	0.047391649832498745	0.07893181451968802	0.03154016468718927	33.0	0.2823842823842824	0.375
PVR_TIGIT	outgoing	PVR	Cell-Cell Contact	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	5	6	11	4	3	1	3	0.0067598243054970905	0.01649892528313991	0.009739100977642818	21.0	0.32900432900432897	0.3999999999999999
CDH1_KLRG1	outgoing	CDH1	Cell-Cell Contact	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	4	3	7	3	2	1	1	0.05946623218667715	0.12941107549465192	0.06994484330797476	9.0	0.4	0.5
BAG6_NCR3-PS	outgoing	BAG	Secreted Signaling	BAG6	NCR3	BAG6	NCR3	other	4	3	7	4	3	0	0	0.02292492469705393	0.04093881947831463	0.0180138947812607	9.0	0.4	0.5
CD55_ADGRE5	incoming	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	5	5	10	5	2	0	3	0.003119357506841723	0.009659226970569116	0.0065398694637273935	17.0	0.42063492063492064	0.3600000000000001
IGFBP3_TMEM219	outgoing	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	9	9	18	3	4	6	5	0.06042064011086714	0.0484901430932132	-0.011930497017653939	31.0	0.42677673653298365	-0.23456790123456794
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	5	6	11	0	0	5	6	0.06149768050026126	0.08863927584953785	0.027141595349276584	20.0	0.42857142857142855	0.33333333333333326
LGALS9_CD45	outgoing	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	5	8	13	4	4	1	4	0.1374459958861387	0.3597292573362134	0.2222832614500747	26.0	0.43512043512043513	0.30000000000000004
CD55_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	11	5	16	5	4	6	1	0.06543476373359657	0.3275063894552952	0.2620716257216986	35.0	0.440934065934066	0.2727272727272727
LAMC2_CD44	outgoing	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	other	10	10	20	5	4	5	6	0.06327043229732589	0.0869826442869237	0.023712211989597817	40.0	0.47267559351158717	-0.19999999999999996
HLA-B_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	other	12	6	18	6	4	6	2	0.5380423654409267	0.45328464366151433	-0.08475772177941232	28.0	0.49364361129067014	-0.2222222222222222
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	11	5	16	6	4	5	1	0.08533807119835808	0.10245114200627929	0.01711307080792121	34.0	0.5096153846153847	0.23636363636363633
SEMA4D_PLXNB2	incoming	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB2	SEMA4D	PLXNB2	other	7	3	10	5	1	2	2	0.04264486342345662	0.05209829411730055	0.009453430693843926	14.0	0.5166666666666666	0.33333333333333326
HLA-A_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	other	12	6	18	6	4	6	2	0.5257221006766789	0.47096458123460044	-0.05475751944207846	29.0	0.5532212885154062	-0.19444444444444442
PPIA_BSG	incoming	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	13	11	24	6	5	7	6	0.6544290292882714	0.7020190124696994	0.04758998318142804	82.0	0.562342605179145	0.14685314685314688
MIF_CD74_CD44	incoming	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	11	6	17	6	4	5	2	0.3085930009039484	0.12227300129791668	-0.18631999960603174	27.0	0.5908209437621202	-0.18181818181818177
SPP1_ITGA4_ITGB1	outgoing	SPP1	Secreted Signaling	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	9	4	13	6	2	3	2	0.10687402562743771	0.03987751135281415	-0.06699651427462355	14.0	0.6041958041958042	-0.2222222222222222
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	12	10	22	6	5	6	5	0.6936979765429795	0.6286539073444735	-0.06504406919850603	52.0	0.6209281438231145	-0.1333333333333333
LGALS9_CD44	outgoing	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	5	8	13	4	4	1	4	0.09081543485208528	0.14655042589330797	0.05573499104122269	24.0	0.6216006216006216	0.19999999999999996
CXCL16_CXCR6	outgoing	CXCL	Secreted Signaling	CXCL16	CXCR6	CXCL16	CXCR6	recruit	4	3	7	3	3	1	0	0.0076019790211026405	0.04371657319014647	0.03611459416904383	8.0	0.6285714285714286	0.33333333333333326
CLEC2D_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2D	KLRB1	CLEC2D	KLRB1	other	4	3	7	4	3	0	0	0.009717125937393177	0.0024221349097756665	-0.0072949910276175105	4.0	0.6285714285714286	-0.33333333333333337
THBS3_CD47	outgoing	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	3	4	7	3	3	0	1	0.013594278821577118	0.011551702582032732	-0.002042576239544387	4.0	0.6285714285714286	-0.33333333333333337
COL1A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL1A1	CD44	COL1A1	CD44	other	8	10	18	5	5	3	5	0.10381567409550754	0.10158461154330167	-0.0022310625522058702	46.0	0.6334384569678687	0.1499999999999999
LAMA5_CD44	outgoing	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	8	11	19	6	5	2	6	0.0833138323184208	0.055675048002811894	-0.0276387843156089	38.0	0.6574052022968432	-0.13636363636363635
HLA-C_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	other	12	6	18	6	4	6	2	0.46613511665706664	0.4733787259972455	0.007243609340178869	31.0	0.6819650937297996	-0.13888888888888884
LAMB2_CD44	outgoing	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	7	7	14	6	5	1	2	0.0674810419907544	0.057694594492715974	-0.009786447498038427	21.0	0.7103729603729605	-0.1428571428571429
AREG_EGFR	incoming	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	other	5	7	12	5	4	0	3	0.042678984404783286	0.05730194564324007	0.014622961238456786	20.0	0.7550505050505051	0.1428571428571428
HLA-F_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8B	HLA-F	CD8B	inhibitory	8	3	11	4	3	4	0	0.0988833571885902	0.06747307466649236	-0.03141028252209785	10.0	0.7757575757575759	-0.16666666666666663
LPAR2_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR2	ADGRE5	LPAR2	ADGRE5	other	6	5	11	6	4	0	1	0.005439570640563968	0.009893285224496859	0.004453714583932891	17.0	0.7922077922077921	0.1333333333333333
CD96_PVR	incoming	CD96	Cell-Cell Contact	CD96	PVR	CD96	PVR	other	5	6	11	4	3	1	3	0.011067473763472578	0.010092532422105525	-0.0009749413413670527	17.0	0.7922077922077921	0.1333333333333333
TNF_TNFRSF1A	incoming	TNF	Secreted Signaling	TNF	TNFRSF1A	TNF	TNFRSF1A	attack	8	8	16	2	2	6	6	0.02904178599455272	0.027637289324986533	-0.0014044966695661854	35.0	0.7984459984459983	0.09375
PPIA_BSG	outgoing	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	12	9	21	6	5	6	4	0.5689174780290387	0.4842813514511308	-0.08463612657790787	50.0	0.803566416196146	-0.07407407407407407
HLA-E_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	12	6	18	6	4	6	2	0.26472622029612813	0.2513332333655464	-0.013392986930581718	33.0	0.8200818789054083	-0.08333333333333337
FN1_ITGA4_ITGB1	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	8	5	13	5	2	3	3	0.01435886808679433	0.05983193071676774	0.04547306262997341	22.0	0.8329448329448329	0.10000000000000009
HLA-B_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8B	HLA-B	CD8B	other	9	3	12	5	3	4	0	0.4869923938342049	0.40395998811135675	-0.08303240572284815	12.0	0.8636363636363636	-0.11111111111111116
HLA-C_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8B	HLA-C	CD8B	other	9	3	12	5	3	4	0	0.383387926375255	0.3535067891683663	-0.029881137206888675	15.0	0.8636363636363636	0.11111111111111116
FN1_CD44	outgoing	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	8	7	15	5	4	3	3	0.10568929451216907	0.11763262859699916	0.011943334084830087	26.0	0.8665112665112666	-0.0714285714285714
LAMC1_CD44	outgoing	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	11	9	20	6	5	5	4	0.06902292984251153	0.09028328447340764	0.02126035463089611	52.0	0.8792283946861903	0.05050505050505061
CD96_NECTIN1	incoming	CD96	Cell-Cell Contact	CD96	NECTIN1	CD96	NECTIN1	other	4	4	8	0	0	4	4	0.1374381910110731	0.0591534617593778	-0.0782847292516953	7.0	0.8857142857142857	-0.125
SIRPG_CD47	incoming	SIRP	Cell-Cell Contact	SIRPG	CD47	SIRPG	CD47	other	6	4	10	3	2	3	2	0.0696717853950445	0.12373889129559959	0.05406710590055509	13.0	0.9142857142857143	0.08333333333333326
CD99_CD99L2	incoming	CD99	Cell-Cell Contact	CD99	CD99L2	CD99	CD99L2	other	6	4	10	4	4	2	0	0.026265981669370025	0.023517406409024635	-0.0027485752603453907	11.0	0.9142857142857143	-0.08333333333333337
LAMB3_CD44	outgoing	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	10	11	21	4	5	6	6	0.2885631329446106	0.4094468826523473	0.12088374970773669	57.0	0.915878445665947	0.036363636363636376
TNFSF10_TNFRSF10B	incoming	TRAIL	Secreted Signaling	TNFSF10	TNFRSF10A	TNFSF10	TNFRSF10A	attack	7	4	11	3	2	4	2	0.00742349344600412	0.011422641628685344	0.003999148182681224	15.0	0.9272727272727272	0.0714285714285714
COL6A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A1	CD44	COL6A1	CD44	other	7	5	12	4	2	3	3	0.2494917378618667	0.12569382521515488	-0.12379791264671183	18.0	1.0	0.02857142857142847
CD99_CD99	incoming	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	12	11	23	6	5	6	6	0.41384406888291736	0.33188739860145827	-0.08195667028145909	66.0	1.0	0.0
CD99_CD99	outgoing	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	12	11	23	6	5	6	6	0.41384406888291736	0.33188739860145827	-0.08195667028145909	66.0	1.0	0.0
HLA-E_KLRC1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRC1	HLA-E	KLRC1	inhibitory	4	4	8	3	3	1	1	0.16933837518141642	0.08902414777887373	-0.0803142274025427	8.0	1.0	0.0
HLA-A_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8B	HLA-A	CD8B	other	9	3	12	5	3	4	0	0.47734507734535747	0.40092087058504977	-0.0764242067603077	13.0	1.0	-0.03703703703703709
CD8A_CEACAM5	incoming	CEACAM	Cell-Cell Contact	CD8A	CEACAM5	CD8A	CEACAM5	other	3	5	8	1	3	2	2	0.006124998858627853	0.07572366370183778	0.06959866484320992	7.0	1.0	-0.06666666666666665
TGM2_ADGRG1	outgoing	ADGRG	Cell-Cell Contact	TGM2	ADGRG1	TGM2	ADGRG1	other	4	4	8	4	2	0	2	0.04419541306580604	0.02464765871599191	-0.019547754349814126	8.0	1.0	0.0
AREG_EGFR_ERBB2	incoming	EGF	Secreted Signaling	AREG	EGFR_ERBB2	AREG	ERBB2|EGFR	other	5	7	12	5	4	0	3	0.050347290331826444	0.06596607035318999	0.015618780021363549	18.0	1.0	0.02857142857142847
HLA-E_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8B	HLA-E	CD8B	inhibitory	9	3	12	5	3	4	0	0.2121938562806685	0.20033776855791516	-0.011856087722753345	13.0	1.0	-0.03703703703703709
PRNP_ADGRG6	incoming	ADGRG	Cell-Cell Contact	PRNP	ADGRG6	PRNP	ADGRG6	other	3	5	8	3	3	0	2	0.001658593364166485	0.002884187977094168	0.001225594612927683	7.0	1.0	-0.06666666666666665
