gene	programs	n_patients	median_beta_cldn4	mean_beta_cldn4
CXCR5	chemokine	35	-0.000504820464455742	-0.0016897713983697576
DDX58	IFN	61	0.0009810367729970293	0.001100998434629476
DDX60	IFN	60	0.0010133504097658574	0.002247786438040963
DHX58	IFN	60	0.0005154635156843097	0.000921118825201245
DLG1	TJ_broad	61	0.0021752595000862013	0.003597001786551912
DLG2	TJ_broad	56	4.532544544406369e-05	0.0002286102191317299
DLG3	TJ_broad	61	0.0018896992729983465	0.002451080267366717
ECT2	TJ_broad	61	0.000983471520797007	0.0007613590550067392
EIF2AK2	IFN	61	0.004237589521981382	0.004329284392358326
EIF4E3	IFN	59	1.0379204887957876e-05	0.0003806471208433899
ELF1	IFN	61	0.0019744364982847732	-0.0014243645110602477
EPB41L4B	TJ_broad	61	0.00208405117223263	0.002700147422881533
EPCAM	barrier_ligands	61	0.04176022616843705	0.04405181685761319
EPHA2	TJ_broad	61	0.0060032806206951365	0.008815155164193945
EPHB2	TJ_broad	59	0.0010917411764633958	0.0026346290700356824
EPSTI1	IFN	61	1.7121641320040646e-05	-0.0007360014641964247
ERAP1	MHC_I_APM	61	0.0009508610983750158	0.001565233800460288
ERAP2	MHC_I_APM	61	0.0007085341217012054	0.0007458272524972638
ERBB2	TJ_broad	61	0.011364543875913891	0.01218870185681932
ESAM	TJ_broad	52	-0.00023340192487630363	-0.0016256344580795506
EXT1	TJ_broad	61	0.0024433848209147535	0.0035004908149305976
EZR	TJ_broad	61	0.022260219908319053	0.025377543628611533
F11R	barrier_ligands,TJ_broad	61	0.01669101656483714	0.021647393334992035
FAS	IFN	61	0.0003002379429803405	0.0009082250781215043
FCGR1A	IFN	50	-0.00020547687984785599	-0.000859211162482706
FGL2	IFN	57	-0.0007023311050111499	-0.001870597719738952
FPR1	IFN	45	-0.00020032303380109135	-0.0008138580352228708
FRMPD2	TJ_broad	47	0.000380808162863051	0.0026265094879740266
FZD5	TJ_broad	61	0.002462957411247967	0.0029861900604663113
GATA4	TJ_broad	11	0.00011042758620619726	0.00018099101582015563
GBP2	IFN	61	0.0005076758281874463	-0.0001905257713464543
GBP4	IFN	60	-0.00011135765489044795	-0.0015385900637592694
GBP6	IFN	35	0.0004714016880405972	0.001419380766216612
GCH1	IFN	61	0.0007808709625589974	0.0005445668363440614
GMPR	IFN	58	0.0002491773844422918	0.0010100645219862845
GPBAR1	TJ_broad	38	-1.5879104928130588e-05	-0.00014336698940326027
GPR18	IFN	36	-8.878020959058703e-05	-0.0009417794015471836
GRHL2	TJ_broad	60	0.0028627821140849792	0.004002930411805679
GZMA	IFN	57	-0.001979209830388691	-0.004613213639197062
HCLS1	TJ_broad	61	-0.002266933614124606	-0.005375578004361667
HELZ2	IFN	61	0.0026886993195854455	0.0036304432230450322
HERC6	IFN	60	0.0007205978374649195	0.0011863448538152403
HIF1A	IFN	61	-0.00015857596757277138	0.0008125623753829828
HLA-A	IFN,MHC_I_APM	61	0.020277671104326506	0.02459564454220149
HLA-B	IFN,MHC_I_APM	61	0.01642695005121056	0.01905964208061192
HLA-C	IFN,MHC_I_APM	61	0.02274482894144324	0.02049341406905519
HLA-DMA	IFN	61	0.002999262859746983	0.0053051141895685255
HLA-DQA1	IFN	59	-0.000646944198222823	-0.0017095265923142285
HLA-DRB1	IFN	61	0.0044112633107941494	0.010454770237534277
HLA-E	MHC_I_APM	61	0.010546239156403146	0.008961923437672105
HLA-F	MHC_I_APM	61	0.0016314971421972778	0.004961176639242153
HLA-G	IFN,MHC_I_APM	54	0.0003950719018511445	0.004009764337479091
HSPA4	TJ_broad	61	0.001979987742639263	0.002502814503808045
ICAM1	IFN	61	0.014043275079540335	0.016536529736325745
IDO1	IFN	55	0.00012533734353439117	0.0015356665113228827
IFI27	IFN	61	0.014268393832500134	0.02419541783206104
IFI30	IFN	61	-0.0002936538413737319	-0.0009430349344932209
IFI35	IFN	61	0.0013824864632717227	0.003487191477770783
IFI44	IFN	61	0.0013232594934053975	0.002310775156049504
IFI44L	IFN	58	0.0001722977804057937	0.000728340851250976
IFIH1	IFN	61	0.0012249776149565596	0.0012181143676231968
IFIT1	IFN	60	0.0009556510399318572	0.0020334510490230555
IFIT2	IFN	60	0.00016315128825461614	0.0013132459137203424
IFIT3	IFN	61	0.0007615776559510639	0.0013056487086576213
IFITM1	IFN	59	0.0003240096711740919	-0.0006598782000267772
IFITM2	IFN	61	-0.002930806817852505	-0.00574333716826119
IFITM3	IFN	61	0.00693957824441997	0.008127556623732738
IFNAR2	IFN	61	0.0038759086671450367	0.004070620427808191
IGSF5	TJ_broad	33	4.807739916212052e-05	5.763158793429443e-05
IKBKB	TJ_broad	61	0.0017143391878694362	0.0016971191822219747
IL10RA	IFN	58	-0.0008589899575982081	-0.0030667619537813637
IL15	IFN,chemokine	60	0.0001121970721018489	0.00026951805069519577
IL15RA	IFN	60	0.00016152128457414745	0.0008710036695527433
IL17A	TJ_broad	4	-0.00045817155309746204	-0.0005036672344089362
IL18BP	IFN	58	-3.580391588057548e-05	-0.00026755156339442864
IL2	chemokine	21	-0.00017471630120718246	-0.0005335394706577105
IL21	chemokine	4	-0.0005938768558396036	-0.0006666384635628034
IL2RB	IFN	55	-0.0008484524854814551	-0.0032374237182043837
IL4R	IFN	61	0.0015009867409326242	0.0024363992608504525
IL6	IFN	53	-6.98732966403805e-05	0.00018969587603717214
IL7	IFN,chemokine	55	0.0009059865107098134	0.001170770315290025
ILDR1	TJ_broad	60	0.000937622856829193	0.0020059020937119275
IRF1	IFN,MHC_I_APM	61	0.003361480190169624	0.0021183805086283074
IRF2	IFN	61	0.001890815646117166	0.002203605704710495
IRF4	IFN	51	-0.0004794166789765297	-0.001456465231229799
IRF5	IFN	57	0.00026431231564815947	0.0008346220176565833
IRF7	IFN	61	0.0046719853624038014	0.003484691410854776
IRF8	IFN	57	-0.0005014228931221568	-0.002941293787003771
IRF9	IFN	61	0.0009146452394289285	0.0033753101297897847
ISG15	IFN	61	0.004486316680312312	0.005846398190585255
ISG20	IFN	61	0.0008398352390304814	0.003205012308979345
ISOC1	IFN	61	-0.00024770217440326996	0.0003977466537048973
ITGB1	TJ_broad	61	0.009267520831789593	0.014109884197153314
ITGB7	IFN	60	-0.00045568881419680285	-0.00239355446466307
JAK2	IFN	61	0.0001464360973080249	0.00014643625102182359
JAM2	barrier_ligands,TJ_broad	35	-0.00044201282828076346	-0.0018869607663882428
JAM3	barrier_ligands,TJ_broad	38	-0.00014558800787736718	-0.0003489753174837688
JUN	TJ_broad	61	0.027038739029293796	0.026423839945665543
KLRK1	IFN	25	-0.0010789854995196082	-0.004436202025782227
LAMP3	IFN	60	0.0005657405983914138	0.0010575525428435516
LAP3	IFN	61	0.0010824170303330638	0.0005377536586993074
LATS2	IFN	60	0.001242236468898145	0.001407367848825308
LCP2	IFN	59	-0.0014645720057681452	-0.0046967971875465095
LGALS3BP	IFN	61	0.028115810147111602	0.03173759157707061
LGALS9	barrier_ligands	61	0.0006532965346261942	0.00205279679136493
LLGL1	TJ_broad	59	0.0004638244264582045	0.0003425187943220001
LLGL2	TJ_broad	61	0.008910541509272726	0.011590353572300687
LPAR6	IFN	58	-0.0001439066947240157	-0.0009036088617269216
LSR	TJ_broad	61	0.018065359922659396	0.023948401671579345
LY6E	IFN	61	0.01634982803006825	0.021234354253156142
LYSMD2	IFN	61	0.00034778952497318465	0.000677754992824223
MAGI1	TJ_broad	61	0.002352901754776162	0.002419863604937221
MAP2K7	TJ_broad	61	0.0026358982627739994	0.0018303732986171546
MAP3K1	TJ_broad	61	0.0017308276935690536	0.0016459732522123621
MAP3K5	TJ_broad	61	0.0008882650047461027	0.0004102811922923282
MAPK10	TJ_broad	56	0.0010491730090795854	0.004897022066135437
MAPK8	TJ_broad	61	0.0012568429083894843	0.0008906324458844119
MAPK9	TJ_broad	61	0.0013265413809864731	0.0018686768980704755
MARVELD2	barrier_ligands,TJ_broad	61	0.005090835809100252	0.005254263780981564
MARVELD3	TJ_broad	61	0.004208410883407457	0.005053468346226122
METTL7B	IFN	55	8.690324677986281e-05	0.000832408614280495
MICALL2	TJ_broad	61	0.0026823103124069985	0.003369201307328853
MOV10	IFN	60	0.0018776024182589734	0.0011999501036137805
MPDZ	TJ_broad	59	0.0006779924582155832	0.0021509423321322157
MPP4	TJ_broad	30	-4.622362358191573e-05	-9.913324296486237e-05
MPP7	TJ_broad	61	0.0024264874077729003	0.003792417790294289
MSN	TJ_broad	61	-0.0029106342954944337	-0.0031321214189952732
MT2A	IFN	61	-0.002596765971417601	-0.003424157122124791
MTHFD2	IFN	61	-0.000962140071229365	-0.0019496158209986163
MVB12A	IFN	61	0.002660820235481623	0.00365213712596219
MVP	IFN	61	0.01178310251480458	0.01335315051434729
MX1	IFN	61	0.0020105143385187193	0.0029052445400976194
MX2	IFN	60	0.0020334722350836623	0.003340140198257701
MYD88	IFN	61	0.0015616951113996225	0.0012882605995470967
MYH10	TJ_broad	60	0.000755858262027912	0.0016154706938809407
MYH11	TJ_broad	53	-0.00016206737701702267	-0.001040053961584798
MYH14	TJ_broad	61	0.007815774101144419	0.011393290914828609
MYH9	TJ_broad	61	0.006879144565513385	0.007582928691455912
MYL12A	TJ_broad	61	0.007090833277013296	0.007182661225228124
MYL12B	TJ_broad	61	0.010852869954784797	0.01119153575688799
MYL2	TJ_broad	9	-0.00017521139866353747	-9.153240306513353e-05
MYL6	TJ_broad	61	0.007721040318572796	0.010645511271432064
MYL6B	TJ_broad	61	0.0013193838923718244	0.0022808637894729906
MYL9	TJ_broad	60	0.00023633951201314688	0.0007655540736365709
MYO1C	TJ_broad	61	0.005191707676426301	0.005877485227466646
NAMPT	IFN	61	0.005831134428534424	0.006789444476154577
NCOA3	IFN	61	0.0023265745400938074	0.00232676124430476
NCOA7	IFN	61	0.011013334657929807	0.015290427601571063
NECTIN2	barrier_ligands	42	0.01324944439783705	0.01780134866763225
NEDD4	TJ_broad	59	8.951328430909201e-05	8.314895051457059e-05
NEDD4L	TJ_broad	61	0.0072157480049816775	0.011071951257152386
NF2	TJ_broad	61	0.0013433928904778912	0.0019011920582557792
NFKB1	IFN	61	-0.00039118185285114766	-0.0029756405643909982
NFKBIA	IFN	61	0.008657652768713022	0.007501216669763035
NLRC5	IFN,MHC_I_APM	60	-0.00015296369838578865	-0.00038503491475088477
NMI	IFN	61	0.00023699500594238947	0.0008640713005737113
NOD1	IFN	60	0.00047928920442143435	0.0003235379128471475
NPHP1	TJ_broad	61	0.0017084052964192475	0.004044395976769113
NPHP4	TJ_broad	60	0.0006171710099276044	0.0011888190755781499
NUB1	IFN	61	0.002497612348993084	0.00238867600590817
NUP93	IFN	61	0.0009566218200598046	0.000717477184150051
OAS1	IFN	61	0.001804240145206804	0.004201636563227455
OAS2	IFN	59	9.620074895428746e-05	0.0010909357060299777
OAS3	IFN	61	0.0003023477413811045	0.0015779470739488973
OASL	IFN	60	-0.00027681186510803096	-0.00041494098494405804
OCEL1	TJ_broad	61	0.003340547918395456	0.004361473195460033
OCLN	barrier_ligands,TJ_broad	61	0.014533957977365262	0.01430492919652539
OGFR	IFN	61	0.0026682218567876245	0.004178470088191002
P2RY14	IFN	24	-0.0016343323555746488	-0.0019660657774488036
PAK2	TJ_broad	61	0.004658376413968308	0.0035220854410661774
PARD3	TJ_broad	61	0.003927613394275749	0.00628019003856194
PARD6A	TJ_broad	61	0.0007152415486886653	0.0012166519588364588
PARD6B	TJ_broad	61	0.005707132036290975	0.007300349843042932
PARD6G	TJ_broad	57	3.4927507646284045e-05	0.000156509424371353
PARP12	IFN	61	0.002060449710888214	0.001379549048001612
PARP14	IFN	61	0.005867646546636904	0.006795814003182598
PARP9	IFN	61	0.0019448466210811681	0.0035306225315697875
PATJ	TJ_broad	42	0.005879025775695256	0.008318003710135155
PCNA	TJ_broad	61	0.0004689081038567092	-0.0015908699933931821
PDCD6IP	TJ_broad	61	0.003659714207603873	0.005237712155239463
PDE4B	IFN	59	-0.001340403383802222	-0.003984280896003689
PDIA3	MHC_I_APM	61	0.015416705626487767	0.017938084142719503
PECAM1	TJ_broad	57	-0.0015858802996120923	-0.004563648814702184
PELI1	IFN	61	0.0024650130624976545	0.004491245888952991
PFKP	IFN	61	0.004415913337553258	0.005168875530806958
PIM1	IFN	61	0.0012796705185609126	0.002692138769812362
PLA2G4A	IFN	57	7.714398946243496e-05	0.0013238181170499908
PLEC	TJ_broad	61	0.008495578924326124	0.012845764969487122
PLSCR1	IFN	61	0.005112744375294452	0.004487194122535025
PML	IFN	61	0.0010673744360456684	0.0027566080354353784
PNP	IFN	61	-0.0006636651768731482	-0.0012797713654069088
PNPT1	IFN	61	0.0006779707173947167	0.0003752871286637101
POF1B	TJ_broad	51	0.0008563601111377026	0.0024002548057225834
PPP2CA	TJ_broad	61	0.0023768376034161735	0.0022823788424371073
PPP2CB	TJ_broad	61	0.006799306070644115	0.007397386801087097
PPP2R1A	TJ_broad	61	0.0070734031969518375	0.00807598509270564
PPP2R1B	TJ_broad	61	0.0007242019985544746	0.0005451137367404573
PPP2R2A	TJ_broad	61	0.003186454783406125	0.004382333362320915
PPP2R2B	TJ_broad	46	-0.0002676730633160251	-0.0010418525204237835
PPP2R2C	TJ_broad	41	0.00029214748804989616	0.00037816414623666775
PPP2R2D	TJ_broad	61	0.002238914877114305	0.0015058112127952202
PRKAA1	TJ_broad	61	0.0027199353743834393	0.0035027324912953756
PRKAA2	TJ_broad	59	0.0005488044517172675	0.0011488908656350231
PRKAB1	TJ_broad	61	0.0030078431084305975	0.0028972642650939256
PRKAB2	TJ_broad	61	0.0010765131987763498	0.0012656820222768006
PRKACA	TJ_broad	61	0.001440112318129101	0.0018169571290937569
PRKACB	TJ_broad	58	-0.0005325504849342103	-0.0013860264457419063
PRKAG1	TJ_broad	61	0.002236419616747111	0.002558088216134396
PRKAG2	TJ_broad	61	0.0016877988832286444	0.0026064265451554085
PRKAG3	TJ_broad	3	-0.00045468043150425334	-0.0003122099006041213
PRKCE	TJ_broad	60	0.0007738480061566728	0.001174248113866788
PRKCH	TJ_broad	61	-0.00012109041189020765	-0.001344539500246087
PRKCI	TJ_broad	61	0.005205156791225943	0.005763286054875627
PRKCZ	TJ_broad	61	0.004135784126350853	0.005137197146950278
PROCR	IFN	60	0.0002541869824873442	-0.00021533732372185557
PSMA2	IFN	61	0.005663009672226425	0.004952575179102888
PSMA3	IFN	61	0.003920276926494594	0.004389919649662719
PSMB10	IFN,MHC_I_APM	58	0.00035342993344334366	0.0003975369347699905
PSMB2	IFN	61	0.0044943894280805455	0.004453884021506056
PSMB8	IFN,MHC_I_APM	61	0.004023511502875476	0.004851299277653541
PSMB9	IFN,MHC_I_APM	61	0.0011587572724317242	-0.0019856313800110876
PSME1	IFN	61	0.005139009964078512	0.004395426867646383
PSME2	IFN	61	0.0028673605823340176	0.0016726510618533504
PTGS2	IFN	60	0.0011706740055179448	0.003408889706703735
PTPN1	IFN	61	0.0006324718615183192	0.001214060768501813
PTPN2	IFN	61	0.0027739790412059343	0.002755277625712213
PTPN6	IFN	61	0.00034612039588602085	-0.0014411927734129756
RAB13	TJ_broad	61	0.00571315145922048	0.007937634189977462
RAB8A	TJ_broad	61	0.0016584402308234103	0.00039982154473263944
RAB8B	TJ_broad	61	-0.0011308808098284002	-0.0027516233529368997
RAC1	TJ_broad	61	0.01523486357986649	0.015738740989481977
RAMP2	TJ_broad	50	-0.0001232612724489556	-0.004083361418582292
RAP1A	TJ_broad	61	1.0257501298839306e-05	-0.001476329167023884
RAP2C	TJ_broad	61	0.0010147889387774292	0.0014818854692825406
RAPGEF2	TJ_broad	61	0.0014213604428720227	0.0009857431281874122
RAPGEF6	IFN,TJ_broad	61	0.0004817466214622099	-0.00011727250028622996
RBCK1	IFN	61	0.0060668479811777755	0.0059493235278603625
RDX	TJ_broad	61	0.0034790416774904695	0.0058475813194149955
RHOA	TJ_broad	61	0.005823525530944137	0.005936522138258558
RIPK1	IFN	61	0.0016557588984366662	0.0017268019384319175
RIPK2	IFN	61	0.0007947589174263122	0.0011938684195476252
RNF213	IFN	61	0.006195871271305218	0.007596485427790247
RNF31	IFN	49	-2.1591174209087273e-06	0.0007150103781188994
ROCK1	TJ_broad	61	0.0024931355594996294	0.0013167536471568727
ROCK2	TJ_broad	60	0.002831354809258715	0.002448806814744598
RSAD2	IFN	59	0.0006902049009532514	0.0011911063171319391
RTP4	IFN	58	0.0010905706818961046	0.0019173344786329845
RUNX1	TJ_broad	61	0.008334898070443011	0.009414609075261862
SAMD9	IFN	61	7.306038906223838e-05	0.0008181760715932829
SAMD9L	IFN	59	0.0002699273158636915	0.0013355821938375258
SAMHD1	IFN	61	0.0008360245702541111	-0.00012220483003028953
SCRIB	TJ_broad	61	0.002814874354237974	0.004525677564890262
SECTM1	IFN	61	0.0014129336915370044	0.0034799454361306077
SELL	IFN	59	-0.0005426061255263562	-0.004032678674226743
SELP	IFN	16	-0.0007779326023293402	-0.0013689233010244514
SERPING1	IFN	61	-0.00047760370753036064	0.0010125709080395682
SLAMF7	IFN	54	-8.495845014516314e-05	-0.00024872546029034305
SLC25A28	IFN	61	0.0007231641142554632	0.0007983338365822319
SLC39A9	TJ_broad	61	0.002739179179731469	0.0033033439092784254
SLC9A3R1	TJ_broad	61	0.003153060027844387	0.0037991309626999874
SNAI1	TJ_broad	58	0.00017004571534664885	0.00011672188019526781
SNAI2	TJ_broad	46	3.553379684437972e-05	-0.0010739395355744677
SOCS1	IFN	61	0.0007816773720655488	0.00023137897192744246
SOCS3	IFN	61	0.00715411640216527	0.008148801306050498
SOD2	IFN	61	0.0008553739759860834	0.002412140474801849
SP110	IFN	61	0.00047140079284449467	-0.0002181589261600137
SPPL2A	IFN	61	0.004690531576855811	0.005628553152564953
SRC	TJ_broad	61	0.0020642375218339303	0.002893543539599461
SRF	TJ_broad	61	0.0021162822926793787	0.002537731749993248
SRI	IFN	61	0.014434859389767407	0.019580750451329555
SSPN	IFN	59	0.00047502603647838	0.000965096674386048
ST3GAL5	IFN	61	0.0016517917751526841	0.00318376735621946
ST8SIA4	IFN	60	0.0003940623617684242	0.0006858416794132296
STAT1	IFN	61	0.0032598376945442535	0.0033350121377181243
STAT2	IFN	61	0.0027838495085537596	0.0033051800501988663
STAT3	IFN	61	0.009366759555620104	0.00903068593740008
STAT4	IFN	60	-0.00018494305766188289	-0.0016491836802498305
STK11	TJ_broad	61	0.0012531746720412223	0.0014819178626002455
STRN	TJ_broad	61	0.001882529931889515	0.002599979264775233
SVEP1	TJ_broad	26	-0.0002736612237307847	-0.0011858306300730056
SYMPK	TJ_broad	61	0.0013851532514719453	0.0011248746885944303
SYNPO	TJ_broad	58	0.0008047817996034282	0.001981598371041926
TAP1	IFN,MHC_I_APM	61	0.0028319023851835507	0.0043031103727335825
TAP2	MHC_I_APM	61	0.0024360528415990406	0.0036085991080770435
TAPBP	IFN,MHC_I_APM	61	0.009676723430768686	0.012294330770218739
TAPBPL	MHC_I_APM	61	0.001681657686041216	0.003186405130065963
TBCD	TJ_broad	61	0.002540604456356443	0.0029344462756158082
TDRD7	IFN	61	0.0004929971536613775	0.0007709770461641041
TENT5A	IFN	30	0.00717332958535336	0.0072614902190517175
