accession,decision,in_scope,cldn4_search_files,title,organisms,queries,description,pride_url
PXD014389,keyword_false_positive,False,,Candida albicans (DAY286 biofilm) extracellular vesicle and whole cell lysate proteomes,Candida albicans (yeast),claudin,"We performed proteomic analysis of extracellular vesicles (EVs) and whole cell lysates (WCL) isolated from the same biofilm (strain = DAY286, n = 5). We identified proteins enriched in EVs versus WCL by comparing their LFQ intensities across all samples. After linking these results with EV enrichment data from other strains, we proposed a suite of putative EV marker proteins which were useful for multiple C. albicans strains and morphologies.",https://www.ebi.ac.uk/pride/archive/projects/PXD014389
PXD015171,keyword_false_positive,False,,Quantitative Proteomics implicates CD44 in proliferation of breast cancer cell,Homo sapiens (human),claudin,"CD44 is a transmembrane glycoprotein playing a key role in cel adhesion to the extracellular matrix. CD44 expression is upregulated in various cancer cells and recognized as a molecular marker for tumor-initiating cancer cells. However, the intricate correlation between CD44 and underlying biological functions is yet to be fully disclosed at molecular levels. Here, we discovererd global proteome changes induced by CD44 knockdown in the four different breast cancer cell lines by TMT based quantitative proteomics.",https://www.ebi.ac.uk/pride/archive/projects/PXD015171
PXD022915,other_claudin_mention,False,,Proteomics analysis of gastric cancer patients with diabetes mellitus,Homo sapiens (human),claudin,"Proteomics is a powerful approach to study the molecular mechanisms of cancer. In this study, we aim to characterize the proteomic profile of gastric cancer (GC) in patients with diabetes mellitus (DM) type 2. Forty GC tissue samples including 19 cases from diabetic patients and 21 cases from individuals without diabetes (control group) were selected for the proteomics analysis. Gastric tissues were processed following the single-pot, solid-phase-enhanced sample preparation approach—SP3 and enzymatic digestion with trypsin. The resulting peptides were analyzed by LC-MS Liquid Chromatography—Mass Spectrometry (LC-MS). The comparison of protein expression levels between GC samples from diabetic and non-diabetic patients was performed by label-free quantification (LFQ). A total of 6599 protei",https://www.ebi.ac.uk/pride/archive/projects/PXD022915
PXD025600,other_claudin_knockdown,False,,Glutamine-fructose-6-phosphate transaminase 2 (GFPT2) is upregulated in breast epithelial-mesenchymal transition and involved in oxidative stress regulation.,Homo sapiens (human),claudin,"Epithelial-mesenchymal transition (EMT) is a diverse and dynamic biological process which is involved in cancer progression. It is important for carcinoma cells during invasion and metastasis. EMT has been in the spotlight for cancer cells to disseminate to distant organs by gaining partial EMT phenotype. Cancer cells with partial EMT are believed to be more cancerogenic/invasive than cells that have undergone complete EMT. The proteomic changes that occur following EMT in breast epithelial cells and how these relate to changes in cellular metabolism are incompletely understood. To study metabolic reprogramming in different mesenchymal states, we analyzed proteomic changes following EMT in the breast epithelial cell model D492, with single-shot LFQ supported by SILAC proteomic approach. Th",https://www.ebi.ac.uk/pride/archive/projects/PXD025600
PXD025858,other_claudin_knockdown,False,,Glutamine-fructose-6-phosphate transaminase 2 (GFPT2) is upregulated in breast epithelial-mesenchymal transition and involved in oxidative stress regulation.,Homo sapiens (human),claudin,"Epithelial-mesenchymal transition (EMT) is a diverse and dynamic biological process which is involved in cancer progression. It is important for carcinoma cells during invasion and metastasis. EMT has been in the spotlight for cancer cells to disseminate to distant organs by gaining partial EMT phenotype. Cancer cells with partial EMT are believed to be more cancerogenic/invasive than cells that have undergone complete EMT. The proteomic changes that occur following EMT in breast epithelial cells and how these relate to changes in cellular metabolism are incompletely understood. To study metabolic reprogramming in different mesenchymal states, we analyzed proteomic changes following EMT in the breast epithelial cell model D492, with single-shot LFQ supported by SILAC proteomic approach. Th",https://www.ebi.ac.uk/pride/archive/projects/PXD025858
PXD028461,keyword_false_positive,False,,Phosphorylation Mapping of Atg13 in Response to Atg1 Activity and Rapamycin Treatment in Budding Yeast,Saccharomyces cerevisiae (baker's yeast),claudin,"We performed phosphorylation site mapping on of budding yeast Atg13 applying a quantitative mass spectrometry-based proteomics approach based on stable isotope labeling with amino acids in cell culture (SILAC). We determined changes in the Atg13 phosphorylation pattern in response of inhibition of kinase Atg1 and starvation conditions (using rapamycin), respectively. To do so, Atg13 was tandem purified via a histidine-biotin (HB) tag from cells growing at the respective experimental condition. Different stimulus-dependent PTM profiles of Atg13 have been identified.",https://www.ebi.ac.uk/pride/archive/projects/PXD028461
PXD031094,cldn4_interactome,True,Beaker_20190227_LSA_CL_CoIP_Cldn4_2.raw;Beaker_20190227_LSA_CL_CoIP_Cldn4_1.raw;Beaker_20190227_LSA_CL_CoIP_Cldn4_3.raw;proteinGroups_Cldn4.txt;Beaker_20190227_LSA_CL_CoIP_Cldn4_4.raw,Pan-claudin family interactome analysis reveals shared and specific interactions,Canis familiaris (dog) (canis lupus familiaris); Homo sapiens (human),claudin,Interactome study of the pan-claudin family by combining two complementary pull-down techniques followed by mass spectrometry to create an interaction landscape of the claudin family. Co-immunoprecipitation (CoIP) of recombinant claudins expressed in MDCK-C7 cells provided information about interactions beyond the already known TJ proteins. A protein interaction screen on a peptide matrix (PRISMA) allowed mapping interactions along the disordered cytosolic C-terminal region of claudins and studying the effect of post-translational modifications (PTMs) on these interactions. The new interaction partners of the C-terminus of several claudins were confirmed by proximity ligation assays (PLA) and revealed their possible implications in localized biological processes in epithelial cells. By com,https://www.ebi.ac.uk/pride/archive/projects/PXD031094
PXD033005,keyword_false_positive,False,,Proteomic profile of the early transition from naïve to primed pluripotency in mouse ES cells,Mus musculus (mouse),claudin,"We describe here the proteome of mouse embryonic stem cells growth in complete media (KSR, LIF/2i) or media without 2i for 24h and 48h.",https://www.ebi.ac.uk/pride/archive/projects/PXD033005
PXD036428,other_claudin_mention,False,,Deregulated Expression of the 14q32 miRNA Cluster in Clear Cell Renal Cell Carcinomas,Homo sapiens (human),claudin,"Clear cell renal cell carcinomas (ccRCC) are characterized by arm-wide chromosomal alterations. Loss at 14q is associated with disease aggressiveness in ccRCC, which responds poorly to chemotherapeutics. The 14q locus contains one of the largest miRNA clusters in the human genome; however, little is known about the contribution of these miRNAs to ccRCC pathogenesis. In this regard, we investigated the expression pattern of selected miRNAs at the 14q32 locus in TCGA kidney tumors and in ccRCC cell lines. We validated that the miRNA cluster is downregulated in ccRCC (and cell lines) as well as in papillary kidney tumors relative to normal kidney tissues and primary renal proximal tubule epithelial (RPTEC) cells. We demonstrated that agents modulating expression of DNMT1 (e.g., 5-Aza-deoxycyt",https://www.ebi.ac.uk/pride/archive/projects/PXD036428
PXD037561,other_claudin_knockdown,False,,The claudin-like apicomplexan microneme protein is essential for Plasmodium berghei sporozoite infectivity in the mosquito and mammalian hosts,Plasmodium berghei anka,claudin,"Here we characterize the function of a microneme protein expressed both in merozoites and sporozoites, the claudin-like protein CLAMP. We used a conditional genome editing strategy in a rodent malaria model to generate CLAMP-deficient sporozoites. In the absence of CLAMP, sporozoites failed to invade mosquito salivary glands and mammalian hepatocytes, and showed defects in gliding motility and microneme secretion. Our data establish that CLAMP plays an essential role across Plasmodium invasive stages, and might represent a potential target for transmission-blocking antimalarial strategies.",https://www.ebi.ac.uk/pride/archive/projects/PXD037561
PXD038148,keyword_false_positive,False,,IP-MS of human YKT6 upon mutation of possible ULK1-phosphorylation sites,Homo sapiens (human),claudin,"Autophagy is a catabolic process during which cytosolic material is enwrapped in a newly formed double membrane structure called the autophagosome, and subsequently targeted for degradation in the lytic compartment of the cell. The fusion of autophagosomes with the lytic compartment is a tightly regulated step and involves membrane-bound SNARE proteins. These play a crucial role as they promote lipid mixing and fusion of the opposing membranes. Among the SNARE proteins implicated in autophagy, the essential SNARE protein YKT6 is the only evolutionary conserved SNARE protein from yeast to human. Alterations in YKT6 function, in both mammalian cells and nematodes, produces early and late autophagy defects that result in reduced survival. Moreover, mammalian autophagosomal YKT6 is phospho-reg",https://www.ebi.ac.uk/pride/archive/projects/PXD038148
PXD039074,other_claudin_mention,False,,"Proteome analysis of male accessory gland secretions in the diamondback moth, Plutella xylostella (Lepidoptera: Plutellidae)",Plutella xylostella (diamondback moth) (plutella maculipennis),claudin,"In insects, male accessory gland proteins (ACPs) are important reproductive proteins secreted by male accessory glands (MAGs) of the internal male reproductive system. During mating, ACPs were transferred along with sperms inside female bodies and have a significant impact on the physiology of female reproduction. Under sexual selection pressures, the ACPs exhibit remarkably rapid and divergent evolution and varies from species to species. The diamondback moth, Plutella xylostella (L.) (Lepidoptera: Plutellidae), is a major insect pest of cruciferous vegetables worldwide. The reproductive physiology on post-mating state of this species is still largely unknown, which is important for management of this pest. In this study, the ACPs transferred into females during mating were identified by ",https://www.ebi.ac.uk/pride/archive/projects/PXD039074
PXD039552,other_claudin_mention,False,,Inter-Laboratory Variability in the Madin-Darby Canine Kidney Cell ProteomeInter-Laboratory Variability in the Madin-Darby Canine Kidney Cell Proteome,Zea mays (maize),claudin,"Madin-Darby Canine Kidney (MDCK) cells are widely used to study epithelial cell functionality. Their low endogenous drug transporter protein levels make them an amenable system to investigate trans-epithelial permeation and drug transporter protein activity after their transfection. MDCK cells display diverse phenotypic traits and as such laboratory-to-laboratory variability in drug permeability assessments are observed. Consequently, In Vitro-In Vivo extrapolation (IVIVE) approaches using permeability and/or transporter activity data require calibration. A comprehensive proteomic quantification of eleven filter-grown parental or mock-transfected MDCK monolayers from eight different pharmaceutical laboratories using the Total Protein Approach (TPA) is provided. TPA enabled estimations of k",https://www.ebi.ac.uk/pride/archive/projects/PXD039552
PXD044621,other_claudin_interactome,False,,"GSG1L-containing AMPA receptors are complexes with unique spatiotemporal expression, subunit composition and gating properties",Rattus norvegicus (rat),claudin,"Transmembrane AMPA receptor regulatory proteins (TARPs) and germ cell-specific gene 1-like protein (GSG1L) are claudin-type AMPA receptor (AMPAR) auxiliary subunits that profoundly regulate glutamatergic synapse strength and plasticity. While AMPAR-TARP complexes have been extensively studied, less is known about the GSG1L-containing AMPAR complex. Here, we show that GSG1L’s spatiotemporal expression, native interactome and allosteric sites are distinct. GSG1L generally expresses late during brain development in a cell-type and region-specific manner, finally constituting about 5% of all AMPAR complexes in the adult brain (at adulthood). While GSG1L can co-assemble with cornichon and TARP subunits into AMPAR complexes, it may also form the sole auxiliary subunit. Unexpectedly, GSG1L acts t",https://www.ebi.ac.uk/pride/archive/projects/PXD044621
PXD047277,keyword_false_positive,False,,APEX2 mediated proximity labeling to investigate the proximal proteome of mitochondria tethered ULK1 in wild type and fip200 knock down cells,Homo sapiens (human),claudin,"The object of this project is to investigate the proximal proteome of ULK1 during mitophagy and the effects of a FIP200 knock down using the APEX2-mediated proximity labeling system. APEX2-ULK1 or APEX2 was fused to 2xFKBP-myc and stably expressed in a cell line stably expressing a truncated FIS1-FRB fusion protein. Treatment with rapalog induces the stable interaction between FRB and FKBP, resulting in tethering of FKBPx2-myc-APEX2-ULK1 or FKBPx2-myc-APEX2 to the outer mitochondrial membrane.",https://www.ebi.ac.uk/pride/archive/projects/PXD047277
PXD060098,keyword_false_positive,False,,Isolation of a novel GPA33 monoclonal antibody that detects a redox regulated epitope,Homo sapiens (human),claudin,"Membrane receptor targets have been identified using proteogenomics platforms in oesophageal adenocarcinoma (OAC) that are specific for tumour compared to normal adjacent oesophageal and gastric tissue. One of these receptors, GPA33, is expressed in patients including involved lymph nodes suggesting it might form a clinically relevant diagnostic and/or therapeutic target. We have used a massively diverse scFv-phage display library to identify recombinant scFv sequences enriched during biopanning against native GPA33 using both next-generation CDR3 DNA sequencing and functional ELISA. One active scFV, redox-sensitive epitope 05 (RSE-05), was converted using gene synthesis into a single cistronic full-length IgG expression plasmid containing a self-cleavage site in between the heavy and ligh",https://www.ebi.ac.uk/pride/archive/projects/PXD060098
PXD065409,other_claudin_mention,False,,The role of aging on endothelial cell-cell junctions and pulmonary microvascular permeability,Mus musculus (mouse),claudin,"Acute respiratory distress syndrome (ARDS) is a leading cause of intensive care unit (ICU) admissions and is associated with high short- and long-term mortality, particularly among elderly patients. Aging is a major risk factor for ARDS development and worsened outcomes, yet the mechanisms underlying age-related susceptibility remain poorly defined. Pulmonary microvascular endothelial cell (PMVEC) barrier dysfunction plays a central role in ARDS pathophysiology, where disruption of cell-cell junctions leads to increased vascular permeability and alveolar edema. While aging has been associated with increased microvascular permeability in several vascular beds, the specific effects of age on pulmonary endothelial cell junctions remain largely unexplored. Here, we investigated the impact of a",https://www.ebi.ac.uk/pride/archive/projects/PXD065409
PXD066158,other_claudin_knockdown,False,,Proteomic profiling of CLDN6-deficient germ cell tumor cells,Homo sapiens (human),claudin,"Representing a crucial factor during cell adhesion, polarity, proliferation and migration, the transmembrane protein claudin 6 (CLDN6) has been shown to be a putative target for the treatment of germ cell tumors (GCT). Particularly seminoma (SE), embryonal carcinoma (EC), and choriocarcinoma (CC) indicated high CLDN6 levels, while about 60 % of yolk-sac tumors (YST) presented as CLDN6+. In this study, we generated CLDN6-deficient GCT cells by CRISPR/Cas9 for SE, EC, and CC cells, while YST cells were cell sorted for CLDN6+ and CLDN6- populations. Further, the putative function of CLDN6 was investigated on proteome level using liquid-chromatography coupled with mass spectrometry (LS-MS).",https://www.ebi.ac.uk/pride/archive/projects/PXD066158
PXD068381,keyword_false_positive,False,,Proximity labelling identification of ULK1 wild-type (WT) and ULK1-K46I (kinase dead) interactors upon mitochondria tethering in U2OS WT cells,Homo sapiens (human),claudin,"This project involved generating three stable cell lines using a Flp-In system, each containing specific integrated constructs: ""FKBPx2-myc-APEX2-ULK1"", ""FKBPx2-myc-APEX2-ULK1-K46I"" (kinase-dead mutant), and ""FKBPx2-myc-APEX2"" (control). All cell lines additionally express an outer mitochondrial membrane-targeted construct consisting of truncated FIS193–152 fused to FRB (FRB-FIS193–152). Upon treatment with a heterodimerizer (rapalog), the cytosolic FKBP-tagged constructs are recruited to mitochondria via FRB-rapalog-FKBP interactions, enabling controlled mitochondrial tethering.  The constructs contain APEX2 peroxidase, which catalyzes biotin-phenol biotinylation of nearby proteins upon H₂O₂ treatment, allowing proximity-dependent protein identification. The primary objective was to inves",https://www.ebi.ac.uk/pride/archive/projects/PXD068381
PXD076239,other_claudin_knockdown,False,,F-actin dynamics couples sphingolipid metabolism to epithelial barrier integrity in chronic colitis (proteomics),Mus musculus (mouse),claudin,"Intestinal barrier dysfunction is a hallmark of gastrointestinal disorders, including inflammatory bowel diseases (IBD). In IBD, the disruption of the gut barrier causes liquid loss and persistent immune response. Understanding the cellular events underlying epithelial barrier disruption during chronic inflammation is essential for targeting increased intestinal permeability. Filamentous actin (F-actin) destabilization accompanied by metabolic dysfunction has been previously reported in the Muc2 knockout colitis model; however, the mechanistic contribution of these defects to chronic intestinal barrier loss remains unclear. Here, we identify impaired cytoskeleton dynamics as a critical driver of intestinal barrier dysfunction in chronic colitis. An imbalance between polymeric and monomeric",https://www.ebi.ac.uk/pride/archive/projects/PXD076239
