rank,accession,protein,av_n_psm_opn
108,73991135,leucine-rich repeat transmembrane protein FLRT3 isoform 3,6.1520825654284685
109,187937195,transient receptor potential cation channel subfamily V member 4,6.1480594910442958
110,73983002,ras-related protein Rab-1B isoform 1,6.122789479315883
111,73950745,EF-hand domain-containing protein D2,6.0624524089747576
112,345792440,PDZ and LIM domain protein 1,6.0385948789378441
113,311771751,ras-related protein Rab-10,6.0375798994872847
114,73987268,AP-3 complex subunit delta-1 isoform 1,6.0062194903497996
115,356582259,prothymosin alpha,5.9847323450204968
116,73953093,voltage-dependent anion-selective channel protein 2 isoform 2,5.9725533938308519
117,345801038,TLD domain-containing protein KIAA1609,5.7933535946635191
118,73965092,cdc42 effector protein 4,5.6785140647803996
119,57040322,ras suppressor protein 1,5.6584769119729774
120,55741803,tight junction protein ZO-1,5.5926276442108804
121,50979110,caveolin-1,5.5889545626315531
122,345804718,uncharacterized protein LOC608361,5.549610032956334
123,356461044,peroxiredoxin-1,5.5328201819270983
124,345790915,serine/threonine-protein kinase TAO3 isoform 5,5.4766974071167054
125,73998521,gamma-adducin isoform 1,5.4714876423878493
126,73992442,tumor protein D54 isoform 1,5.467708621427704
127,345804278,protein FAM177A1,5.4647746382797298
128,73962778,syntaxin-binding protein 6,5.3267636497756587
129,359319375,tumor-associated calcium signal transducer 2,5.3098906521643237
130,345784192,membrane-associated progesterone receptor component 2,5.2862549735589592
131,73950747,transmembrane protein 51,5.2640059615859398
132,345795292,beta-secretase 2,5.2460312110698863
133,345780995,oxysterol-binding protein-related protein 8 isoform 1,5.238276835608918
134,74002818,serine/threonine-protein kinase PAK 2 isoform 1,5.2129909831433574
135,345802858,"zinc transporter 1, partial",5.1967979466218353
136,345784504,afadin,5.1825777754743063
137,73994927,AP-1 complex subunit beta-1 isoform 3,5.1085851090290451
138,57085907,heat shock cognate 71 kDa protein isoform 1,5.076110062168472
139,359318809,sodium/potassium-transporting ATPase subunit alpha-3,5.0553319497446028
140,345781300,extended synaptotagmin-2,5.0404946186170205
141,74000462,sorting nexin-1 isoform 1,4.9898767289134494
142,345797675,junctional adhesion molecule A,4.935076650575823
143,73983267,receptor-type tyrosine-protein phosphatase eta,4.8864198165060149
144,359320658,protein kinase C and casein kinase substrate in neurons protein 2,4.8734256684338684
145,73948496,lipolysis-stimulated lipoprotein receptor,4.8720706518808354
146,73966152,LIM and SH3 domain protein 1 isoform 2,4.868855537020977
147,345780124,neurabin-1 isoform 1,4.8582217679749347
148,359322148,amyloid beta A4 precursor protein-binding family A member 3,4.7976587338642931
149,345789997,erythrocyte membrane protein band 4.1-like 1,4.78795791279705
150,57098751,vesicle-trafficking protein SEC22b,4.7812699931936438
151,345789199,ras-related protein Rab-6B,4.7430547553460425
152,73977652,"lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma isoform 7",4.7374167875062545
153,74004765,COBL-like 1,4.7113466526803007
154,345792339,pleckstrin homology domain-containing family A member 5,4.7094843852444681
155,359323129,tubulin alpha-1C chain-like,4.6586093801435515
156,345800344,lethal(2) giant larvae protein homolog 1,4.6277766670038858
157,345800049,ubiquitin carboxyl-terminal hydrolase 43,4.5493931638729199
158,73964085,MAP/microtubule affinity-regulating kinase 3 isoform 5,4.5479095330160684
159,114326335,palmitoyltransferase ZDHHC5,4.5430508547915789
160,73988027,ragulator complex protein LAMTOR1 isoform 1,4.5242629930115337
161,345781880,syndecan-1,4.509018456471698
162,345789806,nucleolar protein 56,4.4767993340608916
163,345795763,PDZ and LIM domain protein 5 isoform 11,4.4758141952704138
164,359324247,sodium- and chloride-dependent creatine transporter 1,4.4442870427652812
165,345802512,cysteine and glycine-rich protein 1 isoform 1,4.4313957564141919
166,50978966,tight junction protein ZO-2,4.4177428907263092
167,73970139,epithelial cell adhesion molecule,4.3893396264057714
168,73966805,AP-1 complex subunit beta-1 isoform 3,4.3607388731603711
169,345791046,TBC1 domain family member 10A isoform 2,4.3405448982142127
170,308199425,elongation factor 1-alpha 1,4.3381380508793903
171,345793963,uncharacterized protein KIAA1522,4.3203930445167558
172,73967304,carboxypeptidase D isoform 2,4.2844517956048582
173,345807408,vesicle-associated membrane protein 7 isoform 1,4.2671563255846268
174,345797211,plakophilin-4 isoform 3,4.2538470970342503
175,73979922,prolactin regulatory element-binding protein isoform 1,4.2310934134071454
176,345805018,adapter molecule crk isoform 1,4.2201276894688258
177,345807932,glyceraldehyde-3-phosphate dehydrogenase-like,4.2137449920802474
178,57044069,wiskott-Aldrich syndrome protein family member 2 isoform 2,4.2027818283470717
179,73971644,ras-related protein Rab-14 isoform 1,4.0989097576907199
180,73981482,"membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 isoform 2",4.0399596253174792
181,73985218,ADP-ribosylation factor 4 isoform 2,4.0256658567982777
182,345799948,uncharacterized protein C11orf52,4.0245075974053464
183,345784138,metalloreductase STEAP3,4.019235730020462
184,359319430,misshapen-like kinase 1,4.0103787826504371
185,73951892,RELT-like 1,3.9975377532432854
186,345792771,STE20-like kinase,3.9933955382884894
187,73987780,phosphatidylinositol-binding clathrin assembly protein isoform 4,3.9839515246013706
188,57090551,ADP-ribosylation factor 6,3.9826530180677877
189,356991175,uncharacterized protein LOC100846982,3.9769601597691264
190,359320108,cysteine-rich protein 2,3.9383771640613485
191,73989728,serine/threonine-protein kinase OSR1 isoform 2,3.9258154848549269
192,345784238,UBX domain-containing protein 4 isoform 1,3.8985003021960267
193,57101400,ras-related protein Rab-3D,3.8620582100694771
194,57093423,poly(rC)-binding protein 1 isoform 1,3.8306962636837065
195,308081799,galectin-3,3.8289850352150347
196,359320530,"RAB21, member RAS oncogene family, partial",3.823583262621201
197,114326321,phosphatidylethanolamine-binding protein 1,3.7988148200587082
198,50978862,glyceraldehyde-3-phosphate dehydrogenase,3.7833702439526959
199,73959919,putative adenosylhomocysteinase 2,3.7709849152728552
200,359319808,hematological and neurological expressed 1-like protein-like,3.7256588553413166
201,345803790,ATP-dependent RNA helicase DDX24,3.7082431557083932
202,345802250,transmembrane channel-like 5 isoform 3,3.6836513937741424
203,345804193,protein AHNAK2,3.679688337758789
204,308153291,plasma membrane calcium-transporting ATPase 1,3.6689187027130359
205,345793418,abl interactor 1 isoform 9,3.6536567992185218
206,345804663,G-protein coupled receptor family C group 5 member C,3.6240753546062643
207,55741707,ras-related protein Rab-8A,3.6134879577387991
208,73995905,v-crk sarcoma virus CT10 oncogene homolog (avian)-like isoform 1,3.5821311650838648
209,61316260,caveolin-2,3.5399808023483703
210,345790631,arf-GAP domain and FG repeats-containing protein 1 isoform 1,3.5223958820784333
211,73983369,muscarinic acetylcholine receptor M4,3.5175088858225663
212,73958967,protein C16orf88 homolog,3.4482614650829366
213,345805335,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",3.4298829846734979
214,345800829,WW domain-containing oxidoreductase,3.4164260592251732
215,345794843,leucine-rich repeat-containing protein 57,3.4133161504152354
216,345791835,uncharacterized protein LOC100683401 isoform 2,3.3675366762362442
217,73968313,ras-related protein Rab-5B isoform 1,3.361116158043159
218,345803222,uncharacterized protein LOC100682741,3.3482038587586107
219,73963551,protein numb homolog isoform 1,3.3188810722477839
220,356460954,chloride intracellular channel protein 1,3.2956367158765327
221,345799052,PDZ and LIM domain protein 7,3.2618872425774019
222,359322074,peroxiredoxin-2-like isoform 1,3.2610300805288204
223,345796205,immunoglobulin superfamily member 11,3.2579611087486988
224,73992635,vesicle-associated membrane protein-associated protein B,3.2372219511856875
225,73987574,serine/threonine-protein kinase STK11,3.1819820870895521
226,422010972,55 kDa erythrocyte membrane protein,3.1770639897740462
227,73969949,UPF0444 transmembrane protein C12orf23 homolog,3.1754180468688
228,345803473,ubiquitin carboxyl-terminal hydrolase 14,3.1594745748871911
229,73952189,secretory carrier-associated membrane protein 1 isoform 3,3.1584596753540866
230,359322003,ATP-dependent RNA helicase DDX18,3.1573639177888708
231,345804750,septin-9,3.1507053507703255
232,359322066,ras-related protein Rab-43-like,3.1146078730644504
233,73945522,syntaxin-7 isoform 5,3.1136190534387063
234,359322946,tyrosine-protein phosphatase non-receptor type 11,3.1000435580172803
235,354459407,voltage-dependent anion-selective channel protein 3 isoform 2,3.0891036552410744
236,345793056,syntenin-1 isoform 2,3.0886652068433813
237,359324088,emerin-like,3.0720299373447193
238,345796634,protein MB21D2,3.0630773482855074
239,73950682,F-actin-capping protein subunit beta,3.0543422788482033
240,345777517,charged multivesicular body protein 5 isoform 1,3.0497028736339082
241,17737325,cytochrome c oxidase subunit II,3.0428337412668602
242,359321995,MKI67 FHA domain-interacting nucleolar phosphoprotein-like,3.0142869744128991
243,345781540,rab11 family-interacting protein 1,3.0057450011577509
244,345802882,syntaxin-6,2.9683588584989935
245,74010709,drebrin-like isoform 2,2.9630491964847105
246,73953687,casein kinase I isoform alpha isoform 1,2.9600094219873525
247,54792725,ras-related protein Rab-11A,2.9580929559051823
248,345804554,soluble calcium-activated nucleotidase 1 isoform 4,2.9543650807538238
249,345796154,disks large homolog 1 isoform 4,2.940011667714713
250,73969626,"spectrin beta chain, brain 1 isoform 1",2.9212320250143362
251,57101288,palmitoyltransferase ZDHHC3 isoform 1,2.9101288880842122
252,345805483,proline rich 15-like,2.9037586462291736
253,359319518,segment polarity protein dishevelled homolog DVL-1-like,2.8912764653291849
254,74010705,drebrin-like isoform 7,2.8806772824232536
255,345807971,septin-6 isoform 5,2.8658501605989857
256,359321796,EH domain-containing protein 1,2.8465050612864102
257,359323234,ADP-ribosylation factor-like protein 3-like,2.8428145970591974
258,73950129,MARVEL domain-containing protein 2,2.8359927938194134
259,74000847,ras-related protein Rab-8B,2.8164166471882668
260,306482574,disintegrin and metalloproteinase domain-containing protein 9 precursor,2.8042226145955
261,57088999,vesicle-associated membrane protein 4,2.7946505898893901
262,359323991,kin of IRRE-like protein 1,2.7612047440386633
263,345776663,neutral amino acid transporter A isoform 1,2.7394395208024998
264,73955372,profilin-1-like,2.7246697921492351
265,73975746,cyclin-dependent kinase 14 isoform 3,2.7222908561573287
266,305410870,membrane-associated progesterone receptor component 1,2.7130111401856043
267,73981685,ras-related protein Ral-A isoform 1,2.707704884017414
268,116829774,inactive rhomboid protein 2,2.6816804965627652
269,345795915,septin-11,2.6411736782458939
270,223556019,carbonic anhydrase 2,2.6241486408471091
271,73963313,pleckstrin-2 isoform 1,2.6210530637041836
272,359320368,polymerase I and transcript release factor-like,2.6060328873383347
273,359320638,mitogen-activated protein kinase kinase kinase kinase 4 isoform 2,2.5929942869677003
274,73961473,Golgi resident protein GCP60,2.5666414943394629
275,356582418,nascent polypeptide-associated complex subunit alpha,2.5661464274026735
276,359319326,redox-regulatory protein PAMM,2.5506132978247464
277,73968197,"family with sequence similarity 129, member B",2.5398138467102145
278,345799717,myelin protein zero-like 2,2.5241401734228019
279,148231530,carcinoembryonic antigen-related cell adhesion molecule 30 precursor,2.5149030246612565
280,345778074,catenin alpha-1,2.5092243186031213
281,73953390,eukaryotic translation initiation factor 4E-binding protein 2,2.5053630485057616
282,345793181,copine-3,2.5049783629590543
283,359318968,protocadherin-1-like isoform 1,2.5038491893886441
284,359322167,paralemmin-1,2.4821489755928035
285,345777622,SH2 domain-containing adapter protein B,2.4707222997266558
286,345777291,calmodulin isoform 2,2.4590437367062328
287,345804995,Golgi SNAP receptor complex member 1,2.446919351270247
288,345777401,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 isoform 1",2.4466502284261229
289,345799464,cytoplasmic FMR1-interacting protein 2,2.4443528054714427
290,359320000,feline leukemia virus subgroup C receptor-related protein 1-like,2.4356392790266375
291,74003324,AP-2 complex subunit mu isoform 21,2.4353759863936686
292,50979138,sodium- and chloride-dependent taurine transporter,2.4204369406387629
293,345802930,myelin protein zero-like 1,2.4183970579174194
294,359323950,carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1-like,2.4105584293423306
295,73984484,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 isoform 3,2.4078719380830815
296,217416483,erythrocyte band 7 integral membrane protein,2.4020902359876626
297,73951083,insulin-like growth factor 1 receptor isoform 1,2.4015614703354435
298,74000478,peptidyl-prolyl cis-trans isomerase B isoform 1,2.3931502324446576
299,73955990,epsin-2 isoform 1,2.3876776028657694
300,345784300,protein disulfide-isomerase TMX3,2.3795231008292101
301,74000468,sorting nexin-1 isoform 4,2.3628636447129017
302,73946098,syntaxin-11,2.3509689151206552
303,73962894,mitogen-activated protein kinase kinase kinase kinase 5 isoform 2,2.3482234595128992
304,57088635,inactive rhomboid protein 1 isoform 1,2.3296087103790137
305,359323682,ADP-ribosylation factor-like 13B,2.3194296753874077
306,50979062,ras-related protein Rab-5C,2.3109314761273736
307,345805828,putative GTP-binding protein Parf,2.3028703311243386
308,345801014,cadherin-16,2.2914856536130257
309,345796147,disks large homolog 1 isoform 1,2.2698003207728932
310,73959409,syntaxin-binding protein 3 isoform 1,2.267217568342847
311,73964691,monocarboxylate transporter 4,2.2582724641307506
312,345781936,sodium-dependent multivitamin transporter,2.2521982992780165
313,345780126,neurabin-1 isoform 4,2.2438901625773022
314,359319512,ubiquitin-like protein ISG15-like,2.2347159533698062
315,308082020,triosephosphate isomerase,2.2299888698616042
316,359322717,NSFL1 cofactor p47 isoform 2,2.226348852092658
317,345799184,oncostatin-M-specific receptor subunit beta,2.2125148914226735
318,57099669,cofilin-1 isoform 1,2.2081906935271296
319,73965183,coiled-coil domain-containing protein 47 isoform 1,2.2070439731832532
320,73945728,ezrin isoform 1,2.2065890906693193
321,73954685,coatomer subunit delta isoform 1,2.2056097945601141
322,73968432,"ATP synthase subunit beta, mitochondrial isoform 1",2.191168450168929
323,57090119,peptidyl-prolyl cis-trans isomerase FKBP3 isoform 1,2.1832871589687075
324,359320768,erythrocyte membrane protein band 4.1 like 4B,2.1732584423568482
325,73994957,merlin isoform 8,2.1698613297132261
326,345785187,uncharacterized protein LOC100686852,2.1489086023145076
327,345782539,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 isoform 1,2.1432299249788098
328,73947692,serine/threonine-protein kinase PAK 4 isoform 2,2.1290667429808101
329,57104538,charged multivesicular body protein 4b,2.1278229632547312
330,73967208,transmembrane protein 199,2.1251608779428719
331,345795347,charged multivesicular body protein 2b,2.1139911488019774
332,345796663,segment polarity protein dishevelled homolog DVL-3,2.1049636743276317
333,73959175,H(+)/Cl(-) exchange transporter 7 isoform 1,2.0939965947663719
334,73980918,macrophage-capping protein,2.0886744586173762
335,74003615,eukaryotic translation initiation factor 5A-2 isoform 2,2.0882753115178141
336,73981528,ras-related protein Rap-1A isoform 2,2.0532006401912861
337,345784346,ubiquitin-40S ribosomal protein S27a-like,2.0518443773568644
338,73948705,abl interactor 1 isoform 14,2.0445955839533712
339,345804359,thioredoxin-related transmembrane protein 1,2.0442811277187927
340,73962054,vesicle-associated membrane protein-associated protein A isoform 2,2.0383005221964834
341,73969959,cytoskeleton-associated protein 4,2.0236184175341858
342,73971168,uncharacterized protein C9orf25 isoform 4,2.0167284104895091
343,345804463,rho-related GTP-binding protein RhoJ,2.0018334626612231
344,57048026,cell growth-regulating nucleolar protein isoform 1,1.995532323240452
345,57108121,calcium-binding protein p22 isoform 1,1.9896433448039994
346,345803013,ras-related protein Rab-13,1.9747968294670593
347,73980876,eukaryotic translation initiation factor 2-alpha kinase 3,1.9613564428805725
348,73983142,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed isoform 2,1.9613407148146373
349,73990204,cytoplasmic protein NCK1 isoform 2,1.9591983973520497
350,74000257,transmembrane protein 87A,1.9576691263595651
351,73996231,poly(rC)-binding protein 2 isoform 15,1.9335050904288609
352,134085902,rho GTPase-activating protein 1,1.9241000267569841
353,303228324,GTP-binding nuclear protein Ran,1.9215676072845298
354,57098115,14-3-3 protein theta isoform 1,1.918494683434516
355,73952670,ankyrin-3 isoform 1,1.9175793510919272
356,57043233,syntaxin-12,1.9029501776647624
357,71043798,cathepsin D precursor,1.8814611650702229
358,153791666,hematological and neurological expressed 1 protein,1.8774291478796192
359,345783819,182 kDa tankyrase-1-binding protein,1.8694204875431306
360,345798746,cytoplasmic FMR1-interacting protein 1,1.8584486288248718
361,359323938,nucleolar protein 58-like,1.8584338044534843
362,74005825,plasma membrane calcium-transporting ATPase 4 isoform 3,1.8410805548350369
363,73962685,rho GTPase-activating protein 5 isoform 1,1.8260908021387194
364,57091463,synaptic vesicle membrane protein VAT-1 homolog,1.8200274913869834
365,345788882,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like",1.8162928740153683
366,359320564,ras-related protein Rap-1b,1.8091343267895286
367,73951013,myotubularin-related protein 10 isoform 1,1.8002754263900007
368,73958451,serine/threonine-protein kinase TAO2 isoform 2,1.7934985476186922
369,212276025,phosphatidylinositol-4-phosphate 5-kinase type-1 alpha,1.7901324634929532
370,73981496,F-actin-capping protein subunit alpha-1 isoform 2,1.7889060559226713
371,345804903,uncharacterized protein LOC490901,1.7762849165918275
372,73982992,protein YIF1A isoform 2,1.7737547144164891
373,345778505,uncharacterized protein LOC100688057,1.7728830791724723
374,209180440,"solute carrier family 2 (facilitated glucose transporter), member 9",1.772578513460441
375,345776661,neutral amino acid transporter A isoform 2,1.7619875786185011
376,73986416,syntaxin-10 isoform 1,1.7565693947674728
377,345791129,scavenger receptor class B member 1,1.7457570962743854
378,73975490,"coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial isoform 2",1.7447454664524293
379,73979203,rab11 family-interacting protein 1 isoform 1,1.7354441332339514
380,73976579,late secretory pathway protein AVL9 homolog,1.7085348767391035
381,73997733,cell division cycle-associated protein 3,1.7069943782219417
382,73982080,estradiol 17-beta-dehydrogenase 12 isoform 2,1.7033464450884019
383,73958326,syntaxin-4 isoform 2,1.6954829976542904
384,356461051,glutathione S-transferase pi 1,1.6942714323126062
385,359319882,ladinin-1,1.685310809317921
386,345806081,78 kDa glucose-regulated protein isoform 5,1.6760895967806029
387,345779124,protein FAM91A1,1.67575335237965
388,73961491,lamin-B receptor,1.6666633771745356
389,74002483,PEST proteolytic signal-containing nuclear protein isoform 3,1.6545360714541413
390,74006742,ATP-dependent RNA helicase DDX3X isoform 11,1.642821812788732
391,50978672,serine/threonine-protein phosphatase PP1-beta catalytic subunit,1.6416588811783797
392,359321653,rab11 family-interacting protein 5-like,1.6397474345036265
393,50950253,rhophilin-2,1.6371718060473752
394,73981228,thioredoxin-interacting protein isoform 2,1.6232130970366581
395,345793367,rho GTPase-activating protein 12,1.6042030719340665
396,50950141,presenilin-1,1.6017894900282739
397,73959528,synaptogyrin-3,1.5881460538311616
398,73974180,14-3-3 protein zeta/delta isoform 2,1.5807094392516459
399,345794001,phosphatase and actin regulator 4,1.5804182053604785
400,114326367,ras-related protein Rab-27A,1.5797545197255525
401,73946761,charged multivesicular body protein 2a isoform 2,1.5738229822070535
402,73957776,"malate dehydrogenase, mitochondrial",1.5585715397470037
403,375065844,heterogeneous nuclear ribonucleoprotein K,1.5377050953332234
404,114326313,NADH-cytochrome b5 reductase 3,1.5310750283085774
405,345797874,sodium/potassium-transporting ATPase subunit alpha-2 isoform 1,1.5238555449775626
406,345790800,"arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",1.5144049019705463
407,73961165,uncharacterized protein C1orf21,1.4971303656117432
408,345800177,gamma-glutamyltransferase 6 isoform 1,1.4941220772036663
409,345779148,protein EFR3 homolog A,1.4869084179093477
410,73968671,fibroblast growth factor receptor substrate 2 isoform 1,1.4856865295337858
411,73982680,liprin-alpha-1 isoform 2,1.4804356190962193
412,73980394,protein disulfide-isomerase A6,1.4763060772601557
413,345799951,alpha-crystallin B chain isoform 5,1.4731244445590783
414,345782658,sorting nexin-27 isoform 3,1.4714991151982764
415,359322424,alpha-parvin,1.4712422104203979
416,73974563,DEP domain-containing mTOR-interacting protein,1.4694455844736463
417,345781710,ras-related protein O-RAL-like,1.4620816116807538
418,345776760,ADP-ribosylation factor GTPase-activating protein 3,1.4564980619210468
419,359320524,surfeit locus protein 6-like,1.4558430265219959
420,73989909,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B isoform 14,1.4500146348275291
421,50978964,tight junction protein ZO-3,1.4461116942188899
422,57095986,BET1 homolog,1.4389727578892584
423,345797616,"60 kDa heat shock protein, mitochondrial isoform 1",1.4350487621651586
424,74007500,moesin isoform 2,1.3936198326775593
425,73987150,endophilin-A2 isoform 2,1.3915547334917706
426,73993338,spartin,1.3904824597228853
427,73950541,uncharacterized protein C1orf172 homolog,1.3862720896131182
428,73960970,secretory carrier-associated membrane protein 3 isoform 6,1.3844077332575468
429,345801526,TBC1 domain family member 10B-like,1.3755275816685808
430,73952267,leucyl-cystinyl aminopeptidase,1.3733058418546753
431,345794612,"sprouty-related, EVH1 domain-containing protein 1",1.3701088455900574
432,345794779,neuroplastin,1.3611875717995734
433,73945902,erythrocyte membrane protein band 4.1-like 2 isoform 2,1.3611280385803002
434,73981184,heterogeneous nuclear ribonucleoprotein A1-like isoform 3,1.3573851742673628
435,359318559,EPS8-like 1,1.3540458262356083
436,345806752,uncharacterized protein LOC609832,1.338325326262215
437,345792255,"FYVE, RhoGEF and PH domain-containing protein 4 isoform 1",1.3263838526505849
438,359320884,ATP-binding cassette sub-family F member 1,1.3241908674720959
439,50978734,heat shock 70 kDa protein 1,1.3238863710970734
440,61316477,F-actin-capping protein subunit alpha-2,1.3233933914712375
