ligand	receptor	pathway	n_patients	n_GSE131907	n_GSE205335	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
PTGES	PTGER2	other	19	9	10	0.022674486972391605	0.031130419210775903	0.20783834796594947	0.17670792875517355	1.0	0.5263157894736842	5.340576171875e-05	0.00026460127397017044
CD58	CD2	other	35	16	19	0.02304592728614807	0.02524771704338491	0.7766021329909563	0.7513544159475714	1.0	0.8	7.739773718640208e-05	0.00036679797188338375
HLA-A	CD8A	MHC_I	35	17	18	0.12197637557983398	0.13647411550794328	1.469103166248117	1.332629050740174	1.0	1.0	8.433760376647115e-05	0.0003830332837727231
CEACAM5	CD8A	MHC_I_partial	23	10	13	0.06073635071516037	0.12453174578916767	0.650042949811272	0.5255112040221043	1.0	0.7391304347826086	8.845329284667969e-05	0.0003856563568115234
HLA-C	CD8A	MHC_I	35	17	18	0.11203157901763916	0.12854263058730533	1.3433919563889503	1.214849325801645	1.0	1.0	9.993941057473421e-05	0.00041897675971715496
HLA-E	KLRC2	MHC_I	15	4	11	0.17394709587097168	0.17224191824595134	0.786661334335804	0.6144194160898526	1.0	1.0	0.0001220703125	0.00047520228794642856
HLA-E	KLRC2+KLRD1	MHC_I	15	4	11	0.17394709587097168	0.17224191824595134	0.7857882971564929	0.6135463789105415	1.0	1.0	0.0001220703125	0.00047520228794642856
DHCR24	RORA	other	38	18	20	0.05156574584543705	0.0703443484871011	0.5155629150961575	0.4452185666090564	1.0	0.9736842105263158	0.00017394948372384533	0.0006538101284792807
HLA-E	KLRC1	MHC_I	13	8	5	0.1372033953666687	0.1359861372755124	0.7006742484294451	0.5646881111539327	1.0	1.0	0.000244140625	0.000858429939516129
MICA	HCST+KLRK1	MHC_I_partial	13	0	13	0.023229654878377914	0.02823767990160447	0.3388328065092747	0.31059512660767025	1.0	0.6923076923076923	0.000244140625	0.000858429939516129
HLA-B	CD8A	MHC_I	35	17	18	0.11836230754852295	0.12731865665742328	1.4227130615285464	1.2953944048711232	1.0	1.0	0.0002624634653329849	0.0008940161787904799
BAG6	NCR3	other	16	9	7	0.03980015218257904	0.04752036742866039	0.3194295493885875	0.2719091819599271	1.0	1.0	0.00042724609375	0.0014112067945075758
HLA-A	CD8B	MHC_I	31	14	17	0.13217175006866455	0.14200166156215052	1.3978568791381774	1.255855217576027	1.0	1.0	0.00045317597687244415	0.0014528288670322474
HLA-E	KLRC1+KLRD1	MHC_I	12	7	5	0.13840951025485992	0.14558887419601282	0.7188192196190357	0.5732303454230229	1.0	1.0	0.00048828125	0.0014999845168656772
HLA-C	CD8B	MHC_I	31	14	17	0.1372314691543579	0.13372825951345504	1.2917374189822906	1.1580091594688353	1.0	1.0	0.0004954077303409576	0.0014999845168656772
CD44	TYROBP	other	30	16	14	0.043837111443281174	0.04167188660552104	0.5785204513619343	0.5368485647564133	1.0	0.9	0.0007978975772857666	0.0023505631330850963
LPAR1	ADGRE5	other	11	4	7	0.014559817034751177	0.015510833970355716	0.3722683845765211	0.35675755060616543	1.0	0.2727272727272727	0.0009765625	0.002801192434210526
HLA-B	CD8B	MHC_I	31	14	17	0.15071022510528564	0.13324219060520973	1.3937668348512342	1.2605246442460245	1.0	1.0	0.0010653818026185036	0.002977605550908125
CXCL16	CXCR6	T_recruit	21	10	11	0.03125545382499695	0.041443453392102605	0.32038539630316554	0.27894194291106295	1.0	0.8571428571428571	0.0011758804321289062	0.0032042741775512693
PVR	CD96	other	27	11	16	0.018426602706313133	0.018725435456468	0.33365660740269554	0.31493117194622755	0.9629629629629629	0.8518518518518519	0.0012526363134384155	0.0033301794674338364
PVR	TIGIT	other	26	11	15	0.018459110986441374	0.019248321330031522	0.34434294829574913	0.3250946269657176	0.9615384615384616	0.8846153846153846	0.0014439225196838379	0.0037473227296556744
PODXL	SELL	other	16	6	10	0.015039825113490224	0.018866020614950685	0.3244306528940797	0.305564632279129	0.9375	0.375	0.001678466796875	0.0042547181595203485
DHCR7	RORA	other	36	16	20	0.014539139345288277	0.01358121752531992	0.3325298980085386	0.31894868048321867	0.9722222222222222	0.8611111111111112	0.0019591173622757196	0.004853268011092124
LGALS9	HAVCR2	other	17	8	9	0.03980232961475849	0.04657402273048373	0.35833386441364007	0.31175984168315635	1.0	0.9411764705882353	0.0025787353515625	0.006246270073784722
PVR	CD226	other	13	3	10	0.03568639978766441	0.03171170273652443	0.18509855293310606	0.15338685019658163	1.0	0.8461538461538461	0.00341796875	0.008099099864130434
DHCR7	NR1H2	other	31	12	19	0.017347104847431183	0.013594995162660075	0.2186263171174834	0.20503132195482332	0.967741935483871	0.8387096774193549	0.0038599325343966484	0.00895175843083478
PPIA	BSG	other	40	19	21	-0.057100117206573486	-0.06153765469789505	1.454811466112733	1.516349120810628	1.0	1.0	0.004052109774420387	0.009201665946079629
TNC	ITGA4+ITGB1	other	13	7	6	0.08912815526127815	0.09045738289849116	0.3539168651287372	0.26345948223024607	1.0	0.5384615384615384	0.004638671875	0.010213136672973633
CD47	SIRPG	other	22	9	13	0.052797093987464905	0.07018127698789943	0.5542315573177554	0.48405028032985603	1.0	1.0	0.004684925079345703	0.010213136672973633
