case_id	cohort	CLDN4_protein	ImmuneScore	CD274_RNA	CD274_protein	quartile	tacstd2_gate
C3L-02365	LUAD		6099.632	7.3436	21.8129426744567		none
C3L-02508	LUAD	22.4996764483953	9456.088	8.2531	21.7761277717327	Q1	none
C3L-02549	LUAD		8477.417	8.8523	22.1147842739064		none
C3N-00167	LUAD	22.5282200233318	7747.156	7.6339	21.2126359154953	Q1	none
C3N-00169	LUAD		7777.296	9.6121	22.7051702322063		none
C3N-00175	LUAD		7796.313	9.6515	22.343133777794		none
C3N-00180	LUAD	23.1521648288664	4638.346	7.8221	22.1757410718275	Q3	none
C3N-00199	LUAD		6680.621	7.8227	21.4484042246865		none
C3N-00203	LUAD	22.7256513326753	9029.167	11.4716	22.148018825336	Q1	none
C3N-00217	LUAD	23.1796512868201	6731.891	7.5027	21.4895201728204	Q3	none
C3N-00223	LUAD		9123.682	8.452	22.4131303286503		none
C3N-00293	LUAD	22.759500088294	7722.183	8.8573	22.0584828536689	Q1	none
C3N-00294	LUAD		7704.568	11.5317	24.4676878669332		none
C3N-00433	LUAD	23.4315563797695	11277.868	10.8017	23.452088522354	Q4	none
C3N-00546	LUAD		9126.47	10.5317	22.6675989286387		none
C3N-00547	LUAD	22.681142044946	6623.462	7.7712	22.0432627849846	Q1	none
C3N-00549	LUAD	23.6160125139896	4096.151	7.2332	21.2837518567054	Q4	none
C3N-00550	LUAD	23.5374327819564	8281.054	8.0926	21.5750329949096	Q4	none
C3N-00551	LUAD		8248.138	8.5824	21.9532638176355		none
C3N-00552	LUAD		9182.698	10.0318	22.6611165422078		none
C3N-00556	LUAD		9126.827	11.5116	23.8371988778783		none
C3N-00559	LUAD	23.5373723891433	8231.303	8.2223	21.937347391602	Q4	none
C3N-00560	LUAD	23.2506094037229	7477.095	8.2928	22.122108177013	Q3	none
C3N-00572	LUAD	23.1132171218189	8704.862	8.5726	22.1894469158441	Q3	none
C3N-00574	LUAD	23.5742067301739	8127.54	8.5625	22.4158490937356	Q4	none
C3N-00578	LUAD	23.1164940904834	8004.16	8.7023	21.8408452055223	Q3	none
C3N-00579	LUAD		8711.774	10.3118	22.8918938522918		none
C3N-00580	LUAD	22.956394458931	7017.657	9.6519	23.7912377988602	Q2	none
C3N-00704	LUAD		8007.408	10.5817	22.9123431849999		none
C3N-00737	LUAD	22.8389478624937	9145.274	8.5014	22.0299547142215	Q2	none
C3N-00738	LUAD	23.2917756667206	9494.847	9.4118	21.92249812944	Q3	none
C3N-00959	LUAD	22.9716358025199	7461.782	8.4123	21.6083520463949	Q2	none
C3N-01016	LUAD	22.8077305689692	7215.226	8.6308	22.0908931121112	Q2	none
C3N-01021	LUAD	22.893751041462	7849.283	8.3227	21.9286773182284	Q2	none
C3N-01023	LUAD	23.0412586404478	8770.69	8.972	22.1738505882367	Q2	none
C3N-01024	LUAD	23.0852976928544	6950.055	8.2222	21.8447360826235	Q3	none
C3N-01030	LUAD		8697.712	11.5716	24.368976130722		none
C3N-01071	LUAD	22.7761210374651	8123.593	8.5828	21.7955090071757	Q2	none
C3N-01072	LUAD		8166.396	8.6322	22.1181165055125		none
C3N-01074	LUAD	23.2922695578876	6978.484	7.6434	22.0092995240433	Q4	none
C3N-01405	LUAD	22.74180487393	8478.652	10.8517	23.668614703374	Q1	none
C3N-01410	LUAD	23.3211210488318	7393.52	8.8121	22.4610658573099	Q4	none
C3N-01413	LUAD	22.9881347041029	8952.236	9.3317	22.8195881528078	Q2	none
C3N-01414	LUAD		7302.268	8.2418	21.8534273033515		none
C3N-01415	LUAD	23.6366902249778	8236.775	8.5824	21.7086426054824	Q4	none
C3N-01416	LUAD	22.8022385013355	9556.236	9.7819	22.9935070818084	Q2	none
C3N-01488	LUAD	22.7616095643611	9111.416	9.4819	22.809239472719	Q2	none
C3N-01489	LUAD	23.4378993502263	9632.214	9.3718	22.3373637636749	Q4	none
C3N-01799	LUAD	22.9868855161172	9447.079	8.262	21.2949716458001	Q2	none
C3N-01823	LUAD		8443.056	8.5024	21.9018841404912		none
C3N-01842	LUAD		7193.706	9.2217	22.1156690562257		none
C3N-02000	LUAD	22.6138202897042	8114.258	8.2421	21.3774959515645	Q1	none
C3N-02002	LUAD	23.0423185151942	7394.305	7.3533	21.368708683975	Q2	none
C3N-02003	LUAD	22.5151424908747	10593.123	10.7217	23.3902665165258	Q1	none
C3N-02067	LUAD	22.9703406837123	7841.881	8.1032	21.9036895391211	Q2	none
C3N-02087	LUAD		9956.644	10.9317	23.2683043267152		none
C3N-02089	LUAD	22.5664900184424	7793.194	10.7542	23.8514415485068	Q1	none
C3N-02145	LUAD	23.0912934238736	7808.154	8.2828	23.1396948709487	Q3	none
C3N-02149	LUAD	23.4279584707319	7484.389	8.1921	22.298382371291	Q4	none
C3N-02155	LUAD	23.1315863737099	5976.38	7.3241	21.4034756781926	Q3	none
C3N-02158	LUAD		8115.207	7.3237	22.0288006481934		none
C3N-02379	LUAD	23.5417998945134	8719.779	10.3418	22.9157140943382	Q4	none
C3N-02380	LUAD		6803.122	7.5623	22.3617549438433		none
C3N-02421	LUAD		7897.621	9.6218	22.5080423465644		none
C3N-02422	LUAD	24.9609243822922	7126.44	8.1715	21.6574368675233	Q4	none
C3N-02423	LUAD	22.8022812803958	9819.911	11.6116	24.1292620776561	Q2	none
C3N-02424	LUAD	22.4020229349542	9810.899	11.2417	23.3706442892221	Q1	none
C3N-02433	LUAD	22.7954243706539	8929.383	8.1527	21.2674484819583	Q2	none
C3N-02529	LUAD	21.7468855979234	9232.569	11.0516	23.4242464225505	Q1	none
C3N-02572	LUAD	23.2219729497678	7861.555	9.2019	21.7256321530984	Q3	none
C3N-02582	LUAD		7622.619	8.8922	21.8422683971952		none
C3N-02586	LUAD	23.0831956652913	7372.811	8.2222	22.0971058069846	Q3	none
C3N-02587	LUAD	22.0696702147104	8542.659	8.972	21.7564994533087	Q1	none
C3N-02588	LUAD		7087.149	7.9633	22.2372553497215		none
C3N-02729	LUAD	22.2029179081993	6676.307	7.5833	21.0871418894237	Q1	none
