sample	patient	pair_id	n_tumor_hi_interface	n_tumor_lo_interface	n_cd8_interface	mean_hi	mean_lo	delta_mean	p_hi	p_lo
Lung6	Lung6	CXCL12|CXCR4	494	528	217	0.3957417525453773	0.4065183251824362	-0.01077657263705889	0.0	0.0
Lung6	Lung6	CXCL16|CXCR6	494	528	217	0.17041275975189268	0.15314813471670932	0.017264625035183362	0.0	0.0
Lung6	Lung6	CXCL9|CXCR3	494	528	217	0.0561112552931561	0.050558429318283166	0.005552825974872937	0.05466666666666667	0.115
Lung6	Lung6	CXCL10|CXCR3	494	528	217	0.05671923033159574	0.06578865395542852	-0.009069423623832777	0.167	0.036
Lung6	Lung6	CCL5|CCR5	494	528	217	0.06733126769207542	0.08280699972659994	-0.015475732034524514	1.0	1.0
Lung6	Lung6	HLA-A|CD8A	494	528	217	0.8341196546286462	0.9028425208343492	-0.068722866205703	0.0	0.0
Lung6	Lung6	HLA-B|CD8A	494	528	217	0.8994372956523284	0.9397178761175428	-0.04028058046521432	0.0	0.0
Lung6	Lung6	HLA-C|CD8A	494	528	217	0.791058654918096	0.8515935614275905	-0.060534906509494446	0.0	0.0
Lung6	Lung6	HLA-A|CD8B	494	528	217	0.536580309051905	0.6053031752576081	-0.06872286620570311	0.888	0.0
Lung6	Lung6	HLA-B|CD8B	494	528	217	0.6018979500755872	0.6421785305408017	-0.04028058046521443	0.722	0.03866666666666667
Lung6	Lung6	HLA-C|CD8B	494	528	217	0.4935193093413548	0.5540542158508494	-0.06053490650949456	0.297	0.0
Lung6	Lung6	APP|CD74	494	528	217	0.7653992689843493	0.7688292135912267	-0.0034299446068773998	0.0	0.0
Lung6	Lung6	FASLG|FAS	494	528	217	0.06396898482652436	0.06387800886624125	9.097596028311006e-05	0.024	0.024
Lung6	Lung6	SPP1|CD44	494	528	217	0.2554717831667102	0.28317965778190946	-0.027707874615199246	0.938	0.7013333333333334
Lung6	Lung6	IFNG|IFNGR1_IFNGR2	494	528	217	0.02719839548078361	0.026236787718790833	0.0009616077619927776	0.296	0.296
Lung9_Rep1	Lung9	CDH1|CDH1	3664	4532	1289	0.06283345714409909	0.06025438461367967	0.0025790725304194184	1.0	1.0
Lung9_Rep1	Lung9	CDH1|ITGA2_ITGB1	3664	4532	1289	0.05448268309653663	0.051903610566117205	0.0025790725304194254	0.368	0.956
Lung9_Rep1	Lung9	ICAM1|ITGAL_ITGB2	3664	4532	1289	0.06489694139030557	0.05845136003138079	0.006445581358924778	0.0	0.0
Lung9_Rep1	Lung9	ICAM1|ITGAL	3664	4532	1289	0.09201367187005019	0.08556809051112542	0.006445581358924771	0.0	0.0
Lung9_Rep1	Lung9	CD274|PDCD1	3664	4532	1289	0.04679379683212158	0.056471625916046875	-0.009677829083925296	0.124	0.0
Lung9_Rep1	Lung9	PDCD1LG2|PDCD1	3664	4532	1289	0.04014794226045004	0.041514506509442335	-0.0013665642489922927	0.002	0.0
Lung9_Rep1	Lung9	LGALS9|HAVCR2	3664	4532	1289	0.07499639295135643	0.06752448999419444	0.007471902957161991	0.002	0.303
Lung9_Rep1	Lung9	LGALS9|PTPRC	3664	4532	1289	0.14736033960467515	0.1398884366475132	0.007471902957161963	0.0	0.0
Lung9_Rep1	Lung9	LGALS9|CD44	3664	4532	1289	0.18814263203523232	0.18067072907807033	0.007471902957161991	0.0	0.0
Lung9_Rep1	Lung9	MIF|CD74_CD44	3664	4532	1289	0.6750347854378489	0.5042547820206661	0.1707800034171828	0.0	1.0
Lung9_Rep1	Lung9	MIF|CD74_CXCR4	3664	4532	1289	0.6554215223280301	0.4846415189108473	0.1707800034171828	0.0	1.0
Lung9_Rep1	Lung9	TGFB1|TGFBR1_TGFBR2	3664	4532	1289	0.03002225381110603	0.037187159962349496	-0.007164906151243468	1.0	0.8573333333333334
Lung9_Rep1	Lung9	CXCL12|CXCR4	3664	4532	1289	0.15479413854127375	0.14266182203610478	0.012132316505168966	0.0	0.0
Lung9_Rep1	Lung9	CXCL16|CXCR6	3664	4532	1289	0.062272602951863	0.06353266379916528	-0.0012600608473022773	0.032	0.012
Lung9_Rep1	Lung9	CXCL9|CXCR3	3664	4532	1289	0.04317205040683642	0.048195824949197316	-0.005023774542360894	0.066	0.0
Lung9_Rep1	Lung9	CXCL10|CXCR3	3664	4532	1289	0.10060147685719195	0.09190377539431788	0.008697701462874075	0.0	0.142
Lung9_Rep1	Lung9	CCL5|CCR5	3664	4532	1289	0.048515540926082526	0.05149153254315672	-0.0029759916170741946	0.982	0.982
Lung9_Rep1	Lung9	HLA-A|CD8A	3664	4532	1289	0.8177186456523208	0.7218982051356004	0.09582044051672034	0.0	0.0
