config	split	radius_um	sdm_l_um	pair_id	ligand	family	endpoint	n_fov	n_slides	median_hi	median_lo	median_delta	fold	n_pos	n_neg	p	n_patients	n_patients_pos	n_patients_neg
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL16|CXCR6	CXCL16	chemokine	commot_frac_pos	207.0	8	0.021016678456592167	0.011414181652831333	0.004530542950907983	1.8412777276397119	5	3	0.25	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL9|CXCR3	CXCL9	chemokine	expr	207.0	8	0.06571750547609896	0.05774976918990611	-0.008785733633597421	1.1379700109275157	3	5	0.4609375	5	1	4
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL9|CXCR3	CXCL9	chemokine	sdm_prox	207.0	8	-0.006827716845583613	0.037338168087185805	-0.044963379681082716	-0.18286159164639995	2	6	0.1953125	5	1	4
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL9|CXCR3	CXCL9	chemokine	sdm_geom	207.0	8	-0.06371960631988631	0.06034629105390842	-0.09267623984173684	-1.0558992973232513	1	7	0.1484375	5	1	4
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL9|CXCR3	CXCL9	chemokine	commot	207.0	8	0.0016182312414063475	0.0016285168476434086	0.00019478632285002285	0.9936840651959203	5	2	0.375	5	3	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL9|CXCR3	CXCL9	chemokine	commot_supply	207.0	8	0.03225014113400859	0.03164723850381583	8.39435890525337e-05	1.019050718441676	4	3	0.46875	5	3	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	CXCL9|CXCR3	CXCL9	chemokine	commot_frac_pos	207.0	8	0.0060203514416162975	0.00653925140543701	0.0006287297527706734	0.920648414986878	4	3	0.8125	5	2	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	FASLG|FAS	FASLG	other	expr	207.0	8	0.032195343975450534	0.03178054799729631	-0.005445694405481819	1.0130518824971022	3	5	0.3828125	5	1	4
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	FASLG|FAS	FASLG	other	sdm_prox	207.0	8	0.07015600769064304	-0.00258580285253328	0.04591185835109521		6	2	0.3828125	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	FASLG|FAS	FASLG	other	sdm_geom	207.0	8	-0.014804575760332086	-0.03182122872512681	-0.008309200774684469		2	6	0.4609375	5	2	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	FASLG|FAS	FASLG	other	commot	207.0	8	0.002640308843841947	0.0017938963420644346	-0.0007493037780939461	1.4718291029031543	2	5	0.578125	5	1	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	FASLG|FAS	FASLG	other	commot_supply	207.0	8	0.12041591083762354	0.10248248088024627	-0.0034719658393566194	1.1749902012845785	3	4	0.8125	5	1	3
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	FASLG|FAS	FASLG	other	commot_frac_pos	207.0	8	0.010989213105498958	0.006479422010732042	0.0015964395631342396	1.6960174977485996	5	2	0.296875	5	3	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8A	HLA-A	mhc_control	expr	207.0	8	0.9222999687643603	0.8008847026138912	0.11077375320765015	1.1516014299613906	7	1	0.1953125	5	4	1
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8A	HLA-A	mhc_control	sdm_prox	207.0	8	0.5344638187280268	0.35102749400233635	0.14766791433667023	1.5225696786146032	8	0	0.0078125	5	5	0
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8A	HLA-A	mhc_control	sdm_geom	207.0	8	0.6156897132956995	0.4228573185169331	0.13983301904916265	1.4560223657830451	6	2	0.640625	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8A	HLA-A	mhc_control	commot	207.0	8	0.0344600884038121	0.033101374515906966	0.0008877194632044855	1.0410470534162322	4	4	1.0	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8A	HLA-A	mhc_control	commot_supply	207.0	8	0.040587062428390025	0.0439587723562555	-0.0036817762177665803	0.9232983600965903	4	4	1.0	5	3	2
barrier_tertile_15um_g0	tertile	15.0	7.7006761865715445	HLA-A|CD8A	HLA-A	mhc_control	commot_frac_pos	207.0	8	0.5674943046018874	0.498522510051815	0.10101718547507574	1.1383524177131013	7	1	0.1953125	5	4	1
