sample	CLDN4_log2p1	quartile
Case93	0.0	Q1
Case94	7.8044021061905235	Q4
Case95	6.696285996057829	Q4
Case96	6.193101483469204	Q2Q3
Case97	5.946169390959886	Q2Q3
Case98	5.595891493782196	Q2Q3
Case99	5.614739286570712	Q2Q3
Case100	6.0522637214489325	Q2Q3
Case101	5.678832500795538	Q2Q3
Case102	5.644375466525237	Q2Q3
Case103	5.471154937589367	Q1
Case104	6.097189387235113	Q2Q3
Case105	6.307556030482957	Q4
Case106	5.807251868731306	Q2Q3
Case107	5.578727424289723	Q2Q3
Case108	4.86235219953202	Q1
Case109	5.694852341274738	Q2Q3
Case110	5.678832500795538	Q2Q3
Case111	5.607211933915222	Q2Q3
Case112	5.833219012359909	Q2Q3
Case113	6.575297201675216	Q4
Case114	4.778786800356923	Q1
Case115	6.11715476192161	Q2Q3
Case116	6.965980477846814	Q4
Case117	5.717703837438534	Q2Q3
Case118	6.328495420665916	Q4
Case119	5.545721311130395	Q2Q3
Case120	5.8105202237568605	Q2Q3
Case121	5.6240716426072925	Q2Q3
Case122	5.629648044187436	Q2Q3
Case123	5.729851828137525	Q2Q3
Case124	5.8571599177929095	Q2Q3
Case125	5.941693225661369	Q2Q3
Case126	5.966845717652737	Q2Q3
Case127	6.564058008403771	Q4
Case128	5.551577538492862	Q2Q3
Case129	5.712458217153396	Q2Q3
Case130	5.505890929729957	Q2Q3
Case131	6.427522370682554	Q4
Case132	5.7504457200546	Q2Q3
Case133	5.519950702504634	Q2Q3
Case134	5.735007610959306	Q2Q3
Case135	5.865052739719271	Q2Q3
Case136	0.0	Q1
Case137	5.800692861561554	Q2Q3
Case138	7.847652472094996	Q4
Case139	6.897313042625101	Q4
Case140	5.997314991915606	Q2Q3
Case141	6.468501861735322	Q4
Case142	5.489639266229822	Q1
Case143	6.557869552069669	Q4
Case144	8.057753509541037	Q4
Case145	6.025759704770209	Q2Q3
Case146	5.491692787974502	Q1
Case147	6.7625880046464735	Q4
Case148	5.8105202237568605	Q2Q3
Case149	2.84478735007906	Q1
Case150	5.872902615752279	Q2Q3
Case151	6.157549050106923	Q2Q3
Case152	5.696605938071341	Q2Q3
Case153	6.074227111863705	Q2Q3
Case154	5.780782520061914	Q2Q3
Case155	5.997314991915606	Q2Q3
Case156	5.9550570167583	Q2Q3
Case157	5.469071952080386	Q1
Case158	5.535835235862393	Q2Q3
Case159	5.597769518027974	Q2Q3
Case160	5.070131680772062	Q1
Case161	6.511373155299844	Q4
Case162	0.0	Q1
Case163	5.710696247531549	Q2Q3
Case164	6.021524144677458	Q2Q3
Case165	5.75384517930536	Q2Q3
Case166	7.175714206821487	Q4
Case167	5.991567195305287	Q2Q3
Case168	0.0	Q1
Case169	5.916094422938358	Q2Q3
Case170	5.669848822064225	Q2Q3
Case171	5.493711372639175	Q1
Case172	0.0	Q1
Case173	5.93269901456694	Q2Q3
Case174	5.464929601129852	Q1
Case175	5.731563419837288	Q2Q3
Case176	6.010197989565728	Q2Q3
Case177	7.907587729751099	Q4
Case178	7.52594357228725	Q4
Case179	5.890033184070901	Q2Q3
Case180	5.574858391292778	Q2Q3
Case181	5.747038231647968	Q2Q3
Case182	6.087781047708466	Q2Q3
Case183	6.975125723397613	Q4
Case184	5.743595749817112	Q2Q3
Case185	5.45450493755737	Q1
Case186	6.582977429990839	Q4
Case187	5.610995278948271	Q2Q3
Case188	5.7623222366402524	Q2Q3
Case189	6.157549050106923	Q2Q3
Case190	6.2387486521150635	Q4
Case191	1.414676780426886	Q1
Case192	5.517937039328685	Q2Q3
Case193	5.642557179595621	Q2Q3
Case194	6.479844921181483	Q4
Case195	5.937203129192643	Q2Q3
Case196	5.698385189898527	Q2Q3
Case197	5.545721311130395	Q2Q3
Case198	5.979979586743875	Q2Q3
Case199	6.071505267347363	Q2Q3
Case200	6.330540473788208	Q4
Case201	4.922150265321415	Q1
Case202	6.0397744786641745	Q2Q3
Case203	6.149808077162243	Q2Q3
Case204	6.456017575807786	Q4
Case205	5.4565761931705055	Q1
Case206	5.519950702504634	Q2Q3
Case207	5.818671644166626	Q2Q3
Case208	6.702311232858297	Q4
Case209	5.082234216406493	Q1
Case210	5.700162250106601	Q2Q3
Case211	5.6716330565959	Q2Q3
Case212	6.9057480097011945	Q4
Case213	5.813781191217037	Q2Q3
Case214	5.656639374473015	Q2Q3
Case215	7.049804995735306	Q4
Case216	6.1038752591377365	Q2Q3
Case217	0.0	Q1
Case218	5.815421724470408	Q2Q3
Case219	5.487582817350103	Q1
Case220	5.662604293870472	Q2Q3
Case221	6.973634233564696	Q4
Case222	5.860317263383975	Q2Q3
Case223	0.0	Q1
Case224	5.8364543793663515	Q2Q3
Case225	5.800692861561554	Q2Q3
Case226	6.653289362155662	Q4
Case227	6.317937134781696	Q4
Case228	5.8915650044471555	Q2Q3
Case229	5.879142103434372	Q2Q3
Case230	5.631482663644342	Q2Q3
Case231	5.4773211425440325	Q1
Case232	8.83193106264141	Q4
Case233	0.0	Q1
Case234	5.567149917815118	Q2Q3
