gene,mean_high,mean_low,log2FC_high_vs_low,spearman_rho,spearman_p,welch_t,welch_p,mwu_p,spearman_fdr,welch_fdr,up_in_trop2_high,n_high,n_low,n_total
RHOV,7.22908355532072,5.415405525866957,1.8136780294537633,0.5534954314478612,1.4825895551915945e-41,13.115049242086926,9.68862551276526e-31,2.553582080556921e-29,6.027939569671715e-38,3.610950728607612e-27,True,167,167,501
CSTB,9.062153423965292,7.768506348343182,1.2936470756221095,0.5517735524966004,2.9460902310647187e-41,13.05525744235469,1.0237510679919692e-31,1.8207021818330488e-27,1.0980078291178207e-37,6.540891823553261e-28,True,167,167,501
RAET1E,1.2047896920454229,0.299672718167282,0.9051169738781408,0.5448737548455345,4.436631483260755e-40,10.51684561008011,1.464797898346777e-21,1.7232037119863697e-28,1.526337741979646e-36,7.444502409734234e-19,True,167,167,501
S100A16,9.63985008922123,8.349219973318549,1.2906301159026814,0.5412570556098958,1.793071715276145e-39,11.76399561375155,2.1257947564721914e-26,9.377364331867739e-27,5.728095671000737e-36,3.2784153340849065e-23,True,167,167,501
LYPD3,7.79402826062272,5.546062370275286,2.2479658903474338,0.5406118758498938,2.296290920107603e-39,12.131106192685014,4.341053198159283e-28,4.518230288091337e-25,6.846621007392829e-36,8.82496651065799e-25,True,167,167,501
RHBDL2,3.638770671654512,2.2554443401471707,1.3833263315073414,0.5363822792661689,1.1470358180050669e-38,12.996612809191609,1.8052981519444724e-31,6.156061958734524e-28,3.206251870278663e-35,1.0092519318445573e-27,True,167,167,501
EPHA2,6.5922363450561,5.23551383348581,1.3567225115702897,0.529788737977163,1.345968075647919e-37,12.294393495063316,1.5565443335744366e-28,8.195469020977739e-27,3.5410044832516193e-34,3.663941514462269e-25,True,167,167,501
DENND2C,3.6061767750553178,2.265416236298166,1.3407605387571517,0.5265109621394664,4.4873740088663565e-37,12.810466220571717,1.4538118651617586e-30,4.715749037085278e-27,1.1149628620696608e-33,5.0015601428841914e-27,True,167,167,501
SERPINB13,6.1125558660750405,2.9824219015456337,3.130133964529407,0.5244069712181013,9.65341512409268e-37,12.579890306051626,9.893027177001312e-30,5.726031924195641e-26,2.272312305315374e-33,3.160398196172904e-26,True,167,167,501
NECTIN4,6.982142472166914,5.45020931688758,1.5319331552793338,0.5233355440513394,1.4230006878837595e-36,11.857150342590993,2.9102364496642915e-26,8.953721705917565e-25,3.182114138245663e-33,4.2135503633810587e-23,True,167,167,501
EPS8L1,4.543003370564795,3.0245708289782645,1.518432541586531,0.5211707898943149,3.103642792016665e-36,12.37431388259493,4.1704478883614323e-29,6.617472108584111e-26,6.609872391912063e-33,1.0971712432886865e-25,True,167,167,501
GJB3,6.3495858412307555,4.4953971579157646,1.854188683314991,0.5203537466898872,4.159707214279142e-36,11.526372995690968,7.378057471802601e-25,3.5234047064377577e-25,8.456306611428197e-33,7.673866101602315e-22,True,167,167,501
C10orf99,5.17997722835635,2.204823807393611,2.975153420962739,0.5141565813607694,3.738019964944424e-35,12.457029932018008,1.7572174865794573e-29,4.2998740753480475e-25,7.268661083138018e-32,4.986436412391666e-26,True,167,167,501
PTK6,5.015650246586815,3.2312734869364785,1.7843767596503364,0.5128868955316459,5.829152807500989e-35,12.062856624038275,6.481302476612538e-28,5.268741985054923e-25,1.0308893354367435e-31,1.2603033563653008e-24,True,167,167,501
REEP4,6.887743744257,5.96775298581885,0.9199907584381508,0.5128213374048713,5.964125668849044e-35,12.814220970537157,8.095153203487359e-31,2.097455399472165e-26,1.0308893354367435e-31,3.52924657334603e-27,True,167,167,501
TMEM159,6.590046422195996,5.608483285884534,0.9815631363114612,0.5128075005367752,5.993006600786006e-35,11.957323616243974,1.6563165872500512e-27,1.627995510357306e-24,1.0308893354367435e-31,2.849119348006588e-24,True,167,167,501
BCL10,4.760911448780195,4.133910649339528,0.6270007994406672,0.5119956103728798,7.95383844462319e-35,11.165714421645003,8.63801200371054e-25,1.385012998792652e-23,1.3175091503604726e-31,8.780146564862504e-22,True,167,167,501
S100A2,10.460073553343504,7.549427886096507,2.910645667246997,0.5100798244149152,1.5464928028523864e-34,11.75496983444745,2.9205809244435386e-26,5.458770939607127e-25,2.4701908612417903e-31,4.2135503633810587e-23,True,167,167,501
TMPRSS4,6.699662784065439,4.5749037820179455,2.124759002047494,0.5083449674356466,2.813661350245965e-34,11.841027661146533,3.0970446716662127e-26,1.9215315769061618e-25,4.339247938910364e-31,4.3285070592374903e-23,True,167,167,501
ZNF185,5.9547180693128094,4.651160033563044,1.3035580357497656,0.5061852473309282,5.898925192035406e-34,12.153752731474542,2.7983489516452907e-28,3.7384926552684724e-25,8.794117676286383e-31,6.257667925669199e-25,True,167,167,501
HSPB1,11.384659147692147,10.096986418433765,1.2876727292583823,0.5043959252809124,1.0849304495099759e-33,11.988599164540096,1.5053919601067032e-27,5.263705189132633e-26,1.565239658834973e-30,2.6930860009524877e-24,True,167,167,501
SERPINB2,4.192081439754473,1.71908371357868,2.4729977261757927,0.5034549605045034,1.4925803207031788e-33,12.116247688181815,7.505017958662211e-28,4.7735161944982666e-24,2.0860675707227803e-30,1.398560096596703e-24,True,167,167,501
SFN,11.257687850374348,9.606081090040915,1.6516067603334328,0.499700932795763,5.276751151799962e-33,11.386610526097233,1.659211415800735e-24,6.289221242847399e-25,6.880399795240158e-30,1.4270494492360014e-21,True,167,167,501
FUT2,4.157370808061445,2.873524122979926,1.2838466850815187,0.4996716368060689,5.3286819987725184e-33,11.214490742326989,6.0126651912890495e-25,3.8034623345443083e-22,6.880399795240158e-30,6.696455787257471e-22,True,167,167,501
FUT6,1.8973535479082466,0.5053581778022,1.3919953701060466,0.4996404911281157,5.384446669202342e-33,10.978691768776471,1.5237348876895603e-22,2.9240926086481914e-23,6.880399795240158e-30,8.85032715805557e-20,True,167,167,501
CLCA4,3.5280538392132303,1.177440813354146,2.3506130258590843,0.4995399932547053,5.568352603503283e-33,11.38493270841278,9.094296430244297e-25,5.025914918604466e-24,6.917750051085578e-30,9.038518078805466e-22,True,167,167,501
SDCBP2,4.87163435958451,3.284286306578202,1.5873480530063078,0.4981876565593911,8.740305391012953e-33,11.391016703668775,1.3826794045428495e-25,2.818656671453087e-22,1.0564903197504413e-29,1.7177487135770667e-22,True,167,167,501
C12orf54,3.4540488344234084,1.5631187930621646,1.8909300413612438,0.4972604114287396,1.189254381870315e-32,12.116330968222428,4.311236792096115e-28,7.108531304029402e-24,1.399689815125473e-29,8.82496651065799e-25,True,167,167,501
GJB5,6.612551422361526,4.696677019890406,1.91587440247112,0.49380967149366606,3.7105450148871305e-32,10.532039161915266,1.9107742960888116e-21,1.1661897145207717e-23,4.2551388524567187e-29,9.413818730697086e-19,True,167,167,501
OVOL1,3.683756474573265,2.2612569025217217,1.4224995720515432,0.49184149629028795,7.059610871782071e-32,11.861504125445242,2.8325089358604106e-27,2.5068396598609567e-24,7.893350915739534e-29,4.6918936906452225e-24,True,167,167,501
ANXA8,4.873309999163132,2.920960806121163,1.9523491930419685,0.4912034735310256,8.688539860658803e-32,11.784950268975352,1.6297916385941184e-26,6.636405663061224e-24,9.477713578734252e-29,2.603242901588691e-23,True,167,167,501
TMEM79,5.183578951270669,3.9926352904343863,1.190943660836283,0.48971481737719774,1.4079555401655248e-31,11.498076188305738,5.818312407697106e-26,3.1492679026722086e-23,1.499271513770546e-28,7.434805832052725e-23,True,167,167,501
TMEM40,4.678968709990508,3.0680420092762724,1.610926700714236,0.4892054297778944,1.6599239354803479e-31,11.726769092970036,3.7502374837621685e-26,5.726128905416785e-22,1.7264753044284436e-28,5.082594582538764e-23,True,167,167,501
KRT78,2.2723054075949918,0.8153581389893154,1.4569472686056764,0.48788854874049675,2.5373138592473014e-31,10.590075911632972,3.9706894752595357e-22,1.284991574072162e-23,2.5735758223771353e-28,2.2198139511438436e-19,True,167,167,501
TMEM154,3.5578012554406393,2.431434210403713,1.1263670450369263,0.4878252737552783,2.589457830403611e-31,10.966998929969836,4.459682492160378e-24,1.6781313370447594e-21,2.5735758223771353e-28,3.693608144062606e-21,True,167,167,501
ELOVL1,7.221201235192975,6.691226597233596,0.5299746379593788,0.4877022687692343,2.693877919740677e-31,10.576902273901416,1.0711659932814022e-22,3.914737146684737e-21,2.6191520887496097e-28,6.562579162125676e-20,True,167,167,501
GJB4,3.3339701504426955,1.7282782412578352,1.6056919091848603,0.48734160923196684,3.0246751933146242e-31,11.22140022176097,5.445310996294978e-25,5.675617416173103e-23,2.823356003810596e-28,6.244515102520426e-22,True,167,167,501
RNF223,2.017342797017165,1.0449277533162085,0.9724150437009564,0.4873359594282033,3.030164747851458e-31,10.409558721611782,4.1171162003420077e-22,2.890778822511211e-21,2.823356003810596e-28,2.2732580857295797e-19,True,167,167,501
PERP,10.398166028449848,9.213162613124265,1.1850034153255837,0.48547682324593844,5.492963610211606e-31,10.989821739357371,2.5046995178982033e-23,3.907291917602538e-23,5.013618459247017e-28,1.7233874036689113e-20,True,167,167,501
HCAR2,5.138107743297269,3.6318006657723902,1.5063070775248786,0.4843244507001934,7.92764601392652e-31,11.663101055950786,4.901115061728725e-26,1.0044815147189197e-23,7.091120806536994e-28,6.446984412375162e-23,True,167,167,501
AP002800.1,2.5609567283155714,1.3616748760324415,1.19928185228313,0.4817038168338171,1.8165681832719003e-30,11.093382514926972,1.5775740114791986e-24,6.074299182233722e-23,1.5930234397774994e-27,1.3834396095959938e-21,True,167,167,501
INAVA,4.919602900270162,3.8128520976916453,1.1067508025785164,0.48126852977400764,2.0833626371350832e-30,11.33130864181237,3.9396259453893746e-25,1.4835182573393315e-23,1.7918521266005666e-27,4.636732388989326e-22,True,167,167,501
SSH3,5.886922228117118,4.976612481475888,0.9103097466412304,0.48105551446906974,2.2277044732668242e-30,10.950757394475712,4.979387093118184e-24,1.9742772687885464e-23,1.879846318158216e-27,4.028214603420343e-21,True,167,167,501
LCN2,7.454262788255533,4.9227281554904305,2.5315346327651023,0.48096190089939633,2.2942273506362763e-30,11.209484260999506,6.138866990375554e-25,1.726253444097208e-22,1.900130074626978e-27,6.696455787257471e-22,True,167,167,501
FAM83A-AS1,2.2878720810619413,0.9196820456947277,1.3681900353672136,0.48075427483990724,2.448864343314148e-30,10.174547239469282,2.876934182501843e-21,3.5357840382820246e-22,1.991327434370581e-27,1.3544000460864467e-18,True,167,167,501
FAM83A,5.249597198166688,2.801817617190144,2.447779580976544,0.4803693012381612,2.7633687581780886e-30,11.148067506674185,1.142949801767093e-24,7.297120571664025e-22,2.2069447203706578e-27,1.0876018496644993e-21,True,167,167,501
SYTL1,5.600450694379538,4.59044486138987,1.010005832989668,0.4786414104062792,4.743970667794764e-30,10.893381025942555,1.0455206061046866e-23,1.144620384086351e-21,3.7216380485719385e-27,7.422200569432699e-21,True,167,167,501
PADI1,2.539437168434097,0.7804087591626503,1.7590284092714465,0.4785861840701777,4.826379724916654e-30,10.45847819645353,2.1381652656024737e-21,1.9207442733528482e-21,3.7216380485719385e-27,1.0394272102044025e-18,True,167,167,501
GPR87,1.7972156791658505,0.9543848399517606,0.8428308392140899,0.4783309459498924,5.226026231881788e-30,10.94975024819786,5.133893041654582e-24,4.103179493292334e-21,3.961505037197985e-27,4.028214603420343e-21,True,167,167,501
S100A9,12.110736931186263,9.49525231059336,2.6154846205929037,0.47706582055013474,7.744543800101903e-30,10.692478001635127,4.098231306992007e-23,4.268189282429391e-21,5.772782948595959e-27,2.6954308378516256e-20,True,167,167,501
MXD1,5.161671711246177,4.297692864343552,0.8639788469026248,0.47451143927284867,1.705058241545572e-29,10.730770506247772,2.974742991894494e-23,1.9336236173598903e-21,1.2501151605718716e-26,2.0157940237801414e-20,True,167,167,501
LAD1,7.717198834722489,6.558970375209302,1.1582284595131869,0.4743996946346351,1.764684951597601e-29,11.373358962833496,6.392912242940212e-25,1.3187921067821035e-24,1.2729640286330823e-26,6.807538265553762e-22,True,167,167,501
SERPINB3,6.125428521806902,3.1514384432507474,2.9739900785561546,0.47427888063234214,1.831473072773096e-29,10.907736906726244,7.092548426996005e-24,6.087870623452526e-21,1.3001714556619675e-26,5.469088549120161e-21,True,167,167,501
IVL,5.564148592476957,2.7513809113399,2.8127676811370566,0.47194262721903546,3.745596010128093e-29,11.363341269039275,1.6981545681943802e-25,4.795551778249917e-22,2.5772005531841356e-26,2.0526558083223098e-22,True,167,167,501
CSTA,8.971940650489524,6.69753759096397,2.2744030595255538,0.47161180427988647,4.143116088683563e-29,11.321972090064959,1.029855712195679e-24,1.688107776834333e-22,2.8075261204588437e-26,1.0012884102660771e-21,True,167,167,501
PPL,6.437167386040792,5.101411407793755,1.335755978247037,0.47116224920676575,4.750931361280056e-29,10.851443026202924,1.2209830274943075e-23,1.0371084177911863e-21,3.1713530477893916e-26,8.532382019008658e-21,True,167,167,501
SPINT1,8.273625212759262,7.457856272845943,0.815768939913319,0.4706103013097312,5.618896181907929e-29,11.1344989307515,1.4587945691619463e-24,2.9796961878535498e-22,3.6955810711713264e-26,1.3314924145142628e-21,True,167,167,501
CLCA3P,0.6708109281096716,0.16505207856126042,0.5057588495484111,0.4702675930058394,6.234924727843439e-29,6.9605889276189945,4.529930243529727e-11,4.291700544587191e-22,4.0413155583778255e-26,2.9576146016295403e-09,True,167,167,501
DUOXA1,4.307676867473845,3.0985207949115057,1.209156072562339,0.4701001502970155,6.559747227417063e-29,9.582066675767546,2.42857555824966e-19,4.9110297279017426e-21,4.1911162142714386e-26,8.290787915119657e-17,True,167,167,501
SERPINB4,5.178452790524761,2.4076235880893737,2.7708292024353876,0.46910092973206025,8.876742142308034e-29,10.907213264495653,7.573772117342894e-24,1.247860450858417e-21,5.591597402430768e-26,5.661380845185451e-21,True,167,167,501
HES2,4.469180622306381,2.747696608742631,1.7214840135637504,0.4679370183934919,1.261034963978045e-28,11.120834273605618,1.2508237580830378e-24,3.872643239139431e-21,7.833128851243623e-26,1.1654550365938705e-21,True,167,167,501
TGM1,4.324687882695999,2.343627141695612,1.981060741000387,0.46713916709543074,1.602908999915615e-28,10.928900236543656,8.545528473431746e-24,1.697552093021558e-22,9.820342755099448e-26,6.177078402931755e-21,True,167,167,501
BCAS1,2.1106101469777627,0.8055131531859335,1.305096993791829,0.46703162122841874,1.655507017896185e-28,10.557527355340232,1.0066493924829639e-21,2.456467357035887e-21,1.0005526468701213e-25,5.29663381522448e-19,True,167,167,501
CD58,5.295038994616623,4.5656016138848905,0.7294373807317323,0.4664913042441015,1.9467222507789548e-28,10.36775673910874,6.298584156449758e-22,1.7561919597128156e-20,1.1608694125845062e-25,3.435339973329987e-19,True,167,167,501
LINC01269,2.0098050716766225,0.8559212214598946,1.153883850216728,0.46566333739488674,2.4940120753096907e-28,9.73395648811059,1.0990689977776914e-19,6.7546225238754835e-21,1.4676604744230343e-25,4.0623770129429315e-17,True,167,167,501
SPRR2A,8.062276403052445,4.367954569205525,3.694321833846921,0.46475353737661274,3.271817008008104e-28,10.463165431736963,2.4780464292225523e-22,4.136965867381375e-20,1.9003732969630447e-25,1.4028879557031573e-19,True,167,167,501
TSPAN1,6.826755491507284,4.929008904751395,1.897746586755889,0.464438390151967,3.593708529635902e-28,10.140146207614542,3.175542139023689e-21,1.8477472540194715e-18,2.0605771830696935e-25,1.4641540889246957e-18,True,167,167,501
ELF3,6.3520173557582,5.102877803795143,1.249139551963057,0.4639463702077916,4.159916978585062e-28,10.364413361297428,1.0695857400399075e-21,3.3645016584032175e-21,2.3550395816485863e-25,5.562343329947072e-19,True,167,167,501
ANXA8L1,4.147948910495821,2.46692229281159,1.6810266176842315,0.4636115767734232,4.5947571039146795e-28,10.913908099874348,8.563162082590306e-24,2.5655523723724245e-21,2.5686989589435018e-25,6.177078402931755e-21,True,167,167,501
SPRR3,7.213183979761248,3.512428820643523,3.7007551591177252,0.46352428391129163,4.715337398055674e-28,10.5532876700787,1.226008563064553e-22,1.1456592009880453e-20,2.603564812230148e-25,7.409730672229603e-20,True,167,167,501
ADGRF1,2.527795040110743,1.2823424169572377,1.2454526231535052,0.4630414390342821,5.441051471197932e-28,9.458063385959827,6.357444311825014e-19,3.9456600889137524e-19,2.9676290975348327e-25,1.9608988924280133e-16,True,167,167,501
SERPINB5,7.7205270804466615,5.732859077736609,1.9876680027100528,0.4618224586683207,7.801823445426747e-28,10.531339194289668,2.4419165408545063e-21,2.4833187955747333e-21,4.203960864738142e-25,1.1618327167359249e-18,True,167,167,501
SERINC2,7.7384960230572055,6.37818282792835,1.3603131951288558,0.4610272681728178,9.86182494144324e-28,11.116496592356466,1.565910851790182e-24,7.297120571664025e-22,5.250717365251279e-25,1.3834396095959938e-21,True,167,167,501
PRSS27,2.193228510632987,1.0693155356654593,1.1239129749675276,0.46060994158026364,1.1149519216236416e-27,11.285746639553155,4.049573807127423e-24,2.636745349396895e-22,5.866483499140676e-25,3.417229036791828e-21,True,167,167,501
P2RY2,3.0342034645652007,1.9134607950911762,1.1207426694740246,0.46006164563303653,1.309695180061823e-27,10.665422794983213,5.029433620181269e-23,4.456572302480163e-21,6.8110240968703455e-25,3.2366165773067976e-20,True,167,167,501
SEMA4B,7.660854352357749,6.414084325856395,1.2467700265013537,0.45960846434620806,1.4957556441207378e-27,10.761014867182896,3.605643367093367e-23,2.2034379571020298e-21,7.689215566397227e-25,2.4068476708937875e-20,True,167,167,501
SDC1,10.239377780712,9.081546347603691,1.1578314331083082,0.4556954934752011,4.671012328637228e-27,10.258521089611333,4.127356956273836e-21,9.29340132741997e-22,2.3739358566587657e-24,1.864564772852435e-18,True,167,167,501
C16orf74,4.192895187448911,2.9089105509800754,1.2839846364688352,0.455441658515638,5.026576760817111e-27,11.05030682194109,5.0439925433589086e-24,1.9548002461100417e-21,2.525939539896455e-24,4.028214603420343e-21,True,167,167,501
LRG1,5.055676608201082,3.36671733705579,1.6889592711452917,0.45468388612457705,6.255023114847297e-27,10.906538877699472,7.595091018494031e-24,2.859676879633551e-21,3.1083294865381173e-24,5.661380845185451e-21,True,167,167,501
DUOX2,3.272448764788393,1.7705332207453741,1.5019155440430187,0.45354953837345224,8.668232613268412e-27,10.384387075182197,1.1361652490690364e-21,1.4061772737764717e-19,4.260198191162818e-24,5.840672942455584e-19,True,167,167,501
GSDMC,4.8113120115323245,3.142530647343603,1.6687813641887215,0.4522256840899874,1.2665859055177798e-26,10.19933369033362,3.1166315654091365e-21,5.224987665291141e-18,6.1572595693888244e-24,1.4519607305349813e-18,True,167,167,501
RIPK4,5.452818724879634,4.444081479269844,1.0087372456097903,0.4511773266216571,1.7082558091106133e-26,9.666956997723386,1.2342549896222555e-19,1.3601633802031476e-20,8.21505729103904e-24,4.4160656124692605e-17,True,167,167,501
PROM2,6.277075601121105,4.722001259771728,1.5550743413493766,0.449799556265954,2.527028766663262e-26,9.437036352413486,7.331239444353625e-19,2.990071367266127e-19,1.1896719427394498e-23,2.230492196661711e-16,True,167,167,501
SOWAHB,3.4941445008553793,2.4285547330108903,1.065589767844489,0.4493916072237994,2.836707148183534e-26,9.635372284673922,1.6419546836942934e-19,1.1155301571018738e-18,1.3215509426600039e-23,5.737092286995592e-17,True,167,167,501
TRIM7,2.5571894913324305,1.3435002187482905,1.21368927258414,0.4490708041639819,3.106322985836827e-26,10.664753001227172,5.111211823745444e-23,2.59358300635295e-21,1.4322390641089302e-23,3.2366165773067976e-20,True,167,167,501
HSPB1P1,5.811616694212647,4.6919442177974044,1.1196724764152428,0.4489234439487558,3.2385129630926564e-26,10.204107440302625,2.326194502248795e-21,5.0532623532991255e-20,1.468734556460267e-23,1.1186744399846787e-18,True,167,167,501
PSMD10P2,1.5226738384841154,0.6853622214051882,0.8373116170789272,0.44890966233959495,3.251156450441965e-26,9.829281771669232,4.80414223389015e-20,1.6925742697983791e-19,1.468734556460267e-23,1.8683518023348093e-17,True,167,167,501
NIPAL2,4.793524474291683,3.910994488183072,0.8825299861086111,0.4487759143068446,3.37642135692441e-26,10.035326176951546,7.16659364279595e-21,4.068898649262971e-19,1.510070687670873e-23,3.081910904619289e-18,True,167,167,501
TMBIM1,7.793423729875942,7.005982661556435,0.7874410683195068,0.44842359901710527,3.7296813194765516e-26,10.54073398495109,1.364193546178331e-22,3.1125553575487735e-20,1.651547201309597e-23,8.134958954570624e-20,True,167,167,501
GNA15,6.110428268125347,5.083345168560623,1.0270830995647238,0.44547443757902516,8.539774537765011e-26,9.516549771942223,5.553729861367259e-19,4.896458923370312e-20,3.717197034952049e-23,1.7369581420964288e-16,True,167,167,501
PITX1,6.622204307681366,4.807346573679826,1.8148577340015395,0.44546565832478474,8.560756967177824e-26,10.65737594502175,6.325449883515526e-23,1.8520512688079263e-20,3.717197034952049e-23,3.929158619310394e-20,True,167,167,501
NAPRT,5.356499544358439,4.295111445771833,1.0613880985866055,0.44490970250733597,9.998611108437588e-26,10.53089601418015,1.5122298570333161e-22,1.6143019379656919e-22,4.2997873385938713e-23,8.85032715805557e-20,True,167,167,501
LIPH,4.26248394016684,2.833783472831058,1.4287004673357822,0.44428761600305366,1.1891607064307681e-25,9.64634945412479,1.4319276110625976e-19,9.092884621557855e-18,5.0651450889913974e-23,5.0826611489812395e-17,True,167,167,501
ZNF750,5.674253012234299,4.030364518876251,1.6438884933580482,0.44390428704344304,1.32301148747399e-25,10.11549654175142,6.62227380670648e-21,1.1422533884219814e-19,5.582109977904408e-23,2.8754812983605883e-18,True,167,167,501
S100A8,9.798183568038594,7.120867256972408,2.6773163110661855,0.4431334303504545,1.6388497549429515e-25,9.41179172410249,9.175925856774848e-19,1.8977983320684927e-17,6.786658929635978e-23,2.717775549790717e-16,True,167,167,501
MACC1,2.8919020157838347,1.8390630419165719,1.0528389738672628,0.44286091289266516,1.7674679573387547e-25,10.136850602814597,4.449256586643213e-21,8.354878023855276e-19,7.252131827891601e-23,1.9898855158103104e-18,True,167,167,501
MAL2,7.8950254254400845,6.878249581438344,1.0167758440017405,0.4416317961686189,2.4829912736065913e-25,7.970835008938041,2.5589371438215405e-14,2.732951697984597e-18,1.0095391065525562e-22,3.478598930707434e-12,True,167,167,501
BICDL2,3.6491137002050262,2.5193001799952204,1.1298135202098059,0.4415109011024382,2.5672187243708123e-25,10.661573023096425,5.1381758561126603e-23,1.9120312938945992e-20,1.0251454484710734e-22,3.2366165773067976e-20,True,167,167,501
GRHL3,4.947149480743295,3.25507486393224,1.6920746168110554,0.4414482057744641,2.612003725300783e-25,10.306767262835075,1.505969976496252e-21,4.174469198013912e-19,1.0337987133659489e-22,7.567752947058244e-19,True,167,167,501
PSCA,3.367878697245835,1.617985846506394,1.749892850739441,0.4413725324181724,2.6670883593995163e-25,8.866705481937139,9.022205982607758e-17,2.547902206117595e-18,1.0463408753138945e-22,2.007508161025619e-14,True,167,167,501
CLCA2,7.8010443617710274,4.866078270101186,2.9349660916698417,0.44061836486389766,3.2827813085367668e-25,10.555495965662292,9.306615319025845e-22,2.959464703308255e-19,1.273104703511007e-22,4.95510789914419e-19,True,167,167,501
SPRR1A,8.58113868539722,4.948305720253702,3.6328329651435167,0.44059710551156683,3.3020334855396832e-25,10.512539320900512,2.0239262726716258e-22,2.5089027570001988e-19,1.273104703511007e-22,1.1604881874226383e-19,True,167,167,501
TGM5,1.9074003399478852,0.7368848370517507,1.1705155028961345,0.44021092107769083,3.6718226178333434e-25,9.605436605618621,4.975531122193086e-19,5.493835735114916e-20,1.4035777329912688e-22,1.6009039849565725e-16,True,167,167,501
SLPI,10.420077773940498,8.46878899488043,1.951288779060068,0.4392872581530167,4.730458899573867e-25,10.133064767961567,4.5943593974569806e-21,9.273939119025519e-20,1.79292410020798e-22,2.034436927642238e-18,True,167,167,501
SPRR2D,6.9266847057967285,3.741027440441875,3.1856572653548536,0.43898897875298337,5.132874606386426e-25,10.20463646419564,1.9154313220942556e-21,5.877825493693642e-19,1.929098184000223e-22,9.413818730697086e-19,True,167,167,501
CAPN1,7.7133770518268,7.056119734134074,0.6572573176927259,0.43892960944079057,5.216916393391753e-25,10.369307632723636,6.707960709445249e-22,2.0206554399698178e-19,1.9443447398171063e-22,3.614540177942522e-19,True,167,167,501
HES1,7.082293059401045,6.218558325766671,0.8637347336343737,0.43719903619056716,8.363737756004396e-25,10.024128238759092,9.062351584535349e-21,5.000450751538177e-20,3.0914033669383523e-22,3.860043926350085e-18,True,167,167,501
TRIM29,7.70569998935761,6.027370219604437,1.678329769753173,0.4361450485483217,1.1134458309275084e-24,9.008941018930441,9.298253842758315e-17,2.7537150593951777e-19,4.0817828969181873e-22,2.058688637938232e-14,True,167,167,501
SPRR1B,8.931704228359331,5.546960777739741,3.38474345061959,0.43602882925850694,1.1490663645785168e-24,9.855648840716912,4.2867286319501035e-20,7.764755425990119e-18,4.1781174056430557e-22,1.6817513275029514e-17,True,167,167,501
DHRS3,7.051928957486958,6.064791862775189,0.9871370947117697,0.43591907817830466,1.1837367742793975e-24,9.703318243918348,1.1096082313341486e-19,3.560900366755082e-19,4.269471249425143e-22,4.067714634277743e-17,True,167,167,501
LY6D,5.850482592188705,2.7402118925288685,3.110270699659836,0.4343007551866754,1.8326213401386042e-24,10.017276085893622,1.0722972106132753e-20,3.686976257488386e-18,6.556972545308716e-22,4.48200191097833e-18,True,167,167,501
MALL,3.9204917574852796,2.697792276899054,1.2226994805862255,0.43411837679223225,1.9248656678412482e-24,9.283328087639898,2.445969741042078e-18,2.1967873164228466e-17,6.832356518137458e-22,6.880097528199114e-16,True,167,167,501
