logFC	logCPM	F	PValue	FDR	nhood_id	model	SpatialFDR	n_samples	rank	n_coef
0.376842891683252	10.7804535544506	9.04374433633857	0.0029081432933838	0.0550784164635691	nh62	tac_cont	0.06064099131707282	65	5	5
0.129511711393105	11.3407783573577	0.863834758241314	0.353575118711162	0.797641314271472	nh63	tac_cont	0.826636728420404	65	5	5
-0.0853682007711896	10.758437934825	0.297721598447351	0.585813453237693	0.93321950621668	nh64	tac_cont	0.9476952426934776	65	5	5
0.258882870050744	10.9490392704309	3.90330268133317	0.530045282639903	0.912691185028175	nh65	tac_cont	0.9312928780650254	65	5	5
0.0516966915427587	10.7938620216773	0.139346112136625	0.709287060894643	0.972453289333316	nh66	tac_cont	0.9818976148554004	65	5	5
0.207553900561008	10.5898329324848	3.01214767199042	0.334734327954077	0.789330432256467	nh67	tac_cont	0.8210632982241857	65	5	5
-0.0385082133788567	11.0333825045684	0.0332707613856102	0.855418330170662	0.995390852516074	nh68	tac_cont	0.9969166946665428	65	5	5
-0.227006395153838	10.7835394853322	3.22419145081821	0.073779747948756	0.400031404216382	nh69	tac_cont	0.43081599052882885	65	5	5
-0.10804670526451	10.8556347329931	0.885862358156582	0.347520537753511	0.797641314271472	nh70	tac_cont	0.826636728420404	65	5	5
0.0326113386318215	10.7866390266696	0.0432925654455099	0.835355059743168	0.995390852516074	nh71	tac_cont	0.9969166946665428	65	5	5
-0.0036325344268681	10.7753482238269	0.0007975815069647	0.977492665646839	0.997508690186138	nh72	tac_cont	0.9980517219077903	65	5	5
-0.127375113110113	11.1351601215448	0.44043565146668	0.507539660332356	0.898980262997845	nh73	tac_cont	0.9176202378278374	65	5	5
0.0245096367803957	10.8495076557633	0.0230202486488701	0.879528267590869	0.995390852516074	nh74	tac_cont	0.9969166946665428	65	5	5
0.47056060729595	10.6900070827651	11.9206935188833	0.0006637636330586	0.0201067403539112	nh75	tac_cont	0.022259048442141063	65	5	5
0.0255400614701052	10.9647303699665	0.0247186791836444	0.875204699075429	0.995390852516074	nh76	tac_cont	0.9969166946665428	65	5	5
0.0793318020011029	10.9122874400131	0.309606076858834	0.578432519017312	0.929445738324952	nh77	tac_cont	0.9446531769456975	65	5	5
-0.124425131788078	10.6038243370552	1.41741726560592	0.234971806015317	0.692717428116194	nh78	tac_cont	0.7313204340961726	65	5	5
0.0011027840419879	10.6562940142943	0.0030874706562179	0.955737206711299	0.996638126737304	nh79	tac_cont	0.9979209046003432	65	5	5
-0.0400029931148	10.9198868368577	0.130033603136843	0.969535073434328	0.996691340281913	nh80	tac_cont	0.9979209046003432	65	5	5
0.0638975891775024	10.6823416058241	0.244902567239418	0.621133344996894	0.947283221557101	nh81	tac_cont	0.9611463306412374	65	5	5
0.0638418484209509	10.7103284865293	0.354146618215746	0.552319915556975	0.923265449632448	nh82	tac_cont	0.9407300914306982	65	5	5
0.216011006024467	10.6887760420833	2.52025195747464	0.113689352857862	0.487756706694368	nh83	tac_cont	0.5227604212310906	65	5	5
0.0253918330022219	11.1446008366095	0.031419211463624	0.859453623193688	0.995390852516074	nh84	tac_cont	0.9969166946665428	65	5	5
0.130509600779367	11.0938759679129	0.802792204128011	0.371132143250709	0.811452041676828	nh85	tac_cont	0.8400431233426784	65	5	5
0.0725154519072676	10.7154942640246	0.516967036875792	0.892155316648605	0.995390852516074	nh86	tac_cont	0.9969166946665428	65	5	5
0.454595432035058	10.6876934947825	12.1262567113685	0.0005962616882455	0.0201067403539112	nh87	tac_cont	0.022259048442141063	65	5	5
0.520016454374363	10.828827739906	13.3074058414783	0.0003224531682198	0.0136441948434968	nh88	tac_cont	0.014963498840522055	65	5	5
-0.0480215420271938	10.6813228454949	0.560122713681227	0.455117058038013	0.873980040905921	nh89	tac_cont	0.8968447297633214	65	5	5
0.0251426515569939	11.0071225916052	0.0551972025644107	0.814459210053695	0.995390852516074	nh90	tac_cont	0.9969166946665428	65	5	5
-0.521960615858257	10.9033727315954	19.1333141001344	1.82103187512138e-05	0.0021832148813955	nh91	tac_cont	0.0023313160137046567	65	5	5
0.0573661316543892	10.8485668319288	0.143115695520777	0.705528958542413	0.972126106723892	nh92	tac_cont	0.9817219136877026	65	5	5
-0.115705904076768	10.9715021738876	0.926753709931201	0.336649307978936	0.789330432256467	nh93	tac_cont	0.8210632982241857	65	5	5
-0.0991304396467786	10.8254439137309	0.850319058207502	0.51030601645171	0.899991538209996	nh94	tac_cont	0.918725574967472	65	5	5
-0.0082756243835833	10.7901714727763	0.0078023775074177	0.929685114432054	0.995390852516074	nh95	tac_cont	0.9969166946665428	65	5	5
-0.145484555497093	10.5377842400398	1.56698428349213	0.211907902085542	0.657595677629613	nh97	tac_cont	0.6947777770229681	65	5	5
0.0934366953095898	10.9477698980162	0.749738192466926	0.387473256013291	0.827888402452161	nh98	tac_cont	0.8555555912510673	65	5	5
0.274561381894204	10.7816117917058	3.35987183978613	0.110596912508313	0.486652415456623	nh99	tac_cont	0.5213818154064465	65	5	5
0.003667673065776	10.7429058276531	0.0173372060253395	0.895353315322503	0.995390852516074	nh100	tac_cont	0.9969166946665428	65	5	5
-0.133418908592393	10.878074392073	1.3264833151256	0.345924661125303	0.797641314271472	nh101	tac_cont	0.826636728420404	65	5	5
0.159839762047526	11.1582652913858	1.648127812948	0.20041682375434	0.636339779067723	nh102	tac_cont	0.6729219740232102	65	5	5
-0.117918128777013	10.9264984043239	0.592375912180682	0.442247292433297	0.86353959470697	nh104	tac_cont	0.8869155205004093	65	5	5
-0.0956820920928731	11.1546793765977	0.543283257760701	0.461774704200889	0.880567717296914	nh105	tac_cont	0.9025923605550437	65	5	5
0.0235031124760134	10.6138013326252	0.0274606920096836	0.868518609990942	0.995390852516074	nh106	tac_cont	0.9969166946665428	65	5	5
0.146646991900765	10.8880519744056	1.59554602605019	0.207903499116895	0.652373893325403	nh107	tac_cont	0.6893056772612859	65	5	5
0.120227652769321	10.6232825973014	1.16649034578749	0.281191393930752	0.752867280524271	nh108	tac_cont	0.7903119958673356	65	5	5
0.0269050351405094	10.9411380757834	0.0148545731910499	0.90309366849108	0.995390852516074	nh109	tac_cont	0.9969166946665428	65	5	5
0.142019362152907	10.6611263207329	1.3922444136242	0.672607805084901	0.963250661622129	nh110	tac_cont	0.9737958053965722	65	5	5
-0.505837276471102	10.8703429370391	20.3870177458016	1.01640387977948e-05	0.0014514205019591	nh111	tac_cont	0.0015577732757828561	65	5	5
0.0360555868276444	10.7068368252817	0.0572634970229229	0.811075728251241	0.995390852516074	nh112	tac_cont	0.9969166946665428	65	5	5
0.112846396150336	10.6095771827565	0.960079812244806	0.462882304887999	0.880567717296914	nh113	tac_cont	0.9025923605550437	65	5	5
