feature	kind	source	n_requested	n_used	n_missing	used	missing
CUSTOM_TJ_CORE	repo_comparator	repo CUSTOM_TJ_CORE (prior PRs)	26	24	2	AMOT,AMOTL1,CGN,CGNL1,CLDN1,CLDN3,CLDN4,CLDN7,CLDN8,CRB3,F11R,JAM2,JAM3,MAGI1,MAGI3,MARVELD2,MPDZ,OCLN,PARD3,PARD6A,PARD6B,TJP1,TJP2,TJP3	INADL,PATJ
coreTJ_40	repo_comparator	40-gene core TJ (prior PRs; two-sided MW ~0.115)	42	40	2	CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN19,CLDN20,CLDN23,OCLN,MARVELD2,MARVELD3,TJP1,TJP2,TJP3,SYMPK,CGN,CGNL1,F11R,JAM2,JAM3,PARD3,PARD6A,PARD6B,PRKCZ,PRKCI,MPP5,CRB3,AMOT	INADL,PATJ
CD8A	control	positive-control immune gene (expect R > NR)	1	1	0	CD8A	
CD8	control	CD8A+CD8B mean-z control	2	2	0	CD8A,CD8B	
gene_CLDN1	single_gene	single-gene log2CPM CLDN1	1	1	0	CLDN1	
gene_CLDN4	single_gene	single-gene log2CPM CLDN4	1	1	0	CLDN4	
gene_CLDN7	single_gene	single-gene log2CPM CLDN7	1	1	0	CLDN7	
gene_F11R	single_gene	single-gene log2CPM F11R	1	1	0	F11R	
gene_PARD3	single_gene	single-gene log2CPM PARD3	1	1	0	PARD3	
gene_TJP1	single_gene	single-gene log2CPM TJP1	1	1	0	TJP1	
gene_TJP2	single_gene	single-gene log2CPM TJP2	1	1	0	TJP2	
gene_OCLN	single_gene	single-gene log2CPM OCLN	1	1	0	OCLN	
gene_CD8A	single_gene	single-gene log2CPM CD8A	1	1	0	CD8A	
