sample_id	TACSTD2	CD8A	CD8B	CCL5	GZMK	LCK	TRAC	NKG7	KLRD1	GNLY	PRF1	CTSW	NCR1	PTPRC	CD3D	CD3E	LST1	CD74	HLA-DRA	EPCAM	KRT7	KRT8	KRT18	KRT19	MUC1
A144	1.0388	-2.0026	-1.8047		-2.3633	-1.3456		-1.4058	-1.0294	-1.5509	-2.2861	-1.0864	-0.1657	-2.0406	-1.8691	-1.7139	-1.0331	0.6567	-1.1773	0.8585	0.314	0.2362	0.9369	0.6956	-0.5754
A148	0.5785	0.4659	0.6594		0.2036	-0.0682		-0.5763	-0.1732	-0.5822	-0.5126	-2.2017	0.4763	-0.6478	0.3135	-0.0864	0.3113	-0.795	-0.6992	0.4559	0.3336	0.5735	0.4106	1.2776	1.0714
A150	-0.1845	-0.3799	-0.5062		-0.6993	-0.0439		-0.6418	-0.3814	-0.132	-0.9065	-0.4271	0.1381	-0.7761	0.6452	-0.2592	-0.0667	-0.5331	-0.9612	0.566	0.3166	0.4636	0.9772	0.0538	0.2922
A153	0.2926	-1.1531	-0.1138		-0.4996	-0.442		-1.001	-2.3028	-0.7944	-1.9046	0.6535	-1.3466	-1.2789	-0.3567	-0.7034	0.6947	1.3073	-0.2418	-0.1767	-0.3077	-0.75	0.3614	0.1783	1.2949
A156	0.3395	-0.4846	-0.5793		-0.4953	-0.6122		-0.5011	-0.2503	-0.3149	-0.9444	-0.5169	-1.3466	-0.7458	-0.4533	-0.5964	-0.7623	-0.3404	-0.3008	0.7167	-0.5526	0.7059	0.222	0.0707	-0.3162
A157	-0.1671	0.293	0.0712		0.5523	0.7026		0.4337	0.6739	1.0504	0.199	0.1147	0.3383	0.7549	0.5579	0.5882	-1.3608	-0.5893	-0.627	-0.9621	-0.774	-0.694	-1.4623	-0.4128	-0.6633
A158	-0.0826	-0.7704	-0.9577		-0.8468	-0.775		-0.3471	-1.559	0.5855	-0.4449	-0.0631	-1.3466	-1.9378	-0.9632	-1.5226	-1.0404	-2.0486	-2.5315	0.5449	1.1422	0.3531	0.7529	0.7314	1.6847
A159	-0.1476	-1.3344	-0.7165		-0.5075	-0.5443		-0.7392	-0.3131	-1.2766	0.0258	-0.6794	0.9335	-0.7534	-0.9358	-0.893	-0.4942	-1.1346	-0.9049	-0.3713	0.7563	0.2109	-0.2472	0.3497	-0.3751
A162	0.2089	-0.9355	0.7986		-0.7966	-0.3807		-0.7418	-0.6479	-0.6228	-1.3686	0.3564	-0.6904	-1.7716	-1.2775	-1.4357	-1.043	-1.2884	-1.4436	0.9792	0.0912	0.2524	0.026	0.5634	0.2393
A163	0.881	0.5381	0.684		0.5472	0.2698		-0.2774	-0.1222	-0.6988	-1.1044	-1.4702	-1.3466	-0.4456	0.0042	-0.1102	-0.7318	0.1969	0.4792	1.3644	0.6651	1.2012	1.0794	0.5685	0.5151
A165	-0.1389	0.9869	0.9027		0.7447	1.0448		0.3983	0.6116	0.4675	0.2369	0.5339	0.8728	0.53	1.057	0.7869	0.8806	0.2817	0.473	-0.4848	-0.0389	-1.2557	-1.5759	-0.513	-0.3571
A168	-0.4426	1.3862	0.9862		0.7816	0.1391		-0.6225	0.2599	-0.3303	-0.7863	-0.4976	-1.3466	0.212	0.6837	-0.3604	1.0773	-0.5368	1.1411	1.068	-0.5344	-1.2656	-0.9994	-0.5128	0.0446
A169	1.0962	0.7913	0.5487		0.237	0.2365		0.069	-0.2662	1.1749	-0.1509	-0.9201	-1.3466	-0.7001	0.424	0.6433	0.6442	0.9037	0.7125	0.0926	1.5721	0.6565	0.9079	1.0287	0.7238
A177	1.2441	0.0365	-0.1431		0.2124	0.4235		-0.622	-0.1702	-0.4643	-1.0478	-1.743	-0.4953	0.2849	0.3271	-0.8022	0.9163	-0.5202	0.3846	-0.4278	1.329	0.6609	-0.1971	1.7107	-0.7621
A182	-1.0629	1.12	1.4714		0.9351	1.0347		1.0205	0.4936	-0.6514	1.8709	0.9004	0.895	0.9685	0.9176	0.7078	0.4148	0.7909	0.9572	-0.2579	-1.5324	-1.4276	-1.7573	-1.5937	0.3598
A183	0.6293	0.3926	-0.0391		0.5483	-0.1861		0.2625	0.3594	0.4733	-0.412	0.2341	-0.4092	0.5121	0.4167	0.3213	-0.2743	-0.6421	-0.2796	1.053	0.4724	1.1129	-0.0892	0.1769	-2.3745
A185	0.3604	-1.1794	-1.2244		-0.4686	-1.2815		-0.732	-0.6487	-0.6529	-1.0869	-0.9958	-0.2675	0.2974	-0.786	-0.874	-0.1298	-0.4388	-0.2269	0.4579	0.1903	-0.0739	-0.7218	0.3313	0.6502
A186	-1.1809	0.7324	1.1045		0.428	1.1994		0.0044	-0.2432	-1.4131	-0.4728	0.6309	0.4415	1.2102	0.8844	1.2019	0.619	0.8002	0.8371	-0.2061	-0.2201	0.0802	-0.1455	-0.3667	-0.3303
A187	0.4016	-0.5392	0.0868		0.0884	0.2163		-0.5628	-0.5936	0.3181	-1.247	-0.5037	-0.7182	0.0266	2.0348	0.4136	-1.2456	-0.998	-0.721	0.3798	0.6498	2.1606	1.0825	1.7631	-1.4602
A188	0.4965	1.229	1.3162		1.0926	1.1309		0.7791	-0.1008	0.2498	0.3596	-0.7779	-0.6247	0.2651	1.0452	0.9691	0.5206	1.2287	0.7648	-0.1681	0.0278	-1.9344	-1.0189	-0.2141	0.2882
A190	0.9813	-1.1214	-1.4291		-0.9054	0.128		-1.336	-1.1877	-1.3767	-1.5156	-0.9918	-1.3466	-0.0148	-0.6626	-0.8145	0.4042	-1.2109	-1.2213	1.0391	0.7469	0.9521	0.6154	1.0505	0.3653
A191	0.1255	-0.3903	-0.6689		-0.458	-1.3921		-1.2963	-1.115	-1.7407	-1.4414	-0.9458	-0.7066	-0.4145	-1.1779	-0.6673	-1.0941	-0.3112	0.5527	0.6618	0.0268	-0.1736	-0.1848	-0.3169	0.8948
A192	0.3794	0.4164	0.3128		0.1497	0.1645		-0.249	-0.0777	-0.1056	0.1219	0.3454	-0.3319	0.3169	0.366	0.1806	-0.0006	0.0805	-0.125	0.6848	0.9285	2.4319	2.3352	1.2478	-0.0116
A193	-0.2251	0.6598	0.3756		0.1377	0.6082		0.3812	1.1897	0.51	0.2185	0.6231	0.6292	1.0129	0.6348	0.5432	-1.0156	-1.0739	-1.0892	-0.1019	0.7147	0.2683	0.4555	-0.4312	-1.8486
A194	-0.7036	1.2684	0.9159		0.8185	0.3862		0.5328	1.2079	0.0651	0.4316	-0.5621	0.3183	0.8574	0.483	0.5318	0.1985	-0.383	-0.1646	-1.1921	-0.0879	-0.805	-1.1129	-0.8039	-1.2521
A195	-1.5974	-0.1114	-0.2158		0.0507	0.0281		0.0698	0.362	-0.7812	-0.6104	-0.5691	0.4034	1.2056	0.029	0.2392	0.186	-0.0011	0.4723	-2.3044	-0.1923	-1.216	-1.7176	-1.6226	-1.9141
A196	-0.9579	-0.1992	-0.3586		0.5491	0.0722		-0.0242	0.9498	-0.2834	-0.2729	0.3985	1.0754	1.1701	0.1587	0.2765	0.1972	0.2325	0.6881	-0.3722	0.1894	-0.6315	-1.1485	-1.4184	-0.5899
A197	-0.4247	0.0634	0.003		-0.4055	-0.9279		-0.1285	-0.2761	-0.4394	-0.9916	0.0653	0.1787	-0.243	-0.4511	-0.574	-1.4549	-2.3497	-1.7918	0.5091	0.4155	1.5878	0.6927	0.9843	-0.5551
A198	-1.1726	-0.3958	-0.6822		-0.112	-0.5727		-0.0311	0.493	-0.1148	-0.2313	-0.3255	0.3537	0.3322	-0.4136	-0.2342	-0.5731	-0.7632	-0.3517	0.7979	0.7498	0.8164	0.2149	-0.1077	0.4694
A199	0.027	0.8167	0.8864		0.1188	-0.2262		0.4652	0.7876	0.608	0.1966	0.5181	-0.0617	0.6954	0.0082	0.0231	0.3174	0.156	0.5457	-0.0413	-0.2904	-0.4647	-0.7157	-0.0373	-0.205
A200	0.8481	-1.0156	-0.9154		-1.2167	-1.2927		-1.1665	-0.2678	-1.1019	-1.1509	-1.0149	-0.1877	-0.8011	-1.0624	-0.8625	-2.3158	-2.1849	-1.5998	0.2464	0.5517	0.4801	-0.2445	0.927	0.6379
A201	-0.846	0.8559	0.4713		1.2039	0.6827		0.176	0.5363	0.1023	0.7195	1.2738	0.999	0.9069	0.2783	0.9706	-0.8334	0.1765	0.1985	0.0411	-0.0424	-1.1337	-0.6964	-0.6564	0.5515
A202	0.2027	-1.0244	-1.0951		-0.7537	-1.004		-1.3298	-1.5187	-1.6304	-0.0834	-0.7315	-0.3499	-0.4404	-1.0709	-0.7278	-1.2491	-0.2108	0.72	1.435	-0.9147	-0.4847	-0.4681	-0.7378	0.6969
A203	-0.187	0.2317	-0.0903		0.6678	1.0585		-0.0807	-0.6091	-1.0215	-0.4151	-0.4862	-0.0765	1.3112	1.1353	1.0741	0.366	0.3025	0.5154	-0.6526	-0.6263	-0.6571	-0.9318	-0.4468	0.827
A204	-0.6554	-1.7872	-1.5046		-1.1185	-0.8729		-1.6317	-1.6828	-1.5527	0.9776	-1.6912	-1.3466	-0.7019	-1.0046	-0.8747	-0.6556	0.0719	-0.172	0.2375	-1.4947	-0.555	-0.4947	-0.9713	0.7571
A205	-0.5366	0.9737	0.7266		0.2987	0.1791		0.709	1.3193	0.5555	0.6347	0.9777	0.9311	1.286	0.3816	0.5244	0.6127	-0.4126	0.013	-0.4634	-0.6295	-0.243	-0.5695	-0.5385	-1.46
A206	0.0995	0.9407	0.8459		1.1219	0.7489		0.5353	0.4587	-0.4626	0.0038	0.1073	0.6923	1.0492	0.8222	0.8244	-0.0111	-0.0346	0.1385	0.0431	0.1483	0.3402	-0.7115	0.695	0.4478
A207	0.4722	-1.7873	-1.0216		-2.0575	-1.7854		-1.0338	-0.6871	-0.9967	-0.9054	-0.775	0.3229	-0.5534	-1.9998	-1.6002	-0.9098	-1.8108	-1.9444	1.3255	0.6804	0.5967	0.4482	1.8201	0.0322
A208	0.4702	-0.4054	-0.0717		-0.4986	-0.3416		0.1236	0.4437	0.0799	-0.0447	0.3201	0.3779	0.1274	-0.514	-0.3341	-0.4722	-0.2085	-0.194	-0.4737	1.1213	0.7375	1.0073	0.9939	0.079
A209	-3.3394	1.6123	1.6712		1.7148	2.7932		1.3974	2.1088	1.499	1.131	2.0991	2.6496	2.2045	1.8431	2.6229	1.75	1.5735	2.0184	-6.0543	-2.4658	-3.0149	-2.9525	-3.3589	-4.2228
A210	-0.3412	0.1206	-0.0533		-0.4092	-0.3021		0.0468	0.4116	0.1484	-0.203	0.7442	0.5413	0.1498	-0.2199	-0.1822	-1.0086	-1.3374	-0.6795	0.7056	1.048	1.1226	1.0755	1.1155	-1.6004
A211	-0.6733	0.2388	0.3565		-0.5323	0.4276		0.9571	1.4706	0.8089	0.8409	0.8561	1.7191	1.3743	0.186	0.459	1.1276	0.2695	0.8915	-1.6242	-0.9992	-1.3544	-1.6724	-1.4267	-1.0241
A212	-0.2971	0.5385	-0.1406		0.003	0.2183		0.3203	0.5071	0.313	0.4509	0.2689	0.5207	0.9014	-0.259	0.1266	0.0957	-0.5018	0.1307	-1.6034	-0.4812	-0.7353	-0.5971	-0.6272	-0.8923
A213	-1.3635	-0.1715	-0.3393		0.143	0.0368		-0.9249	-0.4211	-1.0734	-0.5782	-0.3077	-0.0449	0.6434	-0.2222	0.0023	0.2175	-0.2758	0.2999	-0.0342	-1.662	-1.3161	-1.0296	-1.6365	-0.0678
A214	0.6427	1.327	1.8819		0.8462	0.8064		2.4874	1.8245	2.6063	2.2672	1.6157	0.5965	-0.8152	0.9139	1.7673	1.1561	0.7761	-0.3439	-1.7543	0.5029	-0.7307	0.0366	0.4602	-0.4115
A215	-0.3894	0.6504	0.4481		-0.0321	0.6923		1.9381	2.4247	2.2757	2.2063	0.8063	2.7162	0.9717	-0.0225	0.2237	0.2869	-0.1471	0.0521	-1.0239	-0.3091	-1.4103	-0.9387	-1.2026	-1.2596
A216	0.2338	0.0868	0.1297		-0.0862	-0.1055		0.8213	0.3999	1.369	0.3832	0.3102	1.2698	-0.594	-0.1068	-0.1017	-0.9328	-1.3339	-2.3011	0.6692	0.0066	3.1814	3.4646	1.5763	1.1671
A217	0.2615	-0.4837	-0.5493		-0.1266	-0.081		-0.0883	-0.0957	-0.3146	-0.4413	0.0411	0.3432	0.3739	-0.1963	0.055	-0.653	-0.0104	-0.1491	0.2818	0.1444	0.1904	-0.3216	0.0492	-0.0058
A218	-1.5925	1.9377	1.8158		1.76	1.8038		1.5572	1.2706	1.2276	1.0385	0.7953	0.8921	1.6084	1.4646	1.4638	-0.305	0.134	0.1996	-1.6177	-0.9401	-0.8272	-0.8687	-1.604	-1.443
A219	1.1376	-2.1999	-2.2503		-1.9536	-1.8043		-1.8059	-1.3704	-1.2189	0.618	-1.0441	-1.3466	-0.5214	-1.9121	-1.6133	-0.8661	-0.0865	-0.4439	0.4992	0.1218	-0.209	-0.6544	0.2378	1.1677
A220	-0.7142	-0.2346	-0.3763		-0.1268	-0.3013		-0.8706	0.1652	-0.7881	-0.5798	0.0104	0.2086	0.3471	-0.4244	-0.1081	-1.2345	-1.1775	-0.9866	0.0323	0.0143	-0.1039	-0.2441	-0.3907	0.2811
A221	-0.9305	0.0821	-0.2474		0.0434	-0.5684		0.8847	1.3031	0.7653	1.1698	0.9302	2.0142	0.9812	-0.7262	-0.2716	0.2667	-0.2622	0.2223	-1.4052	-0.3931	-1.1985	-1.0358	-1.2147	-1.3776
A222	-0.0004	-0.2394	-0.212		0.3444	0.1917		-0.4932	-0.9219	-1.1639	-0.0353	-1.775	-0.3621	0.6788	0.0312	0.3216	-0.8912	-0.4829	-0.6027	-0.3767	-0.4484	0.3976	0.2278	-0.145	-0.5614
A232	0.5507	-0.9089	-0.9722		-0.912	-0.7014		-0.8545	-0.5848	0.5045	-1.1545	-0.0079	-0.5678	-1.484	-0.8268	-0.8778	-1.6841	-0.0143	-0.7783	1.4046	0.5	-0.1209	0.3623	0.3817	0.7913
A233	0.0365	1.9744	1.9007		1.7517	1.4015		1.3884	1.8453	1.5967	0.8674	-0.1503	0.7182	1.0556	1.215	1.2439	0.4846	0.1307	0.6278	-0.8626	0.7635	0.6042	0.0849	0.5464	-1.6206
A234	-0.8895	0.2912	0.4734		0.4948	0.5176		-0.0298	-0.0405	-0.0964	-0.1006	-1.039	-0.7204	0.9406	0.3109	0.5983	-0.363	-0.0005	0.4529	-1.1835	-0.1648	-0.1995	-0.4599	-0.8156	-1.3832
A239	0.2423	0.535	-0.4073		0.4998	0.4513		0.3329	0.1446	0.6122	0.2421	0.2851	0.4814	0.6077	0.1117	0.3631	0.6981	0.562	0.4873	-0.2679	0.474	-0.1777	-0.4587	-0.0973	-0.324
A240	-0.1451	1.5049	1.1056		1.365	1.4757		1.0166	1.2291	1.108	0.9374	0.6725	1.8269	1.5547	1.3585	1.2592	0.0536	0.0983	0.3778	-0.1624	-0.305	0.4049	-0.261	-0.2646	-0.9883
A241	-0.2086	1.4141	1.2327		0.8896	1.2742		1.3372	1.0368	0.6814	0.8219	-0.1522	0.2047	0.9497	1.1156	1.0805	0.6046	0.6725	0.7005	-0.6183	0.2362	-0.3905	-0.3424	-0.1889	-0.2353
A243	0.7601	-1.6643	-0.4529		-0.4267	-0.234		-0.8039	-0.2903	-1.2097	0.1361	0.3383	-0.582	-1.0383	-0.617	-0.6047	-0.1125	0.1916	0.2933	0.9695	0.8241	0.6322	0.6203	0.9834	-0.0007
A247	-0.0259	1.821	1.8162		1.4932	1.6986		1.5181	1.321	1.3663	0.934	1.3528	1.9123	1.2192	1.8274	1.2823	0.0376	0.1421	-0.1312	-0.4455	0.5801	-0.0221	0.349	1.1499	-0.9417
A249	0.4579	-1.5774	-1.3909		-1.1738	-0.9434		-1.286	-0.6936	-1.1192	-1.0577	0.107	-0.2976	1.0689	-0.807	-0.7394	1.8186	0.2788	1.1081	0.2508	-0.4783	-0.3465	-1.1277	-0.5863	-1.3403
A250	0.0749	0.1753	-0.2414		-0.2974	-0.3048		-0.1856	0.2282	-0.3683	0.2416	-1.0732	-0.2472	-0.5895	-0.5402	-0.5759	-1.6272	-1.1437	-1.2909	-0.3959	0.953	1.0935	0.543	0.6946	0.2098
A252	-0.5454	0.4187	0.0884		0.2544	0.3818		1.766	1.9127	1.8002	2.0016	1.3231	2.8068	0.9924	-0.3991	0.1798	0.365	-0.425	0.1468	-1.4616	0.1698	-1.111	-1.4274	-1.0751	-2.1656
A255	-1.0917	0.4687	0.3311		0.3381	0.7924		0.6439	0.6318	0.8151	0.6325	0.5915	0.8081	0.8453	0.6397	0.7374	0.0395	0.5238	0.4532	-0.1906	0.134	-0.3689	-0.6822	-0.8651	1.0539
A258	0.0807	-0.0732	0.1965		0.1988	0.1396		1.1683	1.4928	1.1231	1.0639	0.2512	1.5433	0.6529	-0.2137	0.3173	0.2195	-0.285	0.3534	-0.5461	0.1416	0.4059	0.0513	0.0148	-0.367
A259	-0.2426	-0.553	-0.6212		-1.0225	-0.9123		-0.9727	-0.6852	-0.4005	-1.0218	-0.6302	-0.2638	-0.266	-0.9073	-0.7163	-0.8047	0.727	0.6808	0.7554	-0.8456	0.4832	0.2641	-0.3773	-0.5724
A260	-4.6656	-0.0031	0.1072		-1.3391	-0.2704		-0.1863	-0.3004	-0.6105	-0.613	-0.4117	-0.2029	-0.6063	-0.3272	-0.3826	-2.3188	-0.9607	-0.8314	1.5687	-4.3341	2.6954	1.7494	1.3764	-0.2839
A261	1.0849	-0.7333	-0.6883		-1.185	-0.5602		-0.3959	-0.6852	-0.3407	-0.8738	-0.2127	0.0252	-0.7556	-1.0415	-0.9434	-0.9803	-1.2876	-1.3905	0.7838	0.9937	1.3792	1.2297	1.4141	0.9807
A262	0.2005	-1.6284	-1.379		-1.5097	-0.8718		-1.4949	-1.9355	0.21	-1.2923	0.1853	-0.4386	-0.6475	-1.1882	-1.1118	-1.124	0.2579	-0.152	0.5707	-1.1417	-0.9821	-0.5142	-1.2416	0.973
A263	-0.5474	-0.3169	0.1432		0.0279	0.1629		-0.2156	-0.5899	-1.1193	-0.1648	0.2382	0.2419	0.4107	0.2209	0.2709	-0.3221	0.4745	1.3972	0.1587	-1.703	-0.8457	-0.3575	-1.4878	0.7319
A264	-1.7025	0.8841	0.4276		1.11	0.6097		1.0526	0.9567	-0.2213	0.8133	1.3223	0.1909	1.3481	0.581	0.7656	1.056	0.6747	1.1623	-2.1913	-1.5221	-2.7363	-2.2759	-2.1816	-0.5353
A265	0.0955	1.242	1.4438		1.1297	1.2654		0.7805	0.737	1.2736	1.0668	0.8922	0.4947	0.852	1.1075	1.1181	0.2494	0.2899	0.7717	0.1105	-0.4287	-0.7454	-0.8354	-0.0906	-0.418
A266	-1.2715	0.8216	0.7286		0.4987	0.539		0.6476	0.9603	0.4565	1.382	0.7303	1.3498	0.791	0.3588	0.5354	-0.9256	0.0715	-0.1087	-0.0941	-1.0372	0.863	0.2296	-0.791	0.4223
A267	-0.7566	0.6771	0.8153		1.0258	0.6627		0.4758	-0.1733	0.0601	0.5552	1.0493	0.0766	0.7361	0.6715	0.8083	0.2026	0.822	1.3413	-0.2141	-0.4502	0.292	0.1325	-0.538	0.3536
A268	-0.7872	-0.3458	0.1095		0.1302	0.1519		1.6202	1.984	1.8293	1.679	0.6619	2.0056	0.8755	-0.5029	0.1463	0.387	-0.4727	-0.1902	-1.4177	-0.644	-1.9841	-1.7014	-1.1463	-1.7985
A269	0.1957	-0.934	-0.6836		-0.1512	-0.1063		-0.8611	-0.4755	-1.4368	-1.2095	-0.3121	-0.0332	-0.3544	-0.307	-0.0116	-1.8699	0.4275	0.3729	0.7467	-0.6036	1.1412	0.7642	-0.4778	0.5295
A270	-0.2208	0.7708	0.7754		0.5028	0.812		1.3572	1.8855	0.8679	1.3037	1.4431	2.2015	1.2216	0.6759	0.7757	0.4948	0.4399	0.7327	-1.1011	-0.851	-1.1099	-1.1223	-1.0753	-1.1208
