gene,contrast,metric,group_a_mean,group_b_mean,n_a,n_b,U,p_value
PRF1,CR_vs_PD,cp10k,3.195634,2.543982,7,13,60.0,0.27492260061919505
PRF1,responder(CR+DR)_vs_PD,detrate,0.313026,0.281516,15,13,119.0,0.3333579905725643
PRF1,responder(CR+DR)_vs_PD,cp10k,2.935592,2.543982,15,13,123.0,0.2494716685110525
IL1B,CR_vs_PD,detrate,0.126393,0.121858,7,13,43.0,0.877296181630547
IL1B,CR_vs_PD,cp10k,0.753862,0.686358,7,13,37.0,0.5355521155830754
IL1B,responder(CR+DR)_vs_PD,detrate,0.112639,0.121858,15,13,87.0,0.6450472646857882
IL1B,responder(CR+DR)_vs_PD,cp10k,0.609374,0.686358,15,13,74.0,0.2893708040666141
CXCL8,CR_vs_PD,detrate,0.111421,0.1175,7,13,39.0,0.6426470588235295
CXCL8,CR_vs_PD,cp10k,1.030829,1.037586,7,13,42.0,0.816795665634675
CXCL8,responder(CR+DR)_vs_PD,detrate,0.098962,0.1175,15,13,72.0,0.2494716685110525
CXCL8,responder(CR+DR)_vs_PD,cp10k,1.008955,1.037586,15,13,80.0,0.4335620217098579
