kind	relation	score	x	y	cohort	n	rho	p	ci95_lo	ci95_hi	I2	k	tau2	p_hk_t	Q	member_rhos	member_ns
cohort	tacstd2_vs_junction	junction_kegg	tacstd2	junction_kegg	GSE205335	21	0.5181818181818182	0.016111558031212534	0.1114101068714717	0.7762349839050282		1					
cohort	tacstd2_vs_junction	junction_kegg	tacstd2	junction_kegg	GSE189357	9	-0.21666666666666667	0.5755148957119259	-0.7699978874299706	0.5226732281317998		1					
pooled_dl_fisher_z	tacstd2_vs_junction	junction_kegg	tacstd2	junction_kegg	GSE123902+GSE131907+GSE205335+GSE189357	64	0.4227166392555638	0.0026978658492159036	0.155104296485285	0.6325309412823649	12.6576423318947	4	0.011774738705524963	0.06139098168863729	3.4347595829732294	GSE123902:0.582418,GSE131907:0.423377,GSE205335:0.518182,GSE189357:-0.216667	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	junction_vs_tnk	junction_kegg	junction_kegg	frac_tnk	GSE123902	13	-0.38461538461538464	0.19441291997748633	-0.7720049606213658	0.21111809596910355		1					
cohort	junction_vs_tnk	junction_kegg	junction_kegg	frac_tnk	GSE131907	21	-0.14025974025974028	0.5442470998307317	-0.5392992638161661	0.3102173737498233		1					
cohort	junction_vs_tnk	junction_kegg	junction_kegg	frac_tnk	GSE205335	21	0.5948051948051949	0.004454414364936613	0.21946410774456798	0.8167730788189266		1					
cohort	junction_vs_tnk	junction_kegg	junction_kegg	frac_tnk	GSE189357	9	0.2833333333333333	0.46003032896572005	-0.46905960747911024	0.7974137903159729		1					
pooled_dl_fisher_z	junction_vs_tnk	junction_kegg	junction_kegg	frac_tnk	GSE123902+GSE131907+GSE205335+GSE189357	64	0.11309749518404723	0.6644032711810133	-0.37957327296905713	0.5557949944371787	69.64460901368945	4	0.18641250527506478	0.6756720804139552	9.882923271694699	GSE123902:-0.384615,GSE131907:-0.140260,GSE205335:0.594805,GSE189357:0.283333	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	tacstd2_vs_junction	junction_kegg_no_cldn4	tacstd2	junction_kegg_no_cldn4	GSE123902	13	0.5824175824175823	0.0367413343586543	0.04627407728913394	0.8580542246776016		1					
cohort	tacstd2_vs_junction	junction_kegg_no_cldn4	tacstd2	junction_kegg_no_cldn4	GSE131907	21	0.40129870129870127	0.07138262110690317	-0.03676389263899118	0.709994311111779		1					
cohort	tacstd2_vs_junction	junction_kegg_no_cldn4	tacstd2	junction_kegg_no_cldn4	GSE205335	21	0.5077922077922078	0.01877286191233981	0.0974635799703021	0.770568944191396		1					
cohort	tacstd2_vs_junction	junction_kegg_no_cldn4	tacstd2	junction_kegg_no_cldn4	GSE189357	9	-0.21666666666666667	0.5755148957119259	-0.7699978874299706	0.5226732281317998		1					
pooled_dl_fisher_z	tacstd2_vs_junction	junction_kegg_no_cldn4	tacstd2	junction_kegg_no_cldn4	GSE123902+GSE131907+GSE205335+GSE189357	64	0.4119653183259043	0.0033117720875702533	0.14469224684533794	0.6232103539995889	11.438788080554648	4	0.01049445362593324	0.0640680299846989	3.3874875184959965	GSE123902:0.582418,GSE131907:0.401299,GSE205335:0.507792,GSE189357:-0.216667	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	junction_vs_tnk	junction_kegg_no_cldn4	junction_kegg_no_cldn4	frac_tnk	GSE123902	13	-0.38461538461538464	0.19441291997748633	-0.7720049606213658	0.21111809596910355		1					
cohort	junction_vs_tnk	junction_kegg_no_cldn4	junction_kegg_no_cldn4	frac_tnk	GSE131907	21	-0.15064935064935067	0.5145138644694079	-0.5467833260273137	0.30059322808010985		1					
cohort	junction_vs_tnk	junction_kegg_no_cldn4	junction_kegg_no_cldn4	frac_tnk	GSE205335	21	0.5961038961038961	0.0043465544290327155	0.22137848441033567	0.8174417830030418		1					
cohort	junction_vs_tnk	junction_kegg_no_cldn4	junction_kegg_no_cldn4	frac_tnk	GSE189357	9	0.2833333333333333	0.46003032896572005	-0.46905960747911024	0.7974137903159729		1					
pooled_dl_fisher_z	junction_vs_tnk	junction_kegg_no_cldn4	junction_kegg_no_cldn4	frac_tnk	GSE123902+GSE131907+GSE205335+GSE189357	64	0.11055836955467263	0.6738629653893199	-0.38506720206846984	0.5566871827819001	70.09778597810389	4	0.19046901030640778	0.6840670116310649	10.032701919005826	GSE123902:-0.384615,GSE131907:-0.150649,GSE205335:0.596104,GSE189357:0.283333	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
