ligand	pearson_NMPR	pearson_MPR
COL27A1	-0.08862337650957983	-0.08862337650957983
FAM3C	-0.09229989036890807	-0.09229989036890807
CD320	-0.09266829293500096	-0.09266829293500096
SECTM1	-0.0930029434624078	-0.0930029434624078
LAMB2	-0.09302087201989863	-0.09302087201989863
COL7A1	-0.09324327444375541	-0.09324327444375541
COPA	-0.0940077608469654	-0.0940077608469654
CCL20	-0.09405547364317984	-0.09405547364317984
COL4A5	-0.09498056317764139	-0.09498056317764139
LGALS3BP	-0.0956886408296828	-0.0956886408296828
S100A9	-0.09631445814947918	-0.09631445814947918
NECTIN2	-0.09637453298408691	-0.09637453298408691
F11R	-0.09685721649776087	-0.09685721649776087
MMP14	-0.09760956776198096	-0.09760956776198096
MELTF	-0.0983292908069752	-0.0983292908069752
MFAP2	-0.09835145412274829	-0.09835145412274829
CTF1	-0.09839762489518894	-0.09839762489518894
ADAM10	-0.09841138393324982	-0.09841138393324982
CXADR	-0.09871599780072855	-0.09871599780072855
PLAU	-0.09961842984646263	-0.09961842984646263
CEACAM6	-0.10090020464418759	-0.10090020464418759
LAMA3	-0.10162569720174724	-0.10162569720174724
CLEC2B	-0.1024525253429	-0.1024525253429
TIMP2	-0.10325002708374484	-0.10325002708374484
AGRN	-0.10442543190697778	-0.10442543190697778
LAMB3	-0.10522790851700739	-0.10522790851700739
SLPI	-0.10525421111664462	-0.10525421111664462
C3	-0.10557666913031477	-0.10557666913031477
ADAM15	-0.10585347916010497	-0.10585347916010497
LGALS1	-0.10588745422256515	-0.10588745422256515
HLA-DMB	-0.10662052824843235	-0.10662052824843235
LAMC2	-0.10674179910010864	-0.10674179910010864
GRN	-0.10728904490078356	-0.10728904490078356
PLXNA1	-0.10733799899470502	-0.10733799899470502
LAMC1	-0.10791306833024158	-0.10791306833024158
COL1A1	-0.10876608958574252	-0.10876608958574252
HLA-DRB5	-0.10905401630639419	-0.10905401630639419
HSPG2	-0.10938970912828193	-0.10938970912828193
CD82	-0.1107641175016115	-0.1107641175016115
VSIG10	-0.11134244467201024	-0.11134244467201024
HLA-DPB1	-0.11221620825308173	-0.11221620825308173
TSPAN33	-0.11511039108642698	-0.11511039108642698
HLA-DOA	-0.11552519940389688	-0.11552519940389688
NUCB2	-0.1156819104602193	-0.1156819104602193
CDH1	-0.11570020671591025	-0.11570020671591025
PVR	-0.11599932509372382	-0.11599932509372382
FN1	-0.11633964967386565	-0.11633964967386565
CLEC11A	-0.11708821128869956	-0.11708821128869956
HLA-DRB3	-0.11719797833546892	-0.11719797833546892
TGOLN2	-0.11722760353525824	-0.11722760353525824
MPZL3	-0.11744468474551947	-0.11744468474551947
NECTIN1	-0.11747634865761397	-0.11747634865761397
CXCL14	-0.11772447428473592	-0.11772447428473592
JAG2	-0.11796694107196692	-0.11796694107196692
CD55	-0.11852760749661265	-0.11852760749661265
ULBP2	-0.11853779539703901	-0.11853779539703901
NECTIN4	-0.11909489892937263	-0.11909489892937263
CEACAM5	-0.12065540504851618	-0.12065540504851618
APOE	-0.12202358935755674	-0.12202358935755674
COL8A1	-0.12357481909323773	-0.12357481909323773
LGALS3	-0.1235952632350927	-0.1235952632350927
LAMA5	-0.12372635439157689	-0.12372635439157689
CFH	-0.12487592606495351	-0.12487592606495351
MMP7	-0.1254851073561547	-0.1254851073561547
TSPAN3	-0.12679000218257214	-0.12679000218257214
ST14	-0.12700356685438027	-0.12700356685438027
HLA-B	-0.12775449842160613	-0.12775449842160613
MDK	-0.12882725028634667	-0.12882725028634667
HLA-F	-0.1295461411328236	-0.1295461411328236
HLA-DQA1	-0.1305430751483282	-0.1305430751483282
SDC2	-0.14160433468070838	-0.14160433468070838
FBLN1	-0.15322038350868536	-0.15322038350868536
