signature	gene	weight
Pan_F_TBRS19_mean	SEMA7A	1
Pan_F_TBRS19_mean	SH3PXD2A	1
Pan_F_TBRS19_mean	TAGLN	1
Pan_F_TBRS19_mean	TGFBI	1
Pan_F_TBRS19_mean	TNS1	1
Pan_F_TBRS19_mean	TPM1	1
HALLMARK_EMT_mean	ABI3BP	1
HALLMARK_EMT_mean	ACTA2	1
HALLMARK_EMT_mean	ADAM12	1
HALLMARK_EMT_mean	ANPEP	1
HALLMARK_EMT_mean	APLP1	1
HALLMARK_EMT_mean	AREG	1
HALLMARK_EMT_mean	BASP1	1
HALLMARK_EMT_mean	BDNF	1
HALLMARK_EMT_mean	BGN	1
HALLMARK_EMT_mean	BMP1	1
HALLMARK_EMT_mean	CADM1	1
HALLMARK_EMT_mean	CALD1	1
HALLMARK_EMT_mean	CALU	1
HALLMARK_EMT_mean	CAP2	1
HALLMARK_EMT_mean	CAPG	1
HALLMARK_EMT_mean	CCN1	1
HALLMARK_EMT_mean	CCN2	1
HALLMARK_EMT_mean	CD44	1
HALLMARK_EMT_mean	CD59	1
HALLMARK_EMT_mean	CDH11	1
HALLMARK_EMT_mean	CDH2	1
HALLMARK_EMT_mean	CDH6	1
HALLMARK_EMT_mean	COL11A1	1
HALLMARK_EMT_mean	COL12A1	1
HALLMARK_EMT_mean	COL16A1	1
HALLMARK_EMT_mean	COL1A1	1
HALLMARK_EMT_mean	COL1A2	1
HALLMARK_EMT_mean	COL3A1	1
HALLMARK_EMT_mean	COL4A1	1
HALLMARK_EMT_mean	COL4A2	1
HALLMARK_EMT_mean	COL5A1	1
HALLMARK_EMT_mean	COL5A2	1
HALLMARK_EMT_mean	COL5A3	1
HALLMARK_EMT_mean	COL6A2	1
HALLMARK_EMT_mean	COL6A3	1
HALLMARK_EMT_mean	COL7A1	1
HALLMARK_EMT_mean	COL8A2	1
HALLMARK_EMT_mean	COLGALT1	1
HALLMARK_EMT_mean	COMP	1
HALLMARK_EMT_mean	COPA	1
HALLMARK_EMT_mean	CRLF1	1
HALLMARK_EMT_mean	CTHRC1	1
HALLMARK_EMT_mean	CXCL1	1
HALLMARK_EMT_mean	CXCL12	1
HALLMARK_EMT_mean	CXCL6	1
HALLMARK_EMT_mean	CXCL8	1
HALLMARK_EMT_mean	DAB2	1
HALLMARK_EMT_mean	DCN	1
HALLMARK_EMT_mean	DKK1	1
HALLMARK_EMT_mean	DPYSL3	1
HALLMARK_EMT_mean	DST	1
HALLMARK_EMT_mean	ECM1	1
HALLMARK_EMT_mean	ECM2	1
HALLMARK_EMT_mean	EDIL3	1
HALLMARK_EMT_mean	EFEMP2	1
HALLMARK_EMT_mean	ELN	1
HALLMARK_EMT_mean	EMP3	1
HALLMARK_EMT_mean	ENO2	1
HALLMARK_EMT_mean	FAP	1
HALLMARK_EMT_mean	FAS	1
HALLMARK_EMT_mean	FBLN1	1
HALLMARK_EMT_mean	FBLN2	1
HALLMARK_EMT_mean	FBLN5	1
HALLMARK_EMT_mean	FBN1	1
HALLMARK_EMT_mean	FBN2	1
HALLMARK_EMT_mean	FERMT2	1
HALLMARK_EMT_mean	FGF2	1
HALLMARK_EMT_mean	FLNA	1
HALLMARK_EMT_mean	FMOD	1
HALLMARK_EMT_mean	FN1	1
HALLMARK_EMT_mean	FOXC2	1
HALLMARK_EMT_mean	FSTL1	1
HALLMARK_EMT_mean	FSTL3	1
HALLMARK_EMT_mean	FUCA1	1
HALLMARK_EMT_mean	FZD8	1
HALLMARK_EMT_mean	GADD45A	1
HALLMARK_EMT_mean	GADD45B	1
HALLMARK_EMT_mean	GAS1	1
HALLMARK_EMT_mean	GEM	1
HALLMARK_EMT_mean	GJA1	1
HALLMARK_EMT_mean	GLIPR1	1
HALLMARK_EMT_mean	GPC1	1
HALLMARK_EMT_mean	GPX7	1
HALLMARK_EMT_mean	GREM1	1
HALLMARK_EMT_mean	HTRA1	1
HALLMARK_EMT_mean	ID2	1
HALLMARK_EMT_mean	IGFBP2	1
HALLMARK_EMT_mean	IGFBP3	1
HALLMARK_EMT_mean	IGFBP4	1
HALLMARK_EMT_mean	IL15	1
HALLMARK_EMT_mean	IL32	1
HALLMARK_EMT_mean	IL6	1
HALLMARK_EMT_mean	INHBA	1
HALLMARK_EMT_mean	ITGA2	1
HALLMARK_EMT_mean	ITGA5	1
HALLMARK_EMT_mean	ITGAV	1
HALLMARK_EMT_mean	ITGB1	1
HALLMARK_EMT_mean	ITGB3	1
HALLMARK_EMT_mean	ITGB5	1
HALLMARK_EMT_mean	JUN	1
HALLMARK_EMT_mean	LAMA1	1
HALLMARK_EMT_mean	LAMA2	1
HALLMARK_EMT_mean	LAMA3	1
HALLMARK_EMT_mean	LAMC1	1
HALLMARK_EMT_mean	LAMC2	1
HALLMARK_EMT_mean	LGALS1	1
HALLMARK_EMT_mean	LOX	1
HALLMARK_EMT_mean	LOXL1	1
HALLMARK_EMT_mean	LOXL2	1
HALLMARK_EMT_mean	LRP1	1
HALLMARK_EMT_mean	LRRC15	1
HALLMARK_EMT_mean	LUM	1
HALLMARK_EMT_mean	MAGEE1	1
HALLMARK_EMT_mean	MATN2	1
HALLMARK_EMT_mean	MATN3	1
HALLMARK_EMT_mean	MCM7	1
HALLMARK_EMT_mean	MEST	1
HALLMARK_EMT_mean	MFAP5	1
HALLMARK_EMT_mean	MGP	1
HALLMARK_EMT_mean	MMP1	1
HALLMARK_EMT_mean	MMP14	1
HALLMARK_EMT_mean	MMP2	1
HALLMARK_EMT_mean	MMP3	1
HALLMARK_EMT_mean	MSX1	1
HALLMARK_EMT_mean	MXRA5	1
HALLMARK_EMT_mean	MYL9	1
HALLMARK_EMT_mean	MYLK	1
HALLMARK_EMT_mean	NID2	1
HALLMARK_EMT_mean	NNMT	1
HALLMARK_EMT_mean	NOTCH2	1
HALLMARK_EMT_mean	NT5E	1
HALLMARK_EMT_mean	NTM	1
HALLMARK_EMT_mean	OXTR	1
HALLMARK_EMT_mean	P3H1	1
HALLMARK_EMT_mean	PCOLCE	1
HALLMARK_EMT_mean	PCOLCE2	1
HALLMARK_EMT_mean	PDGFRB	1
HALLMARK_EMT_mean	PDLIM4	1
HALLMARK_EMT_mean	PFN2	1
HALLMARK_EMT_mean	PLAUR	1
HALLMARK_EMT_mean	PLOD1	1
HALLMARK_EMT_mean	PLOD2	1
HALLMARK_EMT_mean	PLOD3	1
HALLMARK_EMT_mean	PMEPA1	1
HALLMARK_EMT_mean	PMP22	1
HALLMARK_EMT_mean	POSTN	1
HALLMARK_EMT_mean	PPIB	1
HALLMARK_EMT_mean	PRRX1	1
HALLMARK_EMT_mean	PRSS2	1
HALLMARK_EMT_mean	PTHLH	1
HALLMARK_EMT_mean	PTX3	1
HALLMARK_EMT_mean	PVR	1
HALLMARK_EMT_mean	QSOX1	1
HALLMARK_EMT_mean	RGS4	1
HALLMARK_EMT_mean	RHOB	1
HALLMARK_EMT_mean	SAT1	1
HALLMARK_EMT_mean	SCG2	1
HALLMARK_EMT_mean	SDC1	1
HALLMARK_EMT_mean	SDC4	1
HALLMARK_EMT_mean	SERPINE1	1
HALLMARK_EMT_mean	SERPINE2	1
HALLMARK_EMT_mean	SERPINH1	1
HALLMARK_EMT_mean	SFRP1	1
HALLMARK_EMT_mean	SFRP4	1
HALLMARK_EMT_mean	SGCB	1
HALLMARK_EMT_mean	SGCD	1
HALLMARK_EMT_mean	SGCG	1
HALLMARK_EMT_mean	SLC6A8	1
HALLMARK_EMT_mean	SLIT2	1
HALLMARK_EMT_mean	SLIT3	1
HALLMARK_EMT_mean	SNAI2	1
HALLMARK_EMT_mean	SNTB1	1
HALLMARK_EMT_mean	SPARC	1
HALLMARK_EMT_mean	SPOCK1	1
HALLMARK_EMT_mean	SPP1	1
HALLMARK_EMT_mean	TAGLN	1
HALLMARK_EMT_mean	TFPI2	1
HALLMARK_EMT_mean	TGFB1	1
HALLMARK_EMT_mean	TGFBI	1
HALLMARK_EMT_mean	TGFBR3	1
HALLMARK_EMT_mean	TGM2	1
HALLMARK_EMT_mean	THBS1	1
HALLMARK_EMT_mean	THBS2	1
HALLMARK_EMT_mean	THY1	1
HALLMARK_EMT_mean	TIMP1	1
HALLMARK_EMT_mean	TIMP3	1
HALLMARK_EMT_mean	TNC	1
HALLMARK_EMT_mean	TNFAIP3	1
HALLMARK_EMT_mean	TNFRSF11B	1
HALLMARK_EMT_mean	TNFRSF12A	1
HALLMARK_EMT_mean	TPM1	1
HALLMARK_EMT_mean	TPM2	1
HALLMARK_EMT_mean	TPM4	1
HALLMARK_EMT_mean	VCAM1	1
HALLMARK_EMT_mean	VCAN	1
HALLMARK_EMT_mean	VEGFA	1
HALLMARK_EMT_mean	VEGFC	1
HALLMARK_EMT_mean	VIM	1
HALLMARK_EMT_mean	WIPF1	1
HALLMARK_EMT_mean	WNT5A	1
