patient	cell_index_0based	gene	count
P01	1763	TACSTD2	149
P01	1764	TACSTD2	113
P01	1818	TACSTD2	2
P01	1820	TACSTD2	54
P01	1822	TACSTD2	34
P01	1842	TACSTD2	2
P01	1875	TACSTD2	3
P01	1893	TACSTD2	1
P01	1942	TACSTD2	2
P01	1946	TACSTD2	1
P01	1948	TACSTD2	1
P01	1956	TACSTD2	1
P01	1966	TACSTD2	33
P01	1967	TACSTD2	1
P01	1985	TACSTD2	12
P01	1992	TACSTD2	2
P01	1993	TACSTD2	6
P01	1998	TACSTD2	96
P01	2005	TACSTD2	5
P01	2006	TACSTD2	7
P01	2017	TACSTD2	10
P01	2031	TACSTD2	35
P01	2036	TACSTD2	24
P01	2056	TACSTD2	9
P01	2066	TACSTD2	4
P01	2081	TACSTD2	1
P01	2094	TACSTD2	1
P01	2098	TACSTD2	1
P01	2109	TACSTD2	17
P01	2114	TACSTD2	13
P01	2126	TACSTD2	1
P01	2129	TACSTD2	1
P01	2131	TACSTD2	6
P01	2132	TACSTD2	14
P01	2164	TACSTD2	22
P01	2181	TACSTD2	3
P01	2194	TACSTD2	1
P01	2196	TACSTD2	3
P01	2206	TACSTD2	20
P01	2217	TACSTD2	2
P01	2222	TACSTD2	6
P01	2223	TACSTD2	15
P01	2227	TACSTD2	2
P01	2233	TACSTD2	1
P01	2236	TACSTD2	1
P01	2247	TACSTD2	1
P01	2262	TACSTD2	73
P01	2277	TACSTD2	3
P01	2283	TACSTD2	1
P01	2289	TACSTD2	79
P01	2293	TACSTD2	1
P01	2302	TACSTD2	4
P01	2303	TACSTD2	3
P01	2309	TACSTD2	36
P01	2322	TACSTD2	1
P01	2327	TACSTD2	1
P01	2356	TACSTD2	1
P01	2361	TACSTD2	44
P01	2367	TACSTD2	9
P01	2378	TACSTD2	3
P01	2387	TACSTD2	1
P01	2391	TACSTD2	1
P01	2398	TACSTD2	8
P01	2399	TACSTD2	13
P01	2401	TACSTD2	1
P01	2415	TACSTD2	1
P01	2491	TACSTD2	1
P01	2528	TACSTD2	88
P01	2552	TACSTD2	50
P01	2560	TACSTD2	11
P01	2578	TACSTD2	4
P01	2599	TACSTD2	17
P01	2604	TACSTD2	1
P01	2647	TACSTD2	1
P01	2664	TACSTD2	1
P01	2699	TACSTD2	1
P01	2701	TACSTD2	191
P01	2715	TACSTD2	2
P01	2727	TACSTD2	1
P01	2728	TACSTD2	8
P01	2736	TACSTD2	7
P01	2756	TACSTD2	1
P01	2760	TACSTD2	18
P01	2761	TACSTD2	3
P01	2768	TACSTD2	25
P01	2771	TACSTD2	109
P01	2790	TACSTD2	1
P01	2800	TACSTD2	1
P01	2827	TACSTD2	1
P01	2848	TACSTD2	2
P01	2869	TACSTD2	1
P01	2872	TACSTD2	2
P01	2878	TACSTD2	1
P01	2887	TACSTD2	2
P01	2889	TACSTD2	13
P01	2898	TACSTD2	40
P01	2924	TACSTD2	17
P01	2941	TACSTD2	45
P01	2943	TACSTD2	1
P01	2948	TACSTD2	5
P01	2966	TACSTD2	2
P01	2980	TACSTD2	2
P01	2981	TACSTD2	84
P01	2998	TACSTD2	2
P01	3017	TACSTD2	1
P01	3029	TACSTD2	1
P01	3035	TACSTD2	126
P01	3039	TACSTD2	83
P01	3040	TACSTD2	39
P01	3064	TACSTD2	2
P01	3072	TACSTD2	10
P01	3080	TACSTD2	17
P01	3147	TACSTD2	48
P01	3174	TACSTD2	6
P01	3190	TACSTD2	2
P01	3194	TACSTD2	1
P01	3196	TACSTD2	10
P01	3197	TACSTD2	11
P01	3218	TACSTD2	26
P01	3219	TACSTD2	65
P01	3225	TACSTD2	6
P01	3233	TACSTD2	6
P01	3261	TACSTD2	1
P01	3262	TACSTD2	15
P01	3263	TACSTD2	1
P01	3266	TACSTD2	115
P01	3269	TACSTD2	1
P01	3290	TACSTD2	64
P01	3315	TACSTD2	2
P01	3357	TACSTD2	1
P01	3371	TACSTD2	3
P01	3379	TACSTD2	5
P01	3382	TACSTD2	1
P01	3388	TACSTD2	1
P01	3406	TACSTD2	1
P01	3418	TACSTD2	7
P01	3420	TACSTD2	3
P01	3440	TACSTD2	1
P01	3442	TACSTD2	1
P01	3444	TACSTD2	1
P01	3448	TACSTD2	7
P01	3476	TACSTD2	1
P01	3485	TACSTD2	1
P01	3498	TACSTD2	1
P01	3508	TACSTD2	1
P01	3509	TACSTD2	2
P01	3511	TACSTD2	6
P01	3536	TACSTD2	1
P01	3558	TACSTD2	11
P01	3563	TACSTD2	1
P01	3564	TACSTD2	3
P01	3568	TACSTD2	6
P01	3572	TACSTD2	1
P01	3620	TACSTD2	51
P01	3637	TACSTD2	1
P01	3674	TACSTD2	1
P01	3677	TACSTD2	6
P01	3684	TACSTD2	1
P01	3690	TACSTD2	66
P01	3700	TACSTD2	84
P01	3706	TACSTD2	1
P01	3728	TACSTD2	7
P01	3729	TACSTD2	2
P01	3743	TACSTD2	1
P01	3753	TACSTD2	14
P01	3768	TACSTD2	31
P01	3795	TACSTD2	2
P01	3825	TACSTD2	3
P01	3826	TACSTD2	11
P01	3829	TACSTD2	83
P01	3831	TACSTD2	28
P01	3832	TACSTD2	1
P01	3835	TACSTD2	9
P01	3839	TACSTD2	19
P01	3842	TACSTD2	23
P01	3858	TACSTD2	1
P01	3859	TACSTD2	1
P01	3875	TACSTD2	12
P01	3889	TACSTD2	6
P01	3891	TACSTD2	1
P01	3954	TACSTD2	6
P01	3972	TACSTD2	65
P01	4033	TACSTD2	3
P01	4034	TACSTD2	1
P01	4040	TACSTD2	3
P01	4041	TACSTD2	4
P01	4042	TACSTD2	5
P01	4044	TACSTD2	1
P01	4099	TACSTD2	14
P01	4111	TACSTD2	16
P01	4129	TACSTD2	1
P01	4131	TACSTD2	4
P01	4132	TACSTD2	3
P01	4149	TACSTD2	37
P01	4151	TACSTD2	6
P01	4188	TACSTD2	167
P01	4217	TACSTD2	1
P01	4220	TACSTD2	4
P01	4223	TACSTD2	2
P01	4224	TACSTD2	1
P01	4228	TACSTD2	4
P01	4235	TACSTD2	12
P01	4248	TACSTD2	25
P01	4261	TACSTD2	2
P01	4265	TACSTD2	8
P01	4287	TACSTD2	54
P01	4288	TACSTD2	1
P01	4307	TACSTD2	6
P01	4314	TACSTD2	3
P01	4333	TACSTD2	4
P01	4337	TACSTD2	2
P01	4340	TACSTD2	1
P01	4357	TACSTD2	1
P01	4368	TACSTD2	1
P01	4378	TACSTD2	1
P01	4405	TACSTD2	1
P01	4411	TACSTD2	3
P01	4412	TACSTD2	1
P01	4423	TACSTD2	9
P01	4425	TACSTD2	14
P01	4435	TACSTD2	3
P01	4447	TACSTD2	4
P01	4449	TACSTD2	2
P01	4452	TACSTD2	2
P01	4456	TACSTD2	4
P01	4461	TACSTD2	16
P01	4465	TACSTD2	1
P01	4485	TACSTD2	21
P01	4491	TACSTD2	1
P01	4494	TACSTD2	13
P01	4540	TACSTD2	2
P01	4559	TACSTD2	1
P01	4564	TACSTD2	2
P01	4568	TACSTD2	1
P01	4578	TACSTD2	7
P01	4580	TACSTD2	5
P01	4602	TACSTD2	1
P01	4613	TACSTD2	1
P01	4615	TACSTD2	5
P01	4616	TACSTD2	22
P01	4622	TACSTD2	36
P01	4635	TACSTD2	2
P01	4644	TACSTD2	4
P01	4645	TACSTD2	1
P01	4653	TACSTD2	68
P01	4669	TACSTD2	4
P01	4677	TACSTD2	2
P01	4713	TACSTD2	2
P01	4717	TACSTD2	2
P01	4726	TACSTD2	1
P01	4775	TACSTD2	5
P01	4792	TACSTD2	1
P01	4799	TACSTD2	5
P01	4812	TACSTD2	1
P01	4826	TACSTD2	1
P01	4835	TACSTD2	20
P01	7	CLDN4	4
P01	37	CLDN4	2
P01	39	CLDN4	3
P01	43	CLDN4	9
P01	82	CLDN4	16
P01	93	CLDN4	3
P01	130	CLDN4	1
P01	131	CLDN4	4
P01	132	CLDN4	3
P01	144	CLDN4	1
P01	152	CLDN4	5
P01	156	CLDN4	3
P01	158	CLDN4	33
P01	179	CLDN4	7
P01	222	CLDN4	1
P01	230	CLDN4	1
P01	252	CLDN4	13
P01	298	CLDN4	1
P01	301	CLDN4	6
P01	304	CLDN4	2
P01	327	CLDN4	1
P01	347	CLDN4	26
P01	363	CLDN4	1
P01	383	CLDN4	72
P01	389	CLDN4	1
P01	393	CLDN4	13
P01	397	CLDN4	29
P01	404	CLDN4	4
P01	406	CLDN4	1
P01	409	CLDN4	1
P01	438	CLDN4	2
P01	442	CLDN4	13
P01	445	CLDN4	21
P01	451	CLDN4	2
P01	473	CLDN4	166
P01	475	CLDN4	1
P01	491	CLDN4	10
P01	500	CLDN4	1
P01	547	CLDN4	71
P01	554	CLDN4	9
P01	560	CLDN4	2
P01	586	CLDN4	61
P01	620	CLDN4	9
P01	621	CLDN4	2
P01	635	CLDN4	4
P01	638	CLDN4	90
P01	667	CLDN4	270
P01	672	CLDN4	1
P01	679	CLDN4	1
P01	681	CLDN4	36
P01	691	CLDN4	2
P01	709	CLDN4	20
P01	723	CLDN4	1
P01	746	CLDN4	3
P01	749	CLDN4	7
P01	768	CLDN4	1
P01	769	CLDN4	2
P01	803	CLDN4	1
P01	815	CLDN4	1
P01	826	CLDN4	1
P01	834	CLDN4	21
P01	873	CLDN4	1
P01	884	CLDN4	2
P01	891	CLDN4	1
P01	923	CLDN4	1
P01	931	CLDN4	22
P01	937	CLDN4	38
P01	939	CLDN4	9
P01	942	CLDN4	23
P01	953	CLDN4	2
P01	962	CLDN4	1
P01	972	CLDN4	3
P01	976	CLDN4	10
P01	981	CLDN4	1
P01	1017	CLDN4	65
P01	1019	CLDN4	7
P01	1025	CLDN4	5
P01	1053	CLDN4	125
P01	1072	CLDN4	1
P01	1088	CLDN4	13
P01	1089	CLDN4	1
P01	1097	CLDN4	1
P01	1109	CLDN4	5
P01	1126	CLDN4	14
P01	1141	CLDN4	1
P01	1190	CLDN4	6
P01	1220	CLDN4	1
P01	1242	CLDN4	73
P01	1266	CLDN4	5
P01	1288	CLDN4	7
P01	1330	CLDN4	11
P01	1340	CLDN4	5
P01	1359	CLDN4	5
P01	1377	CLDN4	107
P01	1422	CLDN4	2
P01	1461	CLDN4	1
P01	1467	CLDN4	6
P01	1470	CLDN4	22
P01	1481	CLDN4	2
P01	1485	CLDN4	22
P01	1494	CLDN4	43
P01	1540	CLDN4	2
P01	1550	CLDN4	1
P01	1551	CLDN4	3
P01	1560	CLDN4	3
P01	1582	CLDN4	109
P01	1599	CLDN4	1
P01	1601	CLDN4	5
P01	1631	CLDN4	29
P01	1636	CLDN4	17
P01	1648	CLDN4	9
P01	1656	CLDN4	7
P01	1660	CLDN4	46
P01	1666	CLDN4	243
P01	1687	CLDN4	10
P01	1711	CLDN4	3
P01	1715	CLDN4	5
P01	1730	CLDN4	8
P01	1740	CLDN4	1
P01	1741	CLDN4	26
P01	1751	CLDN4	2
P01	1758	CLDN4	75
P01	1763	CLDN4	312
P01	1764	CLDN4	31
P01	1770	CLDN4	1
P01	1802	CLDN4	1
P01	1820	CLDN4	72
P01	1822	CLDN4	28
P01	1842	CLDN4	1
P01	1860	CLDN4	1
P01	1875	CLDN4	1
P01	1895	CLDN4	1
P01	1914	CLDN4	1
P01	1966	CLDN4	19
P01	1985	CLDN4	41
P01	1993	CLDN4	3
P01	1998	CLDN4	210
P01	2004	CLDN4	5
P01	2005	CLDN4	7
P01	2017	CLDN4	15
P01	2036	CLDN4	39
P01	2056	CLDN4	4
P01	2066	CLDN4	24
P01	2089	CLDN4	1
P01	2109	CLDN4	10
P01	2114	CLDN4	9
P01	2164	CLDN4	17
P01	2181	CLDN4	22
P01	2189	CLDN4	1
P01	2195	CLDN4	1
P01	2206	CLDN4	29
P01	2209	CLDN4	1
P01	2217	CLDN4	2
P01	2222	CLDN4	3
P01	2223	CLDN4	39
P01	2227	CLDN4	4
P01	2247	CLDN4	2
P01	2262	CLDN4	186
P01	2289	CLDN4	121
P01	2302	CLDN4	9
P01	2303	CLDN4	1
P01	2327	CLDN4	4
P01	2342	CLDN4	4
P01	2361	CLDN4	143
P01	2399	CLDN4	19
P01	2411	CLDN4	1
P01	2413	CLDN4	1
P01	2476	CLDN4	1
P01	2502	CLDN4	3
P01	2528	CLDN4	45
P01	2529	CLDN4	1
P01	2552	CLDN4	30
P01	2557	CLDN4	1
P01	2560	CLDN4	1
P01	2599	CLDN4	29
P01	2607	CLDN4	1
P01	2615	CLDN4	1
P01	2631	CLDN4	1
P01	2675	CLDN4	1
P01	2701	CLDN4	165
P01	2715	CLDN4	6
P01	2728	CLDN4	45
P01	2736	CLDN4	22
P01	2738	CLDN4	1
P01	2740	CLDN4	1
P01	2760	CLDN4	23
P01	2761	CLDN4	7
P01	2768	CLDN4	13
P01	2771	CLDN4	13
P01	2852	CLDN4	1
P01	2898	CLDN4	90
P01	2924	CLDN4	9
P01	2941	CLDN4	329
P01	2948	CLDN4	3
P01	2966	CLDN4	3
P01	2981	CLDN4	129
P01	3016	CLDN4	1
P01	3030	CLDN4	1
P01	3035	CLDN4	64
P01	3039	CLDN4	61
P01	3040	CLDN4	33
P01	3072	CLDN4	2
P01	3080	CLDN4	6
P01	3147	CLDN4	27
P01	3174	CLDN4	9
P01	3197	CLDN4	8
P01	3218	CLDN4	16
P01	3219	CLDN4	27
P01	3225	CLDN4	10
P01	3232	CLDN4	1
P01	3233	CLDN4	12
P01	3266	CLDN4	133
P01	3290	CLDN4	97
P01	3371	CLDN4	3
P01	3379	CLDN4	4
P01	3401	CLDN4	1
P01	3418	CLDN4	15
P01	3440	CLDN4	1
P01	3448	CLDN4	1
P01	3485	CLDN4	3
P01	3511	CLDN4	3
P01	3558	CLDN4	7
P01	3595	CLDN4	1
P01	3620	CLDN4	79
P01	3621	CLDN4	3
P01	3637	CLDN4	2
P01	3666	CLDN4	1
P01	3670	CLDN4	4
P01	3690	CLDN4	193
P01	3700	CLDN4	135
P01	3729	CLDN4	4
P01	3753	CLDN4	10
P01	3795	CLDN4	3
P01	3825	CLDN4	14
P01	3826	CLDN4	110
P01	3829	CLDN4	22
P01	3831	CLDN4	58
P01	3832	CLDN4	1
P01	3835	CLDN4	8
P01	3839	CLDN4	14
P01	3842	CLDN4	40
P01	3867	CLDN4	1
P01	3875	CLDN4	24
P01	3876	CLDN4	1
P01	3889	CLDN4	10
P01	3891	CLDN4	4
P01	3954	CLDN4	29
P01	3972	CLDN4	24
P01	3981	CLDN4	4
P01	4033	CLDN4	1
P01	4040	CLDN4	7
P01	4042	CLDN4	17
P01	4044	CLDN4	3
P01	4111	CLDN4	84
P01	4131	CLDN4	1
P01	4132	CLDN4	1
P01	4148	CLDN4	1
P01	4149	CLDN4	13
P01	4182	CLDN4	1
P01	4188	CLDN4	56
P01	4217	CLDN4	1
P01	4220	CLDN4	4
P01	4235	CLDN4	1
P01	4248	CLDN4	112
P01	4261	CLDN4	8
P01	4284	CLDN4	1
P01	4287	CLDN4	68
P01	4288	CLDN4	1
P01	4314	CLDN4	2
P01	4340	CLDN4	1
P01	4376	CLDN4	4
P01	4397	CLDN4	2
P01	4411	CLDN4	9
P01	4423	CLDN4	10
P01	4425	CLDN4	2
P01	4452	CLDN4	1
P01	4456	CLDN4	1
P01	4461	CLDN4	31
P01	4467	CLDN4	1
P01	4485	CLDN4	5
P01	4494	CLDN4	33
P01	4520	CLDN4	22
P01	4564	CLDN4	9
P01	4615	CLDN4	4
P01	4622	CLDN4	81
P01	4626	CLDN4	1
P01	4635	CLDN4	2
P01	4653	CLDN4	43
P01	4677	CLDN4	18
P01	4757	CLDN4	1
P01	4775	CLDN4	14
P01	4783	CLDN4	1
P01	4826	CLDN4	1
P01	4835	CLDN4	3
P02	37	TACSTD2	14
P02	64	TACSTD2	248
P02	190	TACSTD2	31
P02	214	TACSTD2	4
P02	230	TACSTD2	1
P02	258	TACSTD2	13
P02	305	TACSTD2	41
P02	375	TACSTD2	33
P02	689	TACSTD2	42
P02	704	TACSTD2	1
P02	1105	TACSTD2	11
P02	1437	TACSTD2	1
P02	1475	TACSTD2	1
P02	1516	TACSTD2	67
P02	1561	TACSTD2	12
P02	1605	TACSTD2	17
P02	1752	TACSTD2	1
P02	1762	TACSTD2	121
P02	1922	TACSTD2	7
P02	2130	TACSTD2	9
P02	2176	TACSTD2	1
P02	2203	TACSTD2	19
P02	2265	TACSTD2	1
P02	2289	TACSTD2	1
P02	2402	TACSTD2	4
P02	2658	TACSTD2	3
P02	2723	TACSTD2	1
P02	2738	TACSTD2	3
P02	2932	TACSTD2	3
P02	2956	TACSTD2	7
P02	3138	TACSTD2	2
P02	3153	TACSTD2	5
P02	3219	TACSTD2	1
P02	3243	TACSTD2	1
P02	3255	TACSTD2	1
P02	3280	TACSTD2	8
P02	3284	TACSTD2	1
P02	3323	TACSTD2	6
P02	3467	TACSTD2	11
P02	3510	TACSTD2	110
P02	3531	TACSTD2	33
P02	3537	TACSTD2	1
P02	3540	TACSTD2	1
P02	3580	TACSTD2	8
P02	3730	TACSTD2	25
P02	37	CLDN4	16
P02	64	CLDN4	32
P02	79	CLDN4	1
P02	190	CLDN4	19
P02	230	CLDN4	1
P02	305	CLDN4	49
P02	704	CLDN4	3
P02	996	CLDN4	1
P02	1052	CLDN4	1
P02	1105	CLDN4	1
P02	1561	CLDN4	4
P02	1605	CLDN4	1
P02	1762	CLDN4	14
P02	2130	CLDN4	24
P02	2402	CLDN4	2
P02	2953	CLDN4	1
P02	3323	CLDN4	1
P02	3431	CLDN4	1
P02	3495	CLDN4	1
P02	3580	CLDN4	11
P02	3730	CLDN4	26
P04	106	TACSTD2	1
P04	116	TACSTD2	5
P04	373	TACSTD2	1
P04	400	TACSTD2	2
P04	482	TACSTD2	8
P04	485	TACSTD2	1
P04	554	TACSTD2	1
P04	1242	TACSTD2	3
P04	1473	TACSTD2	64
P04	1640	TACSTD2	17
P04	1798	TACSTD2	1
P04	2178	TACSTD2	1
P04	2258	TACSTD2	7
P04	2408	TACSTD2	7
P04	2432	TACSTD2	3
P04	2585	TACSTD2	1
P04	2920	TACSTD2	56
P04	3264	TACSTD2	6
P04	116	CLDN4	1
P04	482	CLDN4	2
P04	1473	CLDN4	94
P04	1798	CLDN4	14
P04	2153	CLDN4	1
P04	2258	CLDN4	13
P04	2408	CLDN4	27
P04	2432	CLDN4	2
P04	2920	CLDN4	77
P05	238	TACSTD2	194
P05	303	TACSTD2	89
P05	386	TACSTD2	87
P05	776	TACSTD2	5
P05	830	TACSTD2	1
P05	958	TACSTD2	1
P05	1369	TACSTD2	1
P05	1555	TACSTD2	86
P05	1856	TACSTD2	1
P05	2275	TACSTD2	3
P05	2592	TACSTD2	2
P05	2669	TACSTD2	68
P05	2857	TACSTD2	3
P05	3088	TACSTD2	1
P05	3329	TACSTD2	1
P05	3501	TACSTD2	1
P05	3645	TACSTD2	4
P05	3752	TACSTD2	1
P05	3972	TACSTD2	101
P05	4061	TACSTD2	143
P05	4226	TACSTD2	1
P05	4244	TACSTD2	2
P05	4431	TACSTD2	204
P05	4967	TACSTD2	2
P05	227	CLDN4	1
P05	238	CLDN4	75
P05	303	CLDN4	52
P05	336	CLDN4	3
P05	386	CLDN4	77
P05	569	CLDN4	1
P05	1536	CLDN4	1
P05	1555	CLDN4	56
P05	2570	CLDN4	1
P05	2592	CLDN4	10
P05	2669	CLDN4	13
P05	2761	CLDN4	1
P05	2887	CLDN4	1
P05	3645	CLDN4	6
P05	3972	CLDN4	57
P05	4061	CLDN4	115
P05	4431	CLDN4	160
P05	4967	CLDN4	4
P06	25	TACSTD2	4
P06	116	TACSTD2	24
P06	138	TACSTD2	1
P06	145	TACSTD2	4
P06	284	TACSTD2	1
P06	301	TACSTD2	6
P06	308	TACSTD2	1
P06	321	TACSTD2	54
P06	324	TACSTD2	47
P06	373	TACSTD2	4
P06	527	TACSTD2	2
P06	557	TACSTD2	1
P06	569	TACSTD2	2
P06	592	TACSTD2	39
P06	612	TACSTD2	1
P06	769	TACSTD2	3
P06	789	TACSTD2	3
P06	943	TACSTD2	8
P06	947	TACSTD2	1
P06	1001	TACSTD2	21
P06	1146	TACSTD2	2
P06	1166	TACSTD2	2
P06	1174	TACSTD2	4
P06	1199	TACSTD2	7
P06	1216	TACSTD2	2
P06	1247	TACSTD2	7
P06	1337	TACSTD2	11
P06	1352	TACSTD2	3
P06	1420	TACSTD2	21
P06	1557	TACSTD2	39
P06	1615	TACSTD2	4
P06	1669	TACSTD2	1
P06	1710	TACSTD2	1
P06	1729	TACSTD2	1
P06	1742	TACSTD2	13
P06	1745	TACSTD2	5
P06	1829	TACSTD2	1
P06	1892	TACSTD2	1
P06	1900	TACSTD2	10
P06	2015	TACSTD2	5
P06	2156	TACSTD2	1
P06	2195	TACSTD2	4
P06	2210	TACSTD2	1
P06	2326	TACSTD2	5
P06	2437	TACSTD2	23
P06	2481	TACSTD2	3
P06	2513	TACSTD2	1
P06	2532	TACSTD2	2
P06	2591	TACSTD2	1
P06	2661	TACSTD2	18
P06	2709	TACSTD2	10
P06	2726	TACSTD2	2
P06	2759	TACSTD2	1
P06	2768	TACSTD2	1
P06	2837	TACSTD2	1
P06	2862	TACSTD2	12
P06	2883	TACSTD2	3
P06	2925	TACSTD2	20
P06	2945	TACSTD2	5
P06	3106	TACSTD2	117
P06	3142	TACSTD2	21
P06	3154	TACSTD2	1
P06	3155	TACSTD2	4
P06	3168	TACSTD2	7
P06	3225	TACSTD2	2
P06	3342	TACSTD2	22
P06	3357	TACSTD2	3
P06	3366	TACSTD2	9
P06	3417	TACSTD2	53
P06	3636	TACSTD2	11
P06	3704	TACSTD2	6
P06	3718	TACSTD2	2
P06	3748	TACSTD2	17
P06	3752	TACSTD2	4
P06	3770	TACSTD2	49
P06	3832	TACSTD2	4
P06	3865	TACSTD2	1
P06	3878	TACSTD2	13
P06	3890	TACSTD2	17
P06	3913	TACSTD2	1
P06	3932	TACSTD2	3
P06	3996	TACSTD2	1
P06	3998	TACSTD2	14
P06	3999	TACSTD2	1
P06	4093	TACSTD2	1
P06	4118	TACSTD2	60
P06	4267	TACSTD2	3
P06	4332	TACSTD2	1
P06	4333	TACSTD2	20
P06	4503	TACSTD2	1
P06	4513	TACSTD2	1
P06	4575	TACSTD2	4
P06	4688	TACSTD2	2
P06	4708	TACSTD2	1
P06	4732	TACSTD2	1
P06	4761	TACSTD2	1
P06	4775	TACSTD2	1
P06	4913	TACSTD2	2
P06	4970	TACSTD2	20
P06	5000	TACSTD2	18
P06	5007	TACSTD2	1
P06	5054	TACSTD2	11
P06	5150	TACSTD2	1
P06	5156	TACSTD2	6
P06	5205	TACSTD2	33
P06	5249	TACSTD2	3
P06	5286	TACSTD2	3
P06	5339	TACSTD2	35
P06	5358	TACSTD2	1
P06	5385	TACSTD2	13
P06	5418	TACSTD2	3
P06	5479	TACSTD2	2
P06	5576	TACSTD2	56
P06	5673	TACSTD2	8
P06	5720	TACSTD2	10
P06	5722	TACSTD2	1
P06	5854	TACSTD2	62
P06	5905	TACSTD2	1
P06	5935	TACSTD2	19
P06	5947	TACSTD2	1
P06	5978	TACSTD2	4
P06	6004	TACSTD2	1
