sample,cohort,sample_type,GRHL1,GRHL2,GRHL3,TACSTD2,CLDN4,CLDN3,CLDN7,ELF3,KLF5
TCGA-69-7974-01,LUAD,primary_tumor,8.1544,9.9973,3.5337,12.1696,13.4729,10.5027,11.4635,12.0118,11.873
TCGA-86-A456-01,LUAD,primary_tumor,8.1483,10.1415,6.2275,12.5731,13.1409,10.4083,11.7068,13.1012,10.2714
TCGA-49-4512-11,LUAD,normal,7.6971,8.955,1.4403,13.0403,12.2964,9.654,11.8828,10.6744,10.9788
TCGA-97-8547-01,LUAD,primary_tumor,7.4936,9.5288,5.481,12.7219,12.809,11.2404,10.629,11.606,10.2259
TCGA-55-1595-01,LUAD,primary_tumor,8.7164,10.3251,4.4831,11.4421,12.7133,9.0194,11.5522,12.9995,9.2873
TCGA-49-6743-11,LUAD,normal,5.0838,9.2416,1.6326,12.3376,11.3692,8.2051,11.111,11.4573,11.3791
TCGA-NJ-A4YP-01,LUAD,primary_tumor,6.3673,9.5429,4.4817,11.4669,12.4169,10.4553,12.4611,13.4449,12.3022
TCGA-05-4424-01,LUAD,primary_tumor,10.5535,10.2193,5.2726,11.8641,12.3135,10.8525,10.861,13.321,10.1796
TCGA-97-A4M7-01,LUAD,primary_tumor,6.8813,9.031,4.4348,11.8514,13.0836,11.4098,12.0912,13.2544,10.642
TCGA-44-2668-01,LUAD,primary_tumor,8.8397,10.117,2.3489,12.903,12.7566,8.6694,11.0691,11.1035,10.5583
TCGA-NJ-A55A-01,LUAD,primary_tumor,8.4359,10.2799,4.3386,12.4776,13.0022,9.7835,11.2955,13.4239,11.1162
TCGA-44-6148-11,LUAD,normal,7.6818,9.8299,1.9354,11.9461,12.1656,9.6215,10.426,11.9787,11.2834
TCGA-50-5939-11,LUAD,normal,6.4986,9.1947,1.1539,11.9878,11.3558,7.5719,10.1706,12.733,11.1761
TCGA-05-5420-01,LUAD,primary_tumor,5.7009,9.5406,1.4803,12.4951,12.009,9.8174,12.1521,12.0577,10.0025
TCGA-55-1594-01,LUAD,primary_tumor,7.5882,10.3136,3.488,10.2183,11.8043,9.6248,11.3528,12.4532,10.2503
TCGA-44-2659-01,LUAD,primary_tumor,8.0072,10.08,4.636,12.3149,12.9296,10.2852,10.2262,12.12,10.869
TCGA-78-7162-01,LUAD,primary_tumor,9.1361,10.1296,2.5252,11.855,12.3719,8.7768,11.899,12.3267,11.5429
TCGA-38-4632-01,LUAD,primary_tumor,8.2828,8.392,7.5276,13.009,13.8423,11.349,11.5071,11.3717,9.2115
TCGA-49-6761-01,LUAD,primary_tumor,8.3052,10.2065,8.0092,12.1138,13.4638,11.5078,12.2534,12.7979,11.0864
TCGA-91-6828-01,LUAD,primary_tumor,8.6709,11.1851,2.9512,10.8157,12.5842,10.0555,10.6547,12.6694,10.3819
TCGA-05-4418-01,LUAD,primary_tumor,7.215,9.884,3.9347,11.881,12.4972,8.1641,13.1849,13.1775,12.539
TCGA-99-AA5R-01,LUAD,primary_tumor,8.3686,9.0683,4.4707,11.9222,12.6327,10.1382,10.9192,12.0875,10.1493
TCGA-55-7903-01,LUAD,primary_tumor,10.3101,9.9586,5.7365,13.1816,13.7809,10.9893,11.6402,13.6837,10.3705
TCGA-55-A492-01,LUAD,primary_tumor,9.5306,9.7769,4.2639,12.2143,12.8497,10.5228,12.8568,13.1126,10.8288
TCGA-55-8616-01,LUAD,primary_tumor,9.5737,10.4024,7.1579,13.3816,14.2407,12.9313,12.8076,13.7113,11.2462
TCGA-86-7954-01,LUAD,primary_tumor,7.7558,10.384,5.4796,11.088,13.2073,10.6522,11.4868,12.7422,10.5254
TCGA-05-4433-01,LUAD,primary_tumor,8.3404,10.1661,5.5882,12.795,13.1981,7.8083,11.6734,13.6528,12.7968
TCGA-69-8253-01,LUAD,primary_tumor,7.292,10.204,6.2506,12.4346,13.1877,9.1916,13.2338,12.6166,12.8123
TCGA-86-8674-01,LUAD,primary_tumor,6.3566,11.0029,5.8523,13.113,13.1878,10.8632,12.8133,13.9331,11.5017
TCGA-69-7765-01,LUAD,primary_tumor,10.0638,9.4604,4.5907,11.9324,13.0924,10.6151,10.5226,12.6,10.8078
TCGA-86-8672-01,LUAD,primary_tumor,6.9502,9.8669,6.6651,12.4254,13.3592,11.4325,12.1934,12.3947,11.2438
TCGA-MP-A4T6-01,LUAD,primary_tumor,9.1987,10.6188,5.6763,13.4196,14.0766,12.0614,11.1464,13.9294,10.6131
TCGA-97-7547-01,LUAD,primary_tumor,9.0727,11.0581,7.3366,13.5193,13.6659,11.1752,11.76,14.3925,12.7488
TCGA-55-7911-01,LUAD,primary_tumor,9.3919,10.309,4.4689,11.5573,13.1006,10.34,10.9308,12.3583,10.5478
TCGA-91-6835-01,LUAD,primary_tumor,9.6268,9.8564,6.5889,12.0351,13.8149,11.018,10.8354,13.3509,10.4083
TCGA-55-6984-11,LUAD,normal,7.9443,10.0007,1.852,12.8633,12.5302,9.73,11.2175,12.3329,11.7838
TCGA-44-2657-11,LUAD,normal,7.3606,9.0813,4.082,11.9323,11.9325,8.6601,10.795,12.1087,10.6615
TCGA-55-A48Z-01,LUAD,primary_tumor,9.3036,10.1704,6.8561,12.3416,14.2594,12.8922,10.8432,13.2165,10.3919
TCGA-50-5045-01,LUAD,primary_tumor,7.6209,8.4389,5.7402,12.4794,13.0188,11.1846,11.6457,12.5417,9.9011
TCGA-55-7913-01,LUAD,primary_tumor,7.0206,10.4547,3.3068,12.235,13.9538,12.7043,12.725,12.7529,11.0321
TCGA-86-8075-01,LUAD,primary_tumor,8.8182,10.0776,5.6641,13.0589,14.2683,12.462,10.9149,13.4717,10.2857
TCGA-97-8177-01,LUAD,primary_tumor,7.9695,9.4352,5.9167,12.2548,14.0347,10.8628,11.9007,13.377,11.1666
TCGA-55-7907-01,LUAD,primary_tumor,9.6925,10.8025,8.1499,13.5039,13.47,11.9771,12.0451,12.407,11.5452
TCGA-44-8117-01,LUAD,primary_tumor,10.4745,9.7234,5.8851,14.8686,14.331,12.0447,11.9393,13.5216,10.7737
TCGA-86-8668-01,LUAD,primary_tumor,7.5976,9.9434,1.6925,12.9533,14.7916,11.8313,10.8774,11.635,11.075
TCGA-78-8660-01,LUAD,primary_tumor,10.2065,10.0621,1.4594,12.5542,13.2234,10.857,12.655,12.6872,10.6474
TCGA-05-4415-01,LUAD,primary_tumor,6.3712,5.1565,4.5374,7.8968,7.7377,6.6958,7.6542,10.4024,12.2711
TCGA-75-6212-01,LUAD,primary_tumor,6.3992,9.5672,6.3858,12.8342,12.5559,9.5297,11.2709,12.1216,11.3333
TCGA-67-6215-01,LUAD,primary_tumor,8.7408,10.128,5.5601,12.0522,12.5587,9.2795,11.8849,12.8058,12.268
TCGA-05-4430-01,LUAD,primary_tumor,8.6138,9.4523,7.6419,12.0457,13.9001,12.0415,11.7221,13.3948,10.4876
TCGA-49-6742-01,LUAD,primary_tumor,7.5898,10.0689,6.1365,13.0212,13.5595,12.6136,13.1381,14.2337,13.0974
TCGA-38-4627-01,LUAD,primary_tumor,6.285,8.8165,3.3393,12.654,12.7584,10.8347,10.5501,11.9541,10.46
TCGA-55-6975-11,LUAD,normal,6.6697,9.8455,0.0,12.5871,12.5026,8.9803,11.0112,12.1858,11.9426
TCGA-69-7979-01,LUAD,primary_tumor,9.6235,10.2676,6.4352,12.6137,14.1813,12.8399,12.4045,12.8058,11.2387
TCGA-69-7973-01,LUAD,primary_tumor,4.4184,10.5174,3.5963,9.5597,12.5765,11.391,12.4518,12.8674,10.7762
TCGA-73-7499-01,LUAD,primary_tumor,8.1816,10.2598,7.4187,12.591,13.5325,12.5053,11.6592,13.3398,9.9404
TCGA-44-A47A-01,LUAD,primary_tumor,6.7747,11.1372,5.2026,12.8935,12.4884,9.1486,11.435,12.5846,11.1931
TCGA-78-8662-01,LUAD,primary_tumor,11.3265,9.7054,8.9772,13.1804,13.9595,13.2043,12.8241,13.8956,11.8301
TCGA-55-8085-01,LUAD,primary_tumor,6.7384,10.2619,5.2955,12.1764,12.7947,9.6648,11.6627,12.8235,10.3496
TCGA-75-6206-01,LUAD,primary_tumor,7.5539,10.7977,5.4733,12.1246,12.5753,9.5433,11.6638,12.3688,11.2273
TCGA-50-5932-01,LUAD,primary_tumor,10.0544,10.7215,6.9689,13.9454,14.3326,12.1124,13.0654,13.2509,11.7318
TCGA-50-6594-01,LUAD,primary_tumor,10.8162,9.1387,4.9672,12.5115,13.8267,10.4222,12.1392,13.3069,9.8804
TCGA-49-AARQ-01,LUAD,primary_tumor,9.2285,9.6806,6.721,10.6115,12.1781,11.9584,10.401,13.2835,11.0143
TCGA-55-7574-01,LUAD,primary_tumor,7.3828,9.2784,6.9173,11.2297,12.0012,10.3907,11.111,11.6886,10.6314
TCGA-50-5066-01,LUAD,primary_tumor,8.5018,7.9815,4.3947,11.5856,13.162,10.3991,12.3603,11.6315,10.0991
TCGA-86-A4P7-01,LUAD,primary_tumor,7.6558,9.5026,5.6261,11.7238,13.33,12.1843,11.0672,13.1487,10.3304
TCGA-64-5779-01,LUAD,primary_tumor,7.2899,10.5596,3.0644,10.8129,11.4315,10.3394,10.635,11.5785,9.7097
TCGA-55-8096-01,LUAD,primary_tumor,6.9121,9.9054,5.4606,11.8094,13.0661,11.7646,10.9747,12.6315,10.6937
TCGA-55-6986-11,LUAD,normal,8.4309,10.0244,2.3255,12.6534,12.497,10.1034,10.5425,12.782,11.5321
TCGA-91-6835-11,LUAD,normal,8.9294,10.0111,4.7376,12.476,12.1871,10.221,11.0506,12.1058,11.0557
TCGA-97-8175-01,LUAD,primary_tumor,9.8474,9.0827,5.3697,13.5359,14.1758,10.9745,11.7239,12.957,11.3663
TCGA-44-A4SS-01,LUAD,primary_tumor,9.7629,9.5965,6.5122,13.769,14.2554,10.5072,12.1496,12.7149,11.2845
TCGA-91-7771-01,LUAD,primary_tumor,6.2343,10.2197,2.1469,11.8391,13.116,11.6262,11.6867,13.2339,12.2622
TCGA-86-8278-01,LUAD,primary_tumor,9.657,10.3252,7.1021,12.1006,12.5008,9.362,10.5409,12.5221,11.1379
TCGA-55-8087-01,LUAD,primary_tumor,10.7322,10.4323,4.5446,12.8622,13.2314,10.3652,11.7368,13.3646,11.303
TCGA-MP-A4T8-01,LUAD,primary_tumor,9.3788,10.6628,7.5665,12.7561,13.2144,11.8551,12.2224,13.1702,10.1143
TCGA-L9-A5IP-01,LUAD,primary_tumor,8.1002,10.6075,4.4901,13.846,13.1341,6.6632,11.741,13.9596,11.9353
TCGA-55-6979-01,LUAD,primary_tumor,9.8596,9.4557,4.5138,12.4533,13.2114,10.4848,10.4503,12.0341,10.4975
TCGA-69-7980-01,LUAD,primary_tumor,9.5032,9.8973,8.2281,12.9765,13.7292,12.3494,11.9194,13.8584,10.7835
TCGA-62-A472-01,LUAD,primary_tumor,10.1286,11.2263,6.6774,12.5572,13.1811,11.1591,11.3365,13.2958,10.5911
TCGA-49-4507-01,LUAD,primary_tumor,5.6962,9.8564,2.9207,14.2829,12.1646,7.8945,11.968,12.4568,11.2268
TCGA-55-6642-01,LUAD,primary_tumor,8.4817,10.2036,4.8989,11.9068,12.0786,10.6331,11.9232,12.3604,11.18
TCGA-86-7701-01,LUAD,primary_tumor,6.1188,10.1307,3.8776,10.599,12.3385,10.6966,11.2597,12.0431,10.6595
TCGA-62-A46R-01,LUAD,primary_tumor,8.8015,10.497,3.8079,13.3491,13.7209,11.5141,11.6935,11.5811,10.9975
TCGA-62-A46V-01,LUAD,primary_tumor,7.2181,10.2258,3.6905,13.0962,12.5703,10.6603,11.7915,12.1315,10.2798
TCGA-44-6146-01,LUAD,primary_tumor,8.4485,10.745,5.0263,13.4662,11.3115,6.004,11.6063,14.0293,13.1256
TCGA-49-4501-01,LUAD,primary_tumor,8.7704,10.0849,6.7584,13.7542,13.6714,11.9129,12.1816,13.5869,10.5148
TCGA-55-7914-01,LUAD,primary_tumor,8.6893,10.1811,3.2473,11.9094,13.1786,10.8294,11.0255,12.4421,10.7374
TCGA-73-4659-01,LUAD,primary_tumor,6.0713,10.4188,5.6362,12.2802,12.9723,11.9336,12.1231,12.8602,9.4314
TCGA-86-8669-01,LUAD,primary_tumor,5.7863,11.1108,3.296,12.2747,12.8296,11.8314,12.3876,12.9689,9.9499
TCGA-49-AAQV-01,LUAD,primary_tumor,9.4826,9.9955,7.4742,13.1257,13.8427,11.831,13.5613,13.7992,9.8457
TCGA-78-7149-01,LUAD,primary_tumor,8.6347,9.8842,5.7234,13.1578,12.5215,11.0715,12.2927,12.9877,11.732
TCGA-86-8055-01,LUAD,primary_tumor,8.774,9.7639,6.1644,12.6454,12.8991,11.3463,11.2587,11.7507,10.3191
TCGA-91-6829-01,LUAD,primary_tumor,9.2133,10.0341,4.5035,12.3219,12.8931,10.239,11.2489,11.7638,9.9791
TCGA-78-7163-01,LUAD,primary_tumor,9.7251,10.7036,4.9281,11.5719,13.5808,9.7699,11.2434,13.0564,10.4359
TCGA-62-8398-01,LUAD,primary_tumor,6.902,9.9314,8.1286,12.7447,13.4028,10.5323,12.9921,13.3241,13.0463
TCGA-38-A44F-01,LUAD,primary_tumor,8.1386,9.2568,3.9326,12.7598,12.4427,9.0203,11.3702,12.9039,11.6206
TCGA-38-4631-01,LUAD,primary_tumor,8.709,9.9244,3.5834,12.3032,13.0615,10.701,12.8671,13.6842,11.983
TCGA-L9-A7SV-01,LUAD,primary_tumor,8.0622,10.7494,8.8422,11.5556,13.6164,11.9793,13.0396,13.2961,10.2048
TCGA-49-AAR2-01,LUAD,primary_tumor,2.9645,10.1351,3.6013,12.8758,12.3571,13.0989,13.0108,12.5457,10.2407
TCGA-MP-A4SY-01,LUAD,primary_tumor,8.9661,10.2892,7.008,12.3029,12.9527,11.5891,11.3217,12.2038,10.3641
TCGA-05-4432-01,LUAD,primary_tumor,7.3263,10.4962,2.8769,11.6769,12.9188,11.7666,13.1204,13.0618,9.8891
TCGA-05-4398-01,LUAD,primary_tumor,10.5449,10.3576,6.8091,13.2303,14.5304,11.046,10.964,13.6994,9.8562
TCGA-75-6211-01,LUAD,primary_tumor,7.3579,11.0813,3.754,11.6566,12.5362,10.9863,11.6425,12.7129,10.7329
TCGA-44-6778-01,LUAD,primary_tumor,6.8796,9.3957,0.7088,9.9283,11.2938,8.6465,9.6584,10.8055,9.6505
TCGA-91-6849-11,LUAD,normal,7.3441,9.4839,1.352,12.6228,12.4858,9.8126,10.9093,13.0586,11.6503
TCGA-55-8510-01,LUAD,primary_tumor,9.5613,9.4523,6.4376,13.3129,13.7664,12.2193,11.462,13.0975,10.0578
TCGA-50-5946-02,LUAD,recurrent_tumor,10.4852,10.0591,6.3077,12.2139,13.0606,9.8612,11.9079,13.151,11.7373
TCGA-MP-A4TD-01,LUAD,primary_tumor,6.6088,10.386,1.5711,11.4266,12.926,11.7718,12.31,12.2812,9.4336
TCGA-55-6983-11,LUAD,normal,6.4692,9.7388,1.8488,11.4167,12.1047,8.9217,10.8425,12.6782,11.5834
TCGA-55-8205-01,LUAD,primary_tumor,9.3022,9.9204,3.1557,12.0472,12.9263,8.8241,10.5943,10.7859,9.7549
TCGA-55-7573-01,LUAD,primary_tumor,8.9181,9.9764,3.7877,13.4735,12.4929,10.2654,11.1228,12.4749,11.2844
TCGA-MP-A4T4-01,LUAD,primary_tumor,9.7624,10.0179,5.1619,13.2393,13.5897,10.4294,11.2185,12.9292,9.9068
TCGA-55-6978-11,LUAD,normal,7.0775,9.5174,2.7871,12.542,12.2403,9.9051,11.117,12.5741,11.3534
TCGA-97-7941-01,LUAD,primary_tumor,8.1098,10.3083,6.1536,12.8834,13.0764,11.0315,11.5454,12.9026,12.3345
TCGA-55-7994-01,LUAD,primary_tumor,9.896,10.3794,4.5533,12.9067,12.9841,9.7305,10.8282,12.1528,10.5214
TCGA-05-4420-01,LUAD,primary_tumor,9.4969,10.2005,3.7954,13.9231,13.5723,12.4234,12.4516,12.306,10.4099
TCGA-50-6591-01,LUAD,primary_tumor,5.8216,8.207,3.4797,8.7459,10.4684,9.1958,7.8776,11.1672,9.1449
TCGA-38-4630-01,LUAD,primary_tumor,8.0188,10.486,9.4781,10.8605,12.7047,9.2419,10.3437,11.8931,11.2225
TCGA-49-6743-01,LUAD,primary_tumor,9.1985,9.7911,6.1606,13.2828,12.7352,10.942,11.4376,12.7124,11.3688
TCGA-55-8206-01,LUAD,primary_tumor,8.7584,10.1631,5.5837,13.3713,13.083,9.8335,11.4138,12.9316,10.9767
TCGA-MP-A5C7-01,LUAD,primary_tumor,5.0056,10.7581,3.9174,12.9499,12.4509,11.0607,12.5155,12.9149,11.5996
TCGA-49-AARE-01,LUAD,primary_tumor,10.4573,10.6102,5.8779,14.4067,14.5891,13.2596,12.5046,14.323,11.2713
TCGA-75-6203-01,LUAD,primary_tumor,5.6782,9.2936,2.7009,11.7977,11.6967,8.7716,10.7217,11.4608,10.3777
TCGA-86-7955-01,LUAD,primary_tumor,10.1189,10.3562,2.3833,12.8437,13.05,12.204,11.9689,13.5287,11.7955
TCGA-49-6744-01,LUAD,primary_tumor,8.9745,9.2429,5.6695,12.5061,13.0655,10.779,11.3944,12.1308,11.0538
TCGA-95-A4VN-01,LUAD,primary_tumor,10.2499,10.4337,5.6599,12.212,12.9753,9.6785,11.6871,12.9655,10.3044
TCGA-55-7576-01,LUAD,primary_tumor,9.392,10.874,7.7422,14.0262,13.845,11.2609,11.8918,13.0122,10.4921
TCGA-53-7626-01,LUAD,primary_tumor,9.569,10.7911,7.3403,13.1945,13.952,11.1898,10.8772,14.0566,10.884
TCGA-97-7546-01,LUAD,primary_tumor,9.2355,9.0966,4.2285,12.2939,12.8738,9.7544,11.5231,12.6521,11.2982
TCGA-44-5645-11,LUAD,normal,7.3448,9.3783,1.7405,12.3238,11.4946,8.4194,10.309,10.6658,10.7096
TCGA-55-6981-11,LUAD,normal,6.9778,8.9283,0.0,11.9153,11.7264,8.2668,10.2851,12.4394,10.5287
TCGA-44-7672-01,LUAD,primary_tumor,7.7481,9.1196,3.7955,12.0696,13.4386,10.4713,11.8807,12.1468,10.2555
TCGA-62-A46O-01,LUAD,primary_tumor,9.7025,11.2439,2.9428,12.0706,10.838,6.2632,11.0394,12.2198,12.5987
TCGA-55-6984-01,LUAD,primary_tumor,7.9098,9.8218,3.3421,13.6567,13.5138,6.7663,12.1349,14.5188,12.8543
TCGA-97-8174-01,LUAD,primary_tumor,8.4355,10.2968,2.6326,11.0333,10.8368,7.7993,11.2403,8.9063,11.4564
TCGA-35-4123-01,LUAD,primary_tumor,8.0203,9.5263,4.7499,12.5089,13.6557,10.3061,12.3453,11.5821,9.7414
TCGA-93-A4JO-01,LUAD,primary_tumor,9.7719,9.6451,6.1725,12.4814,13.485,11.3039,11.4418,13.5473,10.246
TCGA-97-7937-01,LUAD,primary_tumor,9.1038,10.9122,6.1231,13.1913,14.0225,12.0477,11.7842,13.2781,11.2336
TCGA-50-6597-01,LUAD,primary_tumor,6.798,9.45,7.0027,13.1161,12.832,12.7658,11.8226,12.8401,9.9481
TCGA-50-5935-11,LUAD,normal,7.6148,9.2694,2.0342,12.0747,11.5185,8.8814,10.8105,11.8393,10.7695
TCGA-99-8033-01,LUAD,primary_tumor,7.9071,10.2584,3.375,12.346,12.1027,8.8032,10.9216,12.0731,11.9469
TCGA-55-7570-01,LUAD,primary_tumor,7.791,9.8698,5.282,10.1821,12.6991,10.4131,11.6207,11.6865,10.8309
TCGA-38-4626-01,LUAD,primary_tumor,7.7724,9.4025,2.2078,11.473,12.3126,9.1076,11.1217,12.1389,10.9966
TCGA-69-7764-01,LUAD,primary_tumor,9.9441,10.6413,4.6365,12.751,12.682,10.3288,11.8484,12.4903,12.2146
TCGA-05-5715-01,LUAD,primary_tumor,6.9675,10.4514,6.612,13.4856,14.3544,13.2041,12.0176,13.9102,12.5205
TCGA-50-6590-01,LUAD,primary_tumor,7.1963,9.7004,1.3953,11.5671,11.949,6.1629,10.8734,9.1257,10.5954
TCGA-86-7713-01,LUAD,primary_tumor,9.8528,10.0756,5.3632,11.5122,12.6879,11.3322,12.155,12.5166,10.9593
TCGA-S2-AA1A-01,LUAD,primary_tumor,7.787,9.241,1.2081,9.9876,12.4345,7.496,10.5783,13.1191,10.2546
TCGA-44-3396-11,LUAD,normal,6.7012,8.939,1.6196,11.9221,11.7441,8.7505,11.038,11.9412,10.9394
TCGA-75-7027-01,LUAD,primary_tumor,7.4221,10.0811,5.1827,12.1535,12.7511,10.7285,12.2314,12.9547,12.6907
TCGA-50-5049-01,LUAD,primary_tumor,8.3202,9.7867,5.7403,12.876,13.5377,11.7562,11.4859,11.7932,9.8673
TCGA-55-8505-01,LUAD,primary_tumor,8.7441,9.816,5.1122,13.3071,13.815,11.4125,12.5073,13.2996,12.1461
TCGA-49-AAR0-01,LUAD,primary_tumor,8.6389,10.1966,4.3807,12.6956,13.9141,11.6103,11.8609,13.3295,10.7372
TCGA-MP-A4T9-01,LUAD,primary_tumor,9.8331,9.5494,7.8278,12.6472,13.4617,10.8902,11.9111,12.5551,10.4757
TCGA-95-7567-01,LUAD,primary_tumor,9.919,9.9624,6.64,13.0494,14.1207,12.3478,12.5346,13.1948,10.5051
TCGA-05-4422-01,LUAD,primary_tumor,2.7621,11.4007,3.0541,11.9682,13.3203,11.4814,13.4538,13.0479,11.9655
TCGA-86-8673-01,LUAD,primary_tumor,8.9284,9.4308,2.509,11.131,13.1412,10.1835,12.2244,14.3063,11.1063
TCGA-55-6543-01,LUAD,primary_tumor,9.3113,10.5682,4.8791,13.0007,13.5398,10.6456,11.5096,13.1808,10.4932
TCGA-NJ-A7XG-01,LUAD,primary_tumor,9.3389,10.699,5.1055,13.2857,13.4233,11.0695,12.8112,13.3922,11.2529
TCGA-86-8280-01,LUAD,primary_tumor,8.3614,9.7843,5.6249,12.6887,13.4181,10.7049,11.1757,12.7035,10.1291
TCGA-99-8028-01,LUAD,primary_tumor,7.2896,8.9335,6.0913,12.8796,12.9398,11.4409,11.7145,11.6481,9.8822
TCGA-55-7725-01,LUAD,primary_tumor,8.5383,10.5588,3.9732,12.6676,11.6398,7.2404,11.0054,12.7815,12.2629
TCGA-64-5778-01,LUAD,primary_tumor,9.6024,9.3367,5.9476,13.7185,13.6608,12.2182,12.232,13.2415,11.5711
TCGA-86-8671-01,LUAD,primary_tumor,7.3092,8.8948,4.9167,12.3994,12.2985,10.5394,10.0907,11.9814,9.4676
TCGA-05-4403-01,LUAD,primary_tumor,8.507,9.6206,3.4965,13.4356,13.6806,9.2803,12.7536,13.8039,13.3072
TCGA-69-7763-01,LUAD,primary_tumor,8.0891,9.9969,5.4835,12.2069,12.0187,8.3674,12.0922,12.5375,12.2
TCGA-49-4506-01,LUAD,primary_tumor,6.4088,9.7645,1.1335,11.9341,11.0784,6.6395,12.4855,11.8004,12.5415
TCGA-97-A4M1-01,LUAD,primary_tumor,8.3978,9.8443,4.0156,13.0002,11.7771,9.7201,11.4486,12.7233,10.4216
TCGA-86-8359-01,LUAD,primary_tumor,8.492,10.5132,2.551,12.8814,13.6241,12.1047,12.3798,12.4926,11.5419
TCGA-05-4405-01,LUAD,primary_tumor,9.8466,10.1046,6.2073,12.3312,14.0004,10.9158,12.0082,13.6411,10.5771
TCGA-62-A470-01,LUAD,primary_tumor,4.2834,10.5302,2.5671,12.0594,12.2752,11.2494,11.4405,13.2653,11.3508
TCGA-49-4487-01,LUAD,primary_tumor,9.7724,8.7103,4.4073,11.6901,12.8205,11.1202,11.8872,13.4298,11.9192
TCGA-44-6145-01,LUAD,primary_tumor,7.8514,9.7463,4.272,12.7504,12.0583,7.4696,11.3547,11.8698,11.8586
TCGA-55-6968-11,LUAD,normal,6.4632,9.4668,0.8424,11.903,11.9781,8.6146,11.0171,10.8492,10.6089
TCGA-91-8499-01,LUAD,primary_tumor,6.722,10.8381,3.979,8.4022,12.0507,9.9373,11.9522,12.0203,10.2725
TCGA-95-8494-01,LUAD,primary_tumor,8.6779,9.7431,5.4705,12.915,13.6873,11.5576,11.9569,12.3885,9.3037
TCGA-64-1681-01,LUAD,primary_tumor,8.2197,10.0548,6.8662,13.8065,13.886,11.9384,11.6352,13.7164,11.388
TCGA-55-A491-01,LUAD,primary_tumor,9.8446,10.2466,7.8369,12.857,14.1298,12.2646,11.9943,13.8186,9.5701
TCGA-75-6214-01,LUAD,primary_tumor,10.3551,11.4777,10.7382,14.686,12.9645,10.2931,12.4356,13.0594,14.1746
TCGA-86-6851-01,LUAD,primary_tumor,9.8011,10.7676,6.2022,12.1901,13.2668,11.3803,10.3701,11.7854,11.1928
TCGA-80-5607-01,LUAD,primary_tumor,7.0621,9.9519,3.8907,11.9371,13.845,11.4424,12.0332,13.0211,11.9952
TCGA-91-6849-01,LUAD,primary_tumor,8.9248,9.8625,4.1445,12.7918,12.3254,10.1178,12.7658,12.9912,12.15
TCGA-62-8402-01,LUAD,primary_tumor,7.8795,10.3603,6.8369,12.0219,12.3061,10.7601,11.8596,13.3841,11.5695
TCGA-78-7156-01,LUAD,primary_tumor,10.0684,10.5959,4.2026,12.1808,12.3403,7.9999,11.9831,11.3706,12.749
TCGA-50-5941-01,LUAD,primary_tumor,8.7367,10.447,6.6305,12.8214,13.1522,11.4649,10.6591,12.4072,10.3964
TCGA-62-A46Y-01,LUAD,primary_tumor,9.5408,9.9022,6.6689,13.2821,13.5356,10.7256,12.0296,13.0899,11.2393
TCGA-44-7660-01,LUAD,primary_tumor,8.7138,11.3303,7.0964,14.2045,12.3919,10.9226,10.9317,13.7579,12.3584
