cohort	family	predictor	endpoint	stratum	test	n_q4	n_q1	delta_q4_minus_q1	n	rho	p	ci_lo	ci_hi	n_partial	rho_partial	p_partial	ci_lo_partial	ci_hi_partial	q_family
LUAD	strict	TACSTD2_protein	APM_strict	all_members_quantified	spearman				106	-0.15784064286973828	0.1061056791662599	-0.3609313999037017	0.050113307214809076	104	-0.10896452450718022	0.27086347231440583	-0.30920891754656615	0.08849999853635125	0.21771765308058524
LUAD	shared_complete	CLDN4_protein	MHC1_protein	cldn4_and_ifncore_and_hla	spearman				67	0.043618804373852675	0.725976135003304	-0.21738184640738817	0.29805592560974103	65	0.0630618547964493	0.6177419700101806	-0.193628644670241	0.30307796728844544	0.8296870114323475
LUAD	shared_complete	CLDN4_protein	IFN_core_protein	cldn4_and_ifncore_and_hla	spearman				67	-0.1976614254928566	0.10885882654029262	-0.4380433697410195	0.05473523553235538	65	-0.16400001025710537	0.1917519423714666	-0.3997243684232249	0.07544734430312106	0.21771765308058524
LUAD	shared_complete	CLDN4_protein	IFN_signaling_protein	cldn4_and_ifncore_and_hla	spearman				67	-0.2515364354697103	0.040042642796724905	-0.47730216629399236	-0.0058669920979671705	65	-0.2191640676272734	0.07941913426013804	-0.43369459867819893	0.018078433358109092	0.1281364569495197
LUAD	shared_complete	CLDN4_protein	CD8A_protein	cldn4_and_ifncore_and_hla	spearman				67	-0.08284779311996171	0.5050763638116637	-0.3511033177858117	0.17452008313237155	65	-0.036696327240828754	0.7716537115092136	-0.3159922672117063	0.2184244178250781	0.6216324477682014
LUAD	shared_complete	TACSTD2_protein	MHC1_protein	cldn4_and_ifncore_and_hla	spearman				67	-0.2189320775800144	0.07508014612667936	-0.4454912712224356	0.041237753300242326	65	-0.16106682055286456	0.19992919600828457	-0.4057593374189254	0.08741339743258614	0.1716117625752671
LUAD	shared_complete	TACSTD2_protein	IFN_core_protein	cldn4_and_ifncore_and_hla	spearman				67	-0.14657993455183976	0.2365574857450834	-0.4035888621499641	0.1366826418307458	65	-0.08572532216108582	0.49715002813572384	-0.35229527559922	0.1591115676750583	0.3440836156292122
LUAD	shared_complete	TACSTD2_protein	IFN_signaling_protein	cldn4_and_ifncore_and_hla	spearman				67	-0.15783382552478253	0.20208788896635502	-0.42859596814423795	0.125837754963353	65	-0.08896334869669402	0.4809796724096387	-0.3432279640487749	0.16366992896050822	0.323340622346168
LUAD	shared_complete	TACSTD2_protein	CD8A_protein	cldn4_and_ifncore_and_hla	spearman				67	0.003312315428206561	0.9787769351480768	-0.2722807891375154	0.2886608057330794	65	0.07381070439057051	0.5589967089628	-0.1940335452965422	0.31124329824434804	0.9787769351480768
LUAD	rank_floor	CLDN4_protein	MHC1_protein	missing_tied_at_floor	spearman				110	0.10478249780692145	0.2759704044283081	-0.08273491165660518	0.28418747819365786	108	0.11956812764219349	0.21774122308007834	-0.07807001899380264	0.3000734132363954	0.36796053923774413
LUAD	rank_floor	CLDN4_protein	IFN_core_protein	missing_tied_at_floor	spearman				110	-0.12192632060636553	0.20447458698159987	-0.31216770931874366	0.07162184847865198	108	-0.11504627970255074	0.2357703464857493	-0.3033731096655871	0.07722307097784073	0.3505278633970284
LUAD	rank_floor	CLDN4_protein	IFN_signaling_protein	missing_tied_at_floor	spearman				110	-0.10495575984585198	0.27517275709915395	-0.28976599716984885	0.09786638951677475	108	-0.09599796210770217	0.3229978169124818	-0.2930345149210729	0.10669590763021088	0.36796053923774413
LUAD	rank_floor	CLDN4_protein	IFN_isg_protein	missing_tied_at_floor	spearman				110	-0.12948601693654593	0.17758426888040807	-0.3123654712780039	0.059131263033569685	108	-0.12397241917644247	0.20114184745981267	-0.31091457925119825	0.06596001927308107	0.3505278633970284
LUAD	rank_floor	CLDN4_protein	CD8A_protein	missing_tied_at_floor	spearman				110	0.0917969639418106	0.3401888513347259	-0.1011452706501712	0.2727336841042524	108	0.11363445235064194	0.24160690411424324	-0.0776531448504292	0.2900921641753249	0.4082266216016711
LUAD	rank_floor	CLDN4_protein	APM_protein	missing_tied_at_floor	spearman				110	-0.03356268075178403	0.7277761266213933	-0.22363750577722855	0.1516287890754964	108	-0.021581761176214378	0.8245472401611511	-0.20462198174554502	0.1743427211368191	0.7277761266213933
LUAD	quartile	CLDN4_protein	MHC1_protein	quantified_predictor	mannwhitney_q4_q1	20.0	19.0	0.2548840304306321	79		0.4071731945705924			0					0.6980111906924442
LUAD	quartile	CLDN4_protein	IFN_core_protein	quantified_predictor	mannwhitney_q4_q1	20.0	19.0	-0.21079445067885075	79		0.17296687664208477			0					0.4612450043788927
LUAD	quartile	CLDN4_protein	IFN_signaling_protein	quantified_predictor	mannwhitney_q4_q1	20.0	19.0	-0.32635973122879064	79		0.04453961901813972			0					0.17815847607255889
LUAD	quartile	CLDN4_protein	IFN_isg_protein	quantified_predictor	mannwhitney_q4_q1	20.0	19.0	-0.15061660558448592	79		0.29203904905029643			0					0.5403478655021474
LUAD	quartile	CLDN4_protein	CD8A_protein	quantified_predictor	mannwhitney_q4_q1	20.0	19.0	-0.11627877369885198	79		0.7044522887447235			0					0.889834469993335
LUAD	quartile	CLDN4_protein	APM_protein	quantified_predictor	mannwhitney_q4_q1	20.0	19.0	-0.1281200346803907	79		0.9887910583324784			0					0.9932835366621212
LUAD	quartile	TACSTD2_protein	MHC1_protein	quantified_predictor	mannwhitney_q4_q1	28.0	27.0	-0.26208336852239256	110		0.4742848721638623			0					0.7429978914846558
LUAD	quartile	TACSTD2_protein	IFN_core_protein	quantified_predictor	mannwhitney_q4_q1	28.0	27.0	-0.0483930945935761	110		0.899518940355917			0					0.9932835366621212
LUAD	quartile	TACSTD2_protein	IFN_signaling_protein	quantified_predictor	mannwhitney_q4_q1	28.0	27.0	-0.19254985874328964	110		0.8202026629469145			0					0.9842431955362974
LUAD	quartile	TACSTD2_protein	IFN_isg_protein	quantified_predictor	mannwhitney_q4_q1	28.0	27.0	0.08571110310542988	110		0.9396088936710845			0					0.9932835366621212
LUAD	quartile	TACSTD2_protein	CD8A_protein	quantified_predictor	mannwhitney_q4_q1	28.0	27.0	0.01575673042675163	110		0.9932835366621212			0					0.9932835366621212
LUAD	quartile	TACSTD2_protein	APM_protein	quantified_predictor	mannwhitney_q4_q1	28.0	27.0	-0.15757373506073669	110		0.5388787207099364			0					0.7528199950771194
LUAD	stratum	CLDN4_protein	MHC1_protein	grade_G2	spearman				41	0.2878048780487806	0.06804900801189921	-0.05007984647377796	0.5515600503232732	41	0.29477376323347754	0.061357196184239	-0.013297144503996808	0.5866018824654934	0.26996979515479697
LUAD	stratum	CLDN4_protein	IFN_core_protein	grade_G2	spearman				41	0.056620209059233456	0.7251257787489999	-0.28001884487872974	0.3816242618374091	41	0.03549344502543981	0.8256298271723483	-0.28731576915104434	0.3470201281668941	0.8881081736287617
LUAD	stratum	CLDN4_protein	IFN_signaling_protein	grade_G2	spearman				41	-0.08310104529616727	0.6054733411875973	-0.4022759202832823	0.24857982346932825	41	-0.11877433700028243	0.4595236346548611	-0.4351404580403213	0.18705202231754706	0.7854789291082345
LUAD	stratum	CLDN4_protein	IFN_isg_protein	grade_G2	spearman				41	0.14163763066202095	0.3770517916189642	-0.18136096874706656	0.45003016969901916	41	0.1307519829284748	0.4151658272989266	-0.18752404823292323	0.43604289278429653	0.7537604218881114
LUAD	stratum	CLDN4_protein	CD8A_protein	grade_G2	spearman				41	-0.07891986062717772	0.6237997607367997	-0.4329171073135858	0.25816460699010935	41	-0.10496021231844459	0.5136938163873951	-0.44284331805108895	0.22754865204501204	0.7879575925096416
LUAD	stratum	CLDN4_protein	APM_protein	grade_G2	spearman				41	0.2128919860627178	0.18141974122351684	-0.07959511974217891	0.485257958954853	41	0.21751073814420704	0.17190835335441945	-0.08440829623936355	0.45814225600933983	0.5277665199229581
LUAD	stratum	TACSTD2_protein	MHC1_protein	grade_G2	spearman				58	0.24623950290688731	0.06242229171726911	-0.021154538806098272	0.506817002542082	58	0.25029933412145716	0.05809067892206882	-0.008477616434769632	0.49638305458415777	0.26996979515479697
LUAD	stratum	TACSTD2_protein	IFN_core_protein	grade_G2	spearman				58	0.10234089021501738	0.4445998768066865	-0.16728207777666437	0.34583213805821733	58	0.1266550473541733	0.3434344384495554	-0.13653888228036984	0.3662169733640524	0.7803715074269016
LUAD	stratum	TACSTD2_protein	IFN_signaling_protein	grade_G2	spearman				58	-0.0012611892091420839	0.9925033127609989	-0.26957742970791376	0.2491010315895299	58	0.028548826378094798	0.8315362377525665	-0.23370833175923422	0.27345204035772447	0.996160192818157
LUAD	stratum	TACSTD2_protein	IFN_isg_protein	grade_G2	spearman				58	0.15198868005783014	0.25472588191164486	-0.10592105660691632	0.4104144108369877	58	0.16892611682293768	0.20493005814261217	-0.1000116111828459	0.40196262989015935	0.6270175554748181
LUAD	stratum	TACSTD2_protein	CD8A_protein	grade_G2	spearman				58	-0.0006459749607800917	0.996160192818157	-0.26429752050504984	0.2922776448062505	58	0.03574666163063575	0.7899332478554197	-0.22601938276285166	0.2918921865794948	0.996160192818157
LUAD	stratum	TACSTD2_protein	APM_protein	grade_G2	spearman				58	0.07914731305177028	0.5548058006802343	-0.19496785183812182	0.34829223011201776	58	0.08371392739609737	0.5321247471920677	-0.17568361579484135	0.35585038071178016	0.7854789291082345
LUAD	stratum	CLDN4_protein	MHC1_protein	grade_G3	spearman				27	-0.14713064713064714	0.4639626166213548	-0.5275097977462712	0.2775765047695973	26	-0.0481833128045867	0.8151868953812195	-0.4445632124739556	0.3428592522485449	0.7803715074269016
LUAD	stratum	CLDN4_protein	IFN_core_protein	grade_G3	spearman				27	-0.3827838827838828	0.04876090601845873	-0.7175402432126696	0.012307532533977084	26	-0.24046194813694544	0.23669881741531015	-0.6261586308550291	0.18276176781751705	0.26996979515479697
LUAD	stratum	CLDN4_protein	IFN_signaling_protein	grade_G3	spearman				27	-0.3827838827838828	0.04876090601845873	-0.6865045669572742	0.023299663160178175	26	-0.23497503698424194	0.24789225370469029	-0.5677314885195008	0.09034604280506499	0.26996979515479697
LUAD	stratum	CLDN4_protein	IFN_isg_protein	grade_G3	spearman				27	-0.30341880341880345	0.12391731686529878	-0.6817712037950442	0.15462133145415347	26	-0.18525138695986204	0.3649246255519788	-0.5859097751209088	0.24783549828821852	0.3965354139689561
LUAD	stratum	CLDN4_protein	CD8A_protein	grade_G3	spearman				27	-0.13186813186813187	0.5120451607063372	-0.5187788331839833	0.2569547350987022	26	0.07691030689164624	0.7088255744727584	-0.3008853929371523	0.40883088942157714	0.7854789291082345
LUAD	stratum	CLDN4_protein	APM_protein	grade_G3	spearman				27	-0.20207570207570208	0.3121084254239403	-0.5991599582203349	0.22376640966838734	26	-0.06664766272340578	0.7463287077395593	-0.46826993308967435	0.35570286022365166	0.730790459529226
LUAD	stratum	TACSTD2_protein	MHC1_protein	grade_G3	spearman				39	-0.4143724696356275	0.00872539906590821	-0.6734132501474249	-0.0858298015285972	38	-0.4204460177005693	0.008581491917448803	-0.6722671659858692	-0.10279200015937952	0.1047047887908985
LUAD	stratum	TACSTD2_protein	IFN_core_protein	grade_G3	spearman				39	-0.09554655870445346	0.5628585068615813	-0.45459781394824395	0.2907527645328188	38	-0.05508561339839375	0.7425512729531324	-0.3776719440080692	0.28861553978322746	0.7854789291082345
LUAD	stratum	TACSTD2_protein	IFN_signaling_protein	grade_G3	spearman				39	-0.1481781376518219	0.36798796622923907	-0.49516658936301783	0.1967995155690661	38	-0.1013793623291669	0.5447593513050076	-0.41266274914521106	0.23275958456432044	0.7537604218881114
LUAD	stratum	TACSTD2_protein	IFN_isg_protein	grade_G3	spearman				39	0.04574898785425101	0.7821243987346914	-0.3052403007935696	0.3900042416063654	38	0.06057013983821818	0.7179210858246284	-0.2530773307085215	0.37821705755215784	0.9156578326650046
LUAD	stratum	TACSTD2_protein	CD8A_protein	grade_G3	spearman				39	-0.029352226720647776	0.859210881922042	-0.3515448763326684	0.30197071138963777	38	0.04194920217634925	0.8025379065316178	-0.2336517046225939	0.29980157481903846	0.9704028784060709
LUAD	stratum	TACSTD2_protein	APM_protein	grade_G3	spearman				39	-0.3111336032388664	0.053859194031492495	-0.6006053597109058	0.03907901646625154	38	-0.2894731334532428	0.0779371574336085	-0.5610433672109725	0.027605547189617358	0.26996979515479697
LUAD	stratum	CLDN4_protein	MHC1_protein	acinar	spearman				53	0.011691662635058862	0.9337801729908971	-0.25782191929583087	0.2836250347899561	52	0.022010529086030177	0.876915494891212	-0.2446752715075067	0.28627469396843386	0.9750519643945892
LUAD	stratum	CLDN4_protein	IFN_core_protein	acinar	spearman				53	-0.12159329140461216	0.38576179819556844	-0.3872702968432539	0.1688764216964109	52	-0.056900140471800614	0.6886680087598913	-0.34404927253254936	0.21950442410811194	0.7537604218881114
LUAD	stratum	CLDN4_protein	IFN_signaling_protein	acinar	spearman				53	-0.23592968875987744	0.088991962347242	-0.4941815329016601	0.059093958385272816	52	-0.1490164938965601	0.291721702058497	-0.4139942626618433	0.13566462291103698	0.31021010785407416
LUAD	stratum	CLDN4_protein	IFN_isg_protein	acinar	spearman				53	-0.04837929366231253	0.7308390178820018	-0.3145310760690117	0.23327536701536403	52	-0.024730768205616784	0.8618438710248141	-0.28131256896961926	0.24896962412059742	0.8881081736287617
LUAD	stratum	CLDN4_protein	CD8A_protein	acinar	spearman				53	-0.08143847766489275	0.5621115858166288	-0.39661344691699746	0.2422286797773986	52	-0.0027038736565991226	0.9848219936480394	-0.3286884980240646	0.3009355344844616	0.7854789291082345
LUAD	stratum	CLDN4_protein	APM_protein	acinar	spearman				53	0.020319303338171262	0.8851733639841515	-0.283363763967477	0.3085714138847761	52	0.06385249542656457	0.6529171892105772	-0.22155488598751513	0.3362260242864573	0.9750519643945892
LUAD	stratum	TACSTD2_protein	MHC1_protein	acinar	spearman				76	0.014326725905673274	0.9022386925741408	-0.20767191766098297	0.24345264592786908	75	0.0495026557254401	0.6731974286798393	-0.18571941891816252	0.28615192335167755	0.9750519643945892
LUAD	stratum	TACSTD2_protein	IFN_core_protein	acinar	spearman				76	-0.06854408749145592	0.5563022764095517	-0.2816595365880124	0.1593658147596075	75	0.0054620614906141915	0.9629048175524345	-0.19731008647169507	0.1970110687013828	0.7854789291082345
LUAD	stratum	TACSTD2_protein	IFN_signaling_protein	acinar	spearman				76	-0.19398496240601504	0.09313548976002417	-0.38751057010348017	0.02074956771094553	75	-0.09165633843513159	0.4341655844514553	-0.30696531719537934	0.11868378770188485	0.31021010785407416
LUAD	stratum	TACSTD2_protein	IFN_isg_protein	acinar	spearman				76	0.07316473000683527	0.529933849218234	-0.14798462340426555	0.2846757375731719	75	0.11032128737210284	0.34606794032739213	-0.0996425168386014	0.3112646836199472	0.7854789291082345
LUAD	stratum	TACSTD2_protein	CD8A_protein	acinar	spearman				76	-0.0652904989747095	0.575237660129114	-0.2996104636661471	0.1805457879762943	75	0.03309638910644552	0.7780307291964059	-0.18811299107904636	0.2435080858612668	0.7854789291082345
LUAD	stratum	TACSTD2_protein	APM_protein	acinar	spearman				76	-0.09580314422419686	0.41036778198821006	-0.32007229267637216	0.14240948291730932	75	-0.048608929110147685	0.6787714894055821	-0.2797920921113328	0.18854369844460972	0.7724570013895719
LUAD	stratum	CLDN4_protein	MHC1_protein	non_acinar	spearman				26	0.1794871794871795	0.3802945642173086	-0.26687139045881414	0.6092758195377223	25	0.18808343893420018	0.36793717386062796	-0.27944741641727344	0.648643336062668	0.7537604218881114
LUAD	stratum	CLDN4_protein	IFN_core_protein	non_acinar	spearman				26	-0.2984615384615385	0.13860356127010212	-0.6689727684514121	0.14035174917398122	25	-0.3264701080178666	0.11121021936780513	-0.6608724333169477	0.02800079743726266	0.4158106838103064
LUAD	stratum	CLDN4_protein	IFN_signaling_protein	non_acinar	spearman				26	-0.3647863247863247	0.06690717959382984	-0.6978252573004382	0.02688820595156332	25	-0.42430681166125755	0.034517574526202556	-0.7314550025816319	-0.09745179494103838	0.26996979515479697
LUAD	stratum	CLDN4_protein	IFN_isg_protein	non_acinar	spearman				26	-0.2512820512820513	0.2156187438905857	-0.6211820761343416	0.1817595702691506	25	-0.2696875465174316	0.19233038240948544	-0.6225961222579444	0.13509578002941078	0.5667368920198044
LUAD	stratum	CLDN4_protein	CD8A_protein	non_acinar	spearman				26	-0.11316239316239315	0.5820367736959637	-0.5000086147484494	0.30745622907093756	25	-0.13367373686643166	0.524112064680598	-0.5430708495786231	0.2969843836808838	0.7854789291082345
LUAD	stratum	CLDN4_protein	APM_protein	non_acinar	spearman				26	-0.15350427350427348	0.4540497924839444	-0.521217877998015	0.2403692984669736	25	-0.16171451626766828	0.4399481059386891	-0.5150866999771642	0.21875583176345098	0.7803715074269016
LUAD	stratum	TACSTD2_protein	MHC1_protein	non_acinar	spearman				34	-0.26569900687547743	0.12881871267063238	-0.6032051929367209	0.12439331550950027	33	-0.3446832686137949	0.04948670758374652	-0.6481199291208675	0.04619163520563518	0.398922465044539
LUAD	stratum	TACSTD2_protein	IFN_core_protein	non_acinar	spearman				34	0.05699006875477463	0.7488644952451179	-0.3583931378930171	0.4597974019937594	33	-0.019651158507404776	0.9135634929011426	-0.3831590378492237	0.39935853043065717	0.896768028856098
LUAD	stratum	TACSTD2_protein	IFN_signaling_protein	non_acinar	spearman				34	0.13216195569136746	0.4562216952505276	-0.3016187515158807	0.5372065151324813	33	0.08516668531380554	0.6374703263650484	-0.27204258883199234	0.49383053397891336	0.7803715074269016
LUAD	stratum	TACSTD2_protein	IFN_isg_protein	non_acinar	spearman				34	-0.013292589763177995	0.9405230472496557	-0.4250225411862195	0.3706086080191299	33	-0.1289506773080205	0.4744873018448797	-0.4807197307180017	0.27547635824402983	0.9750519643945892
LUAD	stratum	TACSTD2_protein	CD8A_protein	non_acinar	spearman				34	0.15905271199388846	0.36893113203576	-0.2319079472392117	0.5457345136284123	33	0.08838425534626726	0.6247632677344165	-0.2626472231733048	0.457137140724934	0.7537604218881114
LUAD	stratum	TACSTD2_protein	APM_protein	non_acinar	spearman				34	-0.1336898395721925	0.4509847482684797	-0.5323025553051622	0.2726616874403546	33	-0.19514347335896703	0.27646520917483136	-0.5389572194659906	0.27048706502431613	0.7803715074269016
LUAD	loo	CLDN4_protein	IFN_core_without_STAT1	all	spearman				79	-0.1780185004868549	0.11650618747693847	-0.4005270368119049	0.06058904852327771	0					
LUAD	loo	CLDN4_protein	IFN_core_without_STAT2	all	spearman				79	-0.19113924050632913	0.09152649368805373	-0.4089272100152245	0.030953927563021177	0					
LUAD	loo	CLDN4_protein	IFN_core_without_IRF1	all	spearman				79	-0.19169912366114897	0.0905628323404738	-0.4216391092750752	0.04518427425819034	0					
LUAD	loo	CLDN4_protein	IFN_core_without_IRF9	all	spearman				79	-0.16789191820837393	0.13914271919484844	-0.3967008755923624	0.06109710722028793	0					
LUAD	loo	CLDN4_protein	IFN_core_without_JAK1	all	spearman				79	-0.20552580331061343	0.06920368914763401	-0.417719998639858	0.02427698269886625	0					
LUAD	loo	CLDN4_protein	IFN_core_without_JAK2	all	spearman				79	-0.1968841285296982	0.08201403213437954	-0.41159147446591093	0.05352021948068234	0					
LUAD	loo	CLDN4_protein	IFN_core_without_ISG15	all	spearman				79	-0.21487341772151897	0.05721397414014256	-0.4366483632493246	0.02030841283454658	0					
LUAD	loo	CLDN4_protein	IFN_core_without_MX1	all	spearman				79	-0.2169912366114898	0.054747699785014294	-0.4254803172535963	0.02006394109364735	0					
LUAD	loo	CLDN4_protein	IFN_core_without_OAS1	all	spearman				79	-0.19693281402142163	0.08193691525545642	-0.4210608838421449	0.03228788104755429	0					
LUAD	loo	CLDN4_protein	IFN_core_without_IFI35	all	spearman				79	-0.20355404089581308	0.07197462550810887	-0.4125807581371481	0.02741591605804486	0					
LSCC	panel	CLDN4_protein	IFN_signaling_protein	all	spearman				78	-0.35773087671821846	0.001302166785949736	-0.54877607114317	-0.14203020873922675	77	-0.27607009349367106	0.015085745953392276	-0.4888884095889051	-0.047291747559689824	0.014178397876880309
LSCC	panel	CLDN4_protein	IFN_isg_protein	all	spearman				78	-0.000619633531025936	0.9957041297737803	-0.24004734482342957	0.24508745508149712	77	0.02436382347183321	0.8334132270685908	-0.21863605619644635	0.25404350746685705	0.9957041297737803
LSCC	panel	CLDN4_protein	IFN_receptor_protein	all	spearman				45	-0.4374176548089591	0.002658449601915058	-0.6570537892943943	-0.1616465701352357	45	-0.36958973930458106	0.012465395911603186	-0.6281464244782589	-0.06670951788766068	0.014178397876880309
LSCC	panel	CLDN4_protein	APM_protein	all	spearman				78	-0.34078579648199897	0.002264951126428554	-0.55086200561571	-0.11400726388459023	77	-0.2459811785230606	0.031050702627225438	-0.46543682528983066	0.020771801972572643	0.014178397876880309
LSCC	strict	CLDN4_protein	IFN_core_strict	all_members_quantified	spearman				65	-0.1883741258741259	0.13290564768349628	-0.42410718056888863	0.07028230170736882	64	-0.13516689729647846	0.2869124388312565	-0.38933745462153097	0.12195360931965094	0.22010580221710901
LSCC	strict	CLDN4_protein	IFN_signaling_strict	all_members_quantified	spearman				65	-0.33002622377622376	0.007257275519352735	-0.5476801257543001	-0.0856181343256315	64	-0.26955201464849543	0.03124356330448437	-0.5052421181952027	-0.006857079267158107	0.030404367799877655
LSCC	strict	CLDN4_protein	IFN_isg_strict	all_members_quantified	spearman				78	-0.000619633531025936	0.9957041297737803	-0.2482064910839776	0.23886183029251026	77	0.02436382347183321	0.8334132270685908	-0.2249553836840355	0.2479460194211514	0.9957041297737803
LSCC	strict	CLDN4_protein	APM_strict	all_members_quantified	spearman				78	-0.34078579648199897	0.002264951126428554	-0.5359451308671326	-0.10914601386722578	77	-0.2459811785230606	0.031050702627225438	-0.48488478678866015	0.005041073710856485	0.030404367799877655
LSCC	panel	TACSTD2_protein	IFN_signaling_protein	all	spearman				108	0.14450255794678327	0.13567726997915627	-0.042645559062726456	0.32520474827056406	107	0.17823655995488843	0.06624311803584096	-0.02136970859784503	0.3508496860101931	0.36180605327775006
LSCC	panel	TACSTD2_protein	IFN_isg_protein	all	spearman				108	0.2555469814322597	0.007601091949969414	0.06008700227389984	0.43065203579334393	107	0.2638405694409886	0.006033283904840328	0.06736043431797303	0.4443048516680339	0.030404367799877655
LSCC	panel	TACSTD2_protein	IFN_receptor_protein	all	spearman				60	0.15782161711586556	0.22846217285734213	-0.11591986414361725	0.41262736261666905	60	0.26205512187789504	0.043107381069686215	0.021049359806535974	0.47332972757791814	0.3893937835069875
LSCC	panel	TACSTD2_protein	APM_protein	all	spearman				108	0.1202758962340545	0.2150102001839874	-0.08477594813389057	0.31954476439414303	107	0.15523679839771626	0.1103512822328461	-0.04115971920428589	0.3480708543472678	0.3893937835069875
LSCC	strict	TACSTD2_protein	IFN_core_strict	all_members_quantified	spearman				90	0.28516277729760875	0.006444059044968803	0.07096000593964598	0.4866012527641384	89	0.3056665620733436	0.003580342026315161	0.08355860488378332	0.49805308890327193	0.030404367799877655
LSCC	strict	TACSTD2_protein	IFN_signaling_strict	all_members_quantified	spearman				90	0.2274272543935465	0.031104017503304975	0.0111705324868875	0.4201148392776545	89	0.25785863624519045	0.014701364629823034	0.06821365783353432	0.44833838182080227	0.09953285601057592
LSCC	strict	TACSTD2_protein	IFN_isg_strict	all_members_quantified	spearman				108	0.2555469814322597	0.007601091949969414	0.06337065303959968	0.43333102212962515	107	0.2638405694409886	0.006033283904840328	0.07048891547634191	0.43912464348679686	0.030404367799877655
LSCC	strict	TACSTD2_protein	APM_strict	all_members_quantified	spearman				103	0.14731142643764003	0.13756612638569313	-0.06161030275829662	0.3520002318190238	102	0.20107919459967005	0.042711515178741284	0.00690074796278323	0.3807898711381772	0.22010580221710901
