cohort	predictor	endpoint	symbol	class	row	present	primary_family	n	rho	p	ci_lo	ci_hi	n_partial	rho_partial	p_partial	ci_lo_partial	ci_hi_partial	q_primary	call
LUAD	CLDN4_protein	JAK2_protein	JAK2	ifn_signaling	ENSG00000096968.14	True	False	79	-0.11886562804284324	0.29677904090436574	-0.3430720546605068	0.10286627327327467	0						
LUAD	CLDN4_protein	ISG15_protein	ISG15	ifn_isg	ENSG00000187608.10	True	False	79	-0.05460077896786758	0.6327044599651721	-0.28129096839524437	0.17781160938299262	0						
LUAD	CLDN4_protein	MX1_protein	MX1	ifn_isg	ENSG00000157601.14	True	False	79	-0.03697663096397274	0.7462956781635007	-0.2469611269641446	0.1832495324577403	0						
LUAD	CLDN4_protein	OAS1_protein	OAS1	ifn_isg	ENSG00000089127.13	True	False	79	-0.1828140214216164	0.10682948130821256	-0.3722705975354875	0.029420592307488364	0						
LUAD	CLDN4_protein	IFI35_protein	IFI35	ifn_isg	ENSG00000068079.8	True	False	79	-0.1283592989289192	0.25958667346222314	-0.35310783175808413	0.10746202945496429	0						
LUAD	CLDN4_protein	HLA-A_protein	HLA-A	mhc1	ENSG00000206503.13	True	False	79	-0.10133885102239533	0.37418943835668633	-0.3230403759156289	0.12369594084199353	0						
LUAD	CLDN4_protein	HLA-B_protein	HLA-B	mhc1	ENSG00000234745.11	True	False	79	0.03880233690360273	0.7342229634903079	-0.18474393503051453	0.27352575786231853	0						
LUAD	CLDN4_protein	HLA-C_protein	HLA-C	mhc1	ENSG00000204525.16	True	False	79	0.07061830574488803	0.5362869814943989	-0.1382253499606327	0.27369426724477053	0						
LUAD	CLDN4_protein	B2M_protein	B2M	mhc1		False	False	0					0						
LUAD	CLDN4_protein	TAP1_protein	TAP1	apm_extra	ENSG00000168394.11	True	False	79	-0.10705939629990263	0.34767930199335956	-0.33631591800657823	0.11509428906774069	0						
LUAD	CLDN4_protein	TAP2_protein	TAP2	apm_extra	ENSG00000204267.16	True	False	79	0.07142161635832522	0.5316492415191488	-0.14130465769478207	0.295495720766169	0						
LUAD	CLDN4_protein	TAPBP_protein	TAPBP	apm_extra	ENSG00000231925.12	True	False	79	-0.102921129503408	0.3667370879297814	-0.33297304615743567	0.13893758576821064	0						
LUAD	CLDN4_protein	PSMB8_protein	PSMB8	apm_extra	ENSG00000204264.12	True	False	79	-0.11674780915287244	0.30553002133597157	-0.3434604317075027	0.11520675305970823	0						
LUAD	CLDN4_protein	PSMB9_protein	PSMB9	apm_extra	ENSG00000240065.8	True	False	79	-0.054357351509250244	0.6342240854987502	-0.2818225117747683	0.15747304747253682	0						
LUAD	CLDN4_protein	NLRC5_protein	NLRC5	apm_extra	ENSG00000140853.15	True	False	75	0.08293029871977241	0.47934621153960405	-0.15579810799107452	0.32376050483171187	0						
LUAD	CLDN4_protein	MHC1_protein	MHC1_protein	score	HLA-A,HLA-B,HLA-C	True	True	79	0.04946445959104188	0.6650821699051745	-0.18680027199315521	0.29005772475770664	77	0.07089906157392716	0.5400531175495427	-0.16841333717824525	0.2989021635195036	0.7884665146868516	null; does not support
LUAD	CLDN4_protein	IFN_core_protein	IFN_core_protein	score	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	True	True	79	-0.19235637779941578	0.08944180748999395	-0.42103764964048035	0.046775448929449744	77	-0.15398992802971845	0.18117515711045218	-0.378683679723167	0.07864487319762348	0.2683254224699818	null; does not support
LUAD	TACSTD2_protein	CD8A_protein	CD8A	cd8	ENSG00000153563.15	True	True	110	-0.03836079615896129	0.6907172403595156	-0.22962956222190106	0.16293620496127204	108	0.010040213917549362	0.9178602532573905	-0.17200735675294335	0.19353421305231783	0.7884665146868516	null; does not support
LUAD	TACSTD2_protein	CD8B_protein	CD8B	cd8		False	False	0					0						
LUAD	TACSTD2_protein	IFNG_protein	IFNG	ifn_ligand		False	False	0					0						
LUAD	TACSTD2_protein	IFNA1_protein	IFNA1	ifn_ligand		False	False	0					0						
LUAD	TACSTD2_protein	IFNB1_protein	IFNB1	ifn_ligand		False	False	0					0						
LUAD	TACSTD2_protein	IFNAR1_protein	IFNAR1	ifn_receptor	ENSG00000142166.13	True	False	88	0.0030819625937797196	0.9772649221421971	-0.218829822857461	0.21254547696861292	0						
LUAD	TACSTD2_protein	IFNAR2_protein	IFNAR2	ifn_receptor		False	False	0					0						
LUAD	TACSTD2_protein	IFNGR1_protein	IFNGR1	ifn_receptor	ENSG00000027697.15	True	False	110	0.198079480648288	0.038047407724131115	0.016338139636497703	0.36752325281398013	0						
LUAD	TACSTD2_protein	IFNGR2_protein	IFNGR2	ifn_receptor		False	False	0					0						
LUAD	TACSTD2_protein	STAT1_protein	STAT1	ifn_signaling	ENSG00000115415.20	True	False	110	-0.12514482789712147	0.19268949660345516	-0.3212174651465891	0.08106591117131537	0						
LUAD	TACSTD2_protein	STAT2_protein	STAT2	ifn_signaling	ENSG00000170581.14	True	False	110	-0.026900795708135156	0.7802713679164744	-0.21566880448980544	0.17191704095727292	0						
LUAD	TACSTD2_protein	IRF1_protein	IRF1	ifn_signaling	ENSG00000125347.14	True	False	85	-0.14420558921242915	0.18793295029856638	-0.36426803767893573	0.07711365531708562	0						
LUAD	TACSTD2_protein	IRF9_protein	IRF9	ifn_signaling	ENSG00000213928.9	True	False	110	-0.1799923359556387	0.05988918446399217	-0.3788169869903852	0.03236146447037769	0						
LUAD	TACSTD2_protein	JAK1_protein	JAK1	ifn_signaling	ENSG00000162434.13	True	False	110	0.2561999864752158	0.006900684811203533	0.0725310207239866	0.421470367983342	0						
LUAD	TACSTD2_protein	JAK2_protein	JAK2	ifn_signaling	ENSG00000096968.14	True	False	110	0.017992471203480378	0.852000900692018	-0.17743742271218077	0.21365178610788904	0						
LUAD	TACSTD2_protein	ISG15_protein	ISG15	ifn_isg	ENSG00000187608.10	True	False	110	0.0506232671370286	0.5994350944675504	-0.14912436522904884	0.24527268474016387	0						
LUAD	TACSTD2_protein	MX1_protein	MX1	ifn_isg	ENSG00000157601.14	True	False	110	0.12597434799269663	0.18973348466001994	-0.06742883356861921	0.30979992378303667	0						
LUAD	TACSTD2_protein	OAS1_protein	OAS1	ifn_isg	ENSG00000089127.13	True	False	110	-0.057755336654419225	0.548956861788129	-0.2273150193781304	0.12781037227269668	0						
LUAD	TACSTD2_protein	IFI35_protein	IFI35	ifn_isg	ENSG00000068079.8	True	False	110	0.004224240921488627	0.9650651866007938	-0.1905241117801904	0.2084577924087629	0						
LUAD	TACSTD2_protein	HLA-A_protein	HLA-A	mhc1	ENSG00000206503.13	True	False	110	-0.002583233775894326	0.9786322322067948	-0.20976350842734337	0.18979139419754934	0						
LUAD	TACSTD2_protein	HLA-B_protein	HLA-B	mhc1	ENSG00000234745.11	True	False	110	-0.007506255212677231	0.9379648505139588	-0.20210007565651444	0.19514433193188516	0						
LUAD	TACSTD2_protein	HLA-C_protein	HLA-C	mhc1	ENSG00000204525.16	True	False	110	-0.11244956382571063	0.24215302200225	-0.2942717223166521	0.07336421677252866	0						
LUAD	TACSTD2_protein	B2M_protein	B2M	mhc1		False	False	0					0						
LUAD	TACSTD2_protein	TAP1_protein	TAP1	apm_extra	ENSG00000168394.11	True	False	110	-0.05283231521763632	0.5835798551063957	-0.2653860390686458	0.14826641246461963	0						
LUAD	TACSTD2_protein	TAP2_protein	TAP2	apm_extra	ENSG00000204267.16	True	False	110	-0.030263958704325678	0.7536296197324854	-0.22796476054518347	0.16807955958837992	0						
LUAD	TACSTD2_protein	TAPBP_protein	TAPBP	apm_extra	ENSG00000231925.12	True	False	110	-0.09300994071636272	0.33381911451479906	-0.29171577359441997	0.10816309326855153	0						
LUAD	TACSTD2_protein	PSMB8_protein	PSMB8	apm_extra	ENSG00000204264.12	True	False	110	-0.2598156121091901	0.006123750741210481	-0.4524715086749409	-0.048756041365113335	0						
LUAD	TACSTD2_protein	PSMB9_protein	PSMB9	apm_extra	ENSG00000240065.8	True	False	110	-0.22972747559903522	0.015767175921562182	-0.4147462193694167	-0.02571950133477002	0						
LUAD	TACSTD2_protein	NLRC5_protein	NLRC5	apm_extra	ENSG00000140853.15	True	False	106	0.04200317404337859	0.669007624417614	-0.15241167598224828	0.24963305373104866	0						
LUAD	TACSTD2_protein	MHC1_protein	MHC1_protein	score	HLA-A,HLA-B,HLA-C	True	True	110	-0.08329012916168879	0.38699507924129223	-0.28235381458528475	0.12003421020448782	108	-0.0392431837185344	0.6867739014556358	-0.23654686096499458	0.16634235706192516	0.5860019584294366	null; does not support
LUAD	TACSTD2_protein	IFN_core_protein	IFN_core_protein	score	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	True	True	110	-0.02587291211144422	0.7884665146868517	-0.2236297657467408	0.18246216720402272	108	0.024159412158305738	0.8039899721720111	-0.158171079098897	0.20848587780618585	0.7884665146868516	null; does not support
LUAD	CLDN4_protein	TACSTD2_protein	TACSTD2	predictor	ENSG00000184292.7	True	False	79	0.2745618305744888	0.014336540643019976	0.05783820438851818	0.4769217293820721	0						
LSCC	CLDN4_protein	CD8A_protein	CD8A	cd8	ENSG00000153563.15	True	True	78	-0.4441002035938745	4.64372740784413e-05	-0.6278723887777383	-0.22539401568855974	77	-0.3759290382971399	0.0007535890488649688	-0.5842387308164734	-0.13705925055059487	0.0005572472889412957	supports inverse
LSCC	CLDN4_protein	CD8B_protein	CD8B	cd8	ENSG00000172116.23	True	False	5					0						
LSCC	CLDN4_protein	IFNG_protein	IFNG	ifn_ligand		False	False	0					0						
LSCC	CLDN4_protein	IFNA1_protein	IFNA1	ifn_ligand		False	False	0					0						
LSCC	CLDN4_protein	IFNB1_protein	IFNB1	ifn_ligand		False	False	0					0						
LSCC	CLDN4_protein	IFNAR1_protein	IFNAR1	ifn_receptor	ENSG00000142166.13	True	False	45	-0.422266139657444	0.0038594657686990114	-0.6299182710150848	-0.1787946713791687	0						
LSCC	CLDN4_protein	IFNAR2_protein	IFNAR2	ifn_receptor	ENSG00000159110.20	True	False	0					0						
LSCC	CLDN4_protein	IFNGR1_protein	IFNGR1	ifn_receptor	ENSG00000027697.15	True	False	78	-0.34561640890754813	0.001940280278282803	-0.533302638994951	-0.14009098406085807	0						
LSCC	CLDN4_protein	IFNGR2_protein	IFNGR2	ifn_receptor		False	False	0					0						
LSCC	CLDN4_protein	STAT1_protein	STAT1	ifn_signaling	ENSG00000115415.20	True	False	78	-0.25421414029008965	0.0247075349559873	-0.47553976546454035	-0.028987040868146373	0						
LSCC	CLDN4_protein	STAT2_protein	STAT2	ifn_signaling	ENSG00000170581.14	True	False	78	-0.09407048647554976	0.4126646688545533	-0.3227789345852835	0.12437868061531493	0						
LSCC	CLDN4_protein	IRF1_protein	IRF1	ifn_signaling	ENSG00000125347.14	True	False	65	-0.21936188811188811	0.07914146725678453	-0.43804501754100805	0.03419152462099127	0						
LSCC	CLDN4_protein	IRF9_protein	IRF9	ifn_signaling	ENSG00000213928.9	True	False	78	-0.2806434072256857	0.01281772914268073	-0.4868191451932425	-0.05129514333423777	0						
LSCC	CLDN4_protein	JAK1_protein	JAK1	ifn_signaling	ENSG00000162434.13	True	False	78	-0.36913719192200206	0.0008817032123991875	-0.5623484285684127	-0.14656496114696219	0						
LSCC	CLDN4_protein	JAK2_protein	JAK2	ifn_signaling	ENSG00000096968.14	True	False	78	-0.41896078604939363	0.00013473991306980958	-0.5931095255401032	-0.2147879379989413	0						
LSCC	CLDN4_protein	ISG15_protein	ISG15	ifn_isg	ENSG00000187608.10	True	False	78	0.010053237901339166	0.9303881519207154	-0.2419773288546851	0.2471486242473332	0						
LSCC	CLDN4_protein	MX1_protein	MX1	ifn_isg	ENSG00000157601.14	True	False	78	-0.03559731407832673	0.7570102456617545	-0.2782601350838762	0.18743275279275456	0						
LSCC	CLDN4_protein	OAS1_protein	OAS1	ifn_isg	ENSG00000089127.13	True	False	78	0.056336068994296835	0.6242024594235527	-0.17334439051116338	0.2891690075413294	0						
LSCC	CLDN4_protein	IFI35_protein	IFI35	ifn_isg	ENSG00000068079.8	True	False	78	0.01452977402344491	0.8995274389008756	-0.2350491491078514	0.25679086251454186	0						
LSCC	CLDN4_protein	HLA-A_protein	HLA-A	mhc1	ENSG00000206503.13	True	False	78	-0.33238912985748426	0.0029469704069174547	-0.5375594405798398	-0.10185829331886313	0						
LSCC	CLDN4_protein	HLA-B_protein	HLA-B	mhc1	ENSG00000234745.11	True	False	78	-0.22730434122839185	0.04535288355440118	-0.4363653327011261	0.00596016853719332	0						
LSCC	CLDN4_protein	HLA-C_protein	HLA-C	mhc1	ENSG00000204525.16	True	False	78	-0.3441495213647112	0.0020341377573175785	-0.563184772701188	-0.10447013159036461	0						
LSCC	CLDN4_protein	B2M_protein	B2M	mhc1		False	False	0					0						
LSCC	CLDN4_protein	TAP1_protein	TAP1	apm_extra	ENSG00000168394.11	True	False	78	-0.3285954551777336	0.0033113563878389637	-0.5281090564433333	-0.11323865998352982	0						
LSCC	CLDN4_protein	TAP2_protein	TAP2	apm_extra	ENSG00000204267.16	True	False	78	-0.28590396944827323	0.011165574066063241	-0.4869700789955228	-0.06259204116945295	0						
LSCC	CLDN4_protein	TAPBP_protein	TAPBP	apm_extra	ENSG00000231925.12	True	False	78	-0.3331731559579661	0.002876296224501929	-0.5272108526764928	-0.10474408252485383	0						
LSCC	CLDN4_protein	PSMB8_protein	PSMB8	apm_extra	ENSG00000204264.12	True	False	78	-0.3232084371324877	0.003897860363558242	-0.5116164156404575	-0.10285978122333168	0						
LSCC	CLDN4_protein	PSMB9_protein	PSMB9	apm_extra	ENSG00000240065.8	True	False	78	-0.2853222726640448	0.011338650105299889	-0.49527295530613685	-0.06322018873806387	0						
LSCC	CLDN4_protein	NLRC5_protein	NLRC5	apm_extra	ENSG00000140853.15	True	False	78	-0.31478647934344134	0.005000966136254574	-0.5248325315262637	-0.06151619944262673	0						
LSCC	CLDN4_protein	MHC1_protein	MHC1_protein	score	HLA-A,HLA-B,HLA-C	True	True	78	-0.4097042198308021	0.0001953844621326853	-0.5739197971579304	-0.21118843954041625	77	-0.3200168974444453	0.004550728209449448	-0.5234880298027182	-0.08261595093073798	0.001172306772796112	supports inverse
LSCC	CLDN4_protein	IFN_core_protein	IFN_core_protein	score	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	True	True	78	-0.17540687160940327	0.1245196891966577	-0.3881172753529502	0.07532005118700648	77	-0.11325121640820363	0.3267503487913354	-0.34583040369402374	0.12731213912679304	0.29884725407197854	null; does not support
LSCC	TACSTD2_protein	CD8A_protein	CD8A	cd8	ENSG00000153563.15	True	True	108	-0.10335629293015898	0.28711792033709344	-0.29049734247114084	0.08887557030757919	107	-0.08885142111548107	0.362773579891073	-0.2752631887771739	0.10204676103341724	0.5742358406741869	null; does not support
LSCC	TACSTD2_protein	CD8B_protein	CD8B	cd8	ENSG00000172116.23	True	False	10	0.05454545454545454	0.8810361811618526	-0.6100628930817611	0.8667320261437904	0						
LSCC	TACSTD2_protein	IFNG_protein	IFNG	ifn_ligand		False	False	0					0						
LSCC	TACSTD2_protein	IFNA1_protein	IFNA1	ifn_ligand		False	False	0					0						
LSCC	TACSTD2_protein	IFNB1_protein	IFNB1	ifn_ligand		False	False	0					0						
LSCC	TACSTD2_protein	IFNAR1_protein	IFNAR1	ifn_receptor	ENSG00000142166.13	True	False	60	0.02928591275354266	0.8242178739173057	-0.2384077671185832	0.296623499703714	0						
LSCC	TACSTD2_protein	IFNAR2_protein	IFNAR2	ifn_receptor	ENSG00000159110.20	True	False	10	-0.7333333333333332	0.015800596250571577	-0.9874233490566038	-0.1633986928104575	0						
LSCC	TACSTD2_protein	IFNGR1_protein	IFNGR1	ifn_receptor	ENSG00000027697.15	True	False	108	0.23408309278154082	0.01475510950809872	0.048550553022410965	0.4049440542955594	0						
LSCC	TACSTD2_protein	IFNGR2_protein	IFNGR2	ifn_receptor		False	False	0					0						
LSCC	TACSTD2_protein	STAT1_protein	STAT1	ifn_signaling	ENSG00000115415.20	True	False	108	0.14705574132822696	0.12882929347748398	-0.05313825408385064	0.33884521170112303	0						
LSCC	TACSTD2_protein	STAT2_protein	STAT2	ifn_signaling	ENSG00000170581.14	True	False	108	0.10025055493631331	0.30192472894219546	-0.08805053945503417	0.28257409596484573	0						
LSCC	TACSTD2_protein	IRF1_protein	IRF1	ifn_signaling	ENSG00000125347.14	True	False	90	0.13790179857595586	0.19491815061490558	-0.06698761913720393	0.33138538043057714	0						
LSCC	TACSTD2_protein	IRF9_protein	IRF9	ifn_signaling	ENSG00000213928.9	True	False	108	0.2629683614850381	0.005966495904990302	0.07855157211215312	0.42842022934620816	0						
LSCC	TACSTD2_protein	JAK1_protein	JAK1	ifn_signaling	ENSG00000162434.13	True	False	108	-0.001657663837205979	0.9864154734073283	-0.19140413028771833	0.18670554242936974	0						
LSCC	TACSTD2_protein	JAK2_protein	JAK2	ifn_signaling	ENSG00000096968.14	True	False	108	0.043089732963693346	0.6579127887372234	-0.16111965301695752	0.24163291801721187	0						
LSCC	TACSTD2_protein	ISG15_protein	ISG15	ifn_isg	ENSG00000187608.10	True	False	108	0.1815522973887031	0.060046558539593724	-0.01401774047195496	0.35500024574735134	0						
LSCC	TACSTD2_protein	MX1_protein	MX1	ifn_isg	ENSG00000157601.14	True	False	108	0.23927520077738718	0.012630297613102252	0.05393691279934863	0.42244058831431003	0						
LSCC	TACSTD2_protein	OAS1_protein	OAS1	ifn_isg	ENSG00000089127.13	True	False	108	0.1892499547476826	0.049806409124599965	-0.009325789970236475	0.3839057992222044	0						
LSCC	TACSTD2_protein	IFI35_protein	IFI35	ifn_isg	ENSG00000068079.8	True	False	108	0.2486209951699105	0.009471378258280058	0.050059033331721924	0.43239326746033846	0						
LSCC	TACSTD2_protein	HLA-A_protein	HLA-A	mhc1	ENSG00000206503.13	True	False	108	-0.0635723608372155	0.5133454460554736	-0.2537876564860708	0.12743526161633567	0						
LSCC	TACSTD2_protein	HLA-B_protein	HLA-B	mhc1	ENSG00000234745.11	True	False	108	0.06545866796231196	0.5009007675470484	-0.1374209323201907	0.26655112202709347	0						
LSCC	TACSTD2_protein	HLA-C_protein	HLA-C	mhc1	ENSG00000204525.16	True	False	108	0.014471214762734953	0.8818321126192449	-0.19585387040277877	0.2153479100537473	0						
LSCC	TACSTD2_protein	B2M_protein	B2M	mhc1		False	False	0					0						
LSCC	TACSTD2_protein	TAP1_protein	TAP1	apm_extra	ENSG00000168394.11	True	False	108	0.12063791477321444	0.21362274722725558	-0.06836649647142067	0.32203283040120073	0						
LSCC	TACSTD2_protein	TAP2_protein	TAP2	apm_extra	ENSG00000204267.16	True	False	108	0.13442319967227795	0.16543707431087526	-0.06819816675626741	0.3316782404041809	0						
LSCC	TACSTD2_protein	TAPBP_protein	TAPBP	apm_extra	ENSG00000231925.12	True	False	108	0.12179065801632892	0.20924726018812415	-0.07640349540228564	0.3104926746452458	0						
LSCC	TACSTD2_protein	PSMB8_protein	PSMB8	apm_extra	ENSG00000204264.12	True	False	108	0.09015214305448378	0.35347089007535415	-0.11685350687905124	0.28788035916447763	0						
LSCC	TACSTD2_protein	PSMB9_protein	PSMB9	apm_extra	ENSG00000240065.8	True	False	108	0.04167976602170206	0.6684364761233316	-0.157416875316876	0.24154243956926888	0						
LSCC	TACSTD2_protein	NLRC5_protein	NLRC5	apm_extra	ENSG00000140853.15	True	False	103	0.16533409480296973	0.09511999481723414	-0.03963636259130981	0.36068892792943946	0						
LSCC	TACSTD2_protein	MHC1_protein	MHC1_protein	score	HLA-A,HLA-B,HLA-C	True	True	108	0.0291996532243467	0.7641888603082562	-0.17147144615596208	0.22909108631955227	107	0.06958092498707238	0.4763653023198252	-0.13353447134806648	0.26087533982381067	0.7884665146868516	null; does not support
LSCC	TACSTD2_protein	IFN_core_protein	IFN_core_protein	score	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	True	True	108	0.2299579867958501	0.01665828639006896	0.05291837474568547	0.40797050460870204	107	0.2518161654734101	0.008883147126496125	0.05845508000904277	0.4262845043101754	0.06663314556027584	positive CI; primary-family q ≥ 0.05
LSCC	CLDN4_protein	TACSTD2_protein	TACSTD2	predictor	ENSG00000184292.7	True	False	78	0.08053971345110585	0.4833259127385792	-0.15379033789966667	0.3182133559040946	0						
