gene	in_ifn	in_cyto	in_exh	k	n	pooled_rho	p	I2
CST7	False	True	False	2	53	-0.19511916625425405	0.17540355720079526	0.0
IL12RB1	False	False	False	2	53	-0.19454756199725468	0.17670485181330153	0.0
TGFBR2	False	False	False	2	53	-0.1933908445341301	0.1793592501190755	0.0
IFI44	False	False	False	2	53	-0.19050314704871715	0.18610950309129204	0.0
RSAD2	True	False	False	2	53	-0.1877814236825387	0.19263463713982265	0.0
AIMP1	False	False	False	2	53	-0.3074245380896734	0.19884040813244275	64.04616338595162
S100A9	False	False	False	2	53	-0.24001600258589836	0.2012686524027083	40.58430950606105
IL27RA	False	False	False	2	53	-0.18416151947313245	0.20156032793477818	0.0
SARAF	False	False	False	2	53	-0.1831722142250253	0.20404914347329017	0.0
NUCB2	False	False	False	2	53	-0.2260973402485163	0.20407511234983033	33.781081965024015
CCL3L3	False	False	False	1	31	-0.23225806451612904	0.21062924271669348	0.0
PTDSS1	False	False	False	2	53	-0.1801427009812422	0.21180352637388267	0.0
CD63	False	False	False	2	53	0.17992244356145934	0.21237514622967046	0.0
IFI44L	False	False	False	2	53	-0.17962828892253196	0.21314021024326324	0.0
ITGB2	False	False	False	2	53	-0.23060539351626044	0.21342818629602545	38.84899216179088
OAS3	False	False	False	2	53	-0.178748322108494	0.2154402783660705	0.0
CD37	False	False	False	2	53	-0.17609403556293432	0.22248163081038796	0.0
GSTP1	False	False	False	2	53	0.17275615486741502	0.23155830147095247	0.0
SORL1	False	False	False	2	53	-0.17206306222900702	0.2334741519165896	0.0
CXCL13	False	False	True	2	53	-0.18668575603543774	0.2356364004475331	15.23709590477118
CD46	False	False	False	2	53	-0.1701204860275888	0.23890108776953223	0.0
ITGAL	False	False	False	2	53	-0.16603438322755462	0.25059283182707326	0.0
LRCH4	False	False	False	2	53	-0.16470301921049646	0.25448356373698366	0.0
CD28	False	False	False	2	53	-0.16449215775648357	0.2551034498280377	0.0
FLT3LG	False	False	False	2	53	-0.16175609666850194	0.2632380531444992	0.0
SIGIRR	False	False	False	2	53	-0.16013539400390955	0.26813655458894503	0.0
ITGB1	False	False	False	2	53	-0.15968390760436096	0.2695117641801176	0.0
STAT2	False	False	False	2	53	-0.1586306789555014	0.2727378475586941	0.0
CCL5	False	False	False	2	53	-0.1753683050464019	0.27567128960824494	18.453268970023345
IFIT1	True	False	False	2	53	-0.15765133394422573	0.27576023231361435	0.0
CXCL10	True	False	False	2	53	-0.15765116100601617	0.27576076794808235	0.0
OGFR	False	False	False	2	53	-0.1552685198447422	0.28320497739173667	0.0
FAS	False	False	False	2	53	-0.15275490356032018	0.2911984252965649	0.0
SELL	False	False	False	2	53	-0.1736137920528371	0.31326085242885526	28.363688647250097
OAS1	True	False	False	2	53	-0.1451563465423704	0.3162369538830241	0.0
GBP2	False	False	False	2	53	-0.14389408377090024	0.3205235509640807	0.0
LGALS3	False	False	False	2	53	0.2600992043548197	0.3217655518446595	69.50824295105733
RPS19	False	False	False	2	53	-0.16534162585147252	0.3238291407209677	24.411560968377604
BTLA	False	False	True	2	53	-0.14134457340483125	0.32929192507134775	0.0
TCF7	False	False	False	2	53	-0.14072280707534815	0.3314526878132459	0.0
LAT	False	False	False	2	53	-0.13994260955407123	0.33417641954353117	0.0
IL2	False	False	False	2	53	0.139839951068723	0.3345358345098739	0.0
ISG15	True	False	False	2	53	-0.13786766787304564	0.3414872237602762	0.0
PTPRC	False	False	False	2	53	-0.22574098800701836	0.35607826544431287	64.51214284198878
F2R	False	False	False	2	53	-0.1337386063785086	0.35632441607643606	0.0
LRPAP1	False	False	False	2	53	0.174989383691949	0.35900876298762996	41.308226241687386
IL6ST	False	False	False	2	53	-0.1321142947535266	0.3622661583445157	0.0
ATP6AP2	False	False	False	2	53	-0.1282645905029647	0.3765838713744851	0.0
CTLA4	False	False	True	2	53	-0.19206805674570074	0.37762456121636334	54.884950972474044
S100A10	False	False	False	2	53	0.23490145841018348	0.38408922308966076	70.8890655268191
IL7R	False	False	False	2	53	-0.12501272004021216	0.38893461926620443	0.0
STAT1	True	False	False	2	53	-0.12496514096344767	0.38911706061042894	0.0
CLEC2B	False	False	False	2	53	-0.20739945550552577	0.3907380638432997	63.44531588694663
CD8A	False	False	False	2	53	-0.12617561479769562	0.39666068528276055	4.676659582311581
LAG3	False	False	True	2	53	-0.12295006992209653	0.39688952342597217	0.0
CCL4L2	False	False	False	2	53	-0.17402803968988825	0.4054508537785483	50.985089928307545
ALOX5AP	False	False	False	2	53	-0.17332381032831035	0.40589753576586474	50.677170445388384
TAP2	False	False	False	2	53	-0.12399297939019038	0.40888472371776763	6.156203482289549
ANXA1	False	False	False	2	53	0.11970183025823045	0.40960556897873224	0.0
EZR	False	False	False	2	53	0.1176184900734118	0.41788195648855564	0.0
MKI67	False	False	False	2	53	0.11658032193521063	0.4220411911466976	0.0
FASLG	False	True	False	2	53	-0.14151886021618743	0.4239120719578917	31.61832570719521
TOX2	False	False	True	2	53	-0.12754409009120757	0.4240909165955613	16.391130932082472
KLRD1	False	False	False	2	53	-0.11524364541018735	0.4274304084458256	0.0
GNAS	False	False	False	2	53	0.1151631852748065	0.42775602781120636	0.0
BATF	False	False	False	2	53	-0.17517320675519746	0.434171950236915	57.16991042080205
IRF1	True	False	False	2	53	-0.11267580275126393	0.43789038032904426	0.0
GZMH	False	True	False	2	53	-0.15294115286268462	0.44147146556488215	45.53214547321407
IL2RG	False	False	False	2	53	-0.13330234241415323	0.44246951600029893	28.895830148455993
ITGA4	False	False	False	2	53	-0.11283354234392662	0.4439584965279617	2.6988177159255895
BTN3A2	False	False	False	2	53	-0.1651246543142477	0.4488742636479237	54.73464053033631
CCL4	False	False	False	2	53	-0.16230515498906486	0.4543494316443303	54.24737769252147
HLA-B	False	False	False	2	53	-0.26191915283326217	0.45893932311505237	83.17237640918323
IFNG	True	True	False	2	53	-0.17606636750985924	0.4613997291366779	62.34619236772697
TGFB1	False	False	False	2	53	-0.1034429592333809	0.47664125240453437	0.0
CD3D	False	False	False	2	53	-0.20253782924141067	0.47684277868739455	73.56851547252512
CD7	False	False	False	2	53	-0.14844476261087491	0.479108505691914	50.97093445774183
TIGIT	False	False	True	2	53	-0.14671350911376874	0.47934935340466633	49.86491516551734
CD52	False	False	False	2	53	-0.13197729491399424	0.4802291732307066	38.412607035644534
TNFRSF9	False	False	False	2	53	-0.13406206590544595	0.4811714026008659	40.53453294675637
LEF1	False	False	False	2	53	-0.10113446044280218	0.48660330767661175	0.0
ITGAE	False	False	False	2	53	0.11242615984087591	0.487805080966642	18.621595076016128
TMED5	False	False	False	2	53	-0.10030286046678523	0.49021819010043066	0.0
ITM2B	False	False	False	2	53	-0.09642262796567075	0.5072662721559517	0.0
NAMPT	False	False	False	2	53	0.10102424672549659	0.5143631794221158	11.253036151063489
LAIR2	False	False	False	2	53	0.13204583081746743	0.5163665745670706	47.801242596273276
ADAM10	False	False	False	2	53	-0.0936830274157636	0.5194798793938658	0.0
SPN	False	False	False	2	53	-0.16406584137757918	0.5231663246070721	67.28250494197408
FGFBP2	False	True	False	2	53	0.092497700062072	0.5248089256552156	0.0
KLRF1	False	False	False	2	53	0.09218455546893373	0.5262212363892941	0.0
ID2	False	False	False	2	53	0.09211585747068063	0.526531319170521	0.0
GLG1	False	False	False	2	53	-0.09185215789349874	0.5277224115838488	0.0
GZMK	False	True	False	2	53	-0.1325416143775822	0.5287054146799696	51.11979983230541
ENTPD1	False	False	True	2	53	-0.1100471287016051	0.5298658916262505	29.893796692749717
CD96	False	False	False	2	53	-0.13823378639737774	0.5403073574406237	57.49603522103989
NKG7	False	True	False	2	53	-0.15584392817228132	0.5404801865448573	66.61989162629052
CD5	False	False	False	2	53	-0.08883281635767216	0.5414533772592524	0.0
HLA-DPB1	False	False	False	2	53	-0.08861109730794976	0.5424683705291354	0.0
HLA-DQA1	False	False	False	2	53	-0.10588597759408692	0.5502860778380478	31.440510164398532
ADGRG1	False	False	False	2	53	-0.1490858301577017	0.5542826954812052	65.91232792302567
CD44	False	False	False	2	53	-0.08475066088885391	0.5602849043300655	0.0
GPI	False	False	False	2	53	-0.08360714916302359	0.5656140023236171	0.0
TYROBP	False	False	False	2	53	0.08352104821975574	0.566016199591783	0.0
IFIT2	True	False	False	2	53	-0.0834450648223052	0.5663712446380006	0.0
CXCL9	True	False	False	2	53	0.08183435873783024	0.5739214952962934	0.0
IL21R	False	False	False	2	53	-0.1291434651184836	0.5796792491824216	60.0644568937593
JAML	False	False	False	2	53	-0.15534283357778475	0.5845090800575583	73.14616521215427
CD6	False	False	False	2	53	-0.10181428107424391	0.5879102161606626	38.72841100685682
TAP1	False	False	False	2	53	-0.07874099786190193	0.5885483123988017	0.0
HAVCR2	False	False	True	2	53	-0.10517926960098856	0.5903682390375706	43.25316540540947
GZMA	False	True	False	2	53	-0.10685015730982209	0.5915753451765575	45.336564883974596
CD99	False	False	False	2	53	-0.07809459081435961	0.591625510148974	0.0
GZMB	False	True	False	2	53	-0.12494076883837268	0.597264598781853	61.13316740746044
CD69	False	False	False	2	53	-0.13202189180076682	0.6012258249731823	65.93562843711611
LYZ	False	False	False	2	53	0.07554019006674348	0.603854261417379	0.0
HLA-E	False	False	False	2	53	-0.13865552120291832	0.6105878640424289	70.68408025646468
TMEM123	False	False	False	2	53	-0.07362391511973351	0.6130988020354584	0.0
S1PR1	False	False	False	2	53	-0.07320601386380324	0.6151227704318412	0.0
COPA	False	False	False	2	53	-0.07264842253984746	0.6178276536205871	0.0
PRF1	False	True	False	2	53	-0.07236117938020237	0.6192230158173411	0.0
KLRB1	False	False	False	2	53	0.07181425413757347	0.6218834870351582	0.0
TNFRSF4	False	False	False	2	53	0.10358904474630895	0.6260485340921516	51.887167993824605
KLRG1	False	False	False	2	53	-0.07040055477239204	0.6287821956665675	0.0
CXCR6	False	False	False	2	53	-0.07014956649742198	0.6300102656714509	0.0
HLA-DRB1	False	False	False	2	53	-0.09325032523930704	0.6374779222607909	44.55814215728206
TOX	False	False	True	2	53	-0.06854093894827039	0.6379043267426519	0.0
TNFRSF25	False	False	False	2	53	0.06545143114629827	0.6531757307353091	0.0
HLA-DRB5	False	False	False	2	53	-0.06465898728379793	0.6571156146762149	0.0
MSN	False	False	False	2	53	-0.0899107160447318	0.6602527177791813	48.01544195364992
HLA-DRA	False	False	False	2	53	0.06397080418318993	0.6605445571981807	0.0
VSIR	False	False	False	1	22	-0.09881422924901188	0.6656459139572699	0.0
ARF1	False	False	False	2	53	-0.06046360308306551	0.6781244604515457	0.0
NR4A3	False	False	False	2	53	0.07159493680246665	0.6843228674733658	30.28315111355491
PSAP	False	False	False	2	53	0.05878093063513766	0.6866195277614517	0.0
IFIT3	True	False	False	2	53	-0.05822989744318339	0.6894097707505036	0.0
IFNGR1	False	False	False	2	53	-0.057955535165687376	0.6908005595875254	0.0
TGOLN2	False	False	False	2	53	-0.0789944591063206	0.6952837888836041	46.49024373518047
ADIPOR1	False	False	False	2	53	0.05489003070243638	0.706407188676295	0.0
CD160	False	False	True	2	53	0.09559882747828408	0.706983857609206	66.20059592890627
CD47	False	False	False	2	53	-0.05412022733732188	0.7103452318309388	0.0
XCL1	False	False	False	2	53	-0.08311393717925558	0.7115153791499611	56.771415796194155
IRF4	False	False	False	2	53	-0.12331655415228447	0.7174960612499064	81.20497208754482
ADGRE5	False	False	False	2	53	-0.07780360861720408	0.7296935232440231	56.90943874591837
CD58	False	False	False	2	53	-0.061984288177955885	0.7431449313071724	39.26149634088652
APOE	False	False	False	2	53	-0.046877717588700726	0.7477457711615054	0.0
AREG	False	False	False	2	53	-0.04683532831383309	0.7479664492622962	0.0
PLGRKT	False	False	False	2	53	-0.046451038271780966	0.7499679592672586	0.0
CX3CR1	False	False	False	2	53	-0.057914501478045104	0.7618307514883147	40.43388742407139
CTSD	False	False	False	2	53	-0.08910977354101844	0.7752031561892943	77.47823511478539
ICOS	False	False	False	2	53	-0.09340484775391047	0.7770850791271979	79.85601840417648
CD55	False	False	False	2	53	-0.04050588236177958	0.7811303001238721	0.0
C1QA	False	False	False	2	53	0.03935777841935024	0.7871888832517702	0.0
SELPLG	False	False	False	2	53	-0.053399964724169205	0.7940789902609152	47.85588348792623
CD81	False	False	False	2	53	-0.03616583576846624	0.8040967556902052	0.0
TNFRSF18	False	False	False	2	53	0.08246439890694442	0.8093590387180302	81.20678299753598
HLA-C	False	False	False	2	53	0.03500410456068029	0.8102727845883537	0.0
CCR7	False	False	False	2	53	-0.034110013206223054	0.8150337133582508	0.0
CXCR4	False	False	False	2	53	0.03350193982371996	0.8182753821632736	0.0
LAYN	False	False	True	2	53	-0.07525833243708269	0.818642203183863	79.60672156728059
HLA-DQB1	False	False	False	2	53	-0.0332483939562567	0.8196279300988248	0.0
CD53	False	False	False	2	53	0.03223325822173212	0.8250483124242926	0.0
CD82	False	False	False	2	53	0.0511527219769584	0.8317461335995061	62.16361881447002
TNFSF12	False	False	False	2	53	0.06153826864626513	0.8318840042962311	73.84894174329534
SPON2	False	False	False	2	53	0.030524952417142495	0.8341878520784145	0.0
APOC1	False	False	False	2	53	-0.02951906745359589	0.8395795280747838	0.0
GNLY	False	True	False	2	53	-0.06050778023174302	0.8422155176997258	76.20372293707713
CD320	False	False	False	2	53	-0.028924475162182224	0.842770030457957	0.0
CD2	False	False	False	2	53	-0.028770736746335318	0.8435953744890053	0.0
CD244	False	False	True	2	53	-0.0410647181686356	0.8452140144166413	50.58256408923787
XCL2	False	False	False	2	53	-0.04498042695844623	0.846053888818139	59.15595510096553
CD247	False	False	False	2	53	-0.0516384824372415	0.8506091061032683	70.76291162660368
HLA-DMA	False	False	False	2	53	-0.027111385053406923	0.8525138887147621	0.0
TNF	False	True	False	2	53	0.06174945412806936	0.8529716131721583	80.18420578470447
TIMP1	False	False	False	2	53	-0.026563003639664424	0.8554653031291662	0.0
HSP90B1	False	False	False	2	53	-0.02583982263621992	0.8593604525454217	0.0
ITGB7	False	False	False	2	53	-0.0420414930616543	0.8662712351542131	64.76749793747304
CD4	False	False	False	2	53	-0.02391973303396764	0.869717986513681	0.0
IFI27	False	False	False	2	53	-0.02378655410354925	0.8704372078783853	0.0
BCL2	False	False	False	2	53	0.02549145072494568	0.8718821808201256	14.036146720593212
CKLF	False	False	False	2	53	0.04209598870793249	0.8722214496202216	67.91785668767159
NR4A2	False	False	False	2	53	-0.03169607495783688	0.8760744155054225	47.11838458380683
CALR	False	False	False	2	53	0.0212428718077175	0.8841931914336444	0.0
TSPAN14	False	False	False	2	53	-0.02085773983428862	0.8862789651739825	0.0
ZNF683	False	False	False	2	53	0.03946185165554544	0.9007800993980312	78.01557295116153
CXCL11	True	False	False	2	53	0.016609162111025387	0.9093351786206781	0.0
HLA-A	False	False	False	2	53	-0.01616379646332886	0.9117566605174983	0.0
CD74	False	False	False	2	53	0.01575567787319696	0.9139763173922612	0.0
LGALS1	False	False	False	2	53	0.04101460934908178	0.9172730087659478	85.86101408743178
NR4A1	False	False	False	2	53	0.01834267707800068	0.9235935410489614	40.41684311259329
JMJD6	False	False	False	2	53	0.013763874322465453	0.9318004249470129	16.792030906572595
CIB1	False	False	False	2	53	0.020438425642499657	0.9341931695952885	64.13216385394011
B2M	False	False	False	2	53	-0.019697439609343947	0.9344178703952741	61.67172546034737
IL2RA	False	False	False	2	53	0.021214909474713724	0.9413619169048415	73.5236452099009
CALM1	False	False	False	2	53	0.010332399889338735	0.9435267790752977	0.0
TNFRSF1B	False	False	False	2	53	-0.014886308527047601	0.9614426080838347	76.75656630094716
MCL1	False	False	False	2	53	0.007040435569717699	0.9615029822599843	0.0
PRNP	False	False	False	2	53	-0.012905531217213578	0.9654700021040861	75.20691973082461
C1QB	False	False	False	2	53	-0.006168858999746404	0.9662658405014418	0.0
LTB	False	False	False	2	53	-0.0060127770830035706	0.9671188994496527	0.0
FCRL6	False	False	False	2	53	0.005935180235609213	0.9675430151211446	0.0
ID3	False	False	False	2	53	0.009831019747238488	0.9685157006844038	64.565167759121
IGF2R	False	False	False	2	53	0.00553617315172532	0.9697239765910671	0.0
TBX21	False	False	False	2	53	-0.006870128673451697	0.9712693455089028	40.09960511513654
TRPV2	False	False	False	2	53	-0.009200628933586648	0.973252740188801	70.76221764988249
HMGB1	False	False	False	2	53	-0.006349852418139369	0.9757003604391926	49.6516322055965
IL4R	False	False	False	2	53	-0.010809547947035715	0.9777428573435255	85.30043544885001
IL10	False	False	False	2	53	-0.003882358077169244	0.978765820409793	0.0
RPSA	False	False	False	2	53	-0.0033532869320476175	0.981658996987498	0.0
IL2RB	False	False	False	2	53	-0.007421340328472065	0.9846943864773026	85.25401401347193
UXS1	False	False	False	2	53	0.0024833194435228377	0.9864168188417808	0.0
CXCR3	False	False	False	2	53	-0.0024610745353723547	0.9865384822237961	0.0
S100A4	False	False	False	2	53	-0.007429017290235971	0.987378748299602	89.98965908864558
