ligand	cohort	n	median_delta	mean_delta	p
NAMPT	GSE131907	29	0.14531725645065308	0.10999292674763449	3.628432750701904e-05
WBP1	GSE205335	22	0.12140224128961563	0.14788040484894405	4.1961669921875e-05
HSPG2	GSE205335	22	0.08811433613300323	0.09878385126252066	5.245208740234375e-05
CD47	GSE205335	22	0.29122230410575867	0.25030358135700226	5.245208740234375e-05
COPA	GSE131907	29	0.06358003616333008	0.055245069851135385	5.336105823516846e-05
ADAM17	GSE131907	29	0.032569803297519684	0.04572092998644401	5.336105823516846e-05
CLCF1	GSE205335	22	0.03761137276887894	0.06664115767687856	5.956977907456359e-05
PLXNA1	GSE205335	22	0.06312747299671173	0.07898532793941823	5.956977907456359e-05
ADAM10	GSE131907	29	0.04238422214984894	0.05275132943843973	6.0480087995529175e-05
PLAT	GSE205335	22	0.036644093692302704	0.11753277903930708	6.532669067382812e-05
CALR	GSE205335	22	0.29657793045043945	0.27790419080040674	6.532669067382812e-05
ADAM28	GSE205335	22	0.043916160240769386	0.05695696852953089	6.532669067382812e-05
EDN1	GSE205335	22	0.07241195626556873	0.1212035945315041	6.898751069615867e-05
LIF	GSE205335	22	0.050440553575754166	0.06394186582342214	7.980221938929199e-05
TIMP2	GSE205335	22	0.0905229039490223	0.14128387969156558	8.058547973632812e-05
TGOLN2	GSE205335	22	0.1759583055973053	0.1737754304300655	8.058547973632812e-05
MDK	GSE205335	22	0.3871748596429825	0.4017188162966208	8.058547973632812e-05
COL1A1	GSE205335	22	0.03800028935074806	0.13074143789708614	8.058547973632812e-05
LAMC1	GSE131907	29	0.016477089375257492	0.030515462031652188	8.720904588699341e-05
CCN2	GSE205335	22	0.049881337210536	0.194205575612035	9.220613278654252e-05
LAMB2	GSE131907	29	0.03270232677459717	0.03881120977216754	9.822472929954529e-05
PDGFA	GSE205335	22	0.05334633216261864	0.0845844666050239	9.870529174804688e-05
DUSP18	GSE205335	22	0.025253762491047382	0.05790085523304614	0.00012063980102539062
COL18A1	GSE131907	29	0.0196230411529541	0.03640468720475148	0.00012406706809997559
CLCF1	GSE131907	29	0.026516810059547424	0.03402240686760894	0.0001391395926475525
CD55	GSE131907	29	0.1326073408126831	0.15851906764096227	0.00015582889318466187
PODXL	GSE205335	22	0.017978806048631668	0.026731327186677267	0.00016246112358599135
ANGPTL4	GSE131907	29	0.0375988632440567	0.04726314017998761	0.0001742914319038391
THBS1	GSE205335	22	0.028511784970760345	0.043977191592355004	0.00018663848961448544
PODXL2	GSE131907	29	0.023926641792058945	0.0376419477598292	0.00018807844969211292
COPA	GSE205335	22	0.11114610731601715	0.12994741851633246	0.00021314620971679688
PDGFA	GSE131907	29	0.02599482238292694	0.03809550366011159	0.00021718069911003113
CEACAM1	GSE205335	22	0.03002465795725584	0.06231741702438078	0.0002454779714376183
NUCB2	GSE205335	22	0.1054139956831932	0.1742518198761073	0.000255584716796875
COL9A3	GSE205335	22	0.006223306292667985	0.01226603928741745	0.00028104304823949435
COL1A1	GSE131907	29	0.03822394460439682	0.08631000699925012	0.00029926374554634094
ANGPTL4	GSE205335	22	0.03997948206961155	0.07851941339851526	0.0003046989440917969
HLA-B	GSE131907	29	0.1586148738861084	0.20327947263059945	0.00033221766352653503
CX3CL1	GSE205335	22	0.05133294500410557	0.08004071249822366	0.0003384546789562384
ICAM1	GSE205335	22	0.2613614723086357	0.27188684507167304	0.0003619194030761719
CD82	GSE205335	22	0.09710603579878807	0.10634723544882779	0.0003619194030761719
ADAM17	GSE205335	22	0.06284903734922409	0.07462550090117888	0.0003619194030761719
TIMP2	GSE131907	29	0.04694738984107971	0.07356340399590032	0.0004079751670360565
TNFSF15	GSE205335	22	0.010744376108050346	0.03401299970838326	0.0004188680369191762
ZG16B	GSE205335	22	0.007343832869082689	0.045752676010703326	0.0004188680369191762
TIMP3	GSE205335	22	0.013119102455675602	0.047338978556746784	0.0004188680369191762
ZDHHC5	GSE205335	22	0.06295675039291382	0.06196323341944001	0.0005044937133789062
SPON2	GSE205335	22	0.023405984044075012	0.0950665229042484	0.0005927085876464844
NAMPT	GSE205335	22	0.12890009582042694	0.16098252040418712	0.0005927085876464844
CFH	GSE205335	22	0.047574374824762344	0.09715217032432767	0.0005927085876464844
MMP7	GSE205335	22	0.07447254285216331	0.13255212407305159	0.0006179102511197069
JAG1	GSE205335	22	0.046876976266503334	0.06504023766187443	0.0006937980651855469
VSIG10	GSE205335	22	0.01893153227865696	0.03614196731624278	0.0006937980651855469
CLEC11A	GSE205335	22	0.009717986918985844	0.018522589773056097	0.0007961977684636033
PRNP	GSE131907	29	0.012675076723098755	0.0355851915504398	0.0008089840412139893
PCDHA12	GSE205335	22	0.002209388476330787	0.021921254285023842	0.0008634758631167839
PLAU	GSE131907	29	0.03112906590104103	0.09084265581171574	0.0008884184062480927
MMP7	GSE131907	29	0.03796366602182388	0.11831424868633521	0.000960472308924274
APP	GSE131907	29	0.06351771950721741	0.09386209992627645	0.0009746924042701721
TGM2	GSE131907	29	0.032306842505931854	0.057184627086951816	0.001068316400051117
C3	GSE205335	22	0.027437313459813595	0.12742337078750346	0.0012617111206054688
B2M	GSE131907	29	0.0746469497680664	0.10129653996434705	0.0012797452509403229
HLA-F	GSE131907	29	0.022684752941131592	0.07152671146142328	0.0013987235724925995
CD47	GSE131907	29	0.0652908980846405	0.09543689520194612	0.0013987235724925995
NPNT	GSE205335	22	0.022784069180488586	0.05257489616897973	0.0016727447509765625
COL21A1	GSE205335	22	0.021485415287315845	0.04635842138800812	0.0017130176382195042
MICA	GSE205335	22	0.035155413672327995	0.03211630155353553	0.0019183158874511719
TNFSF13	GSE205335	22	0.016403181478381157	0.030389162627133457	0.0021948814392089844
ICAM4	GSE205335	22	0.016485541593283415	0.03861864519951103	0.002225180116411056
COL9A2	GSE131907	29	0.005761533975601196	0.032851919282934273	0.002456903085302011
HLA-DQA1	GSE205335	22	-0.015223991591483355	-0.06674374007773375	0.0025048255920410156
TGFBI	GSE205335	22	0.016180810052901506	0.050088735080366445	0.0025048255920410156
JAG1	GSE131907	29	0.009691733866930008	0.01774379394241962	0.0025420673191547394
CLEC2B	GSE131907	29	0.018596559762954712	0.032840546220541	0.0025420673191547394
MELTF	GSE205335	22	0.01813274435698986	0.0424990497995168	0.0026424213516743258
TGM2	GSE205335	22	0.05987914651632309	0.11354997882418419	0.0028514862060546875
HBEGF	GSE131907	29	0.03148770332336426	0.03698170712570949	0.0029922761023044586
TGOLN2	GSE131907	29	0.03436461091041565	0.06078064852747424	0.0029922761023044586
LAMA3	GSE205335	22	0.0105345593765378	0.06925584467932243	0.0031851432686599455
PRNP	GSE205335	22	0.07785142213106155	0.07207618916237896	0.003239154815673828
COL9A2	GSE205335	22	0.018956508487462997	0.02937598706392402	0.003239154815673828
CFH	GSE131907	29	0.02749195694923401	0.03416570148366536	0.0032424964010715485
COL6A1	GSE205335	22	0.009316826704889536	0.078966428081251	0.0033138121152864208
CEACAM1	GSE131907	29	0.011097133159637451	0.0295297774839504	0.003559824736676251
HSPG2	GSE131907	29	0.021394267678260803	0.03369496566853646	0.004115123481833648
LYZ	GSE205335	22	0.014517901465296745	0.035793720876840365	0.004137207994643546
COL27A1	GSE205335	22	0.02271461207419634	0.03652104433488355	0.004137207994643546
ZDHHC5	GSE131907	29	0.02165566384792328	0.025670725338417907	0.004435725510120392
ADAM10	GSE205335	22	0.06996030732989311	0.08719656193120913	0.004684925079345703
ADAM28	GSE131907	29	0.012223400175571442	0.01722655888518383	0.004747923962975725
LGALS9	GSE131907	29	0.02460096776485443	0.04249299615460994	0.004787962883710861
CEACAM6	GSE131907	29	0.09578967094421387	0.10383599405658656	0.005096266424780682
TIMP1	GSE205335	22	0.08643718436360359	0.2210692835717716	0.005275726318359375
PODXL2	GSE205335	22	0.03532451204955578	0.06480964899740436	0.005275726318359375
ALCAM	GSE131907	29	0.03936634957790375	0.04628991053022187	0.005566027015447617
TNC	GSE205335	22	0.01018679328262806	0.09902400844889185	0.005928516387939453
WNT7B	GSE131907	29	0.024574093520641327	0.032708099111914635	0.005994632840156555
TCN1	GSE205335	22	0.01074258890002966	0.03155991337685422	0.0064064902221673695
CD58	GSE131907	29	0.01138988509774208	0.027703439945290828	0.006938289850950241
ADGRE5	GSE131907	29	0.01505240797996521	0.025330842440498286	0.006938289850950241
SPON2	GSE131907	29	0.010514527559280396	0.043207987773649655	0.007456466555595398
CXCL16	GSE131907	29	0.023360654711723328	0.05877933201604876	0.007456466555595398
CEACAM5	GSE131907	29	0.016439469531178474	0.04149962137934977	0.007658294877486018
LGALS3	GSE131907	29	0.04397130012512207	0.08408069610595703	0.008007697761058807
COL17A1	GSE205335	22	0.00509841984603554	0.06455183228403753	0.00803442885556667
PSEN1	GSE205335	22	0.06083457171916962	0.05218473042954098	0.0083160400390625
ADAM9	GSE131907	29	0.024280179291963577	0.04930149416985183	0.008593697100877762
CXCL14	GSE205335	22	0.005212784744799137	0.12362248412087369	0.008685211199123489
HLA-G	GSE205335	22	0.0022549224086105824	0.019913882736793974	0.008903385115881386
FN1	GSE205335	22	0.027513861656188965	0.05949436331337148	0.00961307994613869
MDK	GSE131907	29	0.043118953704833984	0.11125416282949777	0.009877141565084457
COL27A1	GSE131907	29	0.006452582776546478	0.013854276742143878	0.009940428679872356
TGFA	GSE131907	29	0.014534927904605865	0.035202632577897144	0.010578293353319168
CD40	GSE205335	22	0.015859074890613556	0.037758128804853186	0.011472702026367188
COL6A1	GSE131907	29	0.007206961512565613	0.03989487096410373	0.011483595636288289
LIF	GSE131907	29	0.011072400026023388	0.015207085116156217	0.012943167239427567
SDC2	GSE205335	22	0.011131134815514088	0.02762652090115642	0.012948886352603273
MICA	GSE131907	29	0.012894295156002045	0.013814722091473382	0.014758598059415817
COL17A1	GSE131907	29	0.0008793222950771451	0.02156980207254147	0.016395071849192262
S100A9	GSE131907	29	-0.06645476818084717	-0.1120159561777937	0.01678590476512909
COL18A1	GSE205335	22	0.03304922580718994	0.07098392204550857	0.018956661224365234
FAM200A	GSE205335	22	0.012460622936487198	0.012409019241617485	0.018956661224365234
TCN1	GSE131907	29	0.0	0.021811744413972864	0.020633435105949553
CD99	GSE131907	29	0.04663991928100586	0.07805954420874858	0.021553177386522293
PAEP	GSE205335	22	0.0	0.025860305777645077	0.02182427562605354
FAM3C	GSE131907	29	0.02805536985397339	0.0876784679190866	0.02433420717716217
CD58	GSE205335	22	0.04755561798810959	0.03315745099363002	0.02513885498046875
COL6A2	GSE131907	29	0.005444314330816269	0.03833416893130875	0.025833535939455032
CCL20	GSE205335	22	0.010512962006032467	0.0726103123743087	0.027535438537597656
PCDHA12	GSE131907	29	0.0017577101243659854	0.005496489291545004	0.02989135425663507
CX3CL1	GSE131907	29	0.01706017553806305	0.02772770996269738	0.03059891833352297
HLA-E	GSE205335	22	0.31857290863990784	0.1839366348629648	0.032894134521484375
DUSP18	GSE131907	29	0.008628122508525848	0.012033769057999397	0.03453366830945015
CD59	GSE131907	29	0.03990510106086731	0.06674650928069806	0.03453366830945015
ICAM3	GSE131907	29	-0.013201996684074402	-0.019342655123307788	0.038631681352853775
IFITM1	GSE131907	29	0.011409789323806763	0.017430719341440446	0.038631681352853775
SDC2	GSE131907	29	-0.0034832058008760214	-0.013015502875375739	0.04042027126874376
TIMP1	GSE131907	29	0.05466046929359436	0.04898898637500303	0.040825653821229935
CRLF1	GSE205335	22	0.004396955017000437	0.03929621360095387	0.0420199491044772
HLA-F	GSE205335	22	0.042650436982512474	0.08393648137677122	0.042498111724853516
HLA-A	GSE205335	22	0.2645111083984375	0.23739368942650882	0.042498111724853516
ULBP2	GSE131907	29	0.0023580938577651978	0.004664739874865988	0.042501961142818866
LGALS1	GSE131907	29	-0.05513191223144531	-0.0724154045355731	0.04312055930495262
GPI	GSE131907	29	0.022472620010375977	0.023860247998402036	0.04551969841122627
THY1	GSE131907	29	-0.0007440358167514205	-0.0016968404424601588	0.04565545422004828
BACE1	GSE205335	22	0.009489189367741346	0.008832890244031494	0.046160221099853516
ITGB2	GSE205335	22	-0.013364522717893124	-0.11360685277825476	0.046160221099853516
TSPAN3	GSE131907	29	0.029695332050323486	0.03930983923632523	0.05064401775598526
MCAM	GSE205335	22	0.0025071068666875362	0.014573281805496663	0.05222204238661496
COL6A2	GSE205335	22	0.0010142256505787373	0.06269935998054942	0.05691459258521418
VCAN	GSE205335	22	0.007121279602870345	0.04447708737147464	0.058573296793890506
RELN	GSE205335	22	0.0	0.00951366875696377	0.06188375105213765
ITGB2	GSE131907	29	0.001899300143122673	0.03347119599066932	0.0622917003929615
HLA-DPB1	GSE205335	22	-0.011396681889891624	-0.08028681876286017	0.06844425201416016
PAEP	GSE131907	29	0.0	0.017297894802297754	0.07032573521121915
GPC3	GSE205335	22	0.009642761200666428	0.04281282884238118	0.07345086128284452
TRAF2	GSE205335	22	0.020044106990098953	0.018685222264717926	0.0737757682800293
HLA-B	GSE205335	22	0.18367314338684082	0.182622682641853	0.07942724227905273
HLA-DMA	GSE205335	22	0.01796630024909973	0.03384744926271113	0.08540916442871094
CALR	GSE131907	29	0.016403019428253174	0.07122874465481989	0.08774079009890556
FBLN1	GSE205335	22	0.004734456451842561	0.017835024842166935	0.091844728177532
SLPI	GSE131907	29	0.0522657111287117	0.049770342764155616	0.1008644811809063
S100A9	GSE205335	22	0.020635884255170822	-0.03428429248742759	0.1054534912109375
TNFSF12	GSE131907	29	0.004359051585197449	0.009598008196415573	0.10555979982018471
TGFB1	GSE131907	29	0.00699421763420105	0.02037506640471261	0.1104210764169693
FAM200A	GSE131907	29	0.006533406674861908	0.005663994796060282	0.1104210764169693
THBS1	GSE131907	29	0.005971461534500122	0.006289948564793529	0.1154516153037548
SEMA6D	GSE205335	22	0.0005610695807263255	0.0032765257108787246	0.12515345696288432
HMGB1	GSE205335	22	-0.011892855167388916	-0.13931192593141037	0.13748931884765625
IGF2	GSE131907	29	0.0015437128022313118	0.013653610680445	0.15129116827130748
PTDSS1	GSE131907	29	0.0056677088141441345	0.015060892649765673	0.1556677184998989
CD99	GSE205335	22	0.07148201018571854	0.06695103797722947	0.15597057342529297
APOE	GSE205335	22	0.006271976977586746	0.05815875535534525	0.15597057342529297
LGALS9	GSE205335	22	0.014891184866428375	0.033800263719802555	0.15597057342529297
TGFBI	GSE131907	29	0.0029597878456115723	0.030084602109252893	0.16216303035616875
HLA-DRB1	GSE131907	29	0.03506731986999512	0.07026565094189398	0.16885415464639664
COL21A1	GSE131907	29	0.00043561775237321854	0.0077200222605887546	0.17086648171401575
HLA-DPB1	GSE131907	29	-0.029602348804473877	-0.03520087705090128	0.17574355751276016
JAM3	GSE131907	29	0.0	-0.00036656346918758134	0.1771140408635976
IGF2	GSE205335	22	0.00027271563885733485	0.011861624783539975	0.17881002646274535
GPI	GSE205335	22	0.041887979954481125	0.019776564091444016	0.19821882247924805
B2M	GSE205335	22	0.14074867963790894	0.12655335664749146	0.19821882247924805
S100A8	GSE131907	29	-0.008057620376348495	-0.02457869242362935	0.2053302302956581
IFITM1	GSE205335	22	-0.010558594018220901	-0.08593644451519306	0.2221074104309082
PODXL	GSE131907	29	0.0015498000429943204	0.0062424375009241286	0.22747626562591206
PLAT	GSE131907	29	0.003103173803538084	0.027099617837189602	0.229654258637482
ZG16B	GSE131907	29	0.00018816976808011532	0.01348631725253152	0.23116721286114483
HLA-DQA2	GSE205335	22	0.0	-0.02851982243935874	0.24613691576742636
APOE	GSE131907	29	0.009780526161193848	0.030914290454880946	0.24702516570687294
HLA-DRA	GSE131907	29	-0.009774252772331238	-0.03623568600621717	0.24702516570687294
NECTIN3	GSE205335	22	0.00029784743674099445	0.014344660331103527	0.2471446025403431
GPC3	GSE131907	29	0.0015422729775309563	0.004453515890857269	0.25281290101640796
CRLF1	GSE131907	29	0.003105446696281433	0.005765123377104515	0.27462591975927353
FGL1	GSE205335	22	0.0	-0.02509076996251348	0.2787073832496024
LAMB1	GSE205335	22	0.004788240999914706	0.009078168045644734	0.2789649507806645
LRFN5	GSE205335	22	0.0	0.0028891123841855338	0.28504940740261275
FN1	GSE131907	29	0.021687805652618408	0.01978271544493478	0.2941182516515255
LAMB1	GSE131907	29	0.0001672515645623207	0.009418070525059411	0.3015688217495123
CD40	GSE131907	29	0.0012465417385101318	0.011619272609723025	0.31448761001229286
LRFN5	GSE131907	29	0.0	7.805965965260463e-06	0.31731050786291415
ADGRE5	GSE205335	22	0.0055219922214746475	-0.0001323749946260994	0.32088327407836914
TYROBP	GSE205335	22	-0.0036712742876261473	-0.028850806345210665	0.3369474411010742
FGG	GSE205335	22	0.0	0.010058401443529874	0.3454475304692258
THY1	GSE205335	22	0.0	-0.0008299887862945484	0.34652171170610724
FGL1	GSE131907	29	0.0	0.01722145034803142	0.35466939531524566
NCAM1	GSE131907	29	0.0	0.0011931078062906604	0.35466939531524566
MIF	GSE205335	22	0.04888784885406494	0.03909235108982433	0.3705310821533203
TIMP3	GSE131907	29	-0.0010318756103515625	-0.010402926785775042	0.3744947549643215
L1CAM	GSE131907	29	0.0	0.0011774708572343585	0.3811632511856291
HLA-DQA2	GSE131907	29	0.0	0.018241566829162587	0.3944257624523617
FGG	GSE131907	29	0.0	0.0041294081321243065	0.3957522466577532
EDIL3	GSE205335	22	6.304682028712705e-05	0.016384769315746697	0.39806292572561963
PTDSS1	GSE205335	22	0.023343883454799652	0.0010588400235230272	0.4060330390930176
WBP1	GSE131907	29	-0.0024240296334028244	0.004670585947239707	0.41691966354846954
TNFSF15	GSE131907	29	0.0005699265748262405	0.0022472772699106357	0.4254511364591589
FBLN1	GSE131907	29	0.0	0.009839600871381318	0.4254511364591589
HLA-DRB5	GSE131907	29	0.0016945218667387962	0.06163723440439408	0.4293668270111084
TNFSF13	GSE131907	29	0.0	-0.00021113862247398957	0.43304828842793475
HLA-DRB5	GSE205335	22	-0.00065970653668046	-0.0069488397751807825	0.43418687955840585
LYZ	GSE131907	29	0.0015959590673446655	0.0050595474333084865	0.46793800592422485
TGFB1	GSE205335	22	0.0005453974008560181	-0.1155752429145981	0.4825911521911621
HMGB1	GSE131907	29	0.0011066198348999023	-0.025119206001018655	0.4946499206125736
TNFSF12	GSE205335	22	0.0026211051736027002	0.0016437840055335653	0.5028400421142578
LAMA3	GSE131907	29	0.0006570742116309702	0.013985749741550535	0.522130947560072
FGB	GSE131907	29	0.0	0.02159003005162331	0.5336947142111965
ULBP2	GSE205335	22	0.0006083509069867432	0.0022237831488548018	0.5445904731750488
MCAM	GSE131907	29	0.0	0.011597896757503522	0.5449095877922505
COL9A3	GSE131907	29	-0.00047999899834394455	0.0005008508130137263	0.5647306069731712
CXCL14	GSE131907	29	0.00035124761052429676	0.021171735968954605	0.6070522480710051
BACE1	GSE131907	29	0.001411687582731247	0.0035504507992801995	0.6239256113767624
CD320	GSE131907	29	-0.008742094039916992	-0.005445934318262955	0.6391207613050938
HLA-DQB1	GSE131907	29	0.010264158248901367	0.02827505234243541	0.6391207613050938
FGB	GSE205335	22	0.0	-0.0002475533824922009	0.6464622026641696
TYROBP	GSE131907	29	-0.0025279708206653595	-0.0048927324984608025	0.6544641703367233
CCL20	GSE131907	29	-0.001972953788936138	0.00950863939742076	0.6699504218995571
NUCB2	GSE131907	29	-0.012769877910614014	-0.0006781880711687023	0.6699504218995571
HLA-DMB	GSE205335	22	-0.0009771446930244565	-0.013023740114559505	0.6788630485534668
HLA-DQA1	GSE131907	29	1.901201903820038e-05	0.026346658035342037	0.6855739243328571
S100A8	GSE205335	22	1.2252014130353928e-05	0.01052234741456976	0.6893679346514224
VSIG10	GSE131907	29	-0.004924319684505463	0.0027978499259414345	0.7013288475573063
HLA-DMA	GSE131907	29	-0.0036777108907699585	0.0264376950418127	0.7013288475573063
NPNT	GSE131907	29	0.0016040392220020294	0.005597040731588314	0.7172092758119106
NCAM1	GSE205335	22	0.0	0.014594320019320796	0.7173808884143212
FGA	GSE131907	29	0.0	0.014745182303535142	0.7173808884143212
HLA-DRA	GSE205335	22	0.005288369953632355	0.0037028160877525806	0.7261838912963867
HLA-G	GSE131907	29	0.0	-0.0026461754580317386	0.7317059346728588
RELN	GSE131907	29	0.0	-0.0011080783068760426	0.7353166906373405
HLA-DRB1	GSE205335	22	-0.00358026591129601	0.02858331729657948	0.7502379417419434
HLA-DMB	GSE131907	29	-0.0007889047265052795	0.032744157545525454	0.7655419819056988
CLEC11A	GSE131907	29	-0.0013791359961032867	0.0009504829790314723	0.7655419819056988
TCTN1	GSE131907	29	-0.005227982997894287	0.005323466363138166	0.7655419819056988
LGALS1	GSE205335	22	-0.012974223122000694	-0.034521025605499744	0.7990336418151855
HLA-DQB1	GSE205335	22	-0.00906950220814906	-0.0032733522900591856	0.7990336418151855
CLEC2B	GSE205335	22	0.001947058946825564	-0.022603443273427812	0.7990336418151855
SEMA6D	GSE131907	29	0.0	-0.0006117537308580659	0.8106969968597719
VCAN	GSE131907	29	-0.0011691623367369175	0.011035787005876672	0.819868406008273
L1CAM	GSE205335	22	-6.0572754591703415e-05	0.011734967684870671	0.8788507586415779
SPP1	GSE205335	22	0.0	0.00851248317948458	0.8812927086539598
C3	GSE131907	29	0.00662996293976903	0.00363800841271235	0.8815100230276585
PVR	GSE131907	29	-0.00040744245052337646	0.005107371554035565	0.8983406014740467
JAM3	GSE205335	22	-0.00022496390738524497	0.005813668730711056	0.9039076325167246
EDIL3	GSE131907	29	-0.0023396292235702276	0.009829342682396287	0.9043841325888762
TNC	GSE131907	29	-0.0010166079737246037	0.013713636610191315	0.9093510601128354
CD320	GSE205335	22	0.004041887819766998	-0.005068701099265705	0.9239659309387207
FGA	GSE205335	22	0.0	0.008319926641309972	0.9249783071207602
ICAM3	GSE205335	22	0.0019762490410357714	-0.06024743447249586	0.9746217727661133
SPP1	GSE131907	29	-0.004924105480313301	0.002455661085370029	0.983013316988945
