patient	cohort	unit	malig_def	cldn4_pct	cldn4_mean	frac_tnk	tacstd2	quartile
EBUS_15	GSE131907	sample	author_malig	47.265625	1.1294928392821784	0.4334841628959276	9.212593469893818	Q4
EBUS_19	GSE131907	sample	author_malig	94.00921658986177	2.4779035334230066	0.6756628787878788	9.13150919169725	Q3
EBUS_28	GSE131907	sample	author_malig	96.33620689655172	2.197978326433922	0.0447703589347742	8.889992217765608	Q3
EBUS_49	GSE131907	sample	author_malig	49.122807017543856	0.9512107328950752	0.6343661971830986	9.060435418932757	Q3
EBUS_51	GSE131907	sample	author_malig	85.36964980544747	1.581328884787959	0.3490076335877862	8.683316715786662	Q3
NS_02	GSE131907	sample	author_malig	58.5635359116022	1.126727726322637	0.4223951578037181	1.4315138640624794	Q1
NS_03	GSE131907	sample	author_malig	93.14412089937338	2.264933208146411	0.0484949832775919	7.399143924863372	Q1
NS_04	GSE131907	sample	author_malig	89.34092758340114	1.9523515591538416	0.0688025210084033	7.341023159035879	Q1
NS_06	GSE131907	sample	author_malig	60.24096385542169	1.434511918266367	0.3579439252336449	9.541441248369667	Q4
NS_07	GSE131907	sample	author_malig	90.407204385278	1.5931307483262624	0.0289703315881326	8.46965226261139	Q2
NS_12	GSE131907	sample	author_malig	86.33938100320171	1.728830943634575	0.0069138906348208	7.9701722786011935	Q2
NS_13	GSE131907	sample	author_malig	72.41124260355029	0.9959480312401604	0.3673890608875129	8.293578501135862	Q2
NS_16	GSE131907	sample	author_malig	11.39240506329114	0.1031375586066322	0.2923310554290053	3.9180842561866807	Q1
NS_17	GSE131907	sample	author_malig	88.21942446043165	2.300820123330216	0.170195101701951	8.38721618125829	Q2
NS_19	GSE131907	sample	author_malig	67.1523178807947	1.0082934839931024	0.1121212121212121	8.57159731446326	Q2
P0031	GSE205335	patient	author_malig	59.24764890282132	0.9488405678584309	0.5948973242065961	8.582306202129333	Q2
P1006	GSE205335	patient	author_malig	74.18096723868955	1.3380774788530891	0.4922824302134647	9.586433332861736	Q3
P1015	GSE205335	patient	author_malig	41.580756013745706	0.7684376084668274	0.3958158995815899	9.175440000434072	Q3
P1016	GSE205335	patient	author_malig	82.64617691154422	1.4550707508198382	0.1101964182553437	5.931553687230184	Q1
P1017	GSE205335	patient	author_malig	64.31838975297347	1.4468339255966445	0.3782317267794446	9.81029386109441	Q3
P1018	GSE205335	patient	author_malig	67.03389830508475	1.456712726949631	0.5062636707098827	9.07054733335027	Q3
P1025	GSE205335	patient	author_malig	92.85714285714286	1.6940450124805284	0.1047463175122749	5.1940593765874095	Q1
P1027	GSE205335	patient	author_malig	78.07283763277694	2.119879172945015	0.5693478260869566	9.910986995924741	Q4
P1030	GSE205335	patient	author_malig	61.69154228855721	1.6170852017252315	0.1626016260162601	9.884019071367078	Q4
P1037	GSE205335	patient	author_malig	86.05284663579407	0.954375637171382	0.1226168974513345	8.122009045281432	Q1
P1056	GSE205335	patient	author_malig	49.70662196144174	0.8104878252251735	0.265334117185969	10.573521073000702	Q4
P1062	GSE205335	patient	author_malig	45.21276595744681	0.9858522627525454	0.6326463853451095	8.654690243796422	Q2
P1063	GSE205335	patient	author_malig	35.11450381679389	0.736917035356666	0.7316732604142425	7.211340712739395	Q1
P1072	GSE205335	patient	author_malig	58.86699507389162	0.9359386543482128	0.4603299293008641	8.126908714453155	Q2
P1076	GSE205335	patient	author_malig	59.36395759717315	0.9238031801089972	0.2994982078853047	8.423142981514426	Q2
P1079	GSE205335	patient	author_malig	51.38121546961326	0.9667483711478282	0.3923257635082224	8.390807239722243	Q2
P1084	GSE205335	patient	author_malig	86.73469387755102	2.256213852289076	0.6649688737973967	9.06381591566749	Q3
P1089	GSE205335	patient	author_malig	87.77046095954844	2.151441746784373	0.1690490988191423	10.527026416432454	Q4
P1090	GSE205335	patient	author_malig	38.16254416961131	0.6880064512464571	0.2530737704918033	10.168829091262348	Q4
P1115	GSE205335	patient	author_malig	88.8829928362961	1.6229821464124854	0.0616329315442347	3.372326811806315	Q1
P1119	GSE205335	patient	author_malig	36.08837970540098	0.5610693021147378	0.2602682313495389	7.974355364297573	Q1
TD1	GSE189357	patient	marker_malig	56.1299176578225	0.9674971541301648	0.6516167192429022	9.355994913125835	Q3
TD2	GSE189357	patient	marker_malig	35.6255178127589	0.5306434754503818	0.6274357838795395	8.410162986889063	Q2
TD3	GSE189357	patient	marker_malig	48.042168674698786	0.6981268538447051	0.5154842787170169	8.359015002000628	Q1
TD4	GSE189357	patient	marker_malig	30.346232179226067	0.5108686257635009	0.6036066689350119	8.83833561517815	Q3
TD5	GSE189357	patient	marker_malig	36.86635944700461	0.5360227792318812	0.5794328843230777	8.5445844111357	Q2
TD6	GSE189357	patient	marker_malig	63.501238645747314	1.13970175467227	0.3769307700855651	9.841796273497033	Q4
TD7	GSE189357	patient	marker_malig	36.63133097762073	0.4511173921656661	0.5278015397775877	8.334090037099793	Q1
TD8	GSE189357	patient	marker_malig	45.338567222767416	0.6825880840310956	0.4675600798917596	8.044177107322884	Q1
TD9	GSE189357	patient	marker_malig	78.56412354264675	1.286821189923943	0.2472543105901098	9.761939942633683	Q4
